"","B_VanIP_Subgroup_4_9","B_VanIP_Subgroup_1_7_2_3_6_2_7_5_6_8_2_7","CAF_VanIP_Subgroup_1_3_2","Cancer_VanIP_Subgroup_1_4","CD4_VanIP_Subgroup_3","CD4_VanIP_Subgroup_1_5","CD4_VanIP_Subgroup_2_8","CD4_VanIP_Subgroup_6_7","CD8_VanIP_Subgroup_1_2_5_3","CD8_VanIP_Subgroup_4_6","M0_VanIP_Subgroup_1_2","M1_VanIP_Subgroup_3","M1_VanIP_Subgroup_1_4_5","M2_VanIP_Subgroup_1_3","Mono_VanIP_Subgroup_3","Mono_VanIP_Subgroup_5","Mono_VanIP_Subgroup_1_2_7","NK_VanIP_Subgroup_1_8","NK_VanIP_Subgroup_5_9","Dendritic_VanIP_Subgroup_1","Dendritic_VanIP_Subgroup_4_6_5_6","Endothelial_VanIP_Subgroup_1_4_3","Macrophages_VanIP_Subgroup_1_3_2"
"R3388_YZ_1",0.813949344194888,0.119832498994561,0.526460585906678,0.448167280651225,0.475419997328371,0.0401164382004329,0.0072174212624495,0.33399148144874,0.0174587599384884,0.0677479726658301,0.126141592014068,0.0126349355985392,0.275223646983728,0.144050296528295,0.0394993291287,0.0713839931789223,0.104485458219395,0.0441105063528708,0.0435872111529144,0.0386467156343764,0.0123461686662,0.131516881987301,0.0749484576255998
"R3388_YZ_2",0.835876298172123,0.121105475268145,0.456805634634276,0.422500524280242,0.344924832396876,0.0586751124557114,0,0.254755378104508,0.035964913759882,0.02284213980502,0.0752674392870062,0.121756627019424,0.156941675019492,0.262115900197654,0.0110312842008717,0.047401378883606,0.0992815505203555,0.104633368533398,0.0840664921505434,0.00114833453590432,0.0136000523098583,0.147786271228556,0.244715051075899
"R3388_YZ_3",0.787462412878618,0.0818258222693737,0.513437879405584,0.456969433131477,0.323907711188894,0.0224749515500784,0,0.128266133084862,0.0128883204290369,0.0545788882493496,0.164965919562818,0.0171517629152795,0.45681690839395,0.12124135986707,0.0698990908745671,0.0457975926069112,0.108057140287602,0.0214567147197479,0.0297400455323919,0.00818120360780121,0.00843992843862223,0.170137056834211,0.114281852421325
"R3388_YZ_4",0.822861704559066,0.16608572401591,0.255824515523698,0.500949718915372,0.400984777934036,0.0195795727008185,0.0106675897477254,0.35458623614981,0.0225320367555321,0.0677811065440803,0.0115203151682148,0.0419148423030562,0.106805380349357,0.262348887993847,0.0216763982221597,0.0499636427243703,0.0464885169230571,0.137279128732674,0.112971042882293,0.03063624119142,0.0386218726477519,0.242941661605488,0.282474562337931
"R3388_YZ_5",0.841691770623108,0.185668584203374,0.468570930771317,0.475770960439393,0.484091481461843,0.112179484643039,0.0116080083479491,0.484822526835969,0.0359187495067931,0.107501525799654,0.0765767897428735,0.0447380779602198,0.199877084396817,0.0388848176439533,0,0.0328361563385828,0.0869222701679589,0.0685570838776085,0.123753392907373,0.00105168675508044,0.0162996354257756,0.0813502111545015,0.107776309267934
"R3388_YZ_6",0.692593135060621,0.151343834091473,0.360843199014776,0.571965728430836,0.348127586020882,0.0101026087855087,0,0.455054059207036,0.015147251593277,0.0863439333079378,0.0672189753271671,0.0338616125900132,0.195485985731088,0.0133815589983172,0.0285621536409337,0.0635035707154971,0.0632104661820745,0.0552566531395076,0.0705142709373944,0.0360343342604183,0.0623328503466637,0.249675544016207,0.131119543840184
"R3388_YZ_7",0.835785792580135,0.0964538812810338,0.461693529849961,0.433556672909699,0.410568797727039,0.0455048473910041,0,0.112114063442206,0.0199917949383957,0.045800651886425,0.109328986480399,0.0251653895339383,0.335209332861225,0.160139802004872,0.0603133785383214,0.0468584881900039,0.104038540712616,0.0521605605476547,0.0971480049698289,0.0166705707635323,0.00853877919279702,0.205935379394885,0.156464803418013
"R3388_YZ_9",0.870289379745738,0.154469067780128,0.524481751054676,0.636529074447268,0.385882333296637,0.0643476049306596,0.00852444043587037,0.077238550607743,0.0224310642065186,0.0819647052537267,0.0633218205925708,0.122348983629521,0.442127978960159,0.0213928891635129,0.0219903878975371,0.0474232134665317,0.0987143358108126,0.0164477314435601,0.0781444248342705,0,0.0875843776935605,0.0223211837099532,0.118523213435639
"R3388_YZ_10",0.851688763608468,0.147086823438245,0.476301532863936,0.423452708187068,0.395778057905892,0.050654129889157,0,0.513966773887956,0.0176822714950795,0.0577235923290272,0.0398970520250384,0.028489332885285,0.139931256004435,0.144393176213385,0.0273385590758917,0.0809861424035398,0.107812719911373,0.0737244977454342,0.0791076937788385,0.0143211431820077,0.00888067391424462,0.11870141365579,0.108850336860826
"R3388_YZ_11",0.694163218099442,0.113735307347131,0.45089987651576,0.565015618152955,0.308010196943388,0.0248495690891868,0.00212462296879259,0.287425136997408,0.0112388169614365,0.109954150722017,0.0660393556175079,0.0313029533766404,0.148589313875041,0.194568664941036,0.0412505456601454,0.105719622854719,0.048724546573827,0.106086330458356,0.0815757863057596,0.0158392600546278,0.0423647728250709,0.173771439770722,0.114765141784475
"R3388_YZ_12",0.70220748718833,0.0812281074144559,0.627891537187759,0.488574981387914,0.211138382521726,0.0258889992141651,0.00678451259683091,0.136971652534057,0.0109522640047455,0.0458454147645102,0.211697241630169,0.0221058745836892,0.58205761771021,0.056913371301984,0.0605758541652572,0.0924828600093955,0.0580578604251869,0.0463258779332474,0.0541157360311082,0.0175256265181479,0.0179317166207481,0.0366989975013864,0.0912704430654691
"R3388_YZ_13",0.616527512434897,0.127814262209791,0.386328741982853,0.549664724846664,0.404711480286837,0.0370637065852991,0.0116153353438744,0.142539341336608,0.0137120542278858,0.0621958487344634,0.0507744514040675,0,0.330069862021332,0.112229030367358,0.167252079127361,0.0475211622617386,0.0889301645454844,0.0307431290822624,0.0814809904458461,0.113338821563623,0.0631018925212815,0.156553917980034,0.178349129320068
"R3388_YZ_14",0.835265795076638,0.161517145947959,0.256228857854411,0.487869632708635,0.450000140420737,0.124765136249446,0,0.206307034707043,0.0430973138386201,0.0438605749627931,0.0979938621024673,0.0653869067319026,0.29738363164687,0.0919865899604628,0.00623769029697177,0.0704251506729304,0.0919732158661566,0.0776897151829733,0.0960496292869898,0.0144513426563354,0.174174133612831,0.125936734565195,0.277881868116235
"R3388_YZ_15",0.67862529320177,0.112434004042282,0.510076861961327,0.496080749318189,0.348698113822443,0.0110620702999974,0.0121648104815864,0.452596839540367,0.0154868963437722,0.0537382102086872,0.0168620153726426,0.0329578634575571,0.339520106800059,0.0859664117941556,0.0715794889796824,0.0375185558349586,0.0925013429274846,0.0526122729137264,0.000280257396615748,0.0496114745076894,0.00558471364007903,0.261839459518669,0.0775697780341956
"R3388_YZ_16",0.931572088063022,0.187947023793229,0.350208570078918,0.390456426513951,0.53264409412095,0.125231526040272,0,0.413427400442164,0.0213997167272696,0.038406038744521,0.0933960919987555,0.0212162419013549,0.244481539949218,0.0884215253288165,0.00582290943460485,0.0343161104033503,0.0821950416020383,0.0500741033945988,0.0608408867774488,0.0133492245483334,0.0519911244880907,0.124127177825627,0.154931282121248
"R3388_YZ_17",0.855167156677331,0.155445438219447,0.537268165654839,0.412652668948267,0.403181360927977,0.127859775491823,0.0347058076221886,0.598876096966433,0.0166939595788916,0.0609820299337245,0.0591114257269587,0.0309709471909312,0.254039729040916,0.0266046541564707,0.0264039365149226,0.124042934884096,0.109364246546335,0.0177941958382952,0.0910648511726067,0.0455387182066561,0.0744888373546201,0.00912837267236973,0.0623782413584029
"R3388_YZ_19",0.874407547797329,0.18116746596824,0.505334487828995,0.573188857589028,0.342853769117074,0.0702082918910608,0.0152035314508447,0.164917817326826,0.0277012203830076,0.116259793737863,0.104037812676451,0.0618064383807903,0.40526282523306,0.0233170780097216,0.0288655309671964,0.0118804494370502,0.0591883281132181,0.0282528797869405,0.103769992052385,0.00158464103870518,0.012467197804186,0.0542896975795256,0.129095760239449
"R3388_YZ_20",0.699570162662521,0.081998010180995,0.625455842166018,0.73532417387222,0.289335027755977,0.00232277453254448,0.0149090330067353,0.0547028916888472,0.0113856241295293,0.102022389092743,0.0933308034787574,0.0631714600026204,0.393065220538798,0.0405428321445817,0.0778275028502227,0.0765757850701103,0.0725703284861935,0.0106476464368903,0.0832976618006575,0.0132873682326098,0.0233663720910692,0.076073360833742,0.106180919888589
"R3388_YZ_21",0.927735256378573,0.220404628643326,0.429067670704334,0.409489572480089,0.455971036619363,0.0641709102728202,0.0115080494872605,0.39741336799698,0.019251676455237,0.0302460942624497,0.0327396317278695,0.0589611293656274,0.218880277592433,0.0771198091584672,0.00592613742200711,0.0706996355641779,0.0849432934255272,0.104094441240539,0.0665081728834026,0.00558442172614032,0.023408169843433,0.12809162636887,0.151477349869186
"R3388_YZ_23",0.6976145971648,0.0985991990079705,0.42407938468283,0.470578937240704,0.39537501120768,0.0160324248198682,0.000407283602603403,0.14318490437568,0.00567709417899763,0.104927701066694,0.160975145175955,0.0198629788625544,0.539026997883379,0.100554139562467,0.0494560484678098,0.0477851612130851,0.0748147153142234,0.0356073434364535,0.0443503504657491,0.0322056437426359,0.00209527195952295,0.142116627244949,0.228919312363109
"R3388_YZ_24",0.836813973443741,0.157615276778178,0.491106957955198,0.457994257907785,0.37713986158915,0.0422327093472759,0,0.31307285951315,0.0187937136926601,0.047159590619102,0.102119514055932,0.0465289646514467,0.286393552947387,0.196150950951104,0.0428338189110385,0.0643986568458362,0.0918369089400625,0.0304399001322625,0.0801039215241446,0,0.0421507129776192,0.108195312859758,0.129226600714019
"R3388_YZ_25",0.813184891745998,0.134334665569458,0.478720751741336,0.407694677634034,0.443943183812386,0.0820231423123397,0.00544261897844718,0.148511907375946,0.0142047707280785,0.0329130877581812,0.098966683047914,0.0355704338712976,0.490953186694892,0.0148396878048182,0.0416585239129983,0.00753236105869874,0.139279734968354,0.0452236297557753,0.0828678472108045,0.0041997978201165,0.0370627358128194,0.124359303839869,0.092558389955453
"R3388_YZ_26",0.894623782746481,0.07996827985595,0.466920048275551,0.388809712070852,0.184242475751522,0.0760549728161422,0,0.0736646736935423,0.0107066188836618,0.0224523373309914,0.248403723774491,0.00906200535708337,0.464316424804821,0.210402608421911,0.0558663422695144,0.203958677201593,0.153752704161337,0.0337998879181981,0.0408184392002932,0.00611546848412189,0.119082389783724,0.00854331455401239,0.252594443236247
"R3388_YZ_27",0.902469621588702,0.19092990182792,0.270778320302408,0.403190866308443,0.399259440680743,0.118611698700957,0.0035405632271735,0.231830317493075,0.0164790372890021,0.0821963057579124,0.0177856542135834,0.0181872799038678,0.170275661287718,0.237086691854525,0.01789432959663,0.0833561510707253,0.122297662296023,0.0554302902436325,0.0806486992568037,0.0240259410314824,0.0437726125604502,0.218593857987448,0.175362269594613
"R3388_YZ_28",0.810207218565276,0.127029356625726,0.50000388142628,0.556740454664442,0.360941960154804,0.0697349642939491,0,0.100247318147014,0.0424970856858146,0.0393071133460475,0.168494915772737,0.0928055574450232,0.41936238300404,0.0752992806163869,0.05011904283451,0.0331161875853164,0.0890451899036005,0.0672282414962884,0.0941864327683309,0,0.0691750862371546,0.0122247823228214,0.208138377173729
"R3388_YZ_29",0.69394821664642,0.1191445087941,0.404790770169958,0.482130219072525,0.592498142338513,0.105830757530861,0.0087715710240019,0.514383420111371,0.0280154123636504,0.128269830215221,0.0514671411726558,0.062232289357321,0.34199602658919,0.017927703912309,0.0132239234570167,0.0835205644141764,0.105647946244803,0.0151698707067784,0.0947310830616224,0.0146016650139734,0.046817580222639,0.0948142695726414,0.156951230185983
"R3388_YZ_30",0.665804312008769,0.0915869618031341,0.526237949073354,0.611380379371986,0.332664338626602,0.0363481268156485,0.0124390477551136,0.0754175042913816,0.0137108777983295,0.0510735146055725,0.0262725732343142,0.0882464711591925,0.433322251442704,0.0800382040339306,0.218943473203149,0.0520245480252498,0.11269076327174,0.00744033926867589,0.0568985456149484,0.0288884505335229,0.0342681299539386,0.00982134733646108,0.1773389594191
"R3388_YZ_31",0.562943702216214,0.0699704003397895,0.655331149243321,0.487109423973429,0.468045621944584,0.0567793422635946,0.0368859311397189,0.587449028200582,0.0261209518911022,0.0777649643545182,0.178180832327556,0.0310977288383979,0.224657291406355,0.045080327399236,0.129798624732361,0.0502414160011101,0.10716819011896,0.0416603216989044,0.126276838995078,0.0205466900425507,0.0231651503856892,0.0565855308449523,0.0435916885644673
"R3388_YZ_32",0.760061515356407,0.0917621804746932,0.580576368691556,0.478645823297735,0.240924682739755,0.0143153157416521,0,0.217242345598685,0.0109226800002195,0.071903846916419,0.147528351875322,0.0195247649916985,0.473410001090406,0.0222868448411299,0.0851999426637984,0.196901693580442,0.137600941387104,0.0357275103978554,0.0592922730263636,0.073543223954227,0.0387472461058345,0.130655922971533,0.120758816593181
"R3388_YZ_33",0.72136231271641,0.102827564314162,0.55150940884452,0.478413969902083,0.417063004984827,0.0215084510214251,0.0204934933364302,0.32960804554342,0.0176111870088328,0.0792303687553675,0.105660401892392,0.0351819233691421,0.306350021528688,0.0226407882213659,0.0126518165385113,0.110955369964528,0.0686501713448963,0.0603489924209571,0.0909420226295878,0.0174210365499832,0.00675097752158802,0.201459278619133,0.0531953718024852
"R3388_YZ_34",0.743312062267919,0.14379596034997,0.421583471030143,0.440315590181722,0.461633770980414,0.057616314024736,0.000240331471013503,0.342956410585476,0.0158116669882832,0.039157501473364,0.0410619100419242,0.0384654070217283,0.274671896866269,0.108138124998568,0.0213241659609757,0.116269543153288,0.109695842462795,0.0989338745527671,0.060975062699371,0.0394706378848589,0.0319368480151943,0.175804207520577,0.181397504172387
