"","B_Vanderbilt_Subgroup_4","B_Vanderbilt_Subgroup_1_5_3_2","CAF_Vanderbilt_Subgroup_1","Cancer_Vanderbilt_Subgroup_1","Cancer_Vanderbilt_Subgroup_2","CD4_Vanderbilt_Subgroup_1_2_5","CD4_Vanderbilt_Subgroup_3_4","CD8_Vanderbilt_Subgroup_1_7_2_5_4_6","CD8_Vanderbilt_Subgroup_3_8","M1_Vanderbilt_Subgroup_1","M1_Vanderbilt_Subgroup_2","M1_Vanderbilt_Subgroup_3","M2_Vanderbilt_Subgroup_1_2","Mono_Vanderbilt_Subgroup_1_2","Neutrophils_Vanderbilt_Subgroup_1_2","NK_Vanderbilt_Subgroup_1_3","Dendritic_Vanderbilt_Subgroup_1","Dendritic_Vanderbilt_Subgroup_2","Endothelial_Vanderbilt_Subgroup_1_2","Macrophages_Vanderbilt_Subgroup_1_2"
"R3388_YZ_1",0.259513948070356,0.077892288872582,0.607118252194156,0.66984505691914,0.0173345616541656,0.0350042351348834,0.345253344884085,0.033969325522715,0.0677479726658301,0.164262697573289,0.390884185442932,0.263298011965153,0.144050296528295,0.116711961213254,0.171625867509821,0.0441105063528708,0.0129929416156252,0,0.158175529616405,0.0261641439177146
"R3388_YZ_2",0.265128759683195,0.0650883350912606,0.402045198758172,0.667702988721608,0.0178671621301217,0.0570484324718619,0.252529550809949,0.041091398823784,0.02284213980502,0.180000320998515,0.163710076071508,0.30625602166679,0.262115900197654,0.101955789130378,0.223825920050938,0.104633368533398,0.0223734635611271,0,0.209347713274349,0.183224005039897
"R3388_YZ_3",0.249238484695988,0.0386008953189853,0.564069823972021,0.685867830330278,0.0166382207571951,0.0220587835635791,0.148490749490171,0.0284393097406794,0.0545788882493496,0.21662967540515,0.628095387611075,0.219572418728094,0.12124135986707,0.122018819147078,0.201528868668935,0.0214567147197479,0.0231015866804371,0,0.209835969526401,0.0817708082976675
"R3388_YZ_4",0.468615484098314,0.0669587608584471,0.255748096696736,0.698212368432878,0.104332291440757,0.0175794669664506,0.350706877745671,0.0283422188760155,0.0677811065440803,0.0845882252494632,0.136077860916279,0.258567635418123,0.262348887993847,0.0500765947862548,0.137733811328186,0.137279128732674,0.0916395057800418,0,0.382684068317048,0.200669971472266
"R3388_YZ_5",0.303962991810568,0.147787633686248,0.456307774213315,0.669582936614769,0.113892996825346,0.133910436749692,0.479898587855545,0.0376743454320067,0.107501525799654,0.137051730336908,0.244054345040273,0.218839078010086,0.0388848176439533,0.104112520685374,0.0798457202727267,0.0685570838776085,0.0296362769180964,0.0215728274833158,0.117976374659063,0.045381418336517
"R3388_YZ_6",0.402482601266656,0.0691761339125549,0.374028621159859,0.637139545592652,0.243242544123899,0.00930430347995361,0.439566524980613,0.0189819487697843,0.0863439333079378,0.152189474161889,0.249803030875471,0.206048574023999,0.0133815589983172,0.0651332347637527,0.227888455280493,0.0552566531395076,0.11260622019465,0.0441364258315567,0.404997153683237,0.0664338650201183
"R3388_YZ_7",0.259455459800231,0.0465968409849095,0.487226904343681,0.682072206229441,0.00943708121872903,0.03039246238358,0.143259032967729,0.0406885458761821,0.045800651886425,0.260255167406024,0.461881464051758,0.25978069148995,0.160139802004872,0.119144550738114,0.209135345105193,0.0521605605476547,0.0210494265644768,0,0.249424082156047,0.120196896723627
"R3388_YZ_9",0.331626689761974,0.0800114285737645,0.465792359075152,0.71177923408718,0.420603552296372,0.0592786105099377,0.10931127234471,0.0425442916020464,0.0819647052537267,0.332421429220669,0.595221998005616,0.335069226955522,0.0213928891635129,0.101536968293803,0.073529174219737,0.0164477314435601,0.17404777764777,0.0318124603761095,0.0377260407978563,0.092099552824869
"R3388_YZ_10",0.324553551902064,0.0913547527738056,0.55434915464993,0.653694574936901,0.00169557737574892,0.0406321336839755,0.489200189006811,0.02045879075671,0.0577235923290272,0.164931137801083,0.120999891901048,0.174912826465141,0.144393176213385,0.122694204253727,0.148972079301136,0.0737244977454342,0.014307998901166,0.0125962993807103,0.154527180098313,0.0646561067260626
"R3388_YZ_11",0.33796216384787,0.0570287221985716,0.489571684322268,0.713913952674117,0.19693956642421,0.0192426813469778,0.281052998148555,0.0131046366345316,0.109954150722017,0.0646853652590735,0.212452351814548,0.283686265148299,0.194568664941036,0.0430392346916754,0.121559472086739,0.106086330458356,0.0837647588111403,0.0120271793625185,0.242687022432184,0.0495010724131256
"R3388_YZ_12",0.263720898595993,0.0340551538516633,0.630486138446926,0.763915127281033,0.0138388781610455,0.0215966154743568,0.146052981400374,0.0140201365006742,0.0458454147645102,0.418100028031765,0.694355571901687,0.402776136025432,0.056913371301984,0.0548942321971804,0.125083443647564,0.0463258779332474,0.0201562222225969,0.036152594238002,0.0619718671297671,0.0874712095845331
"R3388_YZ_13",0.333762070359093,0.0568387280804912,0.385046165868968,0.697475106134485,0.216452317666434,0.0329107791603325,0.173760852309808,0.0138032843142527,0.0621958487344634,0.120647025184255,0.4891413493444,0.272719118975331,0.112229030367358,0.0918003991392619,0.20929937638816,0.0307431290822624,0.135989348908361,0,0.252908968673359,0.123254407185322
"R3388_YZ_14",0.38709991659464,0.0578703489917628,0.153732387865044,0.645050496020628,0.146925649861606,0.10228675812107,0.225269686218541,0.0362238141689286,0.0438605749627931,0.281959717609187,0.324902074536556,0.209598994219408,0.0919865899604628,0.106110588070973,0.137331054360902,0.0776897151829733,0.193645267839686,0.184819459695122,0.215644678447065,0.235229960627687
"R3388_YZ_15",0.383610248912581,0.0519704278509011,0.517976195830279,0.741799282052046,0.0317616076684399,0.0123809012937705,0.440395110146618,0.0197727268985542,0.0537382102086872,0.183849148799299,0.464467945176056,0.178456397245521,0.0859664117941556,0.124448210247536,0.102877985759599,0.0526122729137264,0.00620428272386925,0,0.386036797823954,0.0147950265764562
"R3388_YZ_16",0.309107153760444,0.155085651140279,0.34718429922768,0.630263182909745,0.00698534724518307,0.0873416711882181,0.422823487523721,0.0316693508656947,0.038406038744521,0.135037445398896,0.330467332720551,0.265781164131364,0.0884215253288165,0.0710238216382991,0.156086847116668,0.0500741033945988,0.111112384065529,0,0.205044664986065,0.0814997034497069
"R3388_YZ_17",0.284128541834369,0.126298559460132,0.463002111139392,0.667806999739016,0.0164123407798669,0.123057136708102,0.58144418808085,0.0321703533151553,0.0609820299337245,0.205617543464377,0.287899999682637,0.199083043429345,0.0266046541564707,0.115943637693969,0.10332044982685,0.0177941958382952,0.141379296694893,0.0607233761580659,0.0172950133198024,0.0314140212354956
"R3388_YZ_19",0.411480150245948,0.101230600716485,0.459412778351612,0.745052794167208,0.244652305308066,0.0723022152493768,0.185789482368853,0.0200141819710604,0.116259793737863,0.19470177137839,0.614868038496209,0.236401651507217,0.0233170780097216,0.0496904159202747,0.130303007997707,0.0282528797869405,0,0.037785687848519,0.0816240201329909,0.12598692270586
"R3388_YZ_20",0.298874271202526,0.0325377882415785,0.592274045265798,0.755827439363079,0.50030586872314,1.33561697054271e-05,0.0751640498717695,0.0133697153577633,0.102022389092743,0.256398693584961,0.593429344196819,0.276291385424884,0.0405428321445817,0.0811959600988871,0.0676214001550949,0.0106476464368903,0.0425563277331592,0.0326433780404369,0.130533331653493,0.132198248668015
"R3388_YZ_21",0.43498594505276,0.144571697590088,0.447409529146781,0.670851222576064,0.0109266571302922,0.0603367731408,0.402108376142465,0.0217489134902188,0.0302460942624497,0.152016022002534,0.278667320013655,0.171040867028708,0.0771198091584672,0.100765112230269,0.149969937931789,0.104094441240539,0.0558179781668066,0.00048640006914983,0.210657815089049,0.0591558505607196
"R3388_YZ_23",0.388651447822838,0.0317784680535867,0.459707166492298,0.684243577649179,0.01665292850736,0.0195549884178491,0.171361647973439,0.0244173701829956,0.104927701066694,0.304549891238129,0.672669341571305,0.23016308540191,0.100554139562467,0.0775253155827266,0.148020327947737,0.0356073434364535,0.0083810878380918,0,0.20463017642214,0.213811285228041
"R3388_YZ_24",0.354026087517426,0.093618658592537,0.485423510526478,0.725293335836466,0.0245939104712536,0.0386454605030419,0.319849839524933,0.0271204459955684,0.047159590619102,0.150062547513944,0.433858051933639,0.256543668915333,0.196150950951104,0.0942787693594501,0.166585280740904,0.0304399001322625,0.0852313633823674,0,0.166442225621816,0.0732994983847615
"R3388_YZ_25",0.167758688026159,0.0826535863752304,0.457861018412911,0.642454390395391,0.01235067354421,0.0614170994755585,0.182085090711158,0.0439017121487149,0.0329130877581812,0.302852100984258,0.648522331685792,0.229872176274811,0.0148396878048182,0.159957452119894,0.220946103004765,0.0452236297557753,0.0799294445350298,0,0.172982290955595,0.0718458284616403
"R3388_YZ_26",0.187274298111948,0.0765090907888974,0.422811046908011,0.597003243471376,0,0.0412639748078199,0.084666299793519,0.0194699308075285,0.0224523373309914,0.363641663604177,0.562775563761603,0.375312731320255,0.210402608421911,0.166816781631685,0.132694991547366,0.0337998879181981,0.135364831199085,0.0944135613442381,0.0163930698575663,0.299078783130405
"R3388_YZ_27",0.363767638579888,0.107053034647004,0.224406731681847,0.634659656208581,0.0236803671971446,0.103006838749663,0.250956870992801,0.0247869941920093,0.0821963057579124,0.131916325737323,0.265568335468507,0.201220805669083,0.237086691854525,0.130801879681737,0.218282549966428,0.0554302902436325,0.0810304103321345,0,0.332288274325877,0.103813379057653
