"","LP.01.04","LP.01.12","LP.01.14","LP.01.15","LP.01.17","LP.01.18","LP.01.20","LP.01.22","LP.01.25","LP.01.28","LP.01.29","LP.01.31","LP.01.37","LP.01.38","LP.01.40","LP.01.43","LP.01.45","LP.01.47","LP.01.48","LP.01.52","LP.01.57","LP.01.61","LP.01.63","LP.01.64","LP.01.66","LP.01.70","LP.01.72","Test.FFPE.01","Test.FFPE.02","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.07","IP.108b","IP.115b","IP.124b","IP.127","IP.138b","IP.140b","IP.148","IP.197","IP.214","IP.28","IP.31b","IP.36","IP.38b","IP.52","IP.57","IP.58b","IP.67b","IP.73","IP.82b"
"ADNP",-0.0415140566350111,0.822062111832273,0.392298165233501,0.258023520281563,1.11350312826579,0.035349127077303,0.00187115867213291,-0.465487086804932,0.438840547909466,0.962435215375109,1.59474179589481,0.213520678424294,0.367736818460668,-1.2585853302294,-0.837184491948305,0.691503959361437,0.0168355597809413,0.223324555918521,0.201092994607661,0.864398584489483,0.88094891956834,-0.316119710578947,0.156097093242484,0.00689867065702413,1.00217453716582,-1.03429065226031,-0.21541822112094,-0.151522994824102,0.622727993285173,0.561202930418855,0.348017615114364,-0.254965934273721,0.0803828959783782,1.07469598798368,-0.868038298267246,0.316102141866876,-1.52241456931121,2.22170021432577,2.24302074719082,-0.611223290549996,-0.864481554772759,-1.03607285074935,-0.149016511956195,-0.477702771871037,0.630646518916458,-1.03946567601662,1.08426719236629,-0.0639379643320625,2.05849880362737,0.998302285962519,-0.0600065970575769,2.61935526077364
"AHR",4.20282191720937,5.00031927161033,4.3616353187111,3.73196587410825,5.27918567143596,3.82427148606241,4.30297061790783,2.78751644848821,4.26627089351873,4.81449395891747,4.33278625433274,3.61585519730342,2.95863387494499,3.382166360391,2.80390256546402,4.60136614329774,3.4028445573187,5.07899631763297,2.76524154680232,4.16081843768901,4.71754726073694,3.13697451944473,3.33919398379819,4.14369258695008,4.27316913685183,4.53197332845993,3.08952678264287,4.37192393495155,3.71067992842562,4.65627993751412,3.88728297613103,3.55106534748623,3.75038836831536,5.90707011863172,3.78144800094431,5.55692045846492,3.15153090509262,4.38008445692588,4.42301816463922,4.16308274778384,2.47814506385675,4.00072760832209,2.40630151087874,5.67079565496354,2.81333457314938,3.17641049211279,3.95149031645178,3.90166740331458,4.22353119297394,3.58808230477954,5.13332147045978,3.84937716711056
"AR",5.13117763875797,4.5368127818679,4.36701819404679,4.87630723224694,3.56784554426874,4.84174861459193,4.98339789563165,5.32341140378623,5.01869883604098,5.61116959439116,4.65826173803353,5.04564369469188,4.43413262572058,4.03064348036599,4.6082331785721,3.96008966641355,4.78331238170821,4.52814047790031,3.98501456185421,4.90451098792037,5.27095962557442,4.98128159065457,4.4009768951045,4.89480900145509,4.75617263281431,3.93220743931892,4.3858847252028,4.9195910806176,4.70295510235774,4.37531638697063,4.38491270549068,5.15433547139698,4.26408415684497,3.99520275201423,3.74886440575668,3.5276051201001,4.80419591235909,4.71261760922042,3.81024534189558,4.1043872408346,4.55046249341609,4.35718383575948,4.17482081504895,3.42036953676658,5.37436552623291,3.36247050680233,3.82691374745305,3.89042908221843,5.07626805114258,5.18808345870984,3.74167489698202,4.92636477539999
"ARID2",6.96266951834096,6.64033005217048,7.17712003507737,6.31105221506101,6.35112925264186,6.50210895816816,7.05757809278768,6.77211762560861,6.68883664914108,6.25766510711312,5.9436604665929,7.02337451579923,5.85987183544207,7.34628844861108,6.53030675533981,6.52737659933794,6.60663484589732,6.66431870847313,6.86595503915502,6.5835685593027,6.9667323299736,6.76863713851278,5.91614978706827,7.2328970972145,6.89666311331139,5.81465533180649,6.26501792654692,7.02783764365974,7.16161768766604,6.81157371393807,6.4507238526341,6.19873468143484,6.80490138189156,6.19312078506158,6.50800152814325,6.70548359098705,8.20619419643945,5.33378907134609,5.22047938389471,6.5946293624115,6.47356050159466,7.42936021591239,6.88843434758624,6.61439129764362,6.90251584086913,6.70682427930376,6.20483637446184,6.61106325328049,4.46582252744558,6.00718857298209,5.96161982539258,5.47819222296028
"ARID3A",2.9719561889138,3.26134048199875,3.45801109926956,3.03810536843311,3.74991183629263,3.10317977003328,2.90519676797432,2.06870313708102,3.4515219639914,3.22472690138469,3.57526060435456,2.88794307494281,4.03708837063894,2.20370305152353,3.50152849931784,3.12706963138345,2.38215495158522,2.54002231855227,3.67307149569048,3.84352960196671,3.38488888508109,2.24073872341202,3.32249581720033,2.91367539803715,4.03029415323802,2.36018789255917,2.72321715613847,3.34719193559752,2.90496258316769,3.16512140543687,3.97365251249088,2.21690361692921,3.0923828974521,3.83642847094344,2.22812578060736,2.83325831247238,2.27354352107746,3.92458936867273,4.08384270270954,3.12229148484262,3.09455655820292,1.68022232904579,3.50078941822558,2.76989235686164,2.50729724792104,3.23217651304727,2.97152181318733,2.38222922768534,4.43579234297915,2.39745602225131,2.11564772342281,4.00718132591278
"ARNT",6.26431900094712,7.12889965339341,6.79025023538355,6.40290165116143,6.58277455055367,5.62953537465873,6.88439748995716,5.64003634484548,6.43437102134039,6.81732689833437,6.26906543704949,6.14165454163703,4.89516171319956,6.48103279543774,6.64688840256675,6.23588771484889,6.06302644832966,6.94622447480064,5.298822798178,6.79538267942346,6.96745841854214,6.42736991597866,5.45379792360126,6.75065715250017,6.75691292355193,6.71022525575614,5.31545869535076,6.81938801533071,6.23934855650078,6.68802069882929,6.03640539762622,6.31890226519016,5.91490937217874,6.72774660129513,6.50653385354287,6.49170092604605,5.85767650741744,6.28063715109923,6.52051964948666,6.3874976725241,5.46029290646769,6.12853985524213,5.83373908529181,7.38346281685123,5.53579021763494,5.59240806770255,6.15864190023395,5.86606828775844,5.15002921355614,5.80879424743132,6.37516905565273,5.51167839436236
"ARNTL",0.963951804335542,1.22931683465304,0.460793705731288,0.537841726718454,1.08179257878178,0.544430051599844,1.12605569593543,0.50442619145451,1.16511003893746,1.42439647068061,0.430251174677015,0.652861103743034,0.415145589683775,0.673529898183016,0.0234493118623083,-0.0272719863060454,0.64382017777755,1.58657495760208,0.218391446770703,0.364474272662361,1.05570604320747,1.54200132568914,0.640370755284815,0.361783430042868,0.239972401116073,0.551846172678218,0.122715781356123,0.715358896997357,0.827854518218155,0.723791517746226,0.629652493016455,0.979905978372646,0.3606940347124,0.639791780494446,-0.0939209716009737,1.19434518449473,0.830386915536174,1.22808105509355,0.841064673542039,0.790887911302564,1.33279589659013,0.452276727511901,0.291803528884605,1.1835683961304,0.786912953829745,0.170957905633135,0.52445633917996,-0.486150129633523,1.64969730641534,0.0301463855868748,0.535197950639508,1.88382439071465
"ASCL1",1.94380692611224,1.90395665979864,2.32675182044335,1.60034430461144,2.09427379738768,1.27829645366414,3.93697833514768,2.0105238038951,1.69562062208276,2.08768513524838,2.67249211712906,1.98965682834443,1.38812106859974,1.34047809667081,0.976486672872292,1.36271860773661,1.44870779242437,1.99523337137572,1.50867530306624,2.69328401059271,2.27499451219025,1.66922796582903,1.65560402799192,1.59294808920038,2.01138741923996,1.69569985155811,1.92098429163253,2.34006034890491,1.94146071649229,1.69520887968727,1.55524275276067,2.27161684535168,1.98145720650577,2.32151916603128,0.489422128808427,1.79335857446527,0.844836910260651,3.47423256681611,3.0565467332592,0.794698100749788,0.287606559253713,1.80355265494407,2.57865209489332,1.49032337656074,1.07629629267353,1.40384183800731,1.83741589651163,2.33481968473058,2.16305624750831,1.20383460574142,1.55876978254307,3.62472624987437
"ATF1",0.113009830508737,-0.290072358449276,0.109211439302777,0.500540312840338,-0.182691396843771,0.400839679918071,1.16995504448055,-0.80118329091262,0.260123329294032,-0.0231798968863536,0.815430024124799,0.0889780274955976,1.53932367237126,0.0278695321460346,0.71404416578513,-0.165943020409068,0.495727979797803,0.325339369448443,0.784628568992284,-0.0643099034200014,0.19883591608565,0.305049355455109,0.953593344948919,0.165675433718464,0.15962608713463,0.130793741844861,0.564001009178379,0.682879467009939,0.597688616444595,-0.534229114953849,0.915361003553106,0.222178398705237,0.253074433135861,1.34047183112742,0.66335332872964,0.45939803902362,-0.197491227003271,0.558110727918257,0.075075228581437,1.0658806659946,0.179755833823455,0.829807745727665,0.787333607568867,0.81356025354455,0.133297866666443,0.611136700267762,0.615953973284539,-0.317016270780865,0.818493495353381,0.0530261038374736,0.015205084215757,1.08007608707822
"ATF2",0.493376151136607,1.14226417743289,-0.278053440907058,0.685716936472043,-0.00013077614194121,1.06540499914608,0.576857518522613,0.318319391294768,1.0112837181331,0.811576442698658,0.0484708227102226,0.464204559520146,1.14219455493412,-0.570693932361216,0.975276122501673,0.275905402395445,-0.360938999042696,0.53454423856135,-0.386865816360069,0.263043374686268,1.01514437828052,0.864163775610728,-0.0698056839967274,0.188370680542492,-0.506383394601207,0.679940773429062,0.413731083180273,1.14874811234926,0.270633223868063,0.373179687901759,1.25503504631612,-0.346748223988493,0.325562512389655,0.964988189013849,-0.790229993258398,1.41841521862001,-0.275623711679462,1.26059324358465,-0.279774714534869,0.576734733552746,0.182506916149118,-0.516608547149912,1.09257488695398,0.92093603260199,1.2805142825056,-0.593397518116471,0.0222648642699771,1.25353822422145,1.46520179169326,-0.355504928530618,0.351796861706831,-0.196353008818532
"ATF3",-6.97081135297705,-6.5417980451782,-6.43105543385245,-6.51586145021206,-6.22757592231229,-7.33003629792846,-5.68855238971546,-5.75794704421512,-6.52854994285869,-7.05000515904256,-6.78459881636389,-6.41734368580689,-6.39279636605046,-5.62455673305729,-6.46096226679046,-6.50422504837009,-7.02410823740338,-6.23586994833817,-6.34433224233909,-6.13596432486198,-6.62322433941213,-6.66940776930477,-6.85544318789023,-7.31565490449326,-5.98817769940647,-6.19915413787064,-6.30510515468649,-7.08273290689479,-6.12431907561607,-6.06304706389569,-6.9235304219776,-6.45540920639251,-6.72662111404899,-7.28952168787074,-6.62509456029035,-6.61649488031304,-5.09913871214065,-6.80301031063172,-7.39161260358029,-6.32460733048833,-5.70202587995452,-5.31899733033732,-5.29551982515332,-6.9055209957915,-6.56457053612867,-5.41131956118417,-6.67541948120006,-5.8502770322582,-7.05949104491195,-5.47771680562159,-6.18721511411868,-6.63880963197117
"ATF4",1.44443597989564,1.01072477508769,0.364786867319094,0.561262820109144,0.241156781461024,1.73433821432275,0.662218816085707,0.780173771631022,1.11596530066129,0.716260807928556,1.12788741179301,0.800209039341847,1.73515602140754,0.800888600041917,1.66997858660885,0.460243317473347,0.533801350805214,1.26636758060943,0.700112383260796,0.855761956228535,1.00686556604318,0.583547247978761,-0.0101256212693906,0.914755264213467,0.981592819965191,1.07742728418639,1.05436097294351,2.06231103964051,0.958604186072832,0.58905463554719,1.34651272298942,0.0341427295595058,0.925744159697933,1.74399887427466,0.48310573727773,0.506145419458623,0.425875749070476,0.786741671990461,0.698407692718819,1.12396598288365,1.04435927178301,0.689207829933083,2.37435703127034,1.08158557651159,1.21924315094388,0.713124963739916,1.26567024800335,1.10558200463206,0.768821700239543,1.00953884831402,0.69550939047411,0.321608471694472
"ATF6",5.05890130507035,4.22243624479974,4.67501630595487,4.87640726355184,4.07808840602264,4.8071744638728,5.32790145015611,5.15110227076042,4.76417002794307,4.48203043108382,4.9359747216654,4.65748279609997,5.06065318469673,4.52038066334646,4.58982485679249,4.84706593812116,4.83111802441911,4.52363382565176,4.709055693342,4.48075355901122,4.75548973933863,4.66151008806937,4.49084012886799,4.46867767892316,5.3486103147063,5.13374158197554,4.76370774797664,4.80995426921869,5.04803841940235,4.66788348577347,5.02352600001408,4.86911034296664,4.57878141596489,3.45218122280368,4.24075875676952,4.25389600570862,3.46566552424744,4.12127689774428,3.80334162931464,4.70060743859196,4.89610273954284,5.42050341211603,5.30942727397907,4.38038842637003,5.86596843169658,5.13776168715066,5.17329014662922,4.34975305542194,4.23486635351127,4.70994897279171,4.77927742551809,4.29167010350228
"ATF7",6.21483991668375,6.23689130344342,6.30559992532064,6.30266300098784,6.71056742620166,5.6074111653482,6.85338296177119,5.7322953308235,6.1154900153497,6.15761898914625,6.56149790346567,6.10213410697935,5.80174140058354,5.39095717830008,5.86523686797283,6.09747982007891,6.12428087279444,6.05764903110854,5.93472081722554,6.1485481583745,6.38172265306081,6.07040565946868,6.14398270744801,6.32344770792227,6.69808479651876,6.13966254694753,5.21753841680175,6.08969838716855,6.42001825479254,6.64538089701026,6.25582434369282,5.86236927410217,6.0118445951069,5.92816066076392,5.47901747136522,6.4593590485716,5.74637911889938,6.23253920720556,6.19153192508802,5.65323009074938,4.75546131186429,5.25150450872905,5.78483096622224,6.50036118123384,5.93285263162943,5.36489344308985,6.14618269848044,5.91999149875809,6.07310204003234,6.07240115249145,5.92560415753627,6.20998797644826
"BACH1",3.42709964093035,2.07204010722196,2.84547154459479,2.56542374014798,3.08330074179782,3.00320798284091,2.17336033875014,3.21133237250006,2.24551138399757,2.48702626791162,3.73899347893105,3.23865354306753,2.80328397191717,3.21787224930747,3.34160697378056,3.39516012235628,2.6320964963596,2.22808953910005,3.4056637564276,2.0647670909685,2.56416341589589,1.97558800288193,3.40478925568419,3.45609472788916,3.07760394247823,2.47630685710161,4.1423934210402,3.42055709739433,2.47868997706608,3.30864741054795,2.6238131584601,2.68069384788856,3.08610863506128,2.77504745568796,4.64288693184285,2.30625616057181,1.80595198182,2.37407189748902,2.69857585472289,2.14966814396799,2.37697997586699,3.2888601159403,3.24601410185357,2.22554881361807,4.25184052905853,2.18360086694918,3.32854877734854,3.15256706521093,1.47732577636063,2.75520864843126,3.15186487395532,2.68665356766407
"BACH2",3.88128042316796,4.19951657248195,4.33605643607956,3.6067715025894,3.89934838867945,4.08225626308489,3.39794253841957,3.89587905090113,4.1179057666097,4.22172423432368,3.47734919834863,4.00583848193901,3.16532234123325,3.52888838181809,3.23405555238875,4.62315975773753,2.77534533417808,4.08726919742093,3.46582692167637,3.9484677827159,4.47823401555203,3.80119171811338,3.23573585765127,4.42241355384601,4.86020567329125,2.99705440044332,3.58275730055516,4.36872831396554,3.76004732578113,4.16894622356821,3.89961431179486,3.31196461422536,3.67346968851984,4.34306125236813,4.00494568003019,4.35045731450018,2.96370255567447,4.21500703549146,4.52803915810799,4.30669278680282,3.59461565248533,3.7580965092577,3.82915506768762,4.05111687340748,3.41697956067233,3.79487242387639,4.44900969616634,3.25384441249623,3.6288791513672,2.79344400789896,3.54526633810845,3.61465892564378
"BATF",2.72656280741432,4.42294345912169,4.82473225419562,3.57911281846422,4.58050917063831,4.07195847637358,3.335055162667,2.34795183065801,4.76306384746086,4.30910526989662,3.58184854905171,3.09016933688574,2.99649767125423,2.01988008610133,3.52853374840017,5.25131952079349,2.59817734979805,4.4574384719103,2.48827198262667,4.28100331661731,4.87846138153065,2.1705430232892,3.37155753544221,3.73722678408894,5.2268209532613,2.76619092788151,2.90116179298627,3.28599292940723,3.91934643519571,3.54682188228634,4.41903158722067,2.74226119881691,3.90189426717626,3.93017934843567,3.45395788578338,5.1474263473293,2.90758586955028,3.89551164977668,5.29156960026314,4.35080204956994,2.98794256244815,3.44239177763372,2.23778374942657,4.26084416228724,2.24147516197243,3.49907492148127,4.64098344783614,2.10950957011258,3.47868371073047,3.41520708062693,2.26423792723479,3.81357471282767
"BCL11A",1.99838450138431,2.85150704048204,3.24339026624709,2.29397219963843,3.2317650256773,2.37118152873074,2.72830912255349,2.02927767197602,2.59405968596947,2.66873689867347,3.12845235423748,2.25094977270177,1.82833645895005,1.48007330923293,1.99570446974139,3.33247000139582,2.22365933537305,3.15980485557617,1.70604391956018,2.72239938965902,3.15077671943284,1.80523388488851,2.09158889792342,2.37905518188075,4.00935153915849,1.48045215935917,2.19489605437927,2.59152685331832,3.06029107246091,2.4010936012553,2.84275456438532,1.59879523580246,2.29352438469469,3.04535657016532,1.21258435550741,3.37952362011397,0.622168587756187,3.09739742775381,3.14177667688857,2.95054385521534,1.17366032182882,2.63401936495746,1.99993497918864,2.256725152677,1.28868216185683,2.26662885572143,2.91332959973024,1.74141073343702,2.84708261438015,2.27937676244599,2.00490645269927,3.3330128707727
