"","LP.01.01","LP.01.02","LP.01.03","LP.01.04","LP.01.08","LP.01.10","LP.01.12","LP.01.14","LP.01.15","LP.01.16","LP.01.17","LP.01.18","LP.01.19","LP.01.20","LP.01.22","LP.01.23","LP.01.24","LP.01.25","LP.01.28","LP.01.29","LP.01.31","LP.01.32","LP.01.34","LP.01.35","LP.01.37","LP.01.38","LP.01.40","LP.01.42","LP.01.43","LP.01.44","LP.01.45","LP.01.46","LP.01.47","LP.01.48","LP.01.52","LP.01.53","LP.01.56A","LP.01.57","LP.01.58","LP.01.59","LP.01.60","LP.01.61","LP.01.62","LP.01.63","LP.01.64","LP.01.66","LP.01.67","LP.01.68","LP.01.69","LP.01.70","LP.01.71","LP.01.72","Test.FFPE.01","Test.FFPE.02","Test.FFPE.03","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.07","Test.FFPE.08","Test.FFPE.09","Test.FFPE.10"
"ADNP",0.591924166963197,0.48867126621597,0.379383554561448,0.0229440935140778,0.0742216542607926,-0.00960830801075939,0.851116380387404,0.397860996233855,0.276260150071318,0.341748751254431,1.07532467428119,0.0314407873755318,0.166504783104609,-0.0460666415786823,-0.527104593740526,0.047634882112195,0.791001714794242,0.386117463559731,0.980954815186053,1.60444335550809,0.162695513552819,0.124626486432438,0.16049738658051,0.233012745868757,0.35976340479828,-1.26820378596429,-0.841946979309434,-0.862070247263605,0.72840816571266,1.41310195507371,0.0847023600244422,-0.133213724171328,-0.0782283165752334,-0.104790769381502,0.624482888384777,0.821169345962519,0.460222355883832,0.649258607909278,0.142411786190074,0.229132125749456,-0.444372180925272,-0.573743221935827,0.660541545481326,-0.0112825785780914,-0.196017365539621,0.69027128050987,1.23227612333933,0.583296836025843,1.13604250261828,-1.25295062512291,0.649403643788114,-0.492057594342912,-0.164107226143826,0.661987945558523,1.68608143116407,0.455884172349076,0.309231958809697,-0.29866347333063,0.0340030425869232,-0.121412184967779,-0.508855658297924,0.682005487531824
"AHR",3.93184916854635,4.14417077900167,4.28046886874604,4.38252713125128,4.25318969133005,4.23829915425901,4.91429238442678,4.59180383630229,4.15857583988338,4.74196420193159,5.14817688304182,3.66568779065752,4.28815878891538,4.28891177708793,2.71259167124822,4.23564227129517,4.50785898162603,4.27974057427489,4.79054914896034,4.3245130058305,3.56060246081822,3.33874787141454,4.61748388721909,4.84627214934497,2.92962552292314,3.29445152915416,2.80375546415428,4.2688432411517,4.5093125526827,5.260964431577,3.3361859815933,3.83305117222051,4.68536686388658,2.49732732452235,4.0659979196659,4.34373138228557,3.68740784173835,4.30873335384415,3.97503113910181,4.3601234005784,2.45039172827247,2.8224171915573,5.62605567092754,3.05631251120379,3.97797917667794,4.23483603944051,4.51335515246607,4.87157027613268,3.89921776215866,4.16720280032297,5.08403122057172,2.8390714730371,4.3354826694372,3.76159913196549,4.43064658674659,4.64876496512019,3.91129070820969,3.49751358947094,3.73440672962018,3.80999885691378,5.18487009807989,4.04126295857717
"AR",5.19310828065937,5.40421047548536,5.13151377000454,5.14537865880668,5.0628786184225,4.43884555539944,4.49303073650511,4.1836236156023,4.89350577974291,4.43847139428377,3.47075565005588,4.76802762324347,5.239259405507,4.95529133106093,5.29419196410384,5.21317974607189,5.15480687896217,4.94706692612761,5.5682914589285,4.57663210029748,4.96106748235446,4.9358926482987,5.01505330557993,4.42855137631752,4.36885697105628,3.93986281496603,4.51861691098929,4.8314375674538,3.85200359261,3.71013640592761,4.65372650194542,5.9636054599037,4.59531727228227,4.20345840719013,4.97200894792268,4.72175352500935,4.29227716648143,5.36946135313485,4.93002066853417,3.98363089255362,4.13059695937696,4.97314696370738,3.78759966258473,4.47415647246298,4.99160079598173,4.88408680314339,5.28912355225817,4.76765886459371,4.46722346173902,4.08128182116948,4.28718819176872,4.39740741723667,5.16432161028443,4.69331149274142,4.65301478041779,4.38128409953754,4.36411027438302,5.09919257009298,4.37029900840727,5.20217627771775,4.73538393470148,4.25163871619416
"ARID2",6.79987806434641,6.56596864746414,6.64938381054058,6.67923952539346,6.7648893839685,6.62905723384246,6.46022222102267,6.91143063763477,6.04092893835365,6.8101023151963,6.15599073395684,6.33011393916055,6.84118241888097,6.88660772626848,6.60740213002316,6.26184390866099,6.31745302844445,6.5240914188718,6.1009265361707,5.75208050247058,6.85199944002799,6.65736725928622,6.31656573046997,6.80523424505432,5.69908546397275,7.20674587762413,6.37668028470473,7.1431485336686,6.3473901498848,5.69625382740562,6.42110081081362,6.53656645189356,6.53869980831484,6.81527232521583,6.50481738155483,5.53438274254829,5.93817068955226,6.83509595582193,6.1459959111324,6.38650586135348,6.57427858804441,6.63859971026864,5.97910230202884,5.86795789143582,7.11579359382843,6.81588231106708,6.44063833717963,6.62546760717277,7.00614321428919,5.74046267937989,6.41243475014941,6.19376572032321,7.02012817017512,7.12526563615823,5.81031983494529,6.81806587626629,6.42908438167103,6.15589913669033,6.80188145856921,6.79746173773315,6.06407839767226,6.48017510398201
"ARID3A",3.49006596826194,3.153337527596,3.10037700556075,2.90963749076021,3.20972773760401,2.73843241257129,3.25274709939034,3.44383968622725,3.01129303124391,3.16037887291441,3.7436116462402,3.1046812070432,3.15829201435799,2.89951797700129,2.06305530247565,2.62271194328148,3.39607842866781,3.45371407583802,3.22445191489938,3.5876023053865,2.87133459495284,2.99284807998931,3.18679407562519,3.33134805401484,4.04525342567773,2.20813105252356,3.49443607855869,2.32955655968324,3.12557457893136,3.44725033199459,2.38607410021723,2.99885850124008,2.26410755873268,3.40612015479184,3.51144722113974,3.17429527870083,3.3987350552493,3.07236475720859,3.22233452629959,3.3241577898807,3.03600233457758,1.94818994721326,3.22609224010075,3.03264255888194,2.64232533179671,3.70439538339329,3.31737893896121,3.1674751664487,4.7654471952148,2.09894310657426,2.96642177989064,2.44765518120009,3.26432696129442,2.81370869138858,3.70177847732292,3.07241182441735,3.86594633701353,2.14020269816699,3.01173603335265,2.63761425623134,3.0444214819616,3.41592959082175
"ARNT",6.85739452938727,6.78487489252441,6.60085983166737,6.10496663668759,6.34660123732265,6.98608692895798,7.0988988815975,6.78322691102663,6.22066794114481,6.52249482723325,6.5636236028039,5.52974687420729,6.26716699313578,6.82419039923568,5.62972689107629,6.98312514888054,6.5084070256626,6.38803286064575,6.76879072342615,6.18931221421282,6.09851877285171,6.39608475514649,6.35313000366767,7.04022610539025,4.91628707990446,6.44672990010457,6.6420558780315,6.36454688254206,6.24315162932977,6.58543876704417,6.06630688096325,6.10069731494356,6.73899733384698,5.23983668510967,6.6128497489725,7.02350075860269,6.02451498312246,6.77150346473614,6.74701039396221,6.741869592618,6.2127168332963,6.23331884227708,6.54700820594733,5.42286674671606,6.57917099584262,6.6790390214663,7.52934427691853,6.92819891292185,5.85030789627418,6.53287027982568,7.24804346459678,5.27836531599726,6.73425911008197,6.16740526858443,6.18702930320046,6.60122217256559,6.09320561194269,6.16093051981469,5.76852253628477,7.08405013805672,7.01770818099677,6.74373965160481
"ARNTL",1.33565132782614,1.52828392708566,1.19550123435869,0.825655204740817,0.721909241668157,0.795531865399288,1.22855640494447,0.341547410113506,0.402848413973137,0.622129621188122,1.0816624046981,0.547730428526249,1.2980784915148,1.12336269035941,0.487273920798205,0.836202364637834,1.49788368635302,1.15139237520027,1.43165644278808,0.412232796851146,0.642648781664822,0.603298203598141,0.325991908355503,0.568333654848699,0.385247666201077,0.661538685018064,-0.0044206226728113,0.184061553758095,-0.050616235931398,0.623912745261696,0.635165326130371,1.60695681212456,1.48180925087125,0.124931074591817,0.289117960195611,0.456430836106747,0.172171749483946,0.969847172845142,0.565519395714719,0.567150316865701,0.780054438202277,1.42920992626323,0.292156494787413,0.548768115782477,0.293356620940706,0.169846803455616,1.96067148473295,1.2588068998844,1.242630476434,0.47276857724554,0.240054845470408,0.0546071728654752,0.644108754753589,0.747943639360677,1.2353820768165,0.656158593958874,0.558658918174895,0.905103110328939,0.297653582551996,0.512976365402271,0.544538036234513,1.65323356235999
"ASCL1",2.29916938870289,2.00150882464314,1.775030761456,1.64997356472449,2.14510427822458,1.96682836557682,2.06517962216224,2.04167838597365,1.31986038425037,1.6032480379098,2.24059324503125,1.42618312977224,1.61315903576202,4.11169237911718,2.13680244985372,1.54561005685851,1.73321907079132,1.86877571038469,2.25934115164921,2.93311338433231,2.14549284249171,1.57165284881956,1.22854898667025,1.53936863277509,1.65779094086317,1.5481458985779,1.14002991476345,0.964280031710355,1.56644006199076,1.96812352992668,1.62773664335008,2.22075172146903,1.86389658401257,1.42186214891956,2.39800891262606,2.90539838716723,2.2283652395505,2.14283836022614,1.4625087538997,1.52179580597714,1.18387884095069,1.56651753134166,1.95757152552721,1.69342815950015,1.45805594553088,1.88590463875958,2.0835437083131,1.70386643254561,1.69964103923768,1.73500879417679,2.43975203547727,1.98455392049542,1.98482238157083,1.5792915848256,1.96818419147427,1.37390236602807,1.19447415198475,1.89370467677739,1.60655770376582,3.20372901857652,2.40957410370003,1.94147171112841
"ATF1",-0.0579739966593068,0.460315188250951,-0.00691298837874738,0.800806777522334,0.261625174623125,0.140579788703165,0.0201426122947415,0.636462355271979,0.827397570257552,0.76226266603512,0.0737208626005633,0.648663464900339,0.220814241620988,1.17401854064197,-0.5291636600448,0.269881144182895,0.944800831696324,0.528296252053172,0.320045518180143,0.77120970943732,0.0869436895808441,0.317885070973201,0.779234445671993,0.26951365931838,1.49518060387186,0.0283069672605592,0.952211239871985,0.998862377817577,0.0780475158782308,0.591558495106182,0.458486945791506,0.199576261576505,0.315575567305172,0.831527664758078,-0.0631129769516113,0.0745676652411923,0.107756461201959,0.209805999282022,0.0854949598203691,1.53332049571229,1.04618017172945,0.436998428884934,-0.276133364614278,0.910936737063193,0.140558516564752,-0.0436507697586083,0.199471204130274,-0.00432310371778176,0.547081173950953,0.107845648395144,0.0253207910733679,0.607364330725158,0.728868401067804,0.522662657985492,0.146582472071147,-0.769377951233716,0.64617633828916,0.00692391339436793,-0.00683262444020269,0.814512333169002,-0.197462539667389,1.01102388739264
"ATF2",0.196159293479477,0.909462675166549,1.34307161906684,0.989973814649337,0.165131602063558,0.125783406874735,0.990216987589638,0.374864735492472,1.31365056254887,0.702671778741453,-0.119037273562901,0.954593715422753,1.0038042555112,0.471594586772812,0.180279394751017,1.21084728937503,1.05363466909173,0.850344183733784,0.672419799206081,-0.0899641658256224,0.282682958244371,0.440815973197516,0.907080547000255,0.756742026564147,1.04501564574488,-0.687156767018215,0.842847741703756,1.15859675462799,0.129675978275387,0.929294183888427,-0.49556096246336,1.18629077042304,0.221478871650556,-0.342169105641269,0.247128162132082,0.702105016681117,0.21594091624464,0.675483156183406,0.697743313162912,-0.159731434200161,-0.0864128302596226,0.619242690277221,0.124847816937927,-0.0684584210325092,-0.14216082349275,-0.500952147322667,1.6573178372907,-0.0154205764493183,1.84846202514199,0.673628321403053,-0.722536762482856,0.387239877139567,1.23968375370349,0.232919637407942,1.5924236103269,0.262420115323182,1.1900034328521,-0.431052511564736,0.217633543002538,0.260997414219006,0.89398296578835,1.08567952438174
