"","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_11","R3388_YZ_12","R3388_YZ_13","R3388_YZ_14","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_23","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_30","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_17","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_22","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28"
"ADNP",2.86277870546679,3.50641927502348,2.78029738350348,3.14390612088268,2.80931737093963,2.07957622575489,2.56383788927324,2.37858502762785,3.20971668306114,2.69613849409989,4.16719752172146,2.27655855328534,3.24281609047249,2.19080896752691,3.15836344209657,3.77083740357219,3.43968933463928,2.28061833624549,3.46202794124144,2.94035373424396,3.55717795236481,2.7473127056693,1.88868541850484,3.28674779260272,3.15258500327989,3.27986642331385,1.71962639600309,2.45684307334816,2.87352523596792,3.4351913288151,3.30673552170148,2.95346779584459,3.11689247242621,2.78294381058366,2.85075288251947,2.49998679335532,3.60655747919125,2.77987917958646,2.37652746158432,2.74643642431211,2.06563422671342,2.98050814204778,3.15799733246047,3.16384636002993,3.72567264189031,3.14319317033228,3.3889527701485,2.91172387426955,3.77988874401948,2.98769852374799,2.20682410736916,3.23664613894535,3.3083260547879,3.51412230555243,3.32624440248966,2.63850928506202,2.59469880896652,2.87762975331478,2.79191778374954,3.38513735471971,2.05355239890281,2.39503027290627,3.121399970518,3.20565736838286,2.24581245424898,2.41669708936371,3.13875414629951,2.94193547034219,2.91309901069259,3.36327956167883,3.16658578678049,2.51992073860894
"AHR",5.46148066817341,4.27941078539216,4.74732542011535,2.72031725451571,3.73885214636493,3.46882747659452,5.0802153081063,4.30708455250678,4.92994851372417,3.57706338253211,3.5061697963407,3.75225234533194,2.87942185167007,3.92409899548214,4.32542847178514,5.31419427621149,4.01245382628258,3.36105764597032,4.19933909056386,3.170537266267,4.10195211075636,5.16217166944978,4.88272127801919,4.05895886358573,3.37592922382327,3.72935775893771,4.62143612872683,4.88697084235818,4.86516133217364,4.390473068317,3.67991438713072,5.27602458746607,4.69089450338631,4.84521792957762,4.0500192662779,4.0861480369754,2.28918390124707,4.22648615385696,3.69779734525905,4.29507324990936,3.65845748015669,4.24531017259486,4.91636818751891,4.03766331159494,3.93477667488207,2.92626546747427,4.31443389310349,4.57322233315492,3.37877558310682,3.94689154325807,3.68996668003425,4.44488923698995,5.11304436941168,4.38820262385028,3.5533891441683,3.57268566830204,3.13315355744104,3.02271403608022,3.89473160030629,3.98878589342898,3.68556536252818,3.93134505630801,4.5684374647765,4.36830312077405,4.43854672613204,4.41429886983521,5.98841215235478,5.42281518082859,3.77404788203164,4.72345271201103,4.51451647357014,3.86298833816097
"AR",3.05915825314976,3.42013870948065,3.5724815694675,4.15721523415067,3.57741734204141,3.41714429409446,3.91688906216097,3.61914841889414,3.18299903568847,4.64439622866275,3.75229171987645,3.91818124778868,3.21831024391727,3.43709105545885,3.93273559938918,3.03119251172757,3.32358752577995,4.52466679156947,3.80485005415442,4.19765104938571,4.00237677820918,2.85694277401072,2.68709174872689,3.66303223410549,3.61715112700905,3.18639166119232,4.15100330631899,2.9584846780346,3.38118103847309,3.73326281779602,4.01535583590481,2.40411024456778,3.3520125009877,3.63813142605986,3.58400146887305,3.69585432850834,3.45341938496529,3.47916984377168,3.00916002642529,3.86990217756615,3.20876091003094,4.19323088050534,4.28570174353589,3.88290683686831,3.56017049650969,3.98482697568732,3.42206922431081,3.51843525153484,3.48272807754659,4.76066519731728,4.4407781976261,3.19867119453951,2.73830998184331,3.47037953636544,3.68101956910804,3.3073357702683,3.55285721848067,3.73593379334703,4.27293843625646,2.22699619545119,3.82164660067428,3.67305716492932,3.19526207057778,4.22197831922566,3.5294367765951,4.65163538189073,2.93694403825587,3.18949673612731,4.1949102581262,3.59363864188332,4.46472708033713,4.12909808169582
"ARID2",6.01685623256034,5.28205872811218,6.13190957159703,5.59345482129951,5.62280319831907,5.92727133686488,5.68436376434588,5.79433738065293,6.20026231513879,5.78368782537772,3.49629632187535,5.9135866081881,5.82139272391231,6.32427406389011,6.25636768101406,6.27392896843192,5.13257474035409,5.01816234681774,5.59545365521894,4.85090354122639,5.40698238877674,6.55736409933776,6.12155287495732,6.04532775278022,4.75587253165525,5.90892671597537,5.53513845105635,5.98647532556353,5.9860123578606,6.3505043356963,6.20902744502093,5.93452228438437,5.20004961016738,5.71601790027476,5.8685504559036,6.31992344708033,5.00387441953814,6.41032134468054,6.59815423312113,6.46549209045095,5.3977471561791,6.45276893540168,5.66253895252457,5.49884279531472,5.49213273514947,5.04787433847514,4.92638068470121,5.76789931791274,4.20853231811649,4.99220859806722,6.12147688919793,6.17818661510912,5.67021022319869,5.64957959207206,5.4216756121769,6.16851990497198,5.17004608169305,5.59873543311776,5.29692152842756,5.67686417978571,5.9952989910203,5.33962213841402,6.17595061435541,6.14982794795799,5.98094929717894,5.30980197859982,5.77542121854112,5.87274675918311,5.90148614509832,5.30323538224682,5.81798481519253,5.8138894453184
"ARID3A",3.57003275972245,4.70542499019063,3.03895503617937,4.20974239482062,4.39065485516973,3.39687254372064,3.81018501975976,4.10921376578258,4.04658304909817,4.28051753025372,4.9485895180413,3.48084348826693,4.57734692954278,1.98018409636914,3.88958607515377,4.82088234443566,5.35844594566722,3.45539509052628,4.50099246037406,3.68259221640723,4.91287575201863,3.61675120033873,4.49257808840056,4.02008336499444,5.5675861106085,3.73034723883334,3.58984811105318,3.81119699036931,3.2612672330703,3.59767973868804,3.99973936001333,4.38164750640764,3.87404247233105,4.61375424313577,4.46432866050635,3.94571528999676,5.56067879865267,4.20764806157036,3.34442009481816,3.64821618000325,4.53832066831357,3.73258070462997,3.85070042154108,4.85315016601351,5.31257220021484,4.26349371018607,4.94332570970482,4.37251251657438,5.53883558891534,4.18184676280729,3.79951083552338,4.32631562945713,4.01131083903358,3.91851797045829,3.12621481631436,4.95689694302346,5.23432361771266,3.86184727639883,4.46136062549677,5.26433876867553,3.02453584830056,3.2508983974841,4.95901006113951,4.48581058843476,4.62368423421007,3.84201823270244,3.75129222516227,3.70012545839022,4.59328056989579,4.62583073511255,2.64366733201909,4.58314318304126
"ARNT",7.20943385861623,5.77855410502681,6.24214375029871,4.50300717380994,5.43726092052373,5.71682705678504,6.33635822811523,5.2987000896242,6.91067110020964,5.35370917684215,3.73570791719358,5.32187951759939,4.69636215263978,6.59796305614698,6.29324322562412,6.69701267718148,4.8479282040347,4.71802782641573,6.02670713179598,4.64745705241088,6.04541680831233,6.59381369773545,6.6675666321487,5.7421351430213,4.57838817879714,5.22953181504356,6.07280251629484,6.45861010901967,6.62015615192625,6.05522594738074,5.94992613909399,5.78838509993187,5.82205591959687,6.32133566955069,5.43489242753836,5.60572062055271,3.96612285451968,5.94891519351511,5.30015570604162,5.64269437946763,5.4375151392713,6.17552061223011,6.05828889310276,4.97126576231887,5.16424150247925,4.06521475237938,5.27916205802362,5.73548888062001,4.57605247679397,5.11369629235828,5.78815755948637,6.36790031015526,6.36943909439153,6.06251918803451,5.29869090270944,5.58088757259466,4.28939724060494,4.99822327649164,5.89374721699549,4.23819652951571,5.83391260669971,5.4166472400434,5.77697344935456,6.06658342950513,6.50282521892319,5.86938366164552,6.75603805946152,6.98987440866645,5.99968578251312,6.28605613814424,7.11905921744319,4.80138607932468
"ARNTL",1.84834713220721,1.48926161668854,1.30853757748628,0.596490711319202,0.658629832142411,1.95040965818921,1.49759592230974,0.934980997902823,1.81418294341687,1.50853363245575,2.12514546459629,0.985005851788673,1.53361523840569,1.86910927849216,1.67174260558714,1.18138960309149,0.734968710283531,0.847042174558666,1.2481181054685,1.40667515423707,2.2172132985304,1.78339545837293,0.982852569490657,1.34954225975475,1.5026967429526,1.72767891513887,0.507040265725373,1.09875819699011,0.753149110475972,1.83311618008408,1.29318487261492,1.00333576985137,1.53868471223477,0.813575759320013,1.21547259887533,1.50001993523905,1.61062900186562,1.88734793307875,1.4973389373268,1.30988149514353,0.615126092278548,2.14656638453303,1.00601017750295,1.43992080346234,1.14247677093793,1.10242370260139,1.5549052773394,2.05368681796943,0.736844556662563,1.351757598341,0.844680059161284,1.75280646132557,1.4559825519017,1.99405232677186,2.45321540328778,1.26203248627862,0.760401257245353,0.769933181290098,1.07036797737716,1.51660303622245,1.68247096838432,1.37683501476322,1.3919603240711,0.984878363212958,0.829684617572921,1.02775937878012,1.52820107191874,1.00012636019298,1.48200587314354,1.19246772689854,1.27937809804699,1.20264584760241
"ASCL1",2.74443809876239,2.48589438387516,1.91062416211514,2.80193831546674,3.30876186867217,3.56466079348946,1.50126975442624,1.5612264579244,3.09535863068873,3.80794912671505,3.08686369231549,2.48401352740661,2.74267989511189,2.11662520118164,2.3645371245647,3.2903284546041,2.85402214585866,2.4141007473404,2.90605935257333,2.87411987723328,3.15364682809001,1.70648246815359,1.34464199228395,1.82745710481873,2.44514153597461,2.69383824731004,1.39076993960173,2.78107139744771,2.614294752109,3.98432275085178,2.78587460087431,2.30879679582523,3.09176307208603,2.14012389071969,2.06909760182123,1.89898055483653,1.92881825769201,2.10333693891212,2.78842742815116,2.67466488683013,2.25622986852001,2.84588923116459,2.87561990900825,2.75130052207198,3.02364992859418,2.81729963240612,2.52409384168787,2.37922413802785,2.95037103684546,2.55671045943432,2.65645939416162,2.63659295327158,2.46076724170423,2.86141220182511,3.2601844333141,2.3693817942579,2.21877314257549,2.52513528977582,2.4674312199613,3.09550267473092,2.38313814998422,3.58091767348678,2.17588383580919,2.57212435826269,2.13060256987332,3.12934086932933,2.18899193176254,2.27102422831006,2.29939493268264,2.34433786568898,2.52900005480177,2.75381051270752
"ATF1",-0.37065074313733,-0.255846734220779,-0.153061743578086,-0.268619210343481,-0.111846489142986,0.0921715221340762,0.0810580133958413,-0.0894948187706308,-0.12594716725944,-0.984332877467138,-0.462339442066932,-0.142621736328658,0.0153626537424095,-1.19763966601198,0.0303485241713332,-0.0371896621663379,0.916239441901069,-0.658835836587278,-0.0181755939148736,0.265744387860254,-0.104389175162669,0.405273245048983,0.072534251598996,0.22134701809233,-0.246806093296913,0.442987024254611,0.22844173303786,0.224027081705366,0.110596684137154,-0.576249031426404,-0.39548879517983,0.0606352661361552,-0.128747010377543,0.357373093409462,0.482016446182463,-0.0166536110156038,-0.220513026343811,-0.329708428949233,0.0872107909046575,0.0853741967102724,-0.212202606435036,-0.373968194500534,1.09530629905538,0.382083375278646,-0.12147996382366,0.269274335938818,0.301466894422691,0.248838054980916,-0.184135554626571,0.11056261109722,0.273743127822456,-0.400916492198682,0.0241416673933464,-0.497398046089801,-0.497079774160407,0.642698832646925,0.529221636519227,0.0513578349540534,0.478880495042495,-0.479931930483307,-0.293903053942297,-0.0604891382527767,0.224349858491678,0.137911261954068,-0.0333677261972809,-0.0915331804790531,0.0219541443203112,-0.389313215192352,-0.0834603967854846,0.651932162710107,-0.780630110569196,0.234206074168738
"ATF2",2.96872086433354,2.05820534538021,3.04518407216108,2.09091641717947,1.72805450587125,1.98746158392102,2.98931743447705,2.09592321563381,2.14861830801369,1.58553003318727,3.49031222969773,2.49260769810521,1.27095592895946,1.89171056927435,3.07997121296444,1.89516603908733,2.24540041882626,1.5923990782141,2.52779860409002,3.16762070589134,2.76647045656367,3.27579232801862,2.91465769523763,2.48622855287216,1.93215305383439,2.59238860082692,2.0764873541043,1.75910685881084,2.42204075231838,2.40918310460472,1.73799932225907,3.45486604785794,3.48410250322753,2.38980191391192,2.04932840252669,2.31236994344109,0.621532605630144,2.35307238191276,2.40287046600708,2.49491911764227,1.41254675162211,1.92409879274718,3.19110098306131,2.32330318336037,2.82384535279716,2.07515332963433,3.48863572490079,3.19682344316683,1.57266008862918,3.35696264734232,2.66327849935474,2.56574645417574,1.94425805011423,2.75584932713076,1.82010051367289,2.51107959387125,2.11197321381324,1.78844983324016,2.59571177132478,2.32352401784056,1.10120908437091,1.88188653221082,2.42179500060377,2.71070784336773,3.29769803319878,2.84322303209983,2.58648423826766,2.78033787603161,1.91258311462931,3.16237455311886,2.44971884989447,1.96195548950786
