,Cluster_15,Cluster_16,Cluster_12,Cluster_11,Cluster_20,Cluster_19,Cluster_9,Cluster_14,Cluster_8,Cluster_17,Cluster_4
LP.01.37,0.032691965057988,0.0677584139314506,0.0275833325075347,0.296238076352945,0.497073895795402,0.490888998602362,0.25885716277528,0.123365448329167,0.0344451085679555,0.0097813061761838,0.309029826487508
LP.01.38,0.0544727792837677,0.0977120330093338,0.03376406685837,0.20745224476735,0.661975570265789,0.474134946749716,0.205344973966923,0.0845574941731829,0.0890236685146101,0.0034950342806619,0.309434214687696
LP.01.43,0.0267453449450866,0.0362464258149978,0.0717145330485461,0.359921459800999,0.137943473905956,0.527730803833494,0.160343383090252,0.0441794194853338,0.0445892289488362,0.0612791648113025,0.407770132683631
LP.01.45,0.0386789222746137,0.0903553871011612,0.0333232475721824,0.23919664492948,0.554951514796417,0.391381404740973,0.243630945720988,0.0874499396415598,0.0789604690265927,0.0195845192958461,0.294334704817155
LP.01.63,0.0749536754768977,0.0772635828627683,0.029894791764837,0.280838628105661,0.4714664707502,0.538984329963843,0.281240199772638,0.274290040385271,0.0535273673511611,0.0,0.0873518717459535
LP.01.70,0.0508413076155689,0.0671333732817704,0.0235653352414871,0.30124494279739,0.578621123378458,0.55957613120757,0.264455579341874,0.0932607721840587,0.0902548416116755,0.0139637077626398,0.358464118279767
LP.01.72,0.0735586829825415,0.098952570973992,0.0219036637809555,0.204348020412906,0.718618395243307,0.505368851418571,0.242759539444854,0.180549386929204,0.0223381675858254,0.0,0.156715712383517
IP.108b,0.060643677543374,0.0755200107985786,0.028433069933852,0.307497476531317,0.20685143017174,0.466585107802699,0.260967849776949,0.150862368008089,0.0296077618955913,0.0954663398257987,0.312133164772867
IP.115b,0.0513783483349119,0.0932167491459525,0.0230481412950484,0.194385609957181,0.668984248464275,0.389529778001061,0.241880744791112,0.0954087371869388,0.125475583159643,0.0438272720933995,0.335732110089849
IP.124b,0.0221069044914001,0.0624689042610195,0.0455959845061708,0.302876378548188,0.0660032602808819,0.502210216899313,0.203880518824157,0.0552530133033446,0.134366848448619,0.0757266617767479,0.607413368084722
IP.127,0.0803107051860022,0.111671394819287,0.0528697515575372,0.136492811300909,0.381155264863399,0.286101451087475,0.221129652410482,0.067556921091813,0.214007452218642,0.0235218030377394,0.387905603224902
IP.138b,0.0381628937028644,0.0450302193445804,0.0457113933972133,0.327950613945079,0.133917524857651,0.318682050987475,0.194996348985097,0.0378966352697009,0.0955987955255128,0.0534024121934799,0.518803901920749
IP.140b,0.026511389244341,0.0622526090226891,0.0904242026993433,0.250662762375847,0.238788992900508,0.294842618681296,0.173492384771521,0.0437906439501792,0.0293953935401726,0.0755374057467643,0.408434895672381
IP.197,0.112821812407706,0.11432025027278,0.0413437724209789,0.189006004093176,0.617630691457458,0.394490174972577,0.229389646608766,0.0901918565073464,0.0924766352450597,0.0103943376605471,0.301080191850646
IP.214,0.0520917948387039,0.114183938585338,0.0560108723368758,0.17304395062448,0.59631716362482,0.358535661715414,0.192783395546806,0.0877699346361754,0.111105419660661,0.0459345629703555,0.319879136829707
IP.28,0.0723137414755109,0.113966516198125,0.0346076330126865,0.162311982329101,0.643105063223971,0.393280712111925,0.223245196645124,0.194939230682226,0.274013896369118,0.102816484525919,0.204147670673376
IP.31b,0.0368187612730321,0.0659458109292043,0.0558736203078984,0.336620520632974,0.0678383058430488,0.476257085479315,0.270715079551819,0.0725113434697214,0.183282863716224,0.0281416643924372,0.434570105287564
IP.36,0.0464574335879905,0.0974041355947137,0.0299125970172138,0.245922117081399,0.509921725575355,0.46547916762346,0.258308814555864,0.0884075904589242,0.0210873884343132,0.0836391022367642,0.313920477134137
IP.38b,0.0960569753787093,0.123219005416631,0.0283265384181744,0.144750075205932,0.583903315779413,0.281366163168684,0.390352706064362,0.0838309260293867,0.242258345747041,0.0,0.323024378425433
IP.52,0.0447331523345632,0.0825726482585823,0.0789969150794779,0.260288328063007,0.386878021909157,0.317538858069828,0.212035812330999,0.0845019641673088,0.063456397169044,0.0648951022008083,0.310863293921203
IP.57,0.0297369500678951,0.0658595601011394,0.0218176280609938,0.285057617085931,0.621406542650851,0.521337140811982,0.253222895814453,0.0767569281141261,0.165143666552335,0.004099292037887,0.297688863931484
IP.58b,0.045632798388048,0.0369364887846703,0.0936167152967947,0.325300179483394,0.250840456389063,0.282907012589672,0.204138151754471,0.023244720384157,0.0183745220837626,0.0627500394700742,0.411803810241357
IP.67b,0.0525711418136915,0.129945366482349,0.0298134295327028,0.164196805256336,0.638458307041389,0.348932149968843,0.198694313264579,0.0905901489596438,0.102902118767855,0.231642482922861,0.0965547248641359
IP.73,0.0627157843543274,0.0723380313851133,0.0306626584035376,0.29438953186603,0.558146723947494,0.493103528390365,0.258950298721189,0.082321466455809,0.225187542633452,0.0222992194834422,0.349207688982575
IP.82b,0.0313307465249966,0.0911162139641337,0.121157526017821,0.236827673231994,0.244930398904568,0.304322408284173,0.173611571452294,0.040994398094943,0.0267420253298254,0.0982057803661143,0.339923940388476
pvalue,0.036209259558131215,0.04595709197269395,0.036921147298866995,0.03767795913663558,0.01903028447674257,0.02770238151168364,0.04884071580525969,0.01945687812097371,0.008386288234411461,0.015365688431000297,0.04553784737850618
