"","LP.01.04","LP.01.12","LP.01.14","LP.01.15","LP.01.17","LP.01.18","LP.01.20","LP.01.22","LP.01.25","LP.01.28","LP.01.29","LP.01.31","LP.01.37","LP.01.38","LP.01.40","LP.01.43","LP.01.45","LP.01.47","LP.01.48","LP.01.52","LP.01.57","LP.01.61","LP.01.63","LP.01.64","LP.01.66","LP.01.70","LP.01.72","Test.FFPE.01","Test.FFPE.02","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.07","IP.108b","IP.115b","IP.124b","IP.127","IP.138b","IP.140b","IP.148","IP.197","IP.214","IP.28","IP.31b","IP.36","IP.38b","IP.52","IP.57","IP.58b","IP.67b","IP.73","IP.82b"
"Cluster 1",0.106970905264731,0.108310713120442,0.0822976978677697,0.1446383377832,0.0894607756913357,0.0748070009174741,0.1298183725985,0.120031544156062,0.0909718296660116,0.0960139159087066,0.0764573965406853,0.114536045837857,0.0817144871998431,0.112773861763368,0.0521979364362065,0.0509643944850939,0.0938584161998152,0.0665176784253101,0.130961983268678,0.0722212429131873,0.0644627340567996,0.0618609920672425,0.0889664356634166,0.0335519156114301,0.0643693008651252,0.0672067660866539,0.0665330939864951,0.0794397324233343,0.0815553843050447,0.0912293001503358,0.0755742248989685,0.0680094373090896,0.0482291349545334,0.108564666103003,0.0731198908673497,0.0975228347428935,0.189884323993146,0.0767860584030434,0.10340762248987,0.0894437345341879,0.11911238581225,0.14309471866994,0.133618869964574,0.167180913318554,0.100177535082409,0.0767057556997697,0.0519332630253392,0.217588954615284,0.0732909609044512,0.0682600845174808,0.119992149630586,0.136785229428858
"Cluster 10",0.0573857902582169,0.0867419355050712,0.0605555817955307,0.160807564434321,0.558963501726848,0.0530892982343112,0.181066945996929,0.207477084400756,0.1269468229154,0.0981353705345762,0.0561509333984874,0.036942786686138,0.0904149075956085,0.0653577205265803,0.0148509187224564,0.102246475509643,0.0662600543839586,0.0857695015612127,0.101698691122613,0.0271298156708686,0.103536602724878,0,0.036172971575406,0.085057450963912,0.0964806917521122,0.182830751006776,0.00200400977543938,0.0261434167297905,0.159895928741421,0.052169442979726,0.0238827483055422,0.0533645717599392,0.0947080261184616,0.174095707673314,0.208695146792633,0.533191264349877,0.191137097316405,0.274926860747592,0.091517523109326,0.0991338362983926,0.111323212821139,0.0741774712488703,0.367843734141853,0.339996348209024,0,0.393181610702009,0.0455750413779625,0.194167536409536,0.0170547373768252,0.0826514695303261,0.366794478250505,0.0123444454703683
"Cluster 11",0.0905274375243684,0.168799666135057,0.104996054730419,0.0810302099932432,0.153123138406812,0.0650356388295357,0.0894642292664248,0.0171284303882066,0.106111573645521,0.13249181740386,0.0998884711831347,0.052952148725048,0.102620623530606,0.019438686064109,0.064593893351697,0.20897772150744,0.113040593022789,0.133012190629788,0.0446093257330559,0.133442746419119,0.103916654280636,0.146936718883081,0.0222282579209105,0.0428536175943999,0.111502629163964,0.081183213327991,0.0256434956608237,0.0668840730536147,0.137668604136545,0.0467363268052841,0.103089287719609,0.115861458909529,0.130938234436267,0.133985409086777,0.150082095405029,0.118416216062308,0.0509423319129105,0.233795352915568,0.164123707695817,0.0842296027373154,0.01884063718227,0.0392032654462181,0.0795450877694505,0.0320243556949688,0.0441862047889291,0.0221188951724416,0.0962682415955885,0.0716977390636896,0.211260398485847,0.0820784447208443,0.088085288113616,0.124939010829646
"Cluster 12",0.0214825016755863,0.00519569273016612,0.0373918854821403,0.0191729641086855,0.0335080057802905,0.0236779344362562,0.0210355368445061,0.0162450748246329,0.00479700826310697,0.00125156103111653,0.0315166584456805,0.00674521586897737,0.0584088793399096,0.024784855825048,0.0652216633703393,0.0358722966388482,0.0214989545121334,0,0.0345466075820466,0.00992066661335674,0.0255804805437185,0.00413306860288815,0.101721985059267,0.041845136550936,0.0387385422654525,0.0158093100010872,0.0582526235344751,0.0194195058889147,0.0404356139593227,0.0174166133324143,0.0421462846466099,0.0297222199985705,0.0501173915755164,0.0466228486733822,0.0408555331381128,0.0217852224714293,0.0246858581823371,0.0139113783665852,0.0342075809147018,0.0114872440627362,0.0233089310647981,0.0254391724256014,0.00486173264045754,0.0214484224236913,0.0476125724884559,0.0712835512708127,0.0311090895528143,0.00929907943548123,0.0350492666246665,0.034827697686097,0.0219735599241993,0.0285305504811793
"Cluster 13",0.0866080219494566,0.0825625503959079,0.059913372908679,0.11757510531556,0.0475300029218854,0.074771535260534,0.0262793619645038,0.207718461898449,0.0584801674003623,0.275332764563386,0.0305494636023656,0.153203647158667,0.0202602098041983,0.074717024526827,0.0264276713036656,0.0488481421848717,0.048933434390883,0.111681742235769,0.0692231563889505,0.179456736012641,0.0459222476647373,0.0470998155944033,0.0208065919836216,0.0202824644799666,0.0612750957579055,0.0917748817814956,0.00812429534571907,0.0531600818085243,0.0368810092258516,0.132766078069831,0.00366462841289961,0.0918464116762317,0.0743974813262151,0.0290381773384954,0.0483139786978344,0.0426242250453421,0.0421501071279545,0.066731929575842,0.146491582899361,0.0398850327571,0.0452815524970228,0.0992357368852095,0.0597157993672595,0.09967364945475,0.0360186070850328,0.050485891808961,0.108977545366813,0.0292666902188984,0.132775880771176,0.0485799556371306,0.000819215602065103,0.0396502007116757
"Cluster 14",0.136653051271913,0.115494612336389,0.084559976116574,0.241097320304678,0.113641286254541,0.088751608237543,0.142182323050248,0.164080533112196,0.11589129826375,0.17126487973544,0.186870382740518,0.148292623429228,0.266778086848097,0.163042533007221,0.138833806194728,0.132876425078209,0.187121075486455,0.138880683770952,0.184600540889362,0.111956992972327,0.105370603125216,0.17336034817687,0.715260590784354,0.124065404697756,0.104429568524799,0.159592587545467,0.421109910869162,0.14619389067355,0.0826597090526715,0.112199580315155,0.087180753736971,0.141653646034109,0.0886900560705135,0.367195327087688,0.199524468275625,0.12140303557718,0.134539999639464,0.11198090880472,0.122270829782727,0.117582012865117,0.178472537629933,0.163455351144012,0.443978039829568,0.163449764843751,0.14530463943048,0.138919145015152,0.151700467549164,0.155163689552673,0.0634927178046355,0.154649047967591,0.165931710485751,0.119694305051147
"Cluster 15",0.0418627944857204,0.0246637208512464,0.0243142603226579,0.0298325953660324,0,0.0857113938914633,0.0441064823295238,0.0975522747221001,0.0414853202602439,0.0394049440927998,0.0381589039421567,0.0742407618252932,0,0.049403059858516,0.106159713028047,0.0446969842405818,0.014162709906397,0.0959563639797486,0.00943716151687531,0.0245683447801848,0.0347913508922148,0.136461484942304,0.0062659197531579,0.0949733183558911,0.0281629706202599,0.08818378504905,0.0161372294018892,0.0587058262947861,0.033027935023488,0.0244801578005442,0.0134225800422228,0.0322303542554244,0.112233815816276,0.00297706284485801,0.0807037809484231,0.0008179802296874,0.0727370206896097,0.0152333128347063,0.00192765239470492,0.105401405576152,0.189043101416737,0.0415755202608687,0.169217724599204,0.0149200530955085,0.00313936324824422,0.0500542859934605,0.0511254737443148,0.0722737137342907,0.0805883601589511,0.035147990140327,0.00875790649243067,0.0350314577656864
"Cluster 2",0.0335048866540779,0.0318914868252673,0.0809147704214472,0.0403173146436094,0.0842453096755722,0.0253289783333448,0.0690850442311036,0.0330977017560729,0.054886727969426,0.0588966046602399,0.0364582794488107,0.0375624236874388,0.0321931694032713,0.039555833813995,0.0223929891728843,0.0749675445739203,0.0656794506133685,0.0264330904494206,0.0176543214253005,0.0294753346287641,0.0684748336989563,0.0388205238318196,0.0239507290094292,0.0275464806906897,0.103704676079348,0.0172438462672164,0.0297475595791863,0.0391247282165466,0.0851648563308133,0.0801133050450292,0.0993856460897146,0.0491528587252653,0.0321602107890393,0.047474890729043,0.0472453082138976,0.1709009564811,0.0469241589710046,0.0428663893641183,0.0289293610298958,0.0761088782131891,0.0312183902888382,0.0539657848971002,0.0411193904796669,0.0422819558681296,0.0510749869487122,0.0387126901466469,0.0532433522539774,0.024871504962212,0.0234756044796429,0.0438334830106331,0.0362652303131033,0.0757763107166391
"Cluster 3",0.29551310264585,0.419790368499363,0.382600933266074,0.295668584677787,0.284707857712573,0.413553463842194,0.292715114406191,0.216560330532892,0.407257680025588,0.317906773814822,0.297676417306776,0.319484041932467,0.302324004985888,0.236558550953132,0.288498109703085,0.40506455622443,0.260806148964885,0.405135779922165,0.234636481323728,0.406116170852823,0.427361632274171,0.300694764020029,0.190104590909859,0.332274566809634,0.424454757752602,0.284176806010589,0.188976348080819,0.319558982729141,0.390947272257169,0.340881601981337,0.43294759721716,0.278726051340025,0.38344519739299,0.257655538704804,0.231529444655534,0.267981065924364,0.260644886087242,0.382713280236948,0.305570740332823,0.342503581809364,0.212114655349959,0.197821928237265,0.104421386437988,0.304826930322596,0.218668225686584,0.177052211274339,0.288592239827049,0.213596686636205,0.367153945440667,0.11631319899078,0.229565809827535,0.265061041370314
"Cluster 4",0.786325347733627,0.38382464508849,0.491269662169161,0.597702302171263,0.663245254626467,0.530701490044094,0.777112747746294,0.747988648729311,0.544976118915728,0.613321592731615,0.587952072416928,0.670687445807159,0.77545037488717,0.684563759378248,0.764737130077759,0.53577902909892,0.866589473894566,0.433231125879134,0.823726022079437,0.510405089167728,0.517503529544702,0.609179811732288,0.79720962533962,0.623155268197879,0.446775051490774,0.860855054215357,0.768643111624137,0.686653527281212,0.56483997416716,0.665028211160704,0.568415020010016,0.746875039882587,0.533416768064695,0.892423543965086,0.81837464947816,0.769941683078022,0.70592019342976,0.688771422130737,0.527628953034874,0.663656074616664,0.893551845134978,0.665886081195521,0.887801087140228,0.918170487647144,0.884458306211907,0.803855294639338,0.718010812917049,0.961953374840528,0.749802696498063,0.649988766444029,0.975518266358863,0.643578339674554
