"","Patient100","Patient102","Patient105","Patient106","Patient107","Patient108","Patient10","Patient112","Patient116","Patient117","Patient11","Patient121","Patient125","Patient126","Patient127","Patient130","Patient131","Patient132","Patient133","Patient134","Patient135","Patient137","Patient13","Patient140","Patient141","Patient142","Patient143","Patient144","Patient145","Patient146","Patient147","Patient148","Patient149","Patient14","Patient150","Patient154","Patient155","Patient156","Patient158","Patient159","Patient15","Patient162","Patient163","Patient165","Patient166","Patient167","Patient168","Patient169","Patient170","Patient172","Patient173","Patient179","Patient17","Patient181","Patient183","Patient184","Patient185","Patient187","Patient188","Patient18","Patient1","Patient20","Patient21","Patient22","Patient23","Patient24","Patient25","Patient27","Patient30","Patient31","Patient32","Patient33","Patient34","Patient35","Patient36","Patient37","Patient38","Patient40","Patient42","Patient44","Patient45","Patient47","Patient48","Patient4","Patient51","Patient58","Patient61","Patient62","Patient63","Patient67","Patient6","Patient72","Patient73","Patient75","Patient77","Patient78","Patient79","Patient7","Patient82","Patient83","Patient86","Patient87","Patient8","Patient94","Patient96","Patient98","Patient99","Patient9","Patient56","Patient191","Patient189","Patient200","Patient201","Patient203","Patient193","Patient195","Patient196","Patient197","Patient204","Patient205","Patient206"
"Cluster 1",44.8285282814747,2.56484389248482,0.503648828331251,9.48946593210944,2.88323322602837,0.1776285560366,3.39695590449561,7.34402009881486,0.622055911797395,11.5667885073748,0.629489787331525,4.82517819772027,189.699217831649,4.43200100834232,0.387922893429243,24.8556090673942,0.578266792897594,33.437599484512,36.8882240496963,52.6374553244371,3.79803320042774,74.1648534344627,0.474043361082077,0.106554431401069,0.10339064586217,1.18029440719777,0.139392119040629,0.383148682977756,0.454434830726627,1.04133568050563,0.170184177039543,1.38620999755561,10.7283464941835,0.487380721281933,9.26485941391691,12.4034099927298,0.129286963249299,0.124164050012669,2.27632908232387,7.9473028199155,1.23699171933722,21.2635434152003,3.44667830625809,1.20055755500287,0.159308814211427,0.946067496604884,0.463248501037312,0.398920643027335,0.193870858278693,0.603724229506559,0.270502729567177,0.156030580615346,15.0653172072953,0.334044452522405,7.58805401363956,0.34774189319113,1.22973450568963,24.4141288720233,1.59983578359823,0.958645792706833,6.30614789063508,1.08334278165924,0.827093613549982,0.107052074646887,2.10468564165438,3.55392606169817,0.271125010535977,26.5765952305174,2.59547617129838,8.63693420646381,0.278473461910481,66.5812567859929,0.633273160627012,0.666491653129586,0.780381294982342,40.3159112665806,0.998490738626201,5.35086680298931,2.38794907907978,11.8154715673987,8.25638178379556,0.118878153548022,1.49167696796774,1.08245130527809,5.40903348869612,0.307831628499957,0.993191551250905,4.3792234420591,0.259613983272825,1.30218632157987,0.238205450436102,0.620978543251148,1.88359683571471,23.0432869595299,2.07902491693981,1.31799795308543,1.01101726457671,2.39627616800561,1.43212420692228,0.231804813472581,121.55053880926,42.8346862203182,1.01402354798631,1.67852039968551,0.392556246427976,14.34469865718,8.88449464227323,2.84598503291895,0.726730253250031,1.53608462975768,0.114772138916921,1.7708744695337,0.14715320191292,2.87935664475851,0.7971724270158,11.8769050718145,2.76666428878851,0.107099759800174,0.395457474211375,0.233223903780944,2.70427276146792
"Cluster 10",1.55432758018213,0.0503469136250463,0.245313154554867,0.0703013888298896,0.0173181824745727,0.0803472035724947,0.0748621738362362,0.124762279496895,0.0106965362648891,0.0608352068182144,0.070010695917663,0.212567372141288,2.86270531072782,0.215769263309625,0.0338256546643615,0.214018950646642,0.034207226836695,0.141969248030448,0.111643069244662,0.149190242522575,0.0742839947753997,0.246889615723173,0.0432711426781824,0.0319355439013061,0.033134501505704,0.0801941780562807,0.0302505895006528,0.0377046686938469,0.23794534003759,0.0471463975772889,0.0169633631793407,0.0516974264153117,0.298874439700298,0.13992434776756,0.0439029584440213,0.0174239018074183,0.0208689751777642,0.00628877652236566,0.0619198118310168,0.0715732946713803,0.41286901617487,0.202571307109354,0.0528979114812469,0.0435970526096846,0.00418337310409816,0.153983748429625,0.0427814133240675,0.203154746911293,0.0573744145042862,0.225586712642004,0.0252939127441419,0.00385951382437654,0.13495698309221,0.183131307978145,0.387103788130102,0.00428025946645673,0.133926725258369,0.0312941239679814,0.0595025371371954,0.0580358250276173,0.109055891519296,0.174725235463069,0.0496730969369244,0.0196364971647745,0.024986865070192,0.0520690007599056,0.0314944454733533,0.193818095515266,0.273478480869377,0.0184774081961188,0.0466423075441973,0.125815929103347,0.0397480111971745,0.210612469710975,0.0112386115970073,0.173654319627125,0.110850616794149,0.138571110651332,0.0461251726594093,0.0826631359668005,0.492951105336568,0.0448474249413435,0.18606616381842,0.0518963575759747,0.0543494361292131,0.0352145614299549,0.0345035613174444,0.0553159485922547,0.159533945972475,0.161558189632857,0.0604085085972358,0.130364332587428,0.0640944392176669,0.413513803483529,0.25936697639278,0.117834483390039,0.274580629412824,0.150421496069348,0.00680763071762147,0.0287890376705396,0.809835612418117,0.164086541622329,0.0614012599771749,0.152702675435673,0.0117674704467003,0.233904636885777,0.0821602805577296,0.0338514559915272,0.0745817356713365,0.0306956843947124,0.0883566217882389,0.461718733160413,0.0224672835184279,0.0996421080763725,0.121976325606212,0.111401241477961,0.00456167340324717,0.00398087253822817,0.0684812166865428,0.0602026216174508,0.128165237856727
"Cluster 11",0.0318639501917282,0.0937005172744274,0.0371702133801013,0.313399603138122,0.0660019484190921,0.0426283072507766,0.0645898145468492,0.0335127218523768,0.0801832806241834,0.039643523130644,0.117323883151689,0.0557100539315933,0.0328612092280006,0.0186640860129872,0.0679420495219385,0.055406181378941,0.0597506172175418,0.0473137231933946,0.0759005060555037,0.0252903435746566,0.0481423133210838,0.0976210422737915,0.136301261515413,0.111776627177079,0.404838355488595,0.0329945075027048,0.0176167627893667,0.0484233932400559,0.0219420131568521,0.328351913279977,0.130172626306743,0.159594593590905,0.00986726389111265,0.0723316158163907,0.0209544525327692,0.0235569478864412,0.24584797968189,0.340364614605818,0.18271778162212,0.136378870368541,0.023165906558067,0.0294142121016407,0.0394917409186832,0.341082110459176,0.174797071683947,0.104907211099019,0.379720528870372,0,0.107951910149761,0,0.117017955999476,0.0510509873614153,0.122559553993989,0.0301154119921458,0.0175902059023701,0.472038652392005,0.150225749509786,0.0287075671831135,0.0489063315184641,0.087005190884357,0.0274982907276925,0,0.172498676230208,0.0713241792273446,0.4086275757513,0.194152171194498,0.0421931158329864,0.0295677573599147,0,0.0566600392350428,0.127433285134,0.0866646765039082,0.0287673241772526,0.108458623661781,0.0844332913027953,0.0530145795844681,0.0832502846433904,0.0719299466267301,0.209300266786578,0.0884361629577966,0.128316493051445,0.0330878100534555,0.0357612796388223,0.0896797190163575,0.0310875999077752,0.0819465576114273,0.0700672533394256,0.179081544987099,0.0873031933245765,0.0825624076157793,0.143798639124356,0.0908988888116185,0.0629413660174949,0.0250811812777689,0,0.176467347672494,0.0275311857924285,0.0250479191125467,0.0928358451282366,0.0985232293445155,0.042455726798292,0.0403299452968658,0.0806067688139658,0.136311881731616,0.120044834124943,0.0363398652307492,0.222856062849076,0.0350246768892086,0.0497883293674606,0.086358625616821,0.0115435726720952,0.0716145577942276,0.118491974211501,0.0105468363556496,0.0187402757053632,0.0661842272062434,0.238910472201089,0.265754032203157,0.0643000915714821,0.0148386943797456,0
"Cluster 12",0.345136733691542,0.254636339821514,0.0702057912465515,0.215194727841383,0.206277369301771,0.120265918278139,0.129880851420339,0.18845034198065,0.149456252216072,0.297514110613542,0.213501510197759,0.242480452998691,0.187978520646287,0.237737676160944,0.234575187160133,0.305244967838264,0.151295915080831,0.22445847438686,0.239194830731141,0.151581363325978,0.13673662175767,0.237239955239383,0.14675752776964,0.156747777244094,0.207476117141886,0.276646459610194,0.204386608359765,0.181122841609619,0.190084384393476,0.188242535009621,0.15951636422082,0.108697927097319,0.212039282318144,0.241257901377033,0.219065462130754,0.149704980561445,0.159821120572337,0.283849927443365,0.123855729195176,0.167097823627984,0.134586230024615,0.171332234931341,0.0593468117747439,0.192214689741998,0.138805021967193,0.281495147021031,0.221782288609249,0.119572905472572,0.216669341698423,0.13145812607381,0.178788607787289,0.0784253706346897,0.277904103992962,0.206619270994262,0.143585374526482,0.373067822105745,0.148554799118142,0.218525579388632,0.0932524606175262,0.238786535381812,0.104934051147815,0.295357208706736,0.193210436487782,0.127656804132917,0.277628842906574,0.178569606763454,0.221337688735071,0.150183376460596,0.199856349377261,0.179675034064348,0.104899455551031,0.188983925740365,0.136357940542918,0.174563573755353,0.125278648390096,0.195503597625608,0.140714489203977,0.09236277195302,0.148793362908923,0.198141909091378,0.33883047569497,0.0806109242915069,0.0707670856974992,0.15485958722278,0.215737825657934,0.0822853022725859,0.380156165871148,0.267230340522217,0.0784167319736206,0.0566000544774737,0.11528744108213,0.216336439389176,0.190248984627783,0.234592086359623,0.274642522225547,0.302015962759121,0.31189147695676,0.120152600423104,0.137890436781639,0.106518396518179,0.257100726825395,0.11500587153422,0.130516732190456,0.156406033323118,0.178461698316265,0.246700403430924,0.274782886629618,0.0973706899258599,0.208549355103128,0.258181310446039,0.117878197656036,0.224014295137351,0.160468790896488,0.153880919603043,0.239684613872046,0.169516429593107,0.154029590689462,0.132845832098981,0.153438752055493,0.256216958987998,0.180223091130257
"Cluster 13",0.0657159629501075,0.00110312587635472,0.0249625629493359,0.0453401893356399,0.00573000670286802,0.0165892185933976,0.027517367549815,0.0631518498281434,0.0500231876093229,0.00369396518864339,0.053769107339854,0.0604712959757787,0.0366984984741697,0.0972221352532118,0,0.0423777495925972,0,0.0328033367338086,0.0442099374791142,0.0541047498627402,0.0346293472603588,0.119932221284846,0.00953997779924367,0.00066264610337115,0.000378592912133713,0,0.452608950799948,0,0.0064270077524846,0.0272899337689031,0.0390938678361413,0.000421532937619015,0.0280998445084671,0.043309884699337,0.011006578744526,0,0.0258531214108694,0.000420999146965452,0.0493565400284638,0.00911286113532516,0.033343927729939,0.0467697502957515,0.00785480728774029,0.0252430129288673,0.00135881106281093,0.0217632688236513,0,0.0599796026978981,0.101910534794511,0.027388542056941,0.000237328770687825,0,0.0493761376271,0.0534152770899009,0.0264377945407286,0.00919750874359844,0.0363842662739652,0.048164768283202,0.0441876938920209,0.115587311731492,0.0156371685360685,0.0509017882341453,0.014099964277656,0.00117126706837964,0,0.00131021414715648,0.0255763560135992,0.0702362593837427,0.0671700811179099,0.0527029085085761,0.000791914811159302,0.0160191552329037,0.00758294211575598,0.0391397459269254,0.00143493741297218,0.0229536427176585,0.0337844285526259,0.033796464934895,0.0598977395605434,0.0604391184049104,0.0351576695332653,0.0111285318289135,0.0370993408124785,0.0489244131118076,0.100965300448674,0.0295511710240062,0.0127494369867489,0.039284587101753,0.0851326197701272,0.000125382568242457,0.0205033820796665,0.0323409526712308,0.0443622063975226,0.0625350623669824,0.0456187026608645,0.0617593247479501,0.0397435691033509,0.028896180458501,0,0.00293411003747885,0.088443159763454,0.032291510261676,0.0248629098399733,0.114836181228606,0,0.110871946104503,0.00445557003609521,0.0102750910493672,0.00875451219012312,0.0533213797511408,0.0262682794975097,0.0150425837284342,0.0021828498148294,0.0291369399735465,0.122936321544716,0.00275443511758662,0.000508114643656817,0.000780598768794655,0.097310257148873,0.00474673629754729,0.0441816799580698
"Cluster 14",0.0420726943284699,0.195788892359243,0.0173059462497115,0.0301212676724868,0.0343721425635637,0.0169569021942916,0.00853917149525313,0.0120651532777716,0.0164782984526764,0.325881986389876,0.0510554598963949,0.0521421804825856,0.0290716447418743,0.0771543107333011,0.0386434805548136,0.0119095483262954,0.14008722963974,0.139518827090643,0.0350506794648552,0.0393593792210297,0.0318262913143281,0.0227346576150336,0.0060695315065558,0.0199608029727288,0.0364821179334896,0.0704735946232941,0.104500732223242,0.0497621436867831,0.189770444338442,0.0277796591941381,0.00467001374721353,0.0716790457182098,0.113720852030272,0.0439576475174188,0.0420517597837346,0.15847702746667,0.0672285452321401,0.0680985183918426,0.0062748585016792,0.0225520256782872,0.0566858625507873,0.0469688975455907,0.000184750359557355,0.0252889768885542,0.0258758633848222,0.0513910221484447,0.00982241974716107,0.049969627179007,0.0265291960762786,0.160123224455981,0.0108735031661158,0.015757054995757,0.0559789750110537,0.0254695383702147,0.0914468401390772,0.0051132744122325,0.0474815953366249,0.0706621618854186,0.0063517461828598,0.0148628877015448,0.0452671793120941,0.0545870744437559,0.0152493673683598,0.0407017252591429,0.0116165295312639,0.0398955868290606,0.181201313294663,0.00634750931092122,0.0374285860935025,0.0332604991958858,0.0228352351622885,0.159172006568971,0.227898765297799,0.129142272924089,0.193072724467964,0.0810884721608147,0.0351606678311861,0.005074390643575,0.0134973623678453,0.00245855369400014,0.0502536562942953,0.0046579103344564,0.0279096741098675,0.0348805572482384,0.106239206147883,0.00544963759587955,0,0.0369534431235049,0.0273651610419383,0.00958940340105515,0.0276873380562233,0.0783862194550916,0.0176379792964937,0.00658889090720676,0.0391581517115881,0.0215559910391974,0.111199458810098,0.0225670344059926,0.015458893489328,0.0417794903597077,0.0525152229820959,0.025454948157255,0.0828815239036282,0.0104620437007407,0.0789461147917163,0.100457180996142,0.0967435417106292,0.0198895960041298,0.126772648315155,0.0360333977063889,0.0886141824688325,0.0791914422197663,0.0188074982405429,0.0358700389644274,0.0928573163170539,0.0173202332148282,0.0113842248367919,0.00760268781048802,0.0083669049990933,0.132995716339,0.132058318900121
"Cluster 15",0.088764586015228,0.312632761616287,0.294969464088027,0.134028469096281,0,0.0658917915820605,0.167089021047497,0,0.079643322392885,0.22576936428693,0.236324377178747,0.0266653003064291,0.057526630034261,0.22496177656371,0.103837648195242,0,0.530680957732026,0.127412203536651,0.184336831731025,0.0469893759259666,0.350108110155918,0.0527376475020696,0.0489097835665021,0.112261509069355,0.00111859742586339,0.124739211297394,0.0125747425882908,0.246035149061375,0.531972388846355,0.31165314119794,0,0.345514106652205,0.323858376815623,0.136252280847721,0.131747971182354,0.0753422939314635,0.0461875394463363,0.0633192921342728,0,0.21347329417874,0.283124019218758,0.222038048314843,0,0.287594115108621,0.0668594293582338,0.134087369674893,0.128935512385446,0.341081560428577,0.212246758213032,0.196913760503036,0.313086281049398,0.00244541753406483,0.137712569337092,0.0926885688281532,0.0548936965749664,0,0.086119726830224,0.292612529916602,0.080270211738275,0.143967571005021,0.17786164911819,0.202851227557355,0.0733397404838716,0.208303742285737,0.0192812911024376,0.0477166054911627,0.402641931413575,0.0599230908338102,0.0784475780525312,0.229512334772364,0.0815600450418821,0.216496674764512,0.153974092675486,0.0843108432007713,0.257229067599519,0.144774393285915,0.215304370260907,0.29087368497377,0.0861218857905359,0,0.230594742371088,0.0370991139073929,0.171871814832147,0.183640415538498,0.222444650990335,0.09898082442082,0,0.219895662530975,0.208905161674355,0.062945319082174,0.267813523707758,0.0945278897764086,0.064971786073375,0.021259096062475,0.139106824848839,0.103238099752957,0.218986232677158,0.161285761976232,0.075367305449649,0.10275936845565,0.0129239451060821,0.0945862669075874,0.244197117285089,0.101592666713402,0.228999074947962,0.220810041736659,0.324686850340947,0.0726864190445046,0.155251510958666,0.210993529133347,0.0382935947038305,0.208792912692644,0.145174566393317,0.135539175817489,0.101990261843802,0.077753106090211,0.0995835297931806,0.105219306142472,0.126031281253801,0.353490105090178,0.219731895119937
"Cluster 16",0,0.1143687132708,0,0.0143589537404853,0,0.0196205332880294,0.0193778669686572,0.0236234127719307,0.0537612431801099,0.00397251359619697,0.0251960763421846,0,0,0,0.0422395394507585,0.0042706193817648,0.0899187317591144,0,0.045717189944432,0.152387136602471,0.00875946939839429,0,0.0771418975946777,0.0493392738809973,0.0628481362973303,0.0320381194661328,0,0.0647892350046438,0.0126572713520032,0.0334209705442484,0.0581650488445855,0.0254204435030328,0.0255207374836626,0.0189105051052309,0.0311948048576863,0.0370872812436319,0.404843309395196,0.0850238118545689,0.000627965322918659,0.0894827508554897,0,0.0060137590265388,0.0136374001047403,0.0439075498156813,0.113837780334367,0.00974000433253475,0.0543035054045291,0,0.0578305396030795,0,0.0659889754623439,0,0,0,0,0.019698543711704,0.0213328756874026,0.0155923042962034,0.0660806000058923,0.0413383453162978,0.0185736153439635,0.0112020344344685,0.067691956184201,0.0499305359331503,0.0535711549735829,0.0431222087092391,0.0163435920040964,0,0.00211211963897429,0.0276123995842961,0.0392565563414423,0.0453906667950434,0.0308874685648172,0,0.0427675760751981,0,0.0277460565231566,0.0441303744686375,0,0,0,0.0470247291183403,0.0180264327331272,0.031297691298378,0.00586054185444104,0.0192051321049181,0.0474982325245082,0.00508360390974644,0.0279001771503118,0.0215644657384698,0.11820471458522,0,0.019189639982413,0,0,0,0,0.00802975597383651,0.1225049521953,0.0416585368826899,0,0,0.0214854677255628,0.0596600455172917,0.0967728814017152,0,0.0073851119496099,0.0355320040717004,0.204011464771451,0.00739748563912481,0.0203344333753136,0.00149849466276654,0.0686886206563381,0.0486205653823601,0,0,0.0975832420455423,0.279224781940915,0.203686377597841,0.0283532326164292,0
"Cluster 17",0.0219069981529208,0.0106782799330822,0.020837911216031,0,0.0349279489753077,0.000999570690739373,0.0411408404376812,0.033464311735082,0.0621710282397038,0.00512657218321914,0.0649630471559339,0.0309140032499825,0.00715907192548302,0.0319663767136856,0.00431071821670889,0.0270633002526142,0.0825241805849481,0.0195641374120482,0.00947194977037916,0.0281914273995789,0.0122056202766612,0,0.0723268688648251,0.0371792873949352,0,0.033333658347036,0.0203885995310655,0.0558027274606921,0.0270907006280012,0.000437231508040747,0.0330844271078049,0.0252249880072905,0.101966455195745,0.0828161117014689,0.0226683690313601,0.00226178170511456,0.000970845813894762,0,0.0121440070086169,0.0458159336779304,0.00126914813554483,0.0338277336171001,0.0238963879354113,0,0.0250952315907808,0,0,0.0518277672398307,0.0152637635671578,0.0022740368594499,0.0273827437262759,0.00583191146490702,0.000619827577105145,0.034026798299297,0,0,0.0084759569698256,0.0349533107013054,0.0605849972883604,0.0403907674870096,0.0017574610523907,0.0355468161776649,0.0391776716231512,0.0207175496447569,0,0.0788296501935927,0.0221967310877233,0.0116361252863051,0.00351768274423499,0,0.0474942719377787,0.064297446019223,0.0174130318140995,0.00504308186881432,0.020892618411103,0.00415671898014305,0.0110682438244309,8.83154049404367e-05,0.00938482724392392,0.0400777804877506,0.0166495229223768,0.0514621615953356,0.00955652779555603,0.00902735080186383,0.0231257171997093,0.0110341512497087,0.0431317034264676,0.00666027304900209,0.0122994301573373,0.00776569476041033,0,0.0131612442381242,0.0286442318584575,0.00769107356657452,0.0233919089674989,0.0226319931912255,0.0398025737807754,0.0305227643574875,0.0107046127945694,0.0306253150620062,0.00971635872822662,0.0126130611093107,0.0454508245751081,0.0196679401398297,0.12144849124686,0.019462426686289,0.0153432176989747,0.0226458456076774,0.0521994564262438,0.033227392026678,0.0125558541172537,0.0147488938876881,0.0354811863611196,0.0570143308667333,0.0269209192946944,0.0104723299406576,0.00367012484468115,0.0238051275037956,0.0975035155447965,0.0445444664387149,0.0963833411834275
"Cluster 18",0,0.0554932052308913,0.0899746841710791,0.023339396534069,0.256783617933521,0.0273774234283942,0.0584915479941282,0.090789934511455,0.0476631814792818,0.0190610084983314,0.020000346184231,0.024385942956334,0.0555210740735268,0.0324532749459902,0.109314683852382,0.0337235733478323,0.0286731554817954,0.000491016669954367,0.00883255476885795,0.000423300255529583,0.0765625982430338,0,0.0430449581419558,0.0255883393102083,0.0582153568347059,0,0,0.0744446628935394,0,0.0135691691119056,0.0404682733649841,0.00202970780550363,0.00456194521994793,0.0168348115558166,0.0144016296123418,0.0570836836211299,0,0.0446114381934328,0.0140614132092367,0.0341478379731423,0,0.0086937583218511,0.0779757590311566,0.033716991498898,0.0472406480167836,0.00107047922574086,0.025207873980281,0,0.0170072768955263,0,0.0584806194437671,0.176577168440626,0.0230517379004986,0.0671461361540393,0.0344478573380001,0.0471549141039382,0.013584848093792,0.0603842445835283,0,0.0482467672649327,0.0169460176516739,0,0.011659520756251,0.0623642459575161,0.0348754507082065,0.000530586610335257,0.0473922702019305,0.0223804876751042,0,0.0179637498603157,0.0577633289305788,0.0267122518415409,0.0353371199389378,0.044053419773553,0.0630905554190881,0,0,0.00620257499383753,0.0418689214394017,0.0392335021354776,0.0034598140854594,0.101013342939299,0,0.020720756506583,0.0218471156489677,0,0.0475055303435694,0.0274749932006858,0,0.00624112750070618,0,0.00838510794656007,0.0118580811572133,0.00364522066768782,0,0.0396532371791454,0.026586290515484,0.00268434514099842,0.0869449585950248,0.106283881555321,0,0.0802110658859869,0.0483800531129354,0.0103743497563574,0.0830111019525112,0.00419475711396953,0.0340009764468163,0.0159867440782122,0.0227000870141294,0.0464358236332301,0.00341941715038092,0,0.0956527392042153,0.0173339334183449,0.034030396804592,0.0532191009684491,0.067201973483018,0.0906717966576717,0.0802638434754348,0.0314793389292775,0.0838799102556444
