"","LP.01.01","LP.01.02","LP.01.03","LP.01.04","LP.01.08","LP.01.10","LP.01.12","LP.01.14","LP.01.15","LP.01.16","LP.01.17","LP.01.18","LP.01.19","LP.01.20","LP.01.22","LP.01.23","LP.01.24","LP.01.25","LP.01.28","LP.01.29","LP.01.31","LP.01.32","LP.01.34","LP.01.35","LP.01.37","LP.01.38","LP.01.40","LP.01.42","LP.01.43","LP.01.44","LP.01.45","LP.01.46","LP.01.47","LP.01.48","LP.01.52","LP.01.53","LP.01.56A","LP.01.57","LP.01.58","LP.01.59","LP.01.60","LP.01.61","LP.01.62","LP.01.63","LP.01.64","LP.01.66","LP.01.67","LP.01.68","LP.01.70","LP.01.71","LP.01.72","Test.FFPE.01","Test.FFPE.02","Test.FFPE.03","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.07","Test.FFPE.08","Test.FFPE.09","Test.FFPE.10","pvalue"
"Cluster 1",0.130997253968273,0.0899469569077322,0.0902098260656592,0.122786972727172,0.152132833771729,0.15002973849132,0.0919601744061858,0.16286188650499,0.11857454126376,0.170732664976334,0.136322921984438,0.149241857549598,0.136306226393851,0.113710333698255,0.135647867640576,0.131511663540737,0.108557053724874,0.10375061979732,0.107431622111313,0.152476845846007,0.133354692890115,0.1151191032176,0.165256207617496,0.177121283694343,0.206332289994239,0.12989207965532,0.246859653276663,0.133326101797025,0.117801480220784,0.231264808708563,0.114962442315155,0.0426728797762402,0.0897793012770682,0.129464014265412,0.147851609159249,0.140781912324953,0.191708194485285,0.132593569008896,0.159593633014448,0.165609135280198,0.117573348185104,0.0848220226177258,0.107568303348648,0.2098831894333,0.200256938477185,0.142502858525687,0.0824888252945615,0.0839494002034909,0.175415091536378,0.212090299776868,0.174672896433449,0.130847306156119,0.105385737921671,0.122799500972527,0.155530483507019,0.136632507814626,0.105758839388196,0.169693188253559,0.147784913074225,0.164368736295585,0.156837497828548,0.00995264707315612
"Cluster 2",0.151143357063758,0.137081064574859,0.129765803836939,0.0980606728626944,0.09404588950559,0.139560955755011,0.114950642324004,0.115249796822473,0.093085252063388,0.0907097486981232,0.137701277067162,0.0834218152125653,0.153724452391085,0.123561491718107,0.104658738816423,0.13302321441562,0.130329934716826,0.131152344422052,0.125833644301557,0.097216137480127,0.0981045338792847,0.0727286788488491,0.152189558897755,0.13477933309128,0.0889208241931767,0.121080501804758,0.0938382860164209,0.109109304391523,0.142657724077744,0.0828672242951397,0.0903684041657638,0.147051496007334,0.130009362206323,0.0618631865472231,0.101467815392025,0.128890329896717,0.104346249816726,0.136551622949238,0.103674970788759,0.053925434393029,0.095728408247576,0.143635544494356,0.153599433485832,0.0799750661864039,0.122926831798408,0.148047215306665,0.140572596839568,0.126900723009658,0.0987241467700297,0.124615716344919,0.101313596428928,0.103981611814126,0.125122536886627,0.140236039663421,0.0999525544130823,0.0845545274092752,0.17105925029441,0.108719747597676,0.123131592705345,0.0884562642419036,0.106695748428991,0.0260544262879467
"Cluster 3",0.163236440338013,0.17181443287783,0.140785323446498,0.274811239943416,0.181283338900542,0.179869460765353,0.129812542590706,0.199582567667704,0.230824236635913,0.180712224584318,0.179127273847735,0.204117439507207,0.151710280328648,0.207394586635301,0.250102975449409,0.181697686130019,0.139348328566966,0.164133530113738,0.150034709928822,0.25474564591497,0.209815501969145,0.257824699550886,0.201993472076557,0.125892208151142,0.268315612529852,0.353290054907924,0.264989530921286,0.273028625467497,0.155863967914342,0.201516748013661,0.305296282954459,0.174596709558703,0.14785863020683,0.278584920789468,0.130807881163292,0.267673143435962,0.183974821625418,0.144825015398713,0.192522925631759,0.251522535134929,0.302065717486114,0.222002987784207,0.147796181035757,0.261959459140602,0.224101759276257,0.150209993344134,0.124985105507072,0.102045001840115,0.262093548445546,0.174265913999001,0.354798696699253,0.252738472874823,0.187823374654377,0.124916732697285,0.184589631002182,0.17494947918618,0.263074080950347,0.216051779514256,0.231322958619222,0.211981149795573,0.20189781445732,0.0153055644938092
"Cluster 4",0.296725214295445,0.251361098447192,0.257420500704335,0.167198802273602,0.227648939163729,0.250221720944724,0.272521427643631,0.232081908569656,0.171102823462918,0.244314588847585,0.248541230632942,0.256512535097227,0.283544384354145,0.205099533835285,0.193650910947103,0.256335778224073,0.260638600680074,0.256582274761526,0.222791528133429,0.19983222273078,0.201145714696385,0.19876633257878,0.214142948421179,0.259830734937937,0.163260094478243,0.177899898361266,0.194606243787354,0.188087724059027,0.249139116492865,0.185204242542355,0.162851204230584,0.311566366483941,0.280637767365999,0.205474130887998,0.263389489718481,0.185296335909093,0.251628346170336,0.272544170123535,0.24067797729304,0.111892342723598,0.141297094877722,0.210589287294551,0.257556066115459,0.0841285370875511,0.224701821998275,0.289897334989308,0.277921585870307,0.303524599027371,0.214018265516142,0.237080425538857,0.11944275070868,0.193597355161146,0.256933034676845,0.295631569447274,0.215437923220198,0.229822399448064,0.184108601943968,0.238119535331113,0.205069691245965,0.182455018934736,0.240457218440812,0.0132277616132357
"Cluster 5",0.215109500730936,0.240935236055846,0.223725300404485,0.233099591938718,0.243072866884437,0.263131530686209,0.31983868932651,0.280146999107286,0.221357181437413,0.298048381178195,0.13895887704209,0.267772195412596,0.291708955448253,0.171025485320695,0.0605392238208333,0.308212616721143,0.242637594586451,0.299464997718237,0.200768677217879,0.200546991012903,0.233889425586421,0.21165365102104,0.318851336858546,0.368739773362925,0.251696299422659,0.13706136012192,0.16406061504194,0.297533750665963,0.273217746532046,0.339041618483696,0.20639482990756,0.172333390313572,0.31596181727239,0.10961029410698,0.268474737536697,0.224811627582895,0.343036553034037,0.32936998879765,0.323951585792543,0.16804706831816,0.170093553983368,0.232668909213417,0.232749734904516,0.235103011151754,0.254494028016202,0.295678778428214,0.292226319789025,0.272609546232192,0.188801565668218,0.246533746635576,0.17650264583926,0.230339060776054,0.259495673456334,0.244090597704822,0.247749177797402,0.332846634661938,0.158035656538126,0.260713673323591,0.223291843754465,0.287281815222297,0.182685318073304,0.0352938323606702
"Cluster 6",0.206452823208063,0.214929012040358,0.184215917362298,0.276151084071068,0.255528438244435,0.216218050146674,0.175164986443508,0.219548433961045,0.266620847709158,0.234122311689356,0.263950096448376,0.247351035367357,0.191561646599211,0.309664215110612,0.278614161757396,0.245037519374511,0.17757638338092,0.254582307457492,0.247388023041112,0.213764817381549,0.276008425166485,0.306032732063124,0.234502789564192,0.202792202462033,0.238150854853721,0.21908038746356,0.250110690501119,0.247391633622393,0.237780621334468,0.278199172827193,0.274193378939504,0.257187642657936,0.216138706009375,0.258558707227853,0.173644694025754,0.286785516438205,0.223428417110538,0.212437643203037,0.272637775587159,0.280513348085168,0.245933002550636,0.230298184825486,0.310001391030089,0.253204362442135,0.219821487845617,0.209749838968596,0.233635553492,0.159120078546401,0.294883002145994,0.256021254118636,0.207731651490861,0.244604885546486,0.254223048995259,0.149613571652209,0.262418841828026,0.245528228067368,0.260839837239019,0.218303036292896,0.266731723435019,0.274309216629016,0.22429373921544,0.0314894020269306
"Cluster 7",0.00604291993579525,0.00382318540389615,0.00402001622908565,0.0117553734958445,0.0100189368263019,0.0122500829990601,0.0097867858625002,0.033189871254124,0.0068694431477499,0.0361811098023934,0.0085869185198542,0.0341534213417367,0.0124321156784509,0.0106030479155236,0.0035039659867626,0.0096008882300188,0.00959836014959425,0.0123549529000929,0.0051032284365094,0.00555117732932605,0.0037244331541184,0.00502499017291385,0.0237007007806941,0.0188757663528315,0.00676404551449375,0.0053427732426082,0.0305816467496845,0.0194719876890355,0.0348720903157308,0.0110868739103189,0.0091164669104746,0.0061643168597351,0.00824831060259615,0.003705831521705,0.0034684872310287,0.00419904983318745,0.0126759845254328,0.0271060686902313,0.0130808210115025,0.0029664227201759,0.00994727994482815,0.00331361385154005,0.0158315994638304,0.0392593194077855,0.0321313038753342,0.0354143850147519,0.0083259207770573,0.00354529853698795,0.00302400046967855,0.0181476918410589,0.016533052684471,0.0044976411993657,0.0288644818943364,0.0110423724751647,-0.0009138587854862,0.0533953472600913,0.00747767524491125,0.0351419132883721,-0.00225934183486445,-0.0022123572277558,-0.00148949408267574,0.0451159708977253
"Cluster 8",0.114999062876602,0.151071899355704,0.148173933247596,0.0457830426868529,0.0443550811649368,0.0797659452999864,0.138607491835073,0.03503635255858,0.121029346963247,0.0199847845789807,0.0801851696398121,0.0560180864926107,0.0740553490180301,0.0265794330038668,0.200462372059103,0.0626766757117105,0.104304929614568,0.0590093063686305,0.227600792421274,0.0410836397587883,0.168813158877957,0.0824772588273973,0.0147277742465478,0.0125845855175534,0.0080415242637387,0.064668060260006,0.0229677540190909,0.00109646501788555,0.0324639312856934,-0.006453933640889,0.0461696896784614,0.148299982115715,0.0708342633315668,0.085515476831712,0.156413123089199,0.101124808371822,0.0423961854388338,0.0520346522565676,0.0574346812083541,0.0330584856952499,0.043334379633961,0.0632130197140716,0.0673933205708896,0.0305251324423631,0.0483691582925391,0.0637771851691721,0.0886818777689567,0.158643929816533,0.0905832862600124,0.0432918112623443,0.0249713458974875,0.0684822792824836,0.0466203384766373,0.11899085277604,0.122639368695223,0.0300665498198988,0.0870179609192083,0.0746651080818794,0.0314476132293171,0.034698027251893,0.120319954051095,0.0276768832589664
