"","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","CBSX__NSCLC.scRNAseq__B_cells","B_Subgroup_1_Iteration_1","B_Subgroup_3_Iteration_1","B_Subgroup_1_Iteration_2","M0_Subgroup_1_Iteration_1","M1_Subgroup.Similarity_1","M1_Subgroup_2_Iteration_1","M1_Subgroup_1_Iteration_2","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","M2_Subgroup_1_Iteration_1","M2_Subgroup_2_Iteration_1","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_LM22_Monocytes","CBSX__CCLE.TIL10__Monocytes","MONOCYTES_Subgroup.Similarity_1","Quantiseq_Neutrophil","Epidish_CCLE_TIL10_Neutrophils","DeconRNASeq_TIL10_Neutrophils","Quantiseq_NK_cell","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__TIL10__NK.cells","NK_Subgroup_2_Iteration_1","NK.RESTING_Subgroup_1_Iteration_1","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","CBSX__NSCLC.scRNAseq__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CD4_Subgroup_1_Iteration_2","CD4_Subgroup_2_Iteration_2","CD4.ACTIVATED_Subgroup.Similarity_1","DeconRNASeq_LM22_T.cells.CD4.memory.resting","CD4.RESTING_Subgroup_1_Iteration_1","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__CCLE.TIL10__T.cells.CD8","CD8_Subgroup.Similarity_1","CD8_Subgroup.Similarity_2","Quantiseq_Myeloid_dendritic_cell","DeconRNASeq_TIL10_Dendritic.cells","CBSX__TIL10__Dendritic.cells","DENDRITIC_Subgroup_1_Iteration_1","DENDRITIC_Subgroup_2_Iteration_1","Epidish_LM22_Dendritic.cells.activated","DeconRNASeq_LM22_Dendritic.cells.activated","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_BPRNACan3DProMet_cancer","CANCER_Subgroup_2_Iteration_1","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","ENDOTHELIAL_Subgroup_1_Iteration_1","CAF_Subgroup_1_Iteration_2"
"LP.01.01",0.900606761709184,0.898606085586308,0.0663353013351175,0.0527342235288504,0.48452143284498,0.0609406449153818,0.0854600068658525,0.000213526759519463,0.484245309885935,0.0614847568089657,0.133091155999393,0.0788834605101947,0.0688193746812926,0.00918116293134796,0.0693928716462108,0.0384185180639129,0.087376248395876,0.0505227636672653,0.0763802755093223,0.0773491219705137,0,0.0278188273692214,0.0829640071012903,0,0.164702655033447,0.0663158893013089,0.0759930930146403,0,0,0.231063903904146,0,0.0383112290996013,0.085121350986841,0.0488704746235511,0,0,0.0607599906384788,0,0,0.253932682343783,0.0902243252502627,0.0981464929529826,0.00162970906006999,0.223433957531471,0.505102272600116,0.0535441986500562,0,0,0.0557834489787143,0.0191140229915991,0.0557403242566294,0,0,0.00890127216600441,0.0409786358446928,0.0198565496028153,0.0268871618711455,0.289501863883472,0.0496656661486164,0,0.0735612958229509,0.155492487384552,0.027555277597025,0.490730186642187,0.0575361507974975,0.0440692709871583,0.0260861344901713,0.133704273897392,0.377610165751241
"LP.01.02",0.88944476098112,0.877091926960614,0.0670899893899983,0.0493418876769939,0.336536731687695,0.0747827189474671,0.093607445214317,0.0154812343527798,0.350351930867537,0.0865693555532663,0.140783869769551,0.0553291912964377,0.0830979352398222,0.149632396954162,0.0542267323713718,0.0349653884130804,0.0913874705935222,0.0552967416249539,0.213841321213146,0.0848403620691744,0.0746280025851579,0.0644233662499339,0.0908322105897836,0.0226476820211361,0.236011952390217,0.0707688188281729,0.115128009702724,0.0263855612784533,0,0.244364440720203,0,0.0247092584202605,0.0870946863686758,0.055258497393926,0.0700791222986984,0,0.0455890415879189,0.044695042784629,0,0.192370862255705,0.11075552977613,0.215793311071504,0.000202169714946323,0.115500297823101,0.542198365621948,0.0489695284508762,0,0,0.0495037318419033,0,0.0778096055159151,0,0.0119035396277208,0.0122177680630437,0.0267134480520875,0.0237611448586243,0.0696926866240542,0.297641104188326,0.0644505845843497,0,0.0287667908241062,0.0845624840515822,0.0351066034975072,0.481610765895012,0.0414598642720252,0.122774619954624,0.0741646704595671,0.194577244945885,0.364500757948988
"LP.01.03",0.981510100384648,0.851969174080512,0.0857452309924994,0.0488751503635942,0.382099696511393,0.0317540965415404,0.102275542208949,0,0.361219915896962,0.0995935013464153,0.145150286342488,0.0823089131623374,0.108245898941551,0.167609105455672,0.0766991839719276,0.0541511306863246,0.108434993594405,0.0145843527222827,0.181642830588778,0.106879892914206,0.187896528060526,0.0622251894262472,0.170978226506796,0,0.27152976988693,0.0368589821732134,0.0958899806232128,0.065829380359219,0,0.181925118003973,0,0.073834035150706,0.0562366015936158,0,0.0686708272058174,0,0.0505478132364907,0.0734444112593386,0.0745931304826459,0.212634955280159,0.152484771749229,0.157253764400252,0,0,0.477373452274032,0.0379515807689373,0.00390554689306938,0,0.0477618646857705,0.0303407731385156,0.0626496706471748,0,0,0.00693306489156601,0.0374744575398988,0,0.0277467699490119,0,0.105840139238909,0,0.0873363591816167,0.25660866021034,0.00246909072224995,0.406366957700896,0.0313984465194016,0.150419431600079,0.0339284084630598,0.177577581520951,0.252272531885162
"LP.01.04",0.301621344639145,0.280452863318771,0.019637827303217,0.0578806153560452,0.177538999843429,0.0716558246033289,0.0864077349454169,0,0.420967850853266,0.0519607251965718,0.13772839480578,0.0597869611669825,0,0,0.0378915129479245,0.0397225613211838,0.138020670470759,0.0778395287546142,0.315124582977692,0.0961197203660126,0,0.0263782086047413,0.0503713179656508,0,0.183011493828243,0.0395715391907458,0.184116131081641,0.0549631564414305,0,0.197824458183699,0,0.0108095713761492,0.0838472020604537,0.340647367390691,0.130822708734973,0.27989175921555,0.0210584998470986,0.0765604395281667,0.630904482152147,0.0914542794974096,0.0937206520815755,0.154862322399611,0.00179329430028027,0,0.427278704467935,0.0666537884290974,0,0,0.0535435636519207,0.0282700486553151,0,0,0,0.00633393473672749,0.00985589070815227,0.0120366429195669,0.0704326497301045,0.214184350383397,0.132606668782094,0.0198794966502871,0.103099487896052,0.125435346664087,0.0229212791228511,0.513938329912745,0.364961908583336,0.144031715479325,0.0338103922927619,0.117728707498772,0.56308545099093
"LP.01.10",0.897403692315478,0.807753202177338,0.0428571953253441,0.0527705861972823,0.332023467516014,0.0441745045302244,0.079795615424883,0.0158267898511093,0.525079266819638,0.076589060812604,0.113138587447363,0.108793211731041,0,0.0451646731980319,0.0930183605534896,0.0451959602882052,0.112012641813843,0.0656062422573874,0.20875044184458,0.0714621063687567,0.095378799491386,0.0351093169325999,0.118059311352335,0.0225605644732186,0.191398239479941,0.0365581360208026,0.110477337915592,0.0210559416187054,0,0.076445842633435,0,0.0104396286426085,0.0867233603557642,0.0236325535579161,0.0728644844292499,0,0.0385706886248287,0.0499260489273444,0.0424523256634028,0.214950668379734,0.0659017662114271,0.126746176528208,0.013208261208739,0.167516249591669,0.48551106416579,0.0611442270665503,0.0133575118692185,0.00711309150205554,0.0598288886824841,0.0281449393304469,0.10834159728184,0,0.0562747299861231,0.0176513281637128,0.0301478425926065,0.00105421463091895,0,0,0.0793565877640823,0,0.0897284187116684,0.191654731459372,0.00694992704748453,0.550722926431768,0.0677457896181157,0.10275541963488,0.0488830429563113,0.112953021436483,0.403898186247483
"LP.01.12",0.793120737484897,0.756010691290349,0.0621981794466647,0.0535134508732108,0.361303403428689,0.093567226420806,0.100608742852579,0,0.499969326099551,0.0878432313423152,0.15269406420136,0.0887247500676447,0,0.103171916306958,0.15621790487699,0.080710929744325,0.106184738659493,0.0590938838036162,0.179957887899717,0.0877362363317183,0.0852422830649708,0.0280660905316013,0.125905471415632,0,0.170499083412592,0.0423182949062327,0.123369103638925,0.0191098708828084,0,0.0382103001114063,0,0,0.0702281880953367,0,0.0173808170053825,0,0.0331762486678992,0.0404384925424456,0.0111232198293008,0.19311013227525,0.0857333615084256,0.25512964699194,0,0.204704694622265,0.392065659070478,0.0697567040078865,0.115413774321948,0,0.0656728958475227,0.0478721853208964,0.148110156353107,0,0.109724375378948,0.0314224044950572,0.0357768669329072,0.023386220785183,0,0,0.0215464412637047,0.000564364329214473,0.0535040501286389,0.165582489030406,0.0267768289201973,0.459294721454503,0,0.114892684963613,0.111058339772898,0.186812627197379,0.361152852956145
"LP.01.14",0.940063675223038,0.817100903951091,0.0895999665226577,0.0668879342567971,0.306874798295163,0.0469196210481748,0.0855791058890969,0.0859791673828163,0.512876039636446,0.0720822059712849,0.114338094999451,0.0248761126582352,0,0.00291373202890648,0.102916707793314,0.0479142235078706,0.115964413761024,0,0.245900122949049,0.0457567830185682,0,0.0313450044931722,0.101854778463592,0,0.128410226787191,0.047855660973846,0.0912425543887608,0.0169000669573038,0.038750714799422,0.223536296281611,0.0420508358833513,0.0568847961217548,0.0713199694668562,0,0.104365442697955,0,0.0576304530833027,0.0683375632069876,0,0.246788378723784,0.0980545543138912,0.168226012564361,0,0.207732387811957,0.474650151948777,0.0659818970301222,0.0599363247769616,0.00847293454961453,0.0286342681292268,0.0375028594428467,0.182899096048908,0,0.136749258370758,0.0322152162177066,0.0237400489815567,0,0,0,0.0718918702607113,0,0.0436083013095934,0.104772249533547,0.0368910535102663,0.540423528223294,0.187808890412055,0.0924168775934063,0.0461499426834993,0.100406492688646,0.423840369482685
"LP.01.16",0.875781284370527,0.80826372512843,0.0782219660855137,0.0628021545714486,0.349911362813315,0.0767592737523276,0.079634366338178,0.0504821986244036,0.489973080297488,0.0879389283673707,0.107217085688266,0.0917080529045745,0,0.000678581774829533,0.0995504188954624,0.0704121153625053,0.135832173712079,0.0190880398714322,0.191538968659564,0.0750565837563438,0,0.0275704942589708,0.0692525261215547,0,0.0723869403626539,0.0538277656230711,0.126079892197403,0,0,0.0392394457542295,0,0,0.0643954950107202,0,0.0246563603055791,0,0.0470059669801373,0.0396569280609209,0.0748249952896129,0.202398452562752,0.0305289062728915,0.196964314093832,0.0307327806491738,0.114716688442613,0.375192848299987,0.0675348777610771,0.105130675758041,0.045196660852891,0.0841054558804818,0.0730627375070858,0.104060570628892,0.0496106271140168,0.113595065473579,0.0460912521033318,0.0282549523080691,0,0,0,0.119530740944195,0.0492666202966785,0.00663147064854385,0.145130147008355,0,0.542646910136627,0.266047054715451,0.0681502351341904,0.0131510235059815,0.0389308890632733,0.459977794804312
"LP.01.18",0.766686504964309,0.884797613073951,0.0514382538312749,0.0560372445610055,0.397168174369504,0.0189257595908105,0.0772657418982926,0.0322062576954479,0.459959840411152,0.0518726271269293,0.103176937618345,0.0240388599077994,0.17704201292723,0.121874400707171,0.123306394171746,0.0502262648130508,0.106989147787226,0,0.140409036364744,0.0415088068477589,0,0.0213126473906475,0.0936034372664954,0,0.188511627642549,0.0353111223754528,0.0799559516341353,0,0.00460121619001951,0.208547166994902,0.0501222496692457,0.0241806751135855,0.0938908523625837,0,0.082211979613214,0.225654794573747,0.0452009052491217,0.0164894758233191,0.0650394400103413,0.195114707488562,0.0676991324922994,0.113622858508396,0.0433542811800697,0.0890122201571103,0.405824941591356,0.0689823563508001,0.00765870046194333,0.0171190821424307,0.0339342995621123,0.044794279804207,0.0354060826268664,0.054314111993738,0,0.0235517014660758,0.0304794137436725,0,0,0,0.124154998925614,0,0.0903351559767499,0.19122605094093,0.0949006515656292,0.541348652720535,0.245487798051704,0.0552561535256348,0.0150688613764532,0.0736971181629472,0.381936409720104
"LP.01.19",0.837941314094882,0.874134842068348,0.0692269092714412,0.0522749510561003,0.368740125344142,0.0275120926171189,0.0788733283462037,0.0235718058858881,0.458083081186696,0.0564196568595817,0.128863527539279,0.070398473981646,0,0.00642164054462159,0.027355100966613,0.0335644716399766,0.140470807737581,0.00549119094506238,0.206816881780598,0.0823057819600427,0,0.0381375493267748,0.110886045965201,0,0.130548028059579,0.0590207569597223,0.10261299771212,0,0,0.0982714361158596,0,0,0.0697321945024166,0.0586143560534481,0.0244015094847949,0.0979531389066075,0.0696960132735564,0.0532158406467171,0.114249125037639,0.296004126125002,0.104447896648137,0.318840241269479,0.00458118091555661,0.201520312297806,0.526681836543825,0.0533356124240188,0,0,0.0566348996223211,0.0472215858023057,0.0108450877409619,0.0228927492814949,0,0.0195569831736535,0.0452387324398176,0,0,0,0.0581285901271691,0.0238084376943406,0.0547900533490174,0.12791953689808,0.0104510809803608,0.472997192914634,0.034547477386159,0.0906934055647171,0.00348410547808165,0.167594688312217,0.303663270208282
