"","LP.01.01","LP.01.02","LP.01.03","LP.01.04","LP.01.10","LP.01.12","LP.01.14","LP.01.16","LP.01.18","LP.01.19","LP.01.20","LP.01.22","LP.01.24","LP.01.25","LP.01.28","LP.01.31","LP.01.35","LP.01.40","LP.01.42","LP.01.46","LP.01.58","LP.01.61","LP.01.66","LP.01.67","LP.01.68","Test.FFPE.01","Test.FFPE.03","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.08","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_12","R3388_YZ_13","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28"
"Cluster 1",19.3226895686475,19.2211544595822,18.989437986951,19.4536327320029,18.8817973727802,19.0367437958073,18.8186347992552,18.4937723570272,19.1555915481863,18.7225715086617,19.6894157554679,19.1513269370671,19.1158599268686,19.1221380105646,19.3171604098958,19.1760121588813,18.6110385248233,18.935992010776,17.8317164759118,19.2684850635885,19.2316476685586,18.7690956571439,19.4690499775551,19.1543759106603,18.7682455418124,18.8632392077431,19.4994957928437,19.1311148551937,18.811282954792,18.7527213087449,18.6551594090645,18.2428237725502,19.2079817536344,17.9803507205194,19.6396802173833,19.0903407814668,19.7033267818544,17.8920049357669,18.4386426835251,18.6855391964516,20.6752829305373,18.3393416515922,18.7005565391778,18.0116592837886,19.3394867287118,19.6393333076789,19.4856723462544,19.1047751130669,19.1078152377466,17.6912833369436,17.4379985834263,18.2820343731595,19.5049620855811,18.9146059242182,19.3961304834183,18.7111877053391,19.9896906150428,18.8936174985198,18.7855365719521,19.4516492452649,18.4577617833591,18.4368456155406,18.5854106279104,19.449671438208,18.0818531504673,18.6184123531806,18.4202137573157,19.1670552582059,19.2294210399988,18.5988290664018,19.1317345177403,19.5031858382725,19.651344830634,19.3705020990151,18.668092886943,20.2387298254635,19.1322192786172,18.9611436306869,18.9779946610121,19.2336982358747,18.9061818397294,19.717468908356,18.6166959639885,18.8873502892278,19.006342827212,18.8043443483976,20.4486110170785,18.7348464647716,19.2841124780926,18.8948314028769,18.6515097707961,18.882952366707,18.6712928029963,18.6770099599745,18.8704314940588,18.8022755068556,18.8574497492993
"Cluster 10",17.9252480703188,17.759644693694,17.6643381736676,18.6816080073054,18.0692735732003,17.6514783232885,18.0803451618781,18.5575267384413,18.7585771960656,18.0189165843574,18.0230360038818,18.7153495470835,18.2673705518194,18.2644881924381,18.114372208994,18.5372237034448,18.1139548445691,18.5832742442402,18.3971904545015,18.4566861668911,18.491762526353,18.2542506026251,18.6012456283169,17.9727225907912,17.7212544748263,18.6190414105661,18.5459142817581,18.2682900818082,18.1351769015898,18.0405690161932,17.8767477513606,17.8642246651004,17.8865180971162,18.0840363276242,18.9644719293142,18.7928266628797,17.9645753017818,18.0338767660084,18.6685662979781,17.7175349138678,18.9348881658119,18.8171512823322,18.0400703072768,17.8373057349134,17.8104888878414,18.7036700961247,18.7448727526417,18.1297740780185,18.2806481224328,17.7990850812672,17.8858666300063,17.9728227758425,18.8761631826862,18.1742391307396,17.7646960157463,18.1358849159331,17.6135710801528,18.0035520178455,17.892361338191,18.0998140008645,18.2591614534603,18.2044176093505,18.2221206885733,19.1750748451663,17.8326144033097,18.5878762240102,18.1252050755405,18.8204966855276,17.9122516295054,18.4085646502886,18.070598014889,18.10351274862,18.715464004999,18.3635869083719,18.0960295379053,18.9868838101954,18.4789190067054,18.3094644998721,17.4790221103531,18.2246680992524,17.5805146211484,18.0289752314946,18.2661358414304,18.7063827088086,18.0750869663037,18.1179297593231,18.2447712068284,18.0223496709127,18.5360478403331,18.1110652455862,18.1316543965726,18.8810680712661,18.2376103644581,18.2847190685211,18.2641995217348,17.6747271246533,18.2294931661901
"Cluster 2",19.821335551328,19.6034937210561,20.0960626845161,18.8174660717156,20.0256498506602,20.4217480379315,20.446904156271,20.115604136187,19.65219640685,19.8921974039365,19.1504758998695,18.3359282071291,20.5766047370329,20.1168825126411,20.1709330528116,19.0363877305513,20.6255922229696,19.3437053929309,19.4425158476377,19.2839658158999,19.6497215322771,18.8297099839388,20.2188191909378,20.1512541767572,20.408663387601,19.2846866531572,20.6269530115914,19.7224134875784,20.2422539682149,19.1892284114998,19.2140083677462,19.8867856018524,20.5404982067338,19.6106776727795,19.043708592259,19.9048373645821,18.7626324432767,20.0677263939951,19.734126133394,20.0532765876073,19.5081717993091,19.2221844215068,18.7975841920257,20.2882049307589,20.2750716499839,19.6065417884831,18.5684011662167,20.0541585921553,20.0398775718851,20.3223018881656,20.584862484892,20.1725224704812,20.1372940782711,19.4969994204637,19.581204793923,19.6388209491856,19.0068646660371,19.6901746919153,20.6501996294276,19.333219751465,20.0062987226008,20.3755358394866,19.8932190893276,19.5860287030772,20.348903916727,19.0362986192517,19.6560484242442,19.4841433035888,19.164908567138,19.4121413249711,20.068648478364,20.3464996175292,19.1759623234458,20.4955333513809,20.1545108886108,19.8407237822925,19.5579302609914,19.2169272707244,19.8661723047907,19.8000979712375,19.9383479424159,19.0510747247273,20.4477415276178,20.1909431727207,20.0580793829593,19.6840344790693,20.5894299893392,19.0053333418163,18.8188750326766,20.0268038025977,19.8447885498064,18.9618758312721,19.7532067074314,19.6629603547188,20.1448736431596,18.5817540461973,19.9019781510979
"Cluster 3",17.4365156652978,17.48940702331,17.4251969896174,17.7498380771829,17.5632804392958,17.645951187059,17.9258906815743,17.9925462216094,17.9974476892894,17.8111568663031,17.3596349309615,16.3917115525476,18.0452119261588,17.8788504903864,17.8500066926407,17.1733640079844,17.7691524749739,18.0861443842966,17.8705230474448,17.3160254039453,18.3898400154687,17.3332519472917,17.5728177967074,18.1065429855175,17.1316402870471,17.8780653652215,17.845815253051,17.1791401119289,18.1683094864042,17.3978565566209,17.2572312858636,17.8040778670023,17.4959517604284,17.8934361725138,17.0987745248021,17.3820585105022,17.3355418154771,18.1280973017915,17.5701190284908,17.5551829628406,18.3877559672511,17.3124326089318,17.3053992616355,17.5759738517975,17.8401212390683,17.7640740675858,17.6472701416777,17.696741385484,18.0555768779847,17.989894617592,17.9507192879079,17.6068780143539,17.9058028143779,17.6247140995211,17.6923321305986,17.7274275625124,17.6660831530732,17.2177182499377,17.8515859420723,17.9691135569296,17.9248520120417,17.6509583689347,17.562301804598,17.5476676681712,17.470668423865,17.2343164888734,17.5531222576436,17.4469832119528,17.6093372772331,18.0794961723897,17.6281626150959,17.7318258191544,17.651238993994,18.2563408972156,18.2241111715279,17.9830872261728,18.330673243784,17.5167745517478,17.466653721332,18.0183580791213,17.4484562372431,17.2326871971181,17.9216946312573,17.3077102729818,17.1851377441491,17.9415246291274,17.3920098371953,16.8472832418268,17.2904619432377,17.8230301839836,18.0780879173741,18.0260933070489,18.1966391758409,17.617134900462,18.2876041874172,17.4731255473519,17.6653255429264
"Cluster 4",11.2597839087505,11.2704856736778,11.5992971121153,10.9309996977226,11.9760372337351,11.4810131383231,11.8570365645837,12.0647171611132,11.3311185475387,11.9123148491136,11.2256242547441,11.6499331903708,11.2700787059336,11.2851958168534,11.087166264253,11.3281023710306,12.2225758205457,11.8287758633074,13.1285499121188,11.3360276844253,11.3254780821935,12.0331807985586,11.2149441743412,11.1655297553693,11.8277346506822,11.6303403245805,10.9543480290772,11.6378803281092,11.7939755207911,11.8459284883777,12.3814145699442,12.5033172577585,11.3050715550024,12.6083984044752,10.8795232117657,11.6436032377656,10.6996072189126,12.770835480596,12.6093938249715,12.0111878168481,9.62469833739239,12.2697125144186,12.0213354711515,12.8569579826931,11.3909981238516,11.1565630804238,11.101254808005,11.4284486424821,11.2966200141015,13.2053448486185,13.6241583075022,12.3811111658659,11.1144257378934,11.7576253407327,11.4596676540282,12.0719400191098,10.3921959876233,11.6525439530225,12.2232457670508,11.1385510389554,12.1418647645616,12.2930511345141,12.1903039340469,11.2021038136087,12.6383971444517,11.9700940310073,12.3104453468823,11.5111085271497,11.4143346147281,12.3529888116563,11.3637998539122,11.0300540003931,10.8979123381405,11.0720686170597,11.8918666437079,10.3693682891516,11.4409124413779,11.7713188436859,11.3195986088472,11.245040886207,11.6079193217971,10.7676486972442,12.1801895325468,12.1257866673908,11.7848578725365,11.6005842983202,10.3873378177901,11.9014578161554,10.9141199829212,11.7211517893499,12.0995082453814,11.4664847444665,12.1018372787285,12.0453832071082,11.6849771004109,11.9585240681069,11.8397958353911
"Cluster 5",16.5336091129762,16.5518565351616,16.5173297154816,16.6983662294822,16.3807837271426,16.2971877073499,15.9976554271665,16.3066029405189,16.1671297654714,16.4172451954308,16.2659285103527,16.3469525111741,16.8969345761072,16.3181940616616,17.1050910550319,16.366685556782,15.6665689042312,15.6218992556054,16.2178145789185,16.6403518261012,16.2773424956114,16.9822674640004,16.1609115429447,16.4321228788029,16.1752403091204,16.5041018738081,16.255401202237,16.1726794125906,15.9382888329896,17.4981194385627,15.9852857818508,16.4467236098603,16.2099740601475,16.5429635726667,16.5952398778457,16.5698685908221,16.8738270362313,16.2250200244619,16.3166327998772,16.4565543577551,16.5996800241162,16.7743024756177,16.5903621951425,16.7603428487583,15.907697630376,16.3806585334012,16.4609487569159,16.5231837721873,17.1764667248561,16.1318985296019,15.5996483684234,16.4849090809001,16.0420301249684,17.2153814989896,15.8804959284458,16.4648578047256,16.6617512350435,16.6870970979554,15.5550227738613,16.7106478181081,16.0798486105799,16.7416898000139,16.3926625927682,16.1045044084037,16.1672775832628,16.7306219426361,16.9589615263335,16.3234254259634,16.7589987120166,16.1662551655156,16.4270348998026,16.4698973981873,16.8665686608055,16.3405990370301,16.2656536818022,16.0704567875398,16.7416888994602,16.6630886892403,16.4123759722765,15.7381542760086,16.2647420045885,17.2103957975759,16.1468099051935,16.1914793187143,16.6573150213176,16.8473617697593,15.7197102950877,17.0153694102392,17.1877774582843,16.6759600860056,16.3382724650299,16.8905994365265,15.6951316899094,16.3239804664064,16.1643035011083,16.7153536122516,16.644791611317
"Cluster 6",19.2023273091432,19.5202345995703,19.4185516094695,20.3961176521843,19.5442554144212,19.0641873669556,20.3291467466763,20.348088483667,20.3950488351228,19.8341116245111,19.4029355196037,19.6785420262666,19.4302234764378,19.8291822407011,19.0237830717258,19.4626966072874,19.7892446183796,21.0813168270194,21.1197632426198,19.6243088231786,20.2828320613396,21.5155965671882,19.9022410195237,18.9543047173377,19.2020630376239,20.2726349409885,18.8527561154975,19.4523601303025,19.7926165957416,19.5858756743523,20.5798375934657,19.2236166684778,19.2667163309686,19.7366614708592,19.2615822525326,19.9126796353361,19.9548073047538,19.5399738738634,21.0137557234609,19.3476537337216,19.0720136101961,20.0365410500727,19.4139547994893,19.4518979477124,19.8784680291692,20.5065939760639,21.0667193066491,19.4477900399889,19.2342978462666,20.098115539808,19.612317642154,19.8254152934505,20.4874626016663,19.6142707423384,20.0769680155339,19.6991325600291,19.7795591732164,19.5597476561142,20.0114035765051,19.8175055139354,19.8576286641234,19.84739250861,19.9659124978589,21.3552918170849,19.6970294774244,19.9317077277388,19.9097037351926,20.6758533636114,19.7392880971044,20.6923875375874,20.0215437740318,19.6612361245155,21.1330010131173,19.5247938433355,19.7040033606169,21.0184635493213,19.7247826004605,20.2950532096088,19.4286916769276,19.6450644343733,19.0802983505518,19.5121919284788,20.216845599042,20.5291513002521,19.96029283672,19.6689420259882,20.189574175428,19.9291804845812,19.462516228898,19.7734935319857,19.9539224729902,19.5171633545493,19.7459832960613,20.3248824934129,19.8515547498785,19.2933741459193,20.6221880255048
"Cluster 7",18.1791999371538,17.7405472030357,17.9887306459448,17.8956988164442,18.5155312475974,18.2070177986697,18.5444144399407,18.4449751916773,18.766280817725,18.07283858763,17.7700340408284,17.5204518939823,18.5548048941954,18.312197342723,17.9777346447411,17.6671001615392,18.596788586566,18.9714306904329,17.7190815449136,18.0245329668817,18.4756888134938,17.3257328902074,18.687656605698,18.1156519102386,18.021107115024,17.7553460550487,18.6582154487825,17.9630496405055,18.9533818679627,18.1580859399736,17.5550698583185,17.7536652457037,18.6840662023725,17.5885566354177,18.2855329274793,18.0644984825658,18.1296906713437,18.1029484106737,18.2060755688434,17.7024467486816,19.297441206474,17.89114137519,17.3695947310269,18.0519459955591,18.5801453287479,18.0565233381913,18.2870098647852,18.2423533904907,18.1489646379944,17.992677268911,17.967898896651,18.1245470328198,18.7736483792022,18.1032719419436,17.9813030581382,17.6918715562896,17.6869258477328,17.9453581109489,18.7633563636797,17.7918871654212,17.9397828736563,18.8711050905739,18.4060454399034,18.8227495542657,18.3225908490259,17.7553383022423,17.6377916874644,17.9920971126855,17.5070652549158,17.7127217286584,18.8123418623645,18.5870404265298,18.6484122635084,18.8159367766415,18.2584654895957,18.653854000597,18.1952350666843,18.0361303032072,17.999854267302,18.1869386460255,17.8900074480715,17.6869490692251,18.5367877786295,18.4944846712084,18.3406861539677,18.1177563239408,19.2693023396134,17.7813094326762,17.6210966612822,18.3676361481147,18.1000351788242,17.6706327199586,17.7623046143913,18.1350668935011,18.6109181661654,17.3965816714036,18.5155215739751
"Cluster 8",19.2089504166919,19.2413400463406,19.3335325553946,18.6610234424191,19.0709894220368,19.6232661192189,18.946896868307,18.7816458972365,18.4706265085311,19.3024921264169,19.0806377636222,18.5050580836304,19.1193504275584,18.9753580859885,19.3418213920105,18.9575842130799,19.0083255542217,18.3751626003645,18.7653609562089,18.7169613460627,18.9185239676354,18.8368056176625,18.5876525530477,19.6810361885463,19.3819091750932,18.9768026402271,18.9520721473374,18.9972556970845,18.728351056144,18.7990722145802,19.1290985930611,19.748269977651,19.2470733178162,19.6509877961025,18.5278259766195,18.7536262022784,18.8830992162072,19.4903695269637,18.4990868229635,19.5673265637974,18.4527611721067,18.703833973051,19.2566580067877,19.3813491024838,19.1443406931783,18.4320250806821,18.1648482516424,19.1640439887407,19.2584572759706,19.5759328341688,19.0949123233369,19.1593925016906,18.2988978443672,18.8402838334743,19.086884591705,19.3624540741307,19.2647448324169,19.1543872635759,19.234337326581,18.9949171183548,18.9878147872,18.8522188845669,18.9826930859079,17.7333518363862,19.3091494182354,18.8652855107049,19.1387132183029,18.3697728853911,19.2103713230139,19.1495773995731,18.8027864211939,19.0197682153959,18.2134037984066,19.0266794106809,19.1047266577163,18.1532896406197,18.9007781734047,18.5027659538436,19.5233783491742,19.0968292469154,19.6853490652207,18.8872388731499,18.835248816203,18.1162809628726,18.5324625302751,18.9242924255084,18.4920052435491,18.8580511806494,18.8897845595107,19.1742044731261,19.1592868900896,19.0580459904601,19.537705202946,18.9882294900511,19.1396011362989,19.7038287024947,18.5158316588805
"Cluster 9",13.1174045456101,13.094580769426,13.1243171285756,12.6791793360192,13.1943619409071,13.2313433352687,12.9943109277969,13.1262415371448,12.8870098909513,12.9303764753084,13.275431933598,13.6543722129042,12.6643924089653,13.1110508697475,12.9269208062519,13.1048185637525,13.3203252655324,12.9674890159208,12.9780290469039,13.1233491374316,12.4684015178218,13.0669485288536,13.3689302665792,12.3949774890063,13.4046230601866,12.6307753808998,12.9423709600086,13.551513578751,12.912396569478,13.2727530972707,13.4353607770814,12.975987821524,13.2531840340367,12.8473039525027,13.1079085590923,12.888783878072,12.9736893452596,12.6389626188183,13.2105343694804,13.3378666205033,12.8167026051572,13.0449880211327,13.3423198086447,13.1622898755956,13.2214842468432,12.9305452693782,13.4362958514044,13.1316211977427,12.6994178169207,12.6839337088727,13.359711390693,12.9831963908371,13.1247811884075,13.1054750671151,13.276166170449,13.3350843422806,12.8096849604906,13.258392456205,13.1166020553233,12.9467777345731,13.1173414132089,13.376235077288,13.1709356504865,13.564265708121,13.3424633018022,12.9519625438156,12.9294593504481,13.5217239305986,12.9957132196267,12.6398384375192,13.1942273474575,12.8934349695672,13.1393543286948,12.8256784683965,12.799669505842,13.0870611246045,12.6028115115765,13.3159360045687,12.9140092532426,12.9861985576296,13.2407026223278,13.1102214101804,12.9813162285262,13.2301464518129,13.4685599801462,12.9566145526556,13.0561193290065,13.4527548915874,13.0449480276716,12.9895263858175,13.0596116682666,12.9231551593888,12.8318693635071,13.4177921246159,12.9895107530268,13.6215414868979,12.8336368035048
