"","Cluster_1","Cluster_10","Cluster_11","Cluster_12","Cluster_13","Cluster_14","Cluster_15","Cluster_16","Cluster_17","Cluster_18","Cluster_19","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9"
"LP.01.01",0.26541591060862,0.133836911214623,0.0397807127828527,0.0495892543511959,0.0761866842619813,0.0411756637583617,0.0245204319409836,0.109866681558771,0.164119965234086,0.114348687511176,0.0575361507974975,0.308720454394444,0.0718324261025598,0.0689277872578457,0.111883780963059,0.252543092237108,0.0657618703173266,0.0683766577743875,0.0701489208618092
"LP.01.02",0.271155739142494,0.173254712091134,0.0461315589549254,0.0402772150004997,0.164484665457935,0.094495669945285,0.0417438248004193,0.121357840899493,0.160604311869986,0.115536877546401,0.0414598642720252,0.304066176819374,0.0497441118424383,0.0682182870228349,0.0772080927059197,0.220255719589379,0.0550174661678822,0.081967811913896,0.105640880563229
"LP.01.03",0.286608828310193,0.145906378986578,0.0658077940488264,0.0523494719614076,0.138766405605995,0.133217677301698,0.0739455222488844,0.0959217524142941,0.135455652566965,0.0126505269229791,0.0313984465194016,0.284812754934254,0.0332699923714993,0.052555875978605,0.0920404668671358,0.188420384479517,0.0548920050429313,0.136940393994151,0.109094504829958
"LP.01.04",0.100016430626032,0.128005584722699,0.236248003635587,0.0303905305841412,0.249620357029667,0.0648929833391023,0.0962951176908183,0.223692831452161,0.171910541404342,0.100239211820927,0.364961908583336,0.101124714147207,0.0115058680502283,0.0708639087082495,0.051870522430133,0.298432449229571,0.0944199933624218,0.0488790719988838,0.10292255573597
"LP.01.10",0.27164877991328,0.129381560973561,0.0360195226402634,0.0418833244565169,0.159613889880086,0.0898159130929724,0.0612162815865412,0.0598116613184778,0.190348093047521,0.0203814090221834,0.0677457896181157,0.271567709741608,0.0746048094651688,0.0697469732765233,0.083999459105789,0.271291149852797,0.0621071965986389,0.0768510020384264,0.0840597891018276
"LP.01.12",0.266306464368941,0.141873866966468,0.0234057012109723,0.0569435892061121,0.151663495769321,0.0740449647550022,0.0299982460056099,0.0199189137917037,0.153098240484834,0.023440356112367,0,0.260929173403516,0.129651785729363,0.0618708194842738,0.0949696969194216,0.265218536033999,0.0561331341925767,0.0862876195052348,0.116595331317397
"LP.01.14",0.302135469290261,0.121051347903863,0,0.0527723382955866,0.168571338668905,0.0491869474985447,0.0549579369882841,0.0984760555141074,0.182965487590969,0.0219939656767074,0.187808890412055,0.284663985820453,0.11938692905513,0.0691039518618267,0.0907626953100019,0.274900110982082,0.0912456905810767,0.0657574807735048,0.0746654245737312
"LP.01.16",0.264869055334399,0.11202776632053,0.0313043450536817,0.0587090411713213,0.158809430428483,0.0280109671058937,0.0104292769847076,0.0529233955661414,0.206192117212897,0.0389338326859185,0.266047054715451,0.285958117414149,0.102242962931042,0.0635988247910844,0.101415911240177,0.290635580641552,0.074742975822622,0.0516834345504386,0.0658937320211954
"LP.01.18",0.219839582372367,0.0962582211337998,0.080693817645857,0.0477135850310862,0.11018249399944,0.0512502758664671,0.0575157118633213,0.110900721973505,0.200607338681012,0.0229941187836,0.245487798051704,0.344670792211106,0.0542831137244149,0.0749640484617946,0.106124043919018,0.241952789377323,0.119131865305958,0.0829908196272976,0.053752689842048
"LP.01.19",0.231914932545512,0.168667649484809,0.0399134386609005,0.0516302424567665,0.154714939746359,0.0459409671765741,0.0263971876112708,0.0716714607654922,0.15919279127673,0.0257146833727865,0.034547477386159,0.302492890776734,0.0596204645071721,0.0610035727792585,0.0945193221537537,0.23243231293742,0.109271513522788,0.0644762156222056,0.0763367051355303
