"","condition","CYT","IMPRES","Roh_IS","chemokines","Davoli_IS","IFNy","Ayers_expIS","Tcell_inflamed","MSI","TLS","CTLA4","PD1","PDL1","CMH1"
"12","Pt66_Pre_AD667850.6",82.2294965325704,8,654.105253358029,1.24760296938936,0.168956043956044,9.31554321060585,7.94371944007128,-2.13591091248186,7,217.351217411191,15,32,276,14677.9154763395
"28","Pt94_Pre_AD732850.6",370.22632280809,9,823.106840972107,0.842396677117276,0.520604395604396,9.25529781109475,9.26961245920975,-1.88960866688662,4,6480.80889137653,1598,47,128,7436.70947344714
"35","Pt84_Pre_AD486532.5",9.39095841754184,8,84.880481754948,7.67737193531257,0.0171703296703297,5.24921313737778,4.64180602161446,-4.82206290893457,5,124.435827466642,0,1,96,1867.47678814548
"41","Pt62_Pre_AD608303.5",36.8979687787824,8,420.059130684842,2.71079042744619,0.151098901098901,9.32253282249493,7.8792782954828,-2.38069910749758,7,232.083513480082,12,13,270,4442.60310678122
"46","Pt72_Pre_AD793922.5",16.9811689821402,7,228.035422576847,3.35809289880345,0.0892857142857143,8.29681731244492,6.92342845953256,-3.29325261871211,6,86.3628892472459,12,10,157,5573.26967139066
"58","Pt3_Pre_E9024733.3",36.3426760159458,9,518.808303752233,1.39479010901703,0.121565934065934,9.45379105339947,7.88248392098978,-2.44356909545371,3,1618.58514955819,74,22,140,7707.33619489909
"62","Pt5_Pre_E9021022.6",998.399153695555,4,2118.43493983932,-0.331760599252494,0.703296703296703,11.6827952900618,10.778399195066,0.131982873518386,4,668.800813578023,295,366,501,28916.5366480645
"63","Pt9_Pre_E9021024.6",58.49111129052,8,417.773906993387,2.73478622492549,0.160714285714286,7.75697644352598,7.51573913091826,-2.84315397674351,5,1578.85811792692,66,2,169,6004.18170231554
"69","Pt18_Pre_E9024732.6",904.222693864736,8,2865.2515199439,-2.01799881983012,0.768543956043956,12.0947394346489,11.6564403587668,0.4969036134397,4,34204.6275189454,625,186,1203,19215.014715598
"82","Pt24_Pre_AD436687.5",423.348449979447,7,2828.87868340626,-2.10384295051793,0.567994505494505,10.7783358101967,10.2733916352798,-0.19517488469243,6,8396.53593776534,101,29,1021,15698.2066010754
"84","Pt27_Pre_AD453873.5",233.677256274546,7,655.828241320543,2.4230357825252,0.344093406593407,9.63100452857145,8.78148925712065,-1.32389120596241,5,898.184043779248,2288,11,170,4901.5964294524
"85","Pt29_Pre_AD497504.5",207.9000002405,8,1167.59827745353,0.39812895103616,0.348901098901099,10.805572065843,9.44370979678773,-0.837472643391741,6,687.5090791174,40,28,401,7871.99569543369
"87","Pt30_Pre_AD497503.5",64.9792282194857,9,464.021972281069,2.18376353463321,0.210851648351648,9.75823469556763,8.33060562327428,-2.45876063088558,5,144.417883032738,237,19,117,4662.67938277225
"89","Pt31_Pre_AD453872.5",368.913933187675,8,1538.75742908874,-0.635729455075892,0.528846153846154,11.6146053055696,10.322238047636,0.751893889249508,5,1163.12678937633,307,79,582,33215.2635621556
"90","Pt8_Pre_AD153354.6",457.446379480699,7,1753.68234795414,-0.834625326298268,0.531593406593407,11.1129388865412,10.0369144099227,-0.560456413061006,4,1437.71750045489,110,70,255,24926.4998153042
"92","Pt11_Pre_AD153352.6",602.684063253708,8,2546.8508828165,-1.87039322786939,0.60989010989011,13.377687497992,11.1342159724089,0.978271335994073,5,668.957917676349,401,117,888,38814.8367631424
"97","Pt28_Pre_AD297619.6",277.491909972165,9,1014.28980771286,-0.186941803576619,0.456043956043956,10.8610893021936,9.44376088235799,-0.721876425102793,4,775.57118030473,85,22,291,6359.3851327725
"99","Pt44_Pre_AD467790.6",1082.70669162982,9,2750.42562089896,-2.71122672794439,0.73489010989011,13.118584655055,11.3247090620602,0.957707509861874,6,1095.10665583005,389,150,705,18259.8233553588
