"","condition","CYT","IMPRES","Roh_IS","chemokines","Davoli_IS","IFNy","Ayers_expIS","Tcell_inflamed","MSI","TLS","CTLA4","PD1","PDL1","CMH1"
"1","Gide_PD1_10_Post",148.502559237206,11,743.235490798531,0.520177445479631,0.534985422740525,10.5032814197834,9.72228092848547,-1.55388380339418,6.66666666666667,1303.54342102356,355,35,232,14864.6859902054
"2","Gide_PD1_10_Pre",42.1526997949123,12,327.795668052103,-2.37919558091436,0.21865889212828,8.65769267817015,8.03595010850317,-3.16240993163228,6.66666666666667,322.232011975474,92,5,81,6604.26538065251
"3","Gide_PD1_11_Pre",86.4972837723821,11,365.933824219621,-2.22161198949414,0.333819241982507,8.0656158780011,8.40826293153571,-3.39795689444098,6.66666666666667,2069.91889321738,117,23,119,8938.44169776766
"4","Gide_PD1_12_Pre",52.8320934659985,8,202.803498724564,-2.75687833196228,0.268221574344023,7.94068518626766,7.99759373107898,-3.74780938350977,5.55555555555556,1045.11684157307,111,44,59,7662.85665430069
"5","Gide_PD1_13_Post",60.8378180082093,12,428.088911213822,-0.738226187657147,0.147230320699708,8.82112239988763,7.99812016610042,-3.26787958557634,5.55555555555556,565.920532646475,107,10,149,13434.1165286264
"6","Gide_PD1_13_Pre",50.5075251818974,12,247.005740826729,-3.97110804832087,0.131195335276968,7.74587246335888,7.2433049842915,-3.740488415963,5.55555555555556,579.969937276225,63,12,75,8739.89359815891
"7","Gide_PD1_14_Pre",16.9835243692233,10,189.168360771445,-2.54192226490263,0.173469387755102,7.44064278389521,7.16943303839181,-4.30376602232929,6.66666666666667,860.636788199044,52,7,90,4304.36313307637
"8","Gide_PD1_15_Pre",61.3471278871309,9,329.057285914576,-3.37215926515875,0.403790087463557,7.53624490334208,8.26569615664275,-3.24819628946515,6.66666666666667,1010.523416029,11,46,100,13215.0833148574
"9","Gide_PD1_16_Pre",50.2153372984789,10,185.120447590545,-4.23104954310593,0.120991253644315,7.22477084445537,6.69327559416629,-4.0757311394671,6.66666666666667,388.285464923074,252,11,22,4750.61319006907
"10","Gide_PD1_17_Post",3710.1601960158,10,4486.06857676463,5.90765349290417,0.988338192419825,13.4427741867037,12.771037662133,0.0204153699104325,6.66666666666667,11553.3823784909,1566,1320,785,112583.909272534
"11","Gide_PD1_17_Pre",272.728803209342,10,511.380047603858,1.58232373367411,0.492711370262391,10.5264387492386,9.52083884851023,-2.03527913705019,6.66666666666667,866.840884414773,122,39,271,25314.6559587374
"12","Gide_PD1_18_Pre",79.6091709541056,11,516.431048488228,-1.45530336760697,0.389212827988338,8.68053862195625,8.85040434944513,-3.29886049281902,6.66666666666667,628.784266813286,95,7,295,12081.7710646919
"13","Gide_PD1_19_Pre",16.6288935290355,11,210.091072791569,-2.93320704410971,0.103498542274052,7.14196507781307,7.16141210044004,-5.12704564114461,6.66666666666667,165.209523224642,121,4,59,11560.1134453006
"14","Gide_PD1_2_Pre",296.671771660197,11,908.827040986278,0.811140595527831,0.521865889212828,9.99183777255779,9.56890887066656,-2.09241092850909,6.66666666666667,760.057268018458,163,23,173,16279.3033929112
"15","Gide_PD1_21_Pre",58.8756324806792,11,383.620101604744,-2.80816292857579,0.19533527696793,7.55161895761173,7.81873044654402,-3.55499163245098,6.66666666666667,580.560013235765,57,7,176,12688.4061291555
"16","Gide_PD1_23_Pre",112.019418405917,10,472.790814012519,-1.45158195318691,0.319241982507289,8.6210738813573,8.51646428448685,-3.34415180743212,6.66666666666667,659.92421247018,93,12,245,11768.7731627006
"17","Gide_PD1_25_Post",961.351512247211,12,1571.91268025343,2.98383730821882,0.862973760932945,11.8738555869274,11.2069294578477,-0.259163440662852,6.66666666666667,2948.58975172716,321,166,678,26058.9748808115
"18","Gide_PD1_25_Pre",285.555598964545,13,779.8538317527,0.735950674548753,0.645772594752187,10.2406301595378,9.91732966025795,-1.80651402684459,6.66666666666667,1601.20559332324,270,59,190,15822.146489841
"19","Gide_PD1_27_Pre",17.673995020934,10,123.570632486877,-5.16662440354085,0.137026239067055,7.13468791226331,6.80873493829791,-4.19237265476121,6.66666666666667,229.885099829832,26,27,66,3097.88281877016
"20","Gide_PD1_29_Post",75.0796916615938,12,344.228522974554,-1.35089530670411,0.357142857142857,9.14164055317061,8.40232686474657,-3.14727006775952,6.66666666666667,244.36539953768,45,18,208,10585.9721214687
"21","Gide_PD1_29_Pre",8.49588724030633,10,79.5737982966486,-5.40963431580161,0.129737609329446,5.53730291025688,5.9793471263371,-5.50750403787878,6.66666666666667,159.476058717019,2,0,58,2646.95584291927
"22","Gide_PD1_3_Pre",23.9697747173393,8,248.301414786404,-5.25024157072867,0.0991253644314869,6.71131327206416,6.8681096146977,-5.18184458370005,6.66666666666667,848.807579803402,38,6,57,9301.71993871941
"23","Gide_PD1_30_Pre",401.28573373595,11,1254.22179917526,0.226900275848074,0.411078717201166,9.93143363606441,9.26329773242067,-3.16196026957797,6.66666666666667,2018.98720451239,3843,26,1117,56909.7616372639
"24","Gide_PD1_34_Pre",191.604697489388,10,832.350699455514,1.17439353845048,0.599125364431487,10.3538834593353,9.86685976722331,-1.76915494214618,5.55555555555556,3570.47635071068,216,46,221,22929.2519373999
"25","Gide_PD1_35_Pre",339.503240190723,13,1156.26273599415,2.13887753936234,0.664723032069971,12.016797873697,10.673397242328,-0.570708897058671,6.66666666666667,1695.31808497594,420,66,934,23392.6138157981
"26","Gide_PD1_36_Pre",100.335736903658,11,459.547340840178,-0.872493420014243,0.431486880466472,9.49596754188538,9.03148578141863,-2.88435094622397,5.55555555555556,1331.31742004278,423,16,180,11287.8799482985
