"","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_11","R3388_YZ_12","R3388_YZ_13","R3388_YZ_14","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_23","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_30","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_17","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_22","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28"
"Cluster 1",0.0358904326897645,-0.0741015356253285,0.0366342366511691,0.0607897920149736,0.0448684649142261,0.104910653746997,-0.0448815688478238,-0.0522472333582644,0.000316566373319248,0.125717656274193,-0.0234297411034759,0.0844713621021498,-0.00623645341516954,0.0441494121180153,0.128158104357586,-0.141328210292285,-0.01183031500647,-0.0602042607913472,0.0204048545289437,0.0832907644167943,0.207861321958543,-0.0824324371870775,-0.224016439726196,0.0159346371704858,-0.146076420303774,0.222660510139448,-0.114776835399046,-0.173624454067118,0.0149326045293179,0.0587796278349458,0.0682958853321358,-0.236138863291543,0.0494188841110377,-0.117887983410673,0.0768041114218018,-0.0072901251349076,-0.0972125018173159,-0.0535824572760485,0.0901894935618509,0.139171715818141,-0.0531481884962731,0.08654393345945,-0.0783365717470258,-0.0324990009732553,0.00317927839687573,0.0389034688746775,-0.0355725788112341,-0.0386558978575652,-0.129138666602865,0.0458495293500629,0.0200092516491762,0.0329643375336237,-0.183548466469015,-0.0133596587546469,0.242790265648665,-0.0605503293765153,-0.0915364436271531,0.0612549838337062,0.104269374909743,-0.143043388541328,0.17136222302111,0.196100384157152,-0.058360803637262,0.0777353960376584,-0.0400420823649673,0.107898286591043,-0.167844851104945,-0.10379942385777,-0.0496933195679092,-0.0860903860783315,0.0792020186786093,0.0508040697145345
"Cluster 2",-0.154366597118233,0.0142877078709174,-0.193844523605344,0.139804301390702,0.056735155358036,0.114978690896787,-0.216257066628701,-0.0673092775742263,-0.0616365511274883,0.100457733770986,0.293654895720636,-0.100272024351811,0.185935520319692,-0.0471054091189832,-0.195228348987444,0.0609710587990305,0.160942609502477,0.141622463875518,0.0181038870272543,0.15999594598213,0.00994580057198816,-0.261037255520318,-0.309322058343011,-0.145355024188778,0.102650263353285,-0.0218280233153332,-0.19368477545985,0.0868740043628717,-0.0334117471590005,0.17453449550818,-0.00955406060722513,-0.0334871754565057,0.0782786168955549,-0.111393082511472,-0.0970029442785362,-0.0617129408090509,0.122750042492461,-0.180014970949145,-0.0436963366102208,-0.0924471400574659,0.0873040827806383,0.0478362163165605,-0.0654788635572568,0.0283019929000489,0.0880301329322413,0.152842516003299,0.0649895259665284,-0.0701046937839244,0.254841912788117,0.0427823163678581,0.0396832530036362,-0.0433994636532857,0.0410013802383721,-0.0388404674985781,0.120220776426464,-0.0554432790310615,0.0226795926015068,0.0231427752857258,-0.0330792900780895,0.233929263267139,-0.0302681846943134,0.0566934046749237,-0.0672586661862098,-0.0031644208194489,-0.0538688001884331,-0.00495432041487916,-0.0793839130259208,-0.0533594642904343,-0.0324691987403008,-0.0264837987196306,-0.0353817337176991,-0.0038964430739542
"Cluster 3",-0.167433845620183,-0.14117627093111,-0.0215376795047332,-0.100203543525004,0.0115505931808992,-0.0434607338270557,-0.0517634406161576,0.27293402436761,-0.151602669610031,0.0028528246979499,-0.122338084903544,0.0681085726185182,0.0446120355790294,-0.0835513937652375,-0.117049153757863,-0.0876488861540211,0.181144212865561,0.312807275005201,-0.101520297802038,-0.10866038012714,-0.120607681147285,0.00284104735370867,-0.0543955065328551,-0.0184425430416266,0.155720530663303,-0.0634901622667488,0.200071347542157,-0.0201025803464344,-0.0518122924809472,-0.0772852441537398,-0.0696204465912711,-0.0232276608371487,-0.0328543865125345,0.0052391406574721,-0.0144502183143002,0.0242223305655615,0.340371818300298,-0.0837824465702085,0.00344177967128578,-0.00945685255765143,0.197831528953806,-0.0219257606291424,0.16126972604529,0.0058264297797613,-0.0705792871651082,0.275744003879991,-0.0735371509086731,-0.0666075603963004,0.261360736345284,0.00263401312637629,0.0774437524008337,-0.184717112550563,-0.0796867317822259,-0.164449045860899,-0.0951446252237839,0.0381552687996571,0.191364703321533,0.0450897761436211,-0.0257199305118146,0.00747979740434562,0.0328465386898819,-0.0636421743662093,-0.0321913034986958,-0.0458923316627652,-0.0160265432705161,-0.0324218281427443,-0.0646859840486668,-0.0729238531137436,0.0902309626994239,0.0114591915464005,-0.121325862520739,0.144297524944699
"Cluster 4",-0.119786263586002,0.134336767108026,-0.142464073945359,-0.0045628955444247,0.0125711211924486,-0.0482336315741639,-0.00428868671692617,0.0296865061509592,-0.0786038394496922,-0.168707546583417,0.19398845207736,-0.0790296983416575,0.115847545536091,-0.214898090353806,-0.00522796444632504,0.0720377050342764,0.0223031988667837,-0.050191157461819,0.0521171297202288,-0.0107833366004487,0.0235595047155955,-0.0253865016867752,-0.0207131659107095,0.0235373038893658,0.16252773247805,-0.025336106742427,-0.00287137711504384,-0.0791352551551586,-0.153651598760525,-0.144387086610745,-0.0340982045828355,0.148993184826747,-0.0795821501328494,-0.0445461315803703,0.179860763148923,0.07822235573624,0.137006022298519,0.0689496157320202,-0.136268984590375,-0.106002851738348,-0.0309876296736684,-0.138714803383368,-0.0865136581175657,0.137852130906005,0.13239453518019,0.125850069341618,0.150592963606706,0.0777479197104352,0.109366440447017,0.0262475591563636,0.0167967164089974,-0.00333669714057362,-0.0546619294656677,-0.0801460019827184,-0.0979066104617969,0.123540501465424,0.118446422383303,0.0606491544564379,0.00230830570923029,0.219440271441395,-0.0997743331595654,-0.159473401226117,0.088977835013518,0.0612000508679777,0.00429921952812778,-0.13661722698075,-0.122585435142877,-0.07926529275572,0.0209516859555969,0.0677379388614021,-0.237233758865124,0.106028748614336
"Cluster 5",0.0471361392394803,-0.079258782728801,0.0889838500575494,-0.185765266066091,-0.0785567029468391,-0.151933411428901,0.157589841724404,-0.00584153784459695,-0.0473134000024389,-0.19848473886956,0.199730347910068,-0.115146206173539,-0.14150544385685,-0.103896763825875,-0.0723956863248418,0.0295444086055722,0.031139488563685,-0.0190776299969752,-0.0189019346103496,0.0319960359026413,0.0740503800014728,0.111869744838967,0.0618487963176534,-0.0242407975069884,0.0556934740321072,-0.0525488612775864,0.178823902373915,0.00988125494597516,0.0452167525889655,-0.0321597994999166,-0.15830291359316,0.0587628048623416,0.063411130898512,0.0713615531943764,-0.0403866331895239,-0.0267420574666448,-0.0876105867302431,-0.0700106338935587,-0.116998411163617,-0.0442371575832882,-0.0635687113421845,-0.0556333343475931,0.16610842580324,-0.0261243374378558,0.00574779266909843,-0.00462371093127633,0.148041143737596,0.160321798687184,0.101996329754724,0.193721309499992,-0.0558732969298135,-0.0713388978997056,0.101207204379249,-0.103968808787232,-0.0938507622633491,0.0516481206862276,-0.108281907691906,-0.139929588859237,0.0806541812193409,-0.135168376828152,-0.260007372084971,-0.0936761661912152,-0.00437158126948771,0.0405196019825487,0.137275413440767,0.144784705383727,0.171870068305704,0.135011544177254,-0.030563358251872,0.190784871173254,-0.033288708847439,0.00485185958588385
"Cluster 6",0.138723334003308,-0.0262426006072526,0.136309540814047,-0.123383254706503,-0.0331394680799637,-0.0501950969207024,0.095459925957682,0.0192280944076333,0.116667566494586,-0.0363755739408581,-0.314603759233808,-0.000956537871962778,-0.0821141043087839,0.0959283755483937,0.149625698082723,0.0575010970771692,-0.129755802850992,-0.125537937184321,0.0166425318934831,-0.163136774184045,-0.0196249151910202,0.188595711595067,0.12944547196771,0.0820190132664339,-0.128570125639334,0.00586630065567419,0.0331760932094354,0.0493879431475719,0.0844430093187489,-0.0118413222130992,0.0647502138739396,0.0760547199115241,-0.0430772252008018,0.0482165584947066,0.0517834576256438,0.0733598190833982,-0.191448514343944,0.123638908143876,0.0322300694221864,0.0921426016970595,-0.0531364463171117,0.0265940177099532,0.0269166654291562,-0.046911164552324,-0.0617542528308109,-0.137858234040843,-0.0857327004239255,0.0335495019525947,-0.234569335708702,-0.0698738909339628,-0.00347389480954525,0.0621012581835988,-0.00293916148984515,0.0590756672131351,-0.0406208112503973,0.0347190825916487,-0.10143723254596,-0.0434254721202505,-0.0479790920016644,-0.112664907309897,0.0366059713415676,-0.0686489034831415,0.0453454351371611,0.0582093883115008,0.0494844685405812,-0.0645861774945564,0.0941109910331744,0.0595634680610946,0.0345368288107155,-0.0160609430142502,0.107453661522503,-0.0177868287258044
"Cluster 7",0.0813300203847827,0.110648123758543,-0.000409528746718131,-0.127330622604178,0.0525802391021917,-0.178785735667991,0.0596373043625517,0.000580375667474417,0.0976206532596391,-0.145373700347342,-0.157809144434423,-0.0826717383738109,-0.0500299802704796,-0.144117269256,0.156645110093671,0.129507719067087,-0.0239438268369195,-0.25944333480511,0.0609101955170349,-0.152027518931636,0.0527166563391131,0.158174159955817,0.167130592609238,0.0865740774371719,0.0445424132970735,-0.0538415146392146,-0.0165804698228863,-0.0214878795069922,-0.0112188637182174,-0.113711484123969,-0.0174373482742817,0.201314784915878,-0.0987141445459448,0.0333443550093681,0.125716820543547,0.0399853359488357,-0.0666015629955341,0.173945752652119,-0.0797600282976914,0.00693659704788188,-0.0636702873945634,-0.0873124589450944,-0.0426622321906648,0.0566507079146738,0.0964896815004903,-0.154315983251955,0.0851367047920811,0.11907531561168,-0.0162544281552269,-0.0575194448503354,-0.107831450786273,0.0801844469921572,0.0116099415183761,0.0339502924112211,-0.152804337933121,0.188850273298198,0.0948020616422383,0.00239027990270139,-0.0378404928242556,0.150177938462445,-0.194187735435686,-0.214215178538733,0.195572022468755,0.0705467549128605,0.0468131589242572,-0.155465347119907,0.0381223588939169,0.0199991888117571,0.00832016969965817,0.0660633249988459,-0.173343596278966,0.0541227601787882
"Cluster 8",-0.0875270416428236,0.214257776715381,0.127685765195673,0.145691092598039,-0.0157976685026915,-0.0126407729348589,0.153681705323667,0.102819466434144,-0.0358141354350429,0.169643965835715,-0.14585648232331,0.0457350787524258,0.170676924812099,0.130952732593341,-0.0570173380776442,-0.140053677523079,-0.0730792992402146,-0.116296829960223,0.0333948173279998,0.0767763931767711,-0.201047015731121,0.148510179823947,-0.0057931185882232,0.0413595900451078,0.0534199479455398,-0.298402387072409,-0.237328687863048,-0.0615477573651884,-0.0293557581085519,-0.0608821793790112,0.120708067836912,0.0322465905177029,-0.274447774637729,0.123411282451418,-0.166146553625275,0.186053761106496,0.0829101512187671,0.104062588767385,-0.0312104118708504,-0.120202651424496,0.024974933923185,0.095413256508355,-0.0921642957695791,0.0823139077810956,0.00616785467926164,-0.031089493028145,0.0432824605700803,-0.126254985960131,-0.00548876987184831,-0.0904579551790221,-0.0665971881374786,0.16588185502126,-0.0083992754664228,0.18596495017348,-0.0435093750659611,-0.0840829441076894,-0.0116199923226987,0.114658612604885,-0.0889964376663968,0.0141460152796867,0.275776421457293,0.0669227834102315,0.0617160286520693,-0.00271139187644248,-0.11982836326061,-0.159296773699932,-0.0828613550422827,-0.10624360678298,0.0116419963804133,-0.0505855173217629,0.0230972343382658,-0.0953209273929194
