"","LP.01.01","LP.01.02","LP.01.03","LP.01.04","LP.01.10","LP.01.12","LP.01.14","LP.01.16","LP.01.18","LP.01.19","LP.01.20","LP.01.22","LP.01.24","LP.01.25","LP.01.28","LP.01.31","LP.01.35","LP.01.40","LP.01.42","LP.01.46","LP.01.58","LP.01.61","LP.01.66","LP.01.67","LP.01.68","Test.FFPE.01","Test.FFPE.03","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.08"
"Cluster 1",0.101721772167907,0.116479723383897,0.156127934666572,-0.267636316454147,0.00743581170072885,0.32063066870242,-0.0413063054999873,-0.121071850045241,-0.268738559311623,0.140442189115125,0.0976216189759933,-0.205468194560559,0.0688252786102017,-0.00534119371175644,0.194376935146233,-0.0132378737610494,0.0365415822351054,-0.295754962050233,-0.187630951150991,-0.0741004667394454,0.0326875363992721,-0.0680970232596458,-0.0142933908552919,0.366740236564894,0.283933753507523,-0.114740429430556,-0.0127405738206131,-0.0018947315508599,-0.153908200237646,-0.114775085091698,0.0371710663554713
"Cluster 10",0.338501587299812,-0.00224548954151073,0.102306936347884,0.0063234889298463,0.177752692101821,0.152623383910264,0.0731616192429569,-0.13861818970145,-0.00573365412653537,0.223372557058801,0.0135121407532668,-0.119545441282267,-0.344575762817785,0.0659332156801882,-0.199304346292864,-0.0887743980516754,0.173826952312085,0.0550492461376532,-0.0306936309249674,0.0433110797980054,-0.114256566047844,-0.238537602423074,0.153807573681639,-0.302946146064186,-0.218114408993604,0.0609187542351312,-0.0339380425652945,0.215487158902791,-0.170085594605298,-0.240200111664665,0.391680998710869
"Cluster 2",-0.154962578593834,0.032738437663374,0.251802322000809,0.00867007158350839,-0.17600938985945,0.185416507071941,-0.0749706573987523,-0.123907063533153,0.0258635855210059,0.150374297757403,-0.183514814390193,-0.25311946500928,0.141574406216677,0.0572791716703578,0.0892808464573056,-0.0847198705596935,-0.0412826468751449,-0.169447057651594,0.0191578988554134,0.149929167106351,0.186319561232755,0.140138778135451,-0.349788019255483,0.434950772926018,-0.0247600349386364,0.103093023400366,0.202149670786199,-0.202523243416034,0.135655550020363,-0.342409746167072,-0.132979480756979
"Cluster 3",-0.0726671197589533,-0.0772544321217077,0.0133027878023291,-0.151191955538811,-0.0049658414290945,0.0525726079298556,0.144178891678693,0.148364072603898,0.103408831183666,0.0597897932447702,-0.17463661856859,-0.442286723175093,0.209321558428183,0.13353191610429,0.0599891539301036,-0.199402154207535,0.186864165252502,0.0522196345517999,-0.00197721867838788,-0.0913492538247428,0.202632271688475,-0.267161195260604,0.0993914454483342,0.225347545391566,-0.0106384933625459,0.0121380810672464,0.220732924878013,-0.0970846218689167,0.165468223236128,-0.241283938910855,-0.257354337714015
"Cluster 4",0.0693352502163357,0.078312526473509,0.0823152912199742,0.07513862002427,-0.0152302121043712,-0.0335334400383127,-0.174948466871116,-0.0272247785837319,-0.110740444792418,0.0530264338641017,-0.068440423431161,0.0487867626963226,0.252416975280513,-0.0163321311478093,0.356625324665814,0.046095651947259,-0.238416327999106,-0.318961221248088,-0.109284382088039,0.0736384103130215,-0.0574582649168943,0.151509599082534,-0.105042024213706,0.0183278158148827,-0.146559308279631,0.129819167826628,-7.05407401767055e-05,-0.080184557148596,-0.174176490315941,0.445728530636553,-0.204473346142622
"Cluster 5",0.172603922114399,0.0328069721295012,-0.0374966015133495,0.156426164047353,0.0229490726323579,0.0428488508348115,0.0480043065576938,-0.162789229906174,0.0579302101424137,-0.1442142774653,0.0490014776544364,-0.0450460965972115,0.0925316830782286,0.0528022017787325,0.117615970134038,0.0295425187033352,-0.123071775714707,-0.0761351401519378,-0.465880268053383,-0.0195867282290343,-0.00938289448723496,-0.286359727321593,0.113529241872463,0.0496194053091759,-0.105101695950555,0.0571950653066187,0.427836354545746,0.141174966900243,0.0781011554392309,-0.0318451678298783,-0.235609935960419
"Cluster 6",0.0219092084174195,-0.080264751860679,-0.193739506945883,0.0447219609472882,0.135158991438318,-0.132220258747177,0.0284268715479268,0.110865480659472,0.219199223311052,-0.104478728953412,0.0817764869285462,-0.110088945890657,0.08976453992175,-0.0496977926838771,-0.0585807337490474,-0.193817967236554,0.0166320703176585,0.452517236190374,-0.0354079992092099,-0.11807029094909,0.0740140956752653,-0.134820369459968,0.131118453789695,-0.296219611328244,-0.259098077290383,-0.233761122736561,0.121620030393943,-0.152090778550387,0.246002852479601,0.448800004948996,-0.0701705713761803
"Cluster 7",-0.12869915684685,-0.0971813516477433,-0.133292657245116,0.235063775373803,-0.0755855371725968,-0.178705675478915,0.0793094612129673,0.146258748680837,0.148885511415863,0.0157207578525162,-0.0930185115505228,-0.171678394846501,-0.0154287814915682,-0.0120794571494202,-0.116803117202721,-0.132931487871958,-0.0440910336808864,0.358390979986736,0.317764832175266,-0.0650878799443051,0.162607960252011,0.206575066500967,-0.0540097547061045,-0.0819457519604588,-0.301397538408578,0.238022654619869,-0.118967086534277,-0.186747404262096,0.105553597269764,-0.100537355637821,0.0940345882978398
"Cluster 8",0.146516688450058,0.0144593083932841,-0.0701077178171959,0.239024369939511,0.0562377594534614,-0.20102181627851,-0.102027548394989,-0.17388379683038,0.0626445552642527,-0.0691756407055688,0.118325958229439,0.531537659743794,-0.281692607294228,-0.129296738776523,-0.18456579341512,0.243921477884802,-0.21549793794435,0.100735841788355,-0.0733223262760223,0.103653746885272,-0.126433651700556,0.228053781953114,-0.0958814835283897,-0.279330056186419,-0.175231698099095,0.0685318465872833,-0.0165758891327998,0.156154696918064,-0.103915265247174,0.0354179202118709,0.19274435592476
"Cluster 9",-0.131866791372812,-0.0934639439449301,0.0502603499026962,-0.235587999923256,0.0579585942297507,-0.0175252123774979,0.0340417571934427,0.149951402468157,-0.117444695397165,0.0908703002911889,-0.0140589563142758,0.143684264844748,-0.175922297573581,-0.0900546073541809,-0.228620888320083,0.0370677416125635,0.206119494245995,0.0285225125447804,0.503177759489275,0.00505596851289851,-0.0695508689867601,0.27895988349138,-0.00956993782742485,-0.151429086745913,0.17947713755482,-0.0618312150494452,-0.466738517503044,0.0321871000437545,-0.117263399686252,-0.0888034945987592,0.272397646549925
