"","LP.01.01","LP.01.02","LP.01.03","LP.01.04","LP.01.10","LP.01.12","LP.01.14","LP.01.16","LP.01.18","LP.01.19","LP.01.20","LP.01.22","LP.01.24","LP.01.25","LP.01.28","LP.01.31","LP.01.35","LP.01.40","LP.01.42","LP.01.46","LP.01.58","LP.01.61","LP.01.66","LP.01.67","LP.01.68","Test.FFPE.01","Test.FFPE.03","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.08"
"ADNP",1.09131324594581,0.887945297536566,0.856247361025054,0.596205593726387,0.468673809224842,1.29244027647907,0.87675188686738,0.79144366025552,0.462778883686715,0.645794030357342,0.424217100099416,-0.217319040451716,1.31278211957498,0.880680316849258,1.53169704211019,0.599079796864761,0.765611602925754,-0.456537977662756,-0.399443575237857,0.460433205474788,0.716034060535518,-0.0842556623270534,1.22955263173642,1.76597232930057,1.14640320391304,0.367845542344336,2.25082206435897,0.964845624640735,0.86179923480174,0.111724963503017,0.341600864126261
"AHR",3.67946221348481,3.88071711569897,4.02377773633031,4.11898388791702,3.98017320124657,4.67496994642986,4.33473672979602,4.50599146241268,3.43715189921734,4.01743139689836,4.03365609675237,2.42820868713423,4.268254406327,4.02643366092015,4.54389725944862,3.30614559884441,4.60425377387446,2.51199081163064,4.01319019032691,3.62492627577823,3.76947139548949,2.56165269979148,3.99694251855565,4.32011393003961,4.62051256579292,4.0828903497729,4.17387389369101,4.40027603235054,3.80009212204297,3.22932939353713,3.61373271678183
"AR",4.74467904467622,4.96021599993148,4.68070264902494,4.68799969872577,3.97620613236092,4.01819607806252,3.75700483749834,3.98717518498562,4.33354099060032,4.78207420444962,4.50505447007228,4.87403258710308,4.70491718764715,4.49461572292033,5.11287777869031,4.53805970623248,3.99917078228407,4.06691309045292,4.40764050930729,5.5545413295957,4.50562034428215,4.54338537895885,4.44186862759986,4.82383130450458,4.34264518025792,4.71452395102483,4.19534908134911,3.90458550368703,3.92089543302772,4.68035988520273,4.75034949338093
"ARID2",6.66625161768437,6.4269829498618,6.50824687373129,6.54598519633298,6.4989231207682,6.31845216346176,6.78223467100077,6.67096492824669,6.18717830672637,6.70875851743733,6.75230991115859,6.46631030475335,6.1798956443858,6.38437523614451,5.95023394281884,6.71324050319904,6.67343040305754,6.2404674951792,7.01523792021838,6.44896344927752,6.04745629424665,6.54484726453976,6.72641827008498,6.34276488717477,6.53227570010063,6.89353647165558,5.66650441120026,6.6866010161724,6.29098285207764,6.0083442812433,6.66167320365551
"ARID3A",3.31368296293808,2.96353749114411,2.91355100146427,2.7292719351725,2.54450276624674,3.06807711609334,3.26691165173158,2.97158552738035,2.91781920932398,2.96835510040256,2.70369954143355,1.85630814995697,3.216413805986,3.2740601268882,3.0412008263497,2.67764407964298,3.14521205621836,3.3185399405707,2.13008167889463,2.8948251293661,3.13550969375105,1.81637034999566,3.6401203982402,3.21749208598434,3.07180562715627,3.08195588771677,3.52295176187042,2.87876794234525,3.69406793041491,1.93077527113171,2.44108173614417
"ARNT",6.59147987273474,6.51130057642227,6.33480848019758,5.80199943154655,6.71531205446683,6.85058294821442,6.50012581621193,6.25869497659974,5.27088376980859,5.99143351678841,6.57161312714419,5.34011554906207,6.23201618566985,6.1182995502237,6.5092122812559,5.8213919180006,6.76950570658734,6.35893458926919,6.09442459643301,5.76925401416653,6.45729310989038,5.94165633073056,6.37166973920251,7.23251672922306,6.62141455537561,6.48402459611544,5.91988873933734,6.32403756025468,5.95962833342004,5.90355234678213,6.91515130152151
"ARNTL",1.22688722837265,1.41312689882352,1.06857775785258,0.687041761702058,0.662500292462095,1.11055716691963,0.199845408113264,0.492748171983338,0.412988111460441,1.17614307611805,1.01414713250275,0.338958610454162,1.37641703973966,1.03194747668882,1.31793833750065,0.499178184773566,0.436083954837491,-0.153342483562147,0.0389802939648001,1.53024872026295,0.450125142595472,1.34487054961565,0.0530456410422584,1.87785612832469,1.16859175872089,0.499607832419536,1.10708809430564,0.523105118529987,0.421476384442431,0.778417018891313,0.375713116007449
"ASCL1",2.06231280652152,1.76809211494214,1.53486892445644,1.45436901419473,1.68159311508664,1.80056958654085,1.81470602633494,1.35603737000103,1.22232279411612,1.35082809085775,4.00445242496342,1.93929128949641,1.49500642326705,1.61319136920377,2.06129165408943,1.94230863591583,1.31850446097374,0.898741301090951,0.725344043488219,1.9471684842767,1.19095547874079,1.33205024461019,1.66006486030491,1.85934374237659,1.42099923196684,1.79665431176023,1.73117162230724,1.07188549668991,0.885984083683626,1.70147422086178,3.05102631783673
"ATF1",-0.316678626977889,0.20637130346343,-0.259955160369346,0.524089830082171,-0.145758145679742,-0.228218056354089,0.403059586359328,0.516579726754415,0.379154291727347,-0.029879525708045,0.984439318358227,-0.787157274777342,0.711817032863578,0.258346517219356,0.0860855197437671,-0.139982677606917,0.0221972027240222,0.706414413885505,0.801377343900513,0.0467384074587153,-0.088091320943608,0.340551227632463,-0.223256311371769,0.0268522873315038,0.00781788874962562,0.504653566793264,-0.0631702772666062,-0.963855163113582,0.457186214435448,-0.163368085304879,0.606078009651226
"ATF2",0.320064614773205,1.12294060004012,1.56254014550908,1.14189173777022,0.234647733832231,1.21762959304606,0.530739559680469,0.934162551033034,1.16302954469643,1.21277719565701,0.677065599647561,0.339467854585678,1.28106825274699,1.06199665600276,0.86819821324733,0.415372812470782,0.969331683701681,1.06044144406514,1.4032651697807,1.44207235137179,0.97769469576897,0.878841278431699,-0.334940609746096,1.90811453789003,0.222053057328216,1.37500899279114,1.73903608428822,0.343278027413504,1.33320442005564,-0.348668542972702,0.37159664200622
"ATF3",-6.61996016832651,-6.91985306850957,-6.73307779255044,-6.87416446758368,-6.45921353725802,-6.28870532435875,-6.40132622603009,-6.07590964321689,-7.13277027894505,-6.75272504785516,-5.42586799800121,-5.48639474534307,-7.32949233148435,-6.27417033768807,-6.83595183213056,-6.14170029380192,-5.90757095720319,-6.23052139058009,-5.85829607309535,-6.22417908591025,-7.02772187586636,-6.3045861541723,-5.67426653606214,-7.56902939107906,-5.89772407588343,-6.83796139436572,-7.09443878226349,-5.79682496848076,-6.65032850758078,-6.15364942963968,-5.33784922107522
"ATF4",0.418495506301271,0.662301765305116,0.522764368678686,1.68226336726659,-0.0593094801330207,0.585975349279216,0.568863413167371,1.45573973446501,1.27481966258523,1.64898839503537,0.223039604194772,0.368644507168892,0.857018244805177,0.704333728458023,0.266760151801527,0.36813910345287,1.0027868350045,1.27980940178708,1.74407446172493,1.20302958227406,1.74010599919045,0.382613128593231,0.715245475619471,1.26776670487118,-0.0307758678120677,1.84737800452453,0.658504032349641,0.360970769206355,1.13225354961777,-0.227164854518168,0.459517841971764
"ATF6",4.54142688825862,4.0435279712117,4.49465430127921,5.02717339814968,4.71724491569131,4.17250153898525,4.73771317487042,5.05685043083071,4.73651486454055,4.5996755017814,5.2772552069169,5.10496997941933,4.42719231947969,4.70017335575553,4.41383941675522,4.56640144265027,5.16900115141228,4.5254250542908,5.57408581272519,4.71831470341974,5.0654240885376,4.6799583774362,5.38233567038875,4.23532624854031,4.26411554450117,4.86922495376087,4.93490092479772,4.69535680723968,5.04781476246158,4.87619070702143,5.38431042379005
"ATF7",6.03772506383506,6.17375075655853,5.97509596023617,5.78371679495424,6.40402235951406,6.02289717789368,5.88992216939039,5.91125658727197,5.40708633318885,5.73731372289206,6.65013512844898,5.51896089952496,5.59589675377535,5.90740575203589,5.9660338817211,5.89666051755157,6.28901230315713,5.66549272904434,5.98069880179901,5.67652073747752,6.20626707412758,5.68685980712681,6.36119020288993,5.73801712346206,5.77982849147224,5.80986913387216,6.13297756482665,6.35335367495994,5.93626944600701,5.51343918176514,6.12264818968027
"BACH1",2.4757312126042,1.78207464820318,1.55973976867091,3.09455872454697,2.8833934572246,1.81273926617341,2.48268380189429,2.79285118954387,2.77801182041896,2.01022835334091,1.93536263005554,2.98367193937105,2.54851753877805,1.99591842322019,2.24874830116463,3.00832681223622,2.30250171427426,3.1134364363413,2.48390345642741,1.86088170053013,2.62350377752695,1.6598250105721,2.79274026167033,1.7721439304633,1.89261428082561,3.14907814984702,2.85457001802718,3.01484479437487,2.31805185364671,2.38983132057159,2.19238460756156
