"","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_11","R3388_YZ_12","R3388_YZ_13","R3388_YZ_14","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_23","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_30","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_17","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_22","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28","IP.108b","IP.115b","IP.124b","IP.127","IP.138b","IP.140b","IP.148","IP.197","IP.214","IP.28","IP.31b","IP.36","IP.38b","IP.52","IP.57","IP.58b","IP.67b","IP.73","IP.82b","IP.89b"
"ADNP",2.40171895250021,3.2598398323737,2.3603106771511,2.70610114631051,2.29090917781529,1.7387036527938,2.1225441470189,1.91989752231928,2.74425283251387,2.21978323918643,3.85485177011147,1.80410566656974,2.91718458134575,1.79582050631375,2.73603337018605,3.39325077396017,3.01408346499293,1.84266242546972,3.10420811669758,2.55880552427135,3.21347416479622,2.32649359472044,1.52760865025061,2.88892085879655,2.85972765535778,2.81170636570696,1.30104974923178,2.03669608442611,2.37459767456392,3.03134771946883,2.89722540498877,2.48611656875049,2.72775764701427,2.43058480711789,2.49678839822381,2.12166181779789,3.20609710396012,2.36945414612231,1.91029015968731,2.30304831074807,1.56325816828819,2.56702328678516,2.74003566899005,2.65229306275391,3.36609583029817,2.69269726269756,3.00759024147527,2.57897642116462,3.42100013585387,2.59452247242312,1.76734606862272,2.82252650220811,2.95605082280822,3.11246113987427,2.86789015662602,2.26823541852472,2.1847678392221,2.47776995564273,2.37707857583067,3.15907069313872,1.75522857123806,2.01604747437453,2.80542539787181,2.65887038343579,1.81128143012172,1.98696819252445,2.74255233466322,2.52418270486047,2.4503960789096,2.91954795215134,2.651831365416,2.18020712663167,3.09946724507867,1.34803130817493,2.37052759301437,0.241376880497807,4.26312573269705,4.52624486260573,1.42467908873926,0.916819779251973,0.972521322678862,1.79597481278339,1.43068541546611,2.78297861492502,0.821172917258309,3.06653080082096,1.97710515508127,3.91930002342958,3.32537267489308,1.90921846097018,4.79977423600279,4.06522116686221
"AHR",5.47492895251341,4.30153460163162,4.84753221820563,2.61035099161886,3.63116160364488,3.36805032244143,5.12544063713669,4.26386823038423,4.81704127897138,3.54228380767511,3.49618670155334,3.59981288848473,2.85184769256433,3.86570746651538,4.30915765247093,5.23641477520182,3.95737469870879,3.19833215989703,4.20712439352454,3.19148220142176,4.11609088426199,5.13875919899501,4.84616133535923,3.98282655960609,3.43407335954309,3.61230514347365,4.50604201281049,4.79185169496865,4.90283623904831,4.35938869184735,3.67771401999668,5.32846935846851,4.56124925508604,4.73883275801593,4.01933901737007,3.94841173093505,2.25241269016452,4.20853904091746,3.50298948772036,4.20484113545805,3.59122937056254,4.18227986051392,4.8373393551704,4.05210713006442,3.95111474994622,2.81551742164965,4.36589889680203,4.56267515728189,3.27376485487316,3.95670096178012,3.53304769692179,4.39608851078615,5.01958913429167,4.41829385666621,3.51555140037461,3.57244025438382,3.08059555272691,2.81886822050912,3.87668161410494,3.84747148371162,3.67895505173983,3.85764008536902,4.55683530819784,4.38094754274405,4.3973652326671,4.34777235982474,5.98922351701095,5.35732113155235,3.70735909479576,4.76481204761336,4.31372005150556,3.77220250786771,5.71195572061525,3.63657742457152,5.39471400763973,3.01238774482061,4.16578374389628,4.1559760587389,4.06502240925602,2.20395785318958,4.05919606133332,2.20741043818179,5.62814375587142,2.66946058936494,2.82176162305807,3.94651650658148,3.93624663817998,3.71068167934122,3.39896985355204,5.0484205040792,3.52132282118356,5.23350130890669
"AR",3.29387140637742,3.44509359461398,3.68128557269448,4.33106221779359,3.85749971291698,3.66686503536226,4.03804064462209,3.81211803410795,3.49021503844892,4.74980166872869,3.77274066388049,4.06208072954918,3.28817191041258,3.588765303099,4.25860386861917,3.11913225634712,3.55745893446439,4.52990160339981,4.15586787419036,4.41857838559323,4.32474532788439,3.08097595491585,2.91943106411507,3.80399461092238,3.76582053164849,3.44591933376325,4.29840784157301,3.04616436846509,3.56321149505943,3.87453201547631,4.32722269205819,2.50961183809774,3.54854161610312,3.71819936197141,3.84767768823388,3.80977895728724,3.47402248643949,3.62631440661887,3.00570600972504,3.9602128332488,3.28624008965436,4.40893292438494,4.37875525135994,3.89538962327477,3.70997459770338,4.30691900587027,3.63634419641093,3.66102465018732,3.55152778981819,4.88480834372254,4.47593352528966,3.39836333059438,2.88600601839507,3.63089032149313,3.85894000612219,3.46008173598041,3.74566558753321,3.91620556797826,4.43748970108195,2.29894996500541,3.96277722312873,3.79271195466725,3.36020114414518,4.42107020739427,3.71524236061085,4.79186355482114,3.0463574086953,3.27595566711449,4.33495334602361,3.82523474887783,4.52046532864052,4.32535094005139,2.98749174946814,3.05241008073321,2.60118480533307,4.20503504810762,3.79614776663931,2.96604565921979,3.51729697068828,3.9033987560175,3.78860829250901,3.61003489111686,2.55702141939834,4.5581606286982,2.54256336825715,3.04584262297392,3.07699918170731,4.27635836469706,4.60566137137361,2.91881059136403,3.97035049210923,3.01952170379596
"ARID2",6.5776135854864,5.8888795061557,6.6304148420007,6.09790767770462,6.13395377351009,6.39537848972424,6.20648150408965,6.27591987014408,6.77695332371451,6.23443454797042,3.90531015111403,6.33589002225004,6.36707743803439,6.77108491074076,6.80935758156758,6.78312538221585,5.5901107571051,5.3976715623218,6.16855538328053,5.31668080654522,5.9597494169884,7.11177258361515,6.63891174563521,6.60063466705993,5.26479226032329,6.36395874979452,5.99691061576173,6.45948805207772,6.51060222126092,6.81909987784437,6.7537739232061,6.51561875813921,5.63531449542066,6.22246960213573,6.41755793485107,6.86584023958815,5.48319740265816,6.97845308554632,7.0354354822318,6.98279025662584,5.87290106332967,6.91666294345576,6.12699160858822,6.04237558977318,6.09867115196448,5.52273560695663,5.47139335906865,6.30827393271662,4.64981580301369,5.49905219230934,6.5989870975441,6.73457653419918,6.13528519974332,6.20293324133115,5.86749212942537,6.74054359101485,5.68967794744253,6.13216389062382,5.78586827461305,6.20391029318498,6.45380822591191,5.77521738892037,6.76763865054323,6.72244104654117,6.53614022223128,5.75136725259435,6.24023492557684,6.3777333241465,6.46070056959418,5.85424106474729,6.27105971314665,6.33648262751773,5.64281941576462,6.25819398443954,6.18348734562992,7.99175846904362,4.62712220160591,4.5594140115824,6.22198107156412,6.24970425658883,7.2758905511522,6.63931618926932,6.2252604972438,6.52079998121923,6.46692239064919,5.73695916185826,6.36257416451846,3.7844006585336,5.58139127413898,5.65512709031578,4.75956231934219,4.08818681336858
"ARID3A",3.54640643759306,5.07209708931177,3.69175393270339,4.20362846940424,4.07445491878134,3.50628282896267,3.79498282015358,3.86999465071306,3.84607489467776,4.32843164551798,4.70516870796826,3.59649801963686,4.68533908113238,2.60515740647216,3.73461259156742,4.88708100278301,4.90010223979731,3.69275160772634,4.41956687460182,3.90775065909851,4.83235654826723,3.51077541623541,4.33766550985505,4.11553379566707,5.12665515661146,3.85213412004018,3.33895450230873,3.87634848780843,3.35340747672673,3.91912842704124,3.83301487760653,4.39524097234042,3.91850825729412,4.70098810316301,4.36803952761961,3.89016848296555,5.04725862462318,4.13987197225272,3.18969755230915,3.62297181066391,4.25699005843886,3.98628354138168,3.62226120392564,4.77771493360676,5.21443790960784,4.41822867305525,4.86840607829125,4.14454878698253,5.08209338743419,4.37708477336268,3.72255076808176,4.49859838937005,4.36798191079137,4.25751344865228,3.40689346706674,4.7947077795602,4.63035637496915,3.95145871616489,4.24716999362947,5.47052559889059,3.28905129425148,3.46479265621112,4.97322944547879,4.25615276488066,4.04782897749759,4.01800376301481,3.8937522871466,3.77507088549488,4.08263055676006,4.79261640303196,2.87470805977845,4.56994603852807,4.74113855144535,3.08756134983509,3.78974234687307,2.95901355627869,4.83322103930428,4.94409461949071,4.11925664707721,3.94616091150679,2.36366152472227,4.39673666463839,3.67425822483845,3.44803243370512,4.09153435324312,3.90918055903296,3.31914645641501,5.27235409887715,3.35847649201928,2.98337830169736,4.91328548546217,4.28947925931394
"ARNT",7.62981403263562,6.21085874050608,6.63361174788869,4.80208075523098,5.76140168495705,6.03835433680269,6.75220707513846,5.60891085021982,7.28466032013368,5.60929330421554,4.09774055489143,5.58835459093334,5.04657487889907,6.87026371236922,6.65211405563116,7.08749135937449,5.16261083505659,4.94345369210822,6.41230430603922,4.96962848014017,6.45686077924874,6.99733025234347,7.12623968302125,6.08585887238373,5.01024583765991,5.46123137501488,6.4360821407334,6.74806999774358,7.02087156974989,6.33978060780024,6.31488185164864,6.22369029859725,6.15163147860487,6.68524174667692,5.82251115950996,5.89692148394996,4.24369773519679,6.29582136114659,5.56476650719084,5.93524527244093,5.74729412110639,6.4835159343897,6.38837379728351,5.34958731197378,5.54975920046931,4.31145568776731,5.71208247706883,6.12846468797777,4.90648982058026,5.4820363934325,6.07412717021895,6.78208025217457,6.73907225580603,6.39699751469825,5.56038658201318,5.96425152429436,4.64629961909819,5.35721959179294,6.21975490694892,4.5831126352324,6.17422701066142,5.67399852279117,6.20807846839438,6.45337428346502,6.87647890926371,6.1698759454841,7.10026637287627,7.31556427587088,6.36063273094527,6.69401784421852,7.38006513233022,5.11931304010336,6.04421722080002,6.1935715710915,5.96206246864777,5.51561036458978,5.68653395694248,5.901054646977,5.99418567709219,5.01272188859619,5.94611742822309,5.37779388891514,6.97899034285675,5.15060714385369,5.12486112189923,5.85503860066488,5.61771135421347,4.38657053511746,5.40825923215208,6.02240714576766,4.73752105468402,5.26505611683377
"ARNTL",1.61110282489539,1.26989503865664,1.0794640305033,0.346911774431111,0.452412922555452,1.77549484732205,1.26806482791351,0.671876438356108,1.54241818604934,1.30508001960369,1.99393145171066,0.699632498412556,1.28540094392147,1.66648319047057,1.4257339646937,0.973032380543004,0.489345832151331,0.590029975321384,0.974442043176737,1.20312664328129,2.0166843366235,1.54984302557626,0.743420731606922,1.08940376699051,1.28049299307379,1.44260715092548,0.2465252782317,0.803188551697209,0.535267037892885,1.57847648746455,1.09766677862955,0.76343369329425,1.30799875350074,0.555142712533169,0.948513548043472,1.21967078965953,1.42031102801261,1.64247425782901,1.26794858247702,1.06754680159928,0.404307344114218,1.89021180454382,0.745620424427358,1.18146351339432,0.952154230871331,0.846662211507477,1.33913028948175,1.8873025822252,0.538665232419178,1.12812822426991,0.56804687851946,1.52792928432251,1.20120517332455,1.77325134300402,2.28684506021342,1.08743238261281,0.555808663663089,0.567218131548496,0.890382982439873,1.40067774089921,1.48893746837166,1.17670473874439,1.21686785869287,0.763615310561879,0.622865191890745,0.83857913048936,1.35890409114838,0.822497789685279,1.29898261029165,1.03345250948098,1.07974665006435,1.01750529399876,1.07740225208199,0.244468236500589,1.68558969247709,1.29876490632213,1.68319680194577,1.31569514219484,1.30014036525653,1.82911644722847,0.854100316322623,0.749210041703666,1.7027023140882,1.37936412696461,0.509371539749515,0.941153390339151,-0.0857727186918965,2.10017055645283,0.523449701622301,1.05277648056525,2.4375898056896,0.959629968437457
"ASCL1",2.70723434434869,2.49596166053177,1.88507367454115,2.66488962264683,3.28628091973901,3.5313117075892,1.48366077754894,1.42220576063573,3.03172462570351,3.75677386844264,3.11005313992887,2.44049136434469,2.65708574436763,2.09295993768439,2.30645118852798,3.23583010479046,2.81278164628702,2.18186576647054,2.87038238692266,2.86731568384998,2.92629497841404,1.66360329163234,1.27901498157568,1.79020102271751,2.41499366376626,2.58121879441259,1.21448524296394,2.59213564233344,2.56278413365873,3.97252606734128,2.75374997623266,2.23347454854688,3.05187433239483,2.1250159308229,1.91424007139927,1.78965245895806,1.62588426929732,2.06308205759482,2.67949875805812,2.60580760030697,2.02526134407712,2.81466894099926,2.82579468426065,2.71997725898878,3.03832570812918,2.74199298519698,2.52766141577489,2.37813954001913,2.83766769584152,2.48118932949239,2.57731622109754,2.6157631811487,2.38273895130608,2.85010595993637,3.20625019022912,2.33561211474949,2.14749763342394,2.49497735671033,2.41383848388706,3.10751743993326,2.3334654209457,3.56071998364299,2.14081573919398,2.5442958280529,2.10480619345402,3.08195801611915,2.17371342091815,2.2527151431619,2.22580498697684,2.32401644786536,2.45143098386401,2.71066643145005,2.68732883139085,1.00131764679839,2.19045333584191,1.19339453563404,4.00943079083968,3.54521583657108,1.32286746031883,0.804269805548365,2.20086482126542,3.02245832334345,1.76884501328739,1.55337749270566,1.69080115935063,2.26630392989249,2.93592079127571,2.76414784919865,1.61689562231711,2.1142414738717,4.15759924470039,3.63911207131411
"ATF1",-0.475864283230314,-0.297213798990145,-0.277146302181738,-0.248610108150278,-0.0606929282822124,0.11462047624575,0.0970361020392088,-0.0293338959643678,-0.200572599568931,-0.963258990324672,-0.378154452009302,-0.10514498356443,0.107471210989653,-1.32671425966585,-0.000895820709824283,0.00118208347581372,0.912486337746277,-0.510928047699256,-0.0450017090085365,0.238283361897102,-0.179982000740049,0.328557552104735,0.172197253064276,0.203459886166247,-0.0822280185128592,0.420246220732777,0.299352670542722,0.168008344416252,0.0262121825043661,-0.653506330562864,-0.426240118938495,0.104981562392568,-0.0749091331860947,0.398536595546773,0.503947412168955,-0.0268763786696757,-0.43639642225018,-0.310564016936386,0.0562358368648461,0.00558462101204892,-0.185772747057026,-0.39156533025551,1.09926595313894,0.427133163889506,-0.101024775210477,0.42876463927869,0.322381968169117,0.362384781280787,-0.134371243999881,0.128846112807076,0.242764251635223,-0.32778295911787,0.039770943333243,-0.555840447332403,-0.540913595580054,0.623450548327268,0.548787261702186,0.00108770044396549,0.499097339785561,-0.387482945615943,-0.289065166145169,-0.251258952973575,0.158595450039802,0.0688817126895863,-0.176753969833232,-0.142746200064633,0.00580662390538415,-0.335167971766085,-0.0823960328197703,0.636764699138949,-0.904476673979931,0.230948328966231,0.526634558008388,0.069567237443323,-0.196947953933003,-0.989038408569953,-0.128343796194278,-0.72372775295567,0.621215793723255,-0.80612183116416,0.162580452853026,-0.00216009277915559,0.0705435570106027,-0.501273820114136,-0.0124427657325632,0.0590037119133802,-1.19986518394308,0.151662093007884,-0.825429689288752,-0.721649520150452,0.390094752020468,-0.46970031831571
"ATF2",2.41531895150474,1.48196705961643,2.33455414649334,1.43747763375994,0.96837558951159,1.24971095262673,2.42211138231352,1.28108049120179,1.47671544684799,0.937123573162003,2.93042583732044,1.81669474896231,0.605099764559,1.16240241636479,2.46072810629864,1.14798590625997,1.46154764222742,0.94339410856293,1.94010947533011,2.69746081731798,2.06826165103368,2.73558033065463,2.27734032723354,1.84190781653756,1.28739563642523,1.89807117651541,1.43219989418642,1.03889758472269,1.70525771786156,1.74009133900877,1.18479233643025,2.94480684965335,2.90154479588279,1.66981577502519,1.33117711044931,1.6763672858067,0.0429538386400632,1.72013591431765,1.65767082852421,1.71704173724304,0.787085901093412,1.3140986828071,2.58462229187255,1.72495300786652,2.16983277268098,1.37402520778694,2.98100049276608,2.52603220367907,0.912146274558763,2.76095701861217,1.84531041951193,1.90521583550218,1.29019038355639,2.29338280282335,1.07056710834269,1.96391142806296,1.52850820848956,1.20717298756632,2.04275195100709,1.72585572246743,0.406865767776011,0.928392405182604,1.96485673639248,2.06869461034804,2.42920128258998,2.18760256109416,2.05142927130274,2.14124487995595,1.2059708626157,2.56393565212442,1.63502074157022,1.38084109718593,2.19548674530599,0.175651104358259,2.71503330865462,0.792246690798589,2.38618202449082,0.722121420066868,1.913544182933,1.20672381868606,0.625724142672767,2.36751144371617,2.22902341267121,2.72294892921245,0.415550702399867,1.36249571582825,2.69019694245317,2.51998693094103,0.771442444124976,1.51009674606419,0.912323945028893,1.88286921061512
