"","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_11","R3388_YZ_12","R3388_YZ_13","R3388_YZ_14","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_23","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_30","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_17","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_22","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28"
"ADNP",2.78254422917592,3.43364553800673,2.70778375084023,3.06535918124955,2.72513991350175,1.99601707581158,2.48884529304106,2.27636710342999,3.11864264108047,2.6051742920861,4.08588293623673,2.19911836672883,3.16193999755581,2.12177817753303,3.07659881436146,3.68518331187383,3.3453764213073,2.20472477558844,3.37495512763521,2.85098880653705,3.46362030329347,2.64583467861396,1.80030147519859,3.20849144943976,3.06140893151587,3.1978509308473,1.6164700639865,2.36977363613624,2.78156283917716,3.33700526896803,3.22609384995699,2.88079780136919,3.02917890281547,2.68496614040299,2.77087141607069,2.39522908206459,3.49996122034908,2.69561995670533,2.29250667637999,2.64813288236808,1.97516812041104,2.89592683469801,3.05824653793911,3.07844240838466,3.64363649904811,3.04836943772591,3.30244611765165,2.81378984866506,3.68981056212245,2.90406100450095,2.13171821771737,3.14608280429043,3.214668182647,3.42810961585349,3.17988622533558,2.5577239022062,2.49812666315208,2.78254212178515,2.69442612665794,3.23107426184716,1.89854419463742,2.28822119907463,3.04488005495302,3.11003788451737,2.16544197756932,2.31631623088087,3.05614564922234,2.8357062719401,2.81083541328043,3.27393093464069,3.08586036420476,2.43919972449474
"AHR",5.45478336265488,4.27694240626349,4.73364964322987,2.68606874431017,3.74395800297557,3.46892434601314,5.07291631208457,4.30791250642475,4.92516440174333,3.58039690137143,3.48156856740119,3.75398884286571,2.87899623988705,3.89696941536703,4.32313240333356,5.31467302365423,4.01107436565268,3.35593345787969,4.19669248447556,3.1363401009935,4.09985731184117,5.15815937085397,4.87509078765595,4.03751255233644,3.37474044229541,3.73062912955029,4.62103660507146,4.87819042178961,4.86387733576023,4.38624335204492,3.67771937693716,5.2641957228496,4.68472849400091,4.84786585179741,4.05186046273768,4.07188440168348,2.27251877638044,4.21511659923983,3.70323209587595,4.29301205636272,3.65616354216647,4.23617237451268,4.88660785410393,4.03903960091593,3.93554988189541,2.92571593035046,4.296743329437,4.57784655191791,3.37878011153006,3.94161745813029,3.68611962016794,4.44265673462422,5.11390618057861,4.38427217819325,3.5571902846192,3.57312962179785,3.12947140348306,3.02057283368583,3.89481781586335,3.98159437649937,3.68308402981935,3.93137407288777,4.56348272076991,4.37020122894264,4.43897052932422,4.40678897118205,5.99003687976615,5.41671887232947,3.77540625288498,4.71798408054225,4.50783081114251,3.86224063029038
"AR",3.09049914896621,3.38862684820919,3.59803389848952,4.13396596782767,3.56055618853527,3.41090788807136,3.88684973356166,3.68949077084229,3.18075130082251,4.61808096752269,3.78174255615531,3.95713594266506,3.25259243648783,3.41401431749001,3.9427849887297,3.06072137516183,3.35668816298121,4.48964444999804,3.85836325969308,4.16218991560874,3.96329659847223,2.89047835046205,2.65991706321515,3.58646463920383,3.64873800388063,3.23450444902232,4.11629753444313,3.00037711332654,3.40819898380865,3.78089990744627,4.03471906662306,2.46249175250143,3.27895940611293,3.61031511115802,3.62105809587365,3.73055303452597,3.45059452557313,3.48137709204702,2.95693652725287,3.88840267775329,3.25173580965742,4.22767461542368,4.26126772142144,3.80976014325822,3.54505642193515,4.00556042829254,3.46538863832188,3.48311180416517,3.46358781049229,4.70251151480312,4.44609681090348,3.22418941879695,2.73514974395241,3.48027912211239,3.6944715537854,3.36441234241288,3.5425523390218,3.73372206825671,4.33164809768137,2.24087529097624,3.83276217908579,3.72735213943856,3.24233749828141,4.23586465928821,3.54226493922328,4.66654303963569,2.87262130292842,3.23326336708279,4.18884029040948,3.65380202174767,4.43471596848508,4.1460842788854
"ARID2",6.01202578164181,5.27814359639206,6.12674173899412,5.58992113804974,5.61921992107847,5.92057454378944,5.6786871693727,5.79075567220063,6.19450908747158,5.7798719437648,3.49308213043682,5.90908032758679,5.81850040700149,6.31856684349994,6.25268987265457,6.27026178242008,5.12528625464622,5.01299381577755,5.59256439713426,4.84643031715152,5.40282070418274,6.55440737396681,6.11761755867171,6.04037454645485,4.75081396193323,5.90366470389958,5.53021109139904,5.981127445764,5.98072959249195,6.34651212021089,6.20509005020322,5.93261556260611,5.19385588770868,5.71155345773522,5.8667178377368,6.31532430086375,4.99757330995564,6.40625367654136,6.59213506950712,6.46228691863145,5.39091252809972,6.44614611490608,5.65817888582342,5.49545660496581,5.48660406778027,5.04168602538127,4.92007471579219,5.76465165996368,4.20614808852148,4.98603664439842,6.11571501750505,6.17263576469947,5.66540780106443,5.64297361810323,5.41786163720971,6.16553488122593,5.16413440057873,5.59440987421905,5.29091744974296,5.67456361007605,5.9908914412862,5.33648867803677,6.17139553838892,6.14598550591999,5.975725499005,5.30565703319009,5.77268441742623,5.86755201602674,5.89838637633591,5.29830267826686,5.81592220932376,5.80948232781713
"ARID3A",3.5650950734168,4.70400284969154,3.035646288754,4.20835364704848,4.38886798074578,3.3937550605293,3.80517739101459,4.10531767708828,4.04231139958403,4.27706020393532,4.94721515842252,3.47579154827099,4.57728093518648,1.97682048493003,3.88511167309695,4.81860613864412,5.35394202337479,3.45383099757185,4.49692983144531,3.6800616989684,4.90915040371229,3.61311374129305,4.48978577573406,4.01634080812211,5.56377592501421,3.72578132955357,3.58557519652714,3.80701856054216,3.25946671753607,3.59601270896524,3.9986944987469,4.37904414189031,3.86927910840791,4.6106090454807,4.45981053695746,3.94180422748429,5.55551807230477,4.20519470613864,3.34120736959378,3.64561245691728,4.53335216505303,3.72789677342562,3.84477527618627,4.85120862311877,5.30975736680083,4.25971311168737,4.93854625776182,4.36955720756684,5.53847440214334,4.17584612114042,3.79590410164441,4.32215677487988,4.00586409567988,3.91515057803786,3.12581264668149,4.95295092110069,5.22935419856695,3.85856819496178,4.4578122062561,5.26243800739538,3.02068640390725,3.24944423376535,4.95552710680604,4.48153160230293,4.61780654649508,3.8379664980581,3.74843177911268,3.69580292288546,4.59029616230611,4.6211861834074,2.64227359495603,4.58035584897224
"ARNT",7.21129421270086,5.7729400580579,6.22974768012286,4.4689114604012,5.44050533130913,5.71212610365256,6.33157898769141,5.29596264458226,6.91083597460145,5.34806262577792,3.70855349039658,5.32017493466865,4.68936666610074,6.57544007330519,6.29484096487966,6.69855458603173,4.84324103224862,4.70952303854371,6.02398656458569,4.61391695129964,6.04522963060918,6.59270150376767,6.66611978318762,5.71978050254756,4.57353212107726,5.22453557135602,6.07229338205041,6.4515033189325,6.62285910966876,6.04915044180072,5.94505338505134,5.77897555378423,5.81383630765422,6.32142574531466,5.43287181478578,5.59400228277892,3.94494567416487,5.94352797796337,5.30165286119696,5.64019228947388,5.4291899952271,6.16766254354639,6.03119282541622,4.96794519625276,5.16018920817651,4.05932593669307,5.26511873806803,5.73434537004116,4.57340833108473,5.10822630992537,5.7794828570585,6.36534522538958,6.37026473850641,6.05812926207367,5.29984690129369,5.58012448490596,4.28953442889322,5.00156849393732,5.89600318303402,4.24190085907422,5.83469347109177,5.41921281734618,5.77290297338992,6.0655119046549,6.49704571312832,5.86385388231572,6.74822585655063,6.98060599383193,5.99807172116133,6.28148324468522,7.11144094422028,4.80960888015984
"ARNTL",1.84531934399849,1.487080344485,1.30736818378645,0.596589940758658,0.657714656736624,1.94802865129306,1.49469315085547,0.929383858887896,1.80916527806079,1.50617139323965,2.1246748346833,0.983104500581946,1.53205026001643,1.86847463860644,1.6679592729999,1.18171827235472,0.732426465714978,0.842878282099298,1.24317309632139,1.40470730819455,2.21317713143531,1.78211405579303,0.979814718004321,1.34692186386679,1.50040270520905,1.72226233398137,0.503896684228717,1.09665331116913,0.750948603712195,1.8301443724854,1.29277549277267,1.00296225135843,1.53440871585636,0.812757995132027,1.21311159676105,1.49727962894752,1.60879476192333,1.88570183900918,1.49603957531065,1.30757477668494,0.614985117787132,2.14292429957091,1.00193593405016,1.43820264883081,1.14093381371524,1.09832271197902,1.5506216533533,2.05143278509483,0.734881484777064,1.34885529808899,0.840816251824891,1.7501024404786,1.4526082302195,1.98752945256015,2.45480018080782,1.26381288161996,0.756712158154895,0.769717191164277,1.06707616099354,1.51638409337232,1.68124299940243,1.37577891422831,1.38730476651255,0.98423882356316,0.826944790090137,1.02779288565375,1.52497246111556,0.998879956895839,1.48198122048465,1.18944008692086,1.28084244601224,1.19810838158489
"ASCL1",2.83932908713644,2.60854415408802,2.02818364000894,2.96517183245211,3.47727018734352,3.69978493001313,1.597848452428,1.69459692451958,3.21193010788911,3.96135731214866,3.25088505512943,2.63908676799552,2.83309520418226,2.25288913131829,2.48819704284654,3.40454138934748,2.99127760445498,2.56041184467137,3.0465424973152,2.99627020325231,3.27375238490083,1.78622389756316,1.4696457472006,1.97085885891307,2.5908579210616,2.8598327535627,1.47530090602333,2.88290189549626,2.69374868480418,4.09039746837193,2.91435815324897,2.42282834931538,3.19839569218445,2.23894341221449,2.21115568673855,2.0224150467412,2.11399740581447,2.23360181638789,2.94240881727323,2.82355637676922,2.3376683711297,2.99343109677701,3.01568272241827,2.8512525187617,3.15224993170065,2.96955817997007,2.66845510383559,2.52086853627214,3.10872473790914,2.68328381039858,2.805277074213,2.73501682678736,2.57876970635262,2.96204499390168,3.38266075745362,2.50362845582025,2.37025068094074,2.65652270845295,2.59037715537507,3.24830903523462,2.49060713015811,3.73637732671347,2.27143370979062,2.70715418585249,2.25762830215643,3.25680737088807,2.3078731475564,2.40393881020966,2.45399755379569,2.47265129893469,2.66877928724329,2.89204729445102
"ATF1",-0.37224112541982,-0.25753413785677,-0.149499187455775,-0.273729534105096,-0.10548346288996,0.0839972277464267,0.0664144249291967,-0.0904062363528394,-0.121231232415808,-0.981436078337351,-0.475069181770931,-0.158281379666178,0.0195290419407555,-1.19772015489485,0.0329927117961578,-0.0533703120486401,0.912481994316057,-0.667931439514729,-0.0175905099179469,0.266310840672838,-0.0975115541536971,0.404905362747025,0.0602456157505949,0.22348687344908,-0.256498963609138,0.446101399630666,0.207391403408058,0.223922084137277,0.110975087922345,-0.574912693179385,-0.394659508080479,0.067900453467819,-0.122684880848189,0.352124667919244,0.479834439004856,-0.0166732777618947,-0.221365794288638,-0.327592895349576,0.0897140215094862,0.0809218273450005,-0.223486676791852,-0.36911984306382,1.09122888392139,0.364854029473989,-0.119445015083552,0.263120325274649,0.297844158620887,0.240774172644701,-0.181690985470794,0.114624392037532,0.272882872202566,-0.407219288934302,0.0101260740324387,-0.495848767542268,-0.487385621372538,0.646446097658529,0.527471555117907,0.0494176796625034,0.489786020524389,-0.468807712410026,-0.297612408723162,-0.0563789344670364,0.221684028018295,0.140844999489634,-0.0226793857032936,-0.0879993597249807,0.0272851713002136,-0.388467689100878,-0.0840285187735467,0.655395239049914,-0.77835099703192,0.234442364649855
"ATF2",2.97107460039115,2.06264551939997,3.06088910497351,2.09383637428761,1.72506970317276,1.99627945080552,2.99337468083441,2.09318526442833,2.15075910512443,1.5948752276061,3.50673621743284,2.4940024338128,1.2799712865736,1.90594782137894,3.0781992441243,1.89233516086377,2.24700397504118,1.59922191495,2.52830698650123,3.17151236973155,2.7744829522437,3.28014890271962,2.92256297877113,2.49443480573779,1.93615721635687,2.60048898103315,2.08475153366277,1.77318775296564,2.41988644608565,2.42142451332445,1.74474895984689,3.4478348083402,3.49504738772812,2.40262694135538,2.05292970771783,2.30964855184957,0.622491448393186,2.35560741945599,2.40128540732532,2.49870440529785,1.42006185776588,1.933462467493,3.19780309004758,2.32658839903751,2.82198767963375,2.08093765111407,3.48984333563163,3.19645752478153,1.57620041524055,3.36203269604281,2.65463421048492,2.57281265052444,1.95407299985855,2.76365954103137,1.82478485302153,2.52158691875616,2.11718932282036,1.81515573137756,2.60013089914702,2.33021072189257,1.09978869733096,1.87296134666207,2.4565889436606,2.71899013441419,3.30296935246719,2.84530225034179,2.5998796334804,2.78471689082835,1.91547462020026,3.17174094961128,2.45061259775506,1.95969394729724
