"","Pt66_Pre_AD667850.6","Pt94_Pre_AD732850.6","Pt84_Pre_AD486532.5","Pt62_Pre_AD608303.5","Pt72_Pre_AD793922.5","Pt3_Pre_E9024733.3","Pt5_Pre_E9021022.6","Pt9_Pre_E9021024.6","Pt18_Pre_E9024732.6","Pt24_Pre_AD436687.5","Pt27_Pre_AD453873.5","Pt29_Pre_AD497504.5","Pt30_Pre_AD497503.5","Pt31_Pre_AD453872.5","Pt8_Pre_AD153354.6","Pt11_Pre_AD153352.6","Pt28_Pre_AD297619.6","Pt44_Pre_AD467790.6","Patient1","Patient10","Patient100","Patient102","Patient105","Patient106","Patient107","Patient108","Patient11","Patient112","Patient116","Patient117","Patient121","Patient125","Patient126","Patient127","Patient13","Patient130","Patient131","Patient132","Patient133","Patient134","Patient135","Patient137","Patient14","Patient140","Patient141","Patient142","Patient143","Patient144","Patient145","Patient146","Patient147","Patient148","Patient149","Patient15","Patient150","Patient154","Patient155","Patient156","Patient158","Patient159","Patient162","Patient163","Patient165","Patient166","Patient167","Patient168","Patient169","Patient17","Patient170","Patient172","Patient173","Patient179","Patient18","Patient181","Patient183","Patient184","Patient185","Patient187","Patient188","Patient189","Patient191","Patient193","Patient195","Patient196","Patient197","Patient20","Patient200","Patient201","Patient203","Patient204","Patient205","Patient206","Patient21","Patient22","Patient23","Patient24","Patient25","Patient27","Patient30","Patient31","Patient32","Patient33","Patient34","Patient35","Patient36","Patient37","Patient38","Patient4","Patient40","Patient42","Patient44","Patient45","Patient47","Patient48","Patient51","Patient56","Patient58","Patient6","Patient61","Patient62","Patient63","Patient67","Patient7","Patient72","Patient73","Patient75","Patient77","Patient78","Patient79","Patient8","Patient82","Patient83","Patient86","Patient87","Patient9","Patient94","Patient96","Patient98","Patient99"
"ADNP",-7.81268481903519,-1.27439916441413,-2.49315925951534,-9.3367774083216,-2.68340290294264,-2.9029944930986,-1.44359344241632,-1.87877138865149,1.68561646911495,2.95282650870791,-1.38515694220758,0.0814526207128661,-6.41964608877232,-0.678666699481769,0.841994098139268,0.24265771699522,-2.981227654758,-0.828703319270094,-4.19707939902407,-1.16613706921144,5.99475734176709,-1.3353942266245,-7.07444415796247,-3.94525670707835,-2.88132962926799,-3.74452499428053,-4.05667777855831,4.51580768775166,-1.23354846831564,5.58113945366777,2.67530890692297,2.25196389710557,1.50187035342215,2.97207569086686,-2.12489603424245,0.0628585220504682,-2.11816972152265,3.63292062603661,-4.78709086050239,1.78639759790336,-6.72629279883301,3.80475751869527,-2.85072137534518,-2.90773986796859,-2.58521100068406,0.0443424821851681,-3.30387572723969,-2.83101491542944,-0.970029425003918,-3.04385815378971,-2.16620537998401,-3.90874736488856,4.64117750229224,-2.84458105753746,-1.69910303186447,1.10021298219803,-0.814056236688603,-2.63501408110884,-6.1058059354893,-1.00003036478922,-2.07158588868035,-2.83563070790782,-4.22556016697249,-5.30567616115539,3.80502238532869,-3.34235604619026,-3.82262761788317,3.74807276544976,0.873403080162746,5.25635944111244,-1.00734854280756,-3.36102974730761,-3.56976089218386,-1.82236575369587,-0.729263007974478,2.53677489487993,-0.516315199057186,-3.07710996190543,-6.67859123232463,6.68846862904806,-0.953925839506768,0.864632207384825,-2.11827641011219,-4.09033927606467,0.701022402679278,1.50731407443478,5.2171239829616,0.234876331888931,5.33763789393206,-1.91903017626433,0.526892808794944,2.02488778255622,-3.82802996732243,-1.60139688441888,-2.22884187554458,0.0222096534845805,0.762422382439187,-4.94515508716789,-3.49803430388304,-4.23760623614027,-4.35646717078105,2.92700696078731,1.89977860213011,1.2570023930313,-1.68857307183275,1.00286986580176,-5.42575861773016,-2.77082322081397,-5.31540684854579,-4.17153128838236,3.63848938483299,0.530816291049707,-6.06932797900122,-5.21488948074988,0.769730662965388,4.60313675992918,-1.24251995632834,0.177927325947043,-4.47173478915005,3.53324195707923,-6.54815263852204,-7.56525485260321,-4.11046877895078,-2.65193654625015,0.0974024216623444,1.54768737890514,-0.295170008975082,3.98946854245873,4.21221926305519,-4.65900501600875,-1.35443122550417,-4.74838507467729,3.72958163966011,-1.87730237464147,-1.44684479018193,-3.17488059964026,0.684894920436218,-1.47867379296178,0.574792120670767
"AHR",-3.66545110053679,-0.791285417248472,-1.07289874969214,-4.7023569965139,1.91748017520929,0.00391662435619245,-2.51039853175426,2.06315870087602,0.33978313859246,1.46438497016353,-0.566250120327259,0.0435984485306245,-3.81419640620641,-0.97434536406052,1.74217208226033,0.605256614522325,-0.355803378258383,3.46402090826173,-1.52992489224965,0.0093231103112758,1.64488143956688,0.70919062646846,-4.38097549470098,-1.36944928316037,-2.07098458397085,-2.46861387223336,-1.55883906896888,-0.370652258983951,1.2291573985413,2.03901067873731,-4.17028726105341,-1.69326012070585,1.02796930443239,-1.14473094612578,-1.04677091070638,-0.564537639407259,2.78608362850411,0.294100950094054,-2.38951840328294,-0.496865780510487,-2.28463675290468,0.51388555623174,1.83973586828751,-1.8557757498126,-1.79635232366461,0.630871379558641,-0.747078121128419,-1.28984860469138,3.94048420653537,-1.719774597867,-0.534771908453343,-2.46025512912368,2.02906278836209,0.417249289494319,-2.69857225271666,3.21608630751719,-3.52376901568787,0.856314131466954,-4.22896761714289,-0.793516530251048,-2.03915625240163,-1.2118242719614,-1.23735059653286,-0.440266351293107,-0.796236005849253,-1.33715677876314,-3.40782394558736,0.298138673668518,3.2930185942775,1.83278291153352,0.557846955741571,-1.85043437165397,-1.12175404152135,1.82529763985178,-0.638936286312095,0.281433268868707,-0.913327408539706,-0.568899549666956,-4.01170948398683,2.21860556190907,-1.9161897515854,-1.94039978198879,-3.48592659070309,-2.76220213833726,-1.19911470944033,1.18333408256872,-1.12406199755324,-1.51666960595676,3.76693240293348,-2.47767995614377,-0.541074363563838,3.83929180971519,-3.92011345471743,-1.9283036141556,1.63276106979087,1.00963547653725,0.878322944545897,-2.18863794016971,-0.618641658179901,-1.11407568002655,-1.08138738121714,2.29755440632932,-0.409601566336715,-1.74982408904201,0.816955243864916,3.59657730544997,-4.06538531194978,-0.276381750419804,-1.6593138843394,-1.98263238216467,-0.428632145014427,-0.812183094298718,-0.696718602884251,-3.37868823597016,2.87097246774162,1.07477860544709,-2.65367388285808,-0.870639394624046,-0.882212770470426,3.27569628131951,-3.03945122389076,-3.57931824391096,-1.86050583073158,0.81487215987701,-2.68881374816326,-1.19302651166063,-3.21272782963164,3.20094563706291,2.53621717115915,-2.30878236959322,1.16979743844746,-1.89093590844406,0.768151543032245,-1.29739740573615,1.16315903186377,0.713083110570009,-3.37096092614512,0.776038585432541,-0.31149134864106
"AR",-1.58745889020247,0.160282032217684,-0.0808454624002866,-2.09773145822611,0.759131028486496,-0.769063685531916,-1.88821943457828,-0.289466851885434,-0.219127103152594,0.603793576704721,-1.40606335390609,1.80080898638467,-2.2932377293692,0.566545039780306,-0.0233792303668307,-0.495483603221653,-1.60078830218459,-0.863809011466831,0.4348066643744,-0.466697266907346,-2.69959825566113,-0.375647252498444,-1.3041533966178,1.4591541549387,-0.764133597031201,1.38514621809294,0.962451167257462,-0.165629104874748,-2.2001858629003,-0.447900612570576,-1.01053773115677,-3.54290730152081,-0.832252962118293,0.531258386724611,-1.93285181019966,-0.52665612872811,-1.57154738011153,2.75974129575887,-2.34231558114815,-1.96905616040571,-0.0620676966777931,-1.2334024477043,-2.43134903583358,-0.0955401328996443,0.287106730096826,-0.41446075278305,-2.41626999843663,-0.71464589556091,-0.961322275956907,0.259093629296638,-0.801461668913008,-0.853580847860814,1.21063529196859,-2.65976001111017,1.76725949561033,-1.75358216442855,2.12499243524062,-0.534066092442695,1.18261183511828,-0.574345107571309,0.434385380826737,-2.72411479949712,0.991639943395852,-0.591182175309557,0.420985804735251,0.327016408397319,-1.43635467341944,1.05801556927204,1.03110647713495,0.236212365937722,-3.14074485439699,-0.794795238920296,-0.582443217069229,-2.77306459276792,-1.56602343154913,1.22544157801154,-2.36890010360836,1.85269495746165,-1.24117372598244,-0.354107383205559,0.308778347453354,-1.31981285712265,-1.13559667323144,-0.0280840501667772,-0.912867446583837,0.0325138209329679,0.555952111521476,0.178220590064168,0.171393101784619,-1.06282302740788,1.7247405070363,0.151881543727083,-0.184495247900046,-0.535350424028703,-0.648277422649634,0.814817875313389,-3.91968301643163,-1.82364745638859,-4.61226166536778,-1.40806097619236,-2.95589865793197,-3.12150352275287,-1.29483870469719,1.1478703743944,-2.04844101331635,-1.50187509551233,-1.16805718821844,-1.96528851883472,-0.887102117885569,-2.39903704843876,0.469166293006551,-1.5034251385556,-3.44270654904531,0.0467473841835933,0.239080222201523,-1.81101459190704,0.672003334830337,0.467769157381842,-3.70368794386504,-1.27320499911422,-0.756129476134157,-1.4049617409096,-3.15472553583971,-3.26191824664842,0.212758235609036,0.248059614934552,1.42411982788686,0.662499578993993,0.759056915134491,-2.37728288671497,1.4585249796516,-3.2086817060018,-2.36360849683089,-2.18775951189779,0.271727873623351,-2.89001863605259,0.421512078424311,0.818677348523074,2.96618110698664
"ARID2",-3.08433760916851,-4.94967419572599,1.11001107180085,-3.65237467616999,-0.64752254923047,0.537320591282824,-1.79257247528202,1.34118357367666,2.06386621063917,-2.17641023644904,0.971552747434093,2.01743084839839,0.613365130773881,1.33817133409253,0.657666547287134,2.73765689020673,1.29852379382318,3.09331541128503,2.27044716985408,-2.60720646901438,-0.683671577061451,-3.13832096475097,0.646507192623145,-5.56469836866995,-4.16041016547226,5.29371146828317,-0.708484137479458,-1.74056550461263,1.12750451765028,-4.11228575726366,-3.5064281219993,0.720365535379632,1.18363364964583,-0.549232503378988,3.38289522351668,-1.21423442604285,3.72322901107455,-2.02395462359076,0.385488296276649,1.45805547277746,1.70158957138014,-0.912937416815917,2.74306870818422,2.29071453269611,0.301740400595975,2.47661780322611,-4.54582815494021,-0.958195325899822,1.5857475222782,-1.74963225162678,2.25986861983974,-0.216944722519477,-1.04869301496723,1.83128964578717,-2.96032899752871,1.58563970216267,-6.52173834437746,-3.41701322550658,-2.83525663788086,0.392301536706897,1.48255107297511,0.367192650417231,0.223106290434449,-1.86286526713591,-4.39924387278437,-1.70037778526121,-1.21912055140374,-3.67382553531553,-0.102526454393467,1.62314110767087,1.59666663915665,1.15503469565253,-0.965617835147062,-1.01805439197471,2.23027117695113,-3.31975889496564,-1.28401569030339,-3.10450579547644,0.363152417984221,-1.68528425031175,-0.131040097902143,-2.29728250915255,-2.50387619977413,-3.65082014916727,-6.0764512761243,-1.88353557467008,-1.50928760276444,-5.54375414320289,-1.84386281589735,-1.09191016808392,-4.89620749284173,-1.80805443823764,0.137417211873563,-0.715874675899401,0.792513292470739,-5.68679166899524,2.93748876511931,5.53483554663663,2.98313365480099,0.993079745705379,3.82482479401819,2.62851995476532,0.658308154804651,-0.340374429777859,3.53645521849453,1.24317851075954,1.2873226153798,1.88678262599957,-0.650835525130177,-1.67774866737307,-4.15143473756381,-5.38549284712278,2.86725338151062,1.3272424509973,-2.31390054536511,-0.601398379925475,-4.2268460704699,-2.78282690043927,-0.766467455010747,-0.75936115007376,3.52267447646352,1.75671941250357,4.22134919753368,1.76124322757831,0.590549818384344,-5.46890460738239,-2.78399990140294,-4.01003526428697,-3.59590485659649,2.07831461873648,0.85992129729046,2.91978590789432,1.39249426404894,2.33844091603838,-0.38747668410925,-0.516868597290319,-0.823151894183617,3.73666139799834,-2.31981396938458
"ARID3A",-3.93784297396611,-1.21526844367315,0.257824129957252,-3.2939328843643,-1.32835540223628,-0.766871293959515,2.25534320565957,-0.768520384936526,1.18827651102374,0.0802269987830302,-1.82965852210327,-0.438077792252269,-2.69880715995747,-2.53247153250687,-0.734049866611331,-1.74065701972154,-1.69285537022028,-2.19500011690519,-2.13707769786005,-2.47257623321154,5.83541121029229,2.67419363676937,-5.61554692987411,-1.14802493044577,-2.28256181419938,-3.32921392647633,-0.391699286553338,3.87786848168975,-3.6071393827832,3.19277295459164,2.55616470118511,4.58357119404122,1.54256038402254,1.46772165208481,-0.29756827086409,0.677216663957041,-2.50423823711591,3.7087150473226,-0.677359183579989,-0.125311859514499,-3.75768894742776,2.73638301685311,-2.24094433894995,-1.58846613115596,-0.258263919012058,-0.451498034955144,-2.74539929800683,-3.378040730557,-1.92136806024335,-2.08651785796315,-3.29638050981124,-1.13697578239097,3.02659500145442,-2.46606477209788,-1.91600322534306,-1.20814849621625,-0.389531957810436,0.901691350734183,-0.949173225330127,1.39770153745162,1.54086989863053,-3.59849509503109,-4.13874713916991,-1.79262416301445,1.09525037051925,-3.30781840315055,-2.77430599842306,4.55117573062606,0.563403992253261,1.20387740054372,-1.43641537754164,-0.442421770340492,-4.71107488769367,-0.72154357545355,-1.34594933721412,1.62095554065358,0.109223953209336,-2.1921766369227,-2.93567007295299,1.31215913049349,-0.0392197182478431,-0.0642844441585384,1.0048234113467,-0.775469513659375,-0.396359165033054,1.4577370490041,1.96077554314626,-0.824690939179375,0.73779808163505,0.547008025097277,1.09731691104584,-0.422293857117272,-1.59007819362674,-0.486530722237305,-2.74609530494518,0.832656230259749,0.0770907083572361,-1.35596198185298,-1.02959261651558,-1.5928663253955,-2.16134389122581,2.64783148796674,-0.884454187180567,3.18985364227922,-1.0083668957747,-1.31014976345151,-3.370607008194,-1.63625693239713,-4.98388683310037,1.77771776631834,3.76204480917922,2.90408670965486,-3.40331228298392,-0.936221317980889,-0.775985008945312,1.1328971688342,-1.16034999074306,-1.39106417498087,-2.10778130301522,0.711785525924337,-3.28821144617363,-4.51485104206418,-1.05210679286705,-0.0226346142827962,-0.769843232994349,3.06183218223723,-0.936298715818589,1.28562036903449,1.3929538618934,-3.14734921120562,-0.580435595231621,-3.06807052905955,5.29271264784918,2.65343634031449,0.174015406738995,-3.13761510651969,2.76739349335411,0.493930920137148,2.86003249975665
"ARNT",-2.45727565622412,-0.143878167662437,-0.63728770801397,-5.26997356413508,0.706960276769086,-0.331604514806975,-4.2590495085393,2.26522695227834,-0.490469526389953,1.0193436608959,-0.536385877914307,1.78115549239066,-1.12706377496242,-0.404885558661856,0.151989543596534,2.1868265863987,2.36296216305468,4.0922788616992,0.0513112587568188,-1.03572746919092,-1.26153360652036,-1.29315122259864,-2.09750885698138,-2.52472380439776,-2.51662224385061,0.26629806421654,-1.9127381675124,-1.27620209952089,3.42453027930893,-0.0161555088689731,-3.97959903872971,-4.2857308988434,-1.36988727772012,1.06850041815,0.141371297221479,2.15930534450913,0.881120697373491,-1.98288228718109,-3.04247049206696,0.223703859783779,-3.11944446017703,-3.13893518805977,1.0027552734794,-0.932639858858481,-0.997912511476043,1.00600095599523,-0.204306272456235,0.204624472609968,2.45980130996667,-2.20121871615628,0.566672370996271,-0.943761219547933,1.24608743295351,-0.284365599446945,-0.466240374200529,4.76807233702819,-2.89751339426827,0.766296080057816,-1.66155205696663,0.223240112285738,0.065458500009787,0.0529918624998885,-1.33690774399624,-1.80174365083743,-1.17112519547488,-2.41263101927627,-2.43217352572415,-2.01939391079848,2.65404605646818,3.63415838314466,-0.0757599827485169,-0.653066081213348,-1.02552118841636,1.72397425626875,0.315864475334192,-1.29397028160227,-1.19419518314094,0.498124166339396,-2.49518518548063,2.32097510973364,-3.80972301489916,-0.130863673182634,-1.76074912601731,-5.43903533830454,-1.7088467167501,-1.89933118283035,-0.41770048032619,-0.554625617835254,2.71017385412354,-1.07852664543103,-0.877341324293633,1.20226547785409,-4.30257961681722,-2.70484762790725,-0.504686528414513,-1.21481700274517,1.14630919874898,-1.91237087337168,-1.04212513800278,-3.62589415941727,1.24762135357564,1.82516684308789,1.57707797876106,-1.73647794662081,3.6966385387766,0.434030818582327,-1.31237642917233,-0.862538801413064,-0.53427391264184,-2.18161011249601,-2.21284197508616,-3.4023535486935,0.560980753043536,-4.41652121394202,2.66246050874386,2.4107963293377,-2.23676282387604,-2.60860689596352,-2.54156130048952,2.10227056883761,-3.82889770555469,-1.97399145271348,1.79482358570061,1.92142806801112,-2.59912798137164,-4.16665322433021,-1.52513826481581,-0.1451518969039,1.38132065330232,-1.84705997898824,1.6612592591179,-2.11038390601744,-0.664086981779525,0.383662119725424,-1.25137634907326,-1.39005898874069,-1.23675903231033,-0.0927118214839896,-2.09574845421006
"ARNTL",-0.612533947270004,-0.645870213466097,-0.748314406490947,-1.87692403207377,-0.508632290513776,-1.79902048305654,-2.42352199903187,0.300376018057877,-1.31205756718331,0.709352989902389,1.25718724920669,-1.57857604181237,0.534888880590721,4.279139278559,-0.354502463401627,-2.75811031285218,1.22135404842739,0.29272132891447,-1.59952216227346,-1.73304359924105,-0.87949786487459,-3.14343711820184,-1.19611159314212,-2.61922875666391,-1.79039729585125,0.225251274353574,0.246761522091214,1.97050179596295,0.584122710981945,-2.05429374935879,0.336112138626517,-2.09475031502086,-1.68274111474215,2.23368331227173,-0.5682769669069,-1.33793862713655,-2.14406508289305,1.63240438884747,-0.544098548987072,0.287840231439684,-0.121731748734303,-0.916895300719966,0.0587243975173346,-3.24761903779576,1.20717368087306,1.44755192231743,-2.62278439481722,0.142009452739211,0.688269527850527,-2.1293445989502,0.90110219514998,1.88317537220812,-0.2147126964778,0.476503784983167,-0.665906675055451,3.1565150815776,1.70036034871063,-0.629363998562592,-2.23225025055685,1.13533226294019,2.96406657733389,-0.76514456944481,-1.9429431900099,-2.17889447444239,-1.83755344350709,-2.38678217054998,-0.689937024014957,-2.23985048502511,4.44991088459264,2.30086529791745,-0.758708666768466,-0.543171624233499,0.220291283659875,1.55589629585323,0.883265959980108,0.0091061697608611,-0.339201233716313,0.764910258642745,-1.63651351933501,5.17022220548136,0.534579893197125,-0.58805641080901,-0.399222942260869,-2.80647034952991,-2.05464331219706,-2.96908268163375,0.99098762130664,0.911552152030976,2.35647925487617,-0.118346145571804,1.02724663298739,1.85553838561352,-1.74763492675527,0.0832555217442016,-2.24693933123638,-0.133111141898257,-0.437989412072321,0.805269694233762,-2.64332065438209,-2.51608243747062,-1.30625883595566,2.36144755521118,3.68780199506527,-2.94210572596178,-0.145633043479215,2.85462151644877,-1.55809078245304,-0.455712341164207,-2.59517686228076,0.337557939777878,0.404114769712671,-1.00444072328862,0.228723505574936,-2.18184149635912,2.68214791258091,-0.857933241260101,0.740908409944418,0.102839836374565,-1.11324564043166,1.73198349781689,-1.22314238259019,-1.86797120595523,0.046881882087812,0.0485829435386842,-3.79310126765279,0.548194393894457,-1.72307167562612,-1.61846892320265,-0.116326143183308,-1.70252524958396,1.09409230111251,1.06067190379463,2.18515385390272,-1.02208586094728,2.44662382780199,-0.426915508765904,2.03411111829817,-0.907517821679601,-1.13402872099772
"ASCL1",-1.7416982508216,1.34464741477234,0.00828599884359867,-2.9093313369468,-0.333658184389735,-0.285054909801285,-0.740520293014312,1.5762886571356,-1.08804673199908,0.126209516471012,-0.0240139850013833,-1.53866508368132,-1.57158147355485,-0.53268245442227,1.14740225850391,0.951861952229557,1.32674673516376,-0.323157687666371,0.602144735249004,-0.783017558458969,2.62355606863928,-0.326156677500242,-3.24493042070439,-3.44275355565052,-0.976516273774905,-3.02140359516521,-1.97337032809398,3.83264061427456,1.1652564876453,1.28152089763355,3.81203859358208,-0.809101875740496,-0.265141660260659,2.42624296630184,-0.138700195369698,3.11505505955169,-1.58426744004349,1.02128033803568,-2.61885990887918,-1.36338274799822,-2.99731124539818,0.557253859255509,-0.784518588615002,-2.18589442842793,-3.71057971411763,0.258724932938016,-1.01250977480437,-1.41439651161622,-1.27782266468938,-1.23055664766118,1.14430061523418,-1.31923198949697,1.00814940861998,-1.37174986334657,-0.812286821441302,1.78367890237821,-0.555295831407171,-0.197852946404784,-2.76165622170505,2.57250278877637,-2.15328432184588,1.71039728781322,-2.1247521652241,-1.60480936808555,3.59801621937565,-1.00938650367676,-2.76333485529739,0.293387783443415,0.640544117066908,2.38938994936521,-0.939790103883833,-2.41112327711273,-2.23042524163208,-0.903179090424456,-2.05743183944366,2.32256655820996,0.440278492203608,-2.88102881836959,-2.36197266187991,2.78063096137262,-2.3814297797688,2.10922831800639,-2.15781540205185,-2.14121220291104,1.05125489670184,0.487247780610802,3.54366932463948,0.919127963053439,2.91767495784014,-1.45581578312362,-0.653325484878801,0.794104886316249,-1.43873590243462,-1.33251915731528,0.680202247163616,1.11889877223752,0.896817108852294,-2.11771966972081,-2.77170923510215,-1.16500559395361,-1.36741706685859,0.17191843296129,0.684859821161885,1.52585676239938,-0.134942563274325,1.30019487543615,-2.02372305962516,-1.42742400868803,-4.89266559937911,-3.05132670365973,1.39083529214736,-0.505733906856149,-2.79370813172507,-2.73663889373722,1.44987039050761,2.67499936574459,-0.13500484513951,-0.451144420295036,-2.30237209127131,1.86210336100796,-2.67057493517087,-4.13672102390666,-2.63627350164264,-2.00311356943632,-1.10145968424989,0.0227226314503952,-3.32257334970051,2.64165160777882,1.87059402794056,-3.08567055097124,-2.35052217077697,-2.38980538340244,1.15252625315769,-0.895473108823006,-0.154297058187072,-1.25895940048506,1.79008674703577,-1.48139979873863,-0.234695722899095
"ATF1",0.13458004811142,0.663931990642784,-0.476424166670458,-0.646651008838029,1.36824730376254,0.271206042863181,-0.289935171562087,0.428941401083983,0.323126250731547,1.80803446787614,1.9320948591683,1.3281552669745,-0.244747373113186,-0.480345035365216,-1.10999234198629,0.634052447375932,-0.320161753724292,0.868439806248584,-1.39183812266774,-0.519640203184853,0.477827416749379,1.56342282260406,-0.675541560494661,0.824128067169298,0.473081367769203,-0.0153704799087561,-1.34386108631116,-1.08434553415391,0.0770360903119996,-1.38089359413774,-0.44177589391258,-1.28378903406595,-0.667040313146196,-0.144624859053451,-0.233283528113117,1.55404614592759,1.03598378901274,1.05960258517311,-0.341499087381675,-0.369977835066069,0.412233204779252,1.27058985230544,1.19983726859228,-0.222312187223327,0.240672667826019,1.01864794271465,0.762853114726133,0.164069363505262,0.206608232845705,0.0424859850968858,0.649431478556164,-0.564898767529945,2.73806871483437,-1.18011033249987,-1.60568006723511,-1.55867388331593,-0.173433247131841,1.6480924800162,0.33340986976258,-0.324273317516336,-1.40750140956496,0.173167502234868,0.238508105554394,-0.0478605591232951,1.55872185307812,1.41351468732082,-1.13676181092238,0.557855604121737,0.13589054978207,-0.830369603376843,0.270650122536153,-1.94060307500706,0.656606302956134,-0.824471371534722,-0.947676543261634,1.21095111535391,0.166202974737801,0.117419694838145,0.391818928503877,0.37223767707656,1.83059995204331,-1.4061283223339,1.42712769940659,-1.32540068284388,-1.7726554831078,1.6022642683663,-1.5035143240456,-0.469772147245223,0.474939675284036,0.00153247515363765,0.608928719340075,0.341748494470327,-0.577554430264182,-1.38245594127382,-0.00213793288074678,0.128795435725533,-0.384606052154516,-1.64540019377355,0.376984111299261,-1.31763819048407,0.253599096224245,-0.862552742920682,-0.580004902189799,-1.15056756190691,0.0757980084786709,1.50277457113585,-1.98177794243922,-0.867990865563629,0.474916687445285,-0.579328095156424,0.0844692413705923,-0.523810150736996,-0.958769005097409,-1.22116844725226,0.752417458869814,-0.156127600291238,-0.596700832565508,0.0799858544842643,0.481420603780905,1.42502058539027,-1.33124152956406,-1.11554281733945,-0.00439104637271035,-3.18637920535868,-1.54042525526429,0.0295108100555394,0.515275067972992,3.58946212779387,0.831841932105593,-1.25287695099646,0.92680452510648,-1.77833406497476,-1.19375001017893,-1.20463182355456,-0.673375266046002,0.513922731318603,-1.29395839688126,0.228282642738122,1.29754493003918
"ATF2",-2.26891510688615,0.551607617592447,-0.176706450193064,-0.786828002853769,1.01082999029552,1.62882246214124,1.46422807807479,-0.474621402587909,-0.322982508185245,3.22887568244211,0.700006174685933,-0.926884119502604,-1.90010117617498,0.560188728724503,0.236723724995845,-0.0524580585413003,-0.267285090447402,-0.363753289268364,-1.13315174331479,-0.0470488139326936,1.28283723934188,-0.853354787071896,-2.11779239293196,1.79832398359247,0.519442550498357,0.73877523229325,-0.0331164494682637,0.467103289321437,-2.527324743512,0.00343396737771914,-0.816062770909131,0.114097615070551,-0.417617738797235,-1.7686600660865,0.56638233689743,2.21144562325929,0.207588664666647,1.88988901291488,-0.0871581266395867,0.311471239954267,0.464627828612786,1.08281605560853,-0.625190370755368,-1.03613220963826,2.26570094198773,-0.607510971901526,0.460607003986709,-0.622700277897839,1.0799751793541,-1.67963115327818,0.710992414203448,-2.02595329678071,2.38424115487038,-0.513184241470534,-0.843805835974335,-1.86476865754053,-1.20279858892841,-1.01455420738145,-0.972889055163934,0.872227965702205,-0.56919560358014,-1.65901880256864,-0.443033029138693,0.564697537198005,-0.225007061387842,-0.463406516813302,-0.398420300068536,0.0308454980228748,1.49725189666411,0.690342544523012,-1.30793906395339,1.08863443149303,-0.154301739952674,-0.018830167397823,-4.91236766711941e-06,0.237745232238572,0.0960154081984934,-1.86988842681437,-1.45240679515412,0.757340306860577,-0.25624560397328,-2.65891859119332,1.36513670484788,-1.25752162655261,-1.10778409513123,2.71780570347784,-1.11270396818854,0.0321124341632368,0.329434301557545,-1.34603450549213,0.87761892801114,-0.633757245946915,0.327217462415315,-0.563889375060852,-0.647430893158744,-0.391381968031836,-1.88356018355739,-0.373351155846266,1.02700970814558,-1.52011846494476,-1.02983175437494,-0.35326932969939,-1.02781079914132,-0.453663784218164,-0.341277498053054,1.71274586719658,-0.016198842053727,-1.4312840558358,-0.669551852539588,0.435168397233094,0.984349694006275,0.271133223852703,-1.95486220880142,-1.98850592383069,1.03775435565006,-0.880164017647132,0.692506150796458,-0.925612079440002,-0.336295157052837,-1.17836390178646,-0.70826088338917,-1.88686022080962,0.195477367123461,-2.02381009883075,-0.716566526466613,0.974114943406071,2.59585995499746,0.329523755314196,-1.05646511077776,-0.684322573927413,0.960718139946085,-1.3815097552462,-0.657602596797392,-1.08928933261275,1.22858928389729,-0.817848709361517,-1.46977848266261,2.07098152601883,2.07433930454648
