"","LP.01.17","LP.01.29","LP.01.37","LP.01.38","LP.01.43","LP.01.44","LP.01.45","LP.01.48","LP.01.52","LP.01.53","LP.01.56A","LP.01.59","LP.01.60","LP.01.62","LP.01.63","LP.01.70","LP.01.71","LP.01.72","Test.FFPE.07","IP.108b","IP.115b","IP.124b","IP.127","IP.138b","IP.140b","IP.197","IP.214","IP.28","IP.31b","IP.36","IP.38b","IP.52","IP.57","IP.58b","IP.67b","IP.73","IP.82b","IP.89b"
"ADNP",0.954516344548939,1.4645939166958,0.216304491674867,-1.28260284391105,0.569742865372728,1.28318612900413,-0.0102259772787578,-0.286143023256663,0.288663103127936,0.538410822338037,0.172503729437323,-0.147213614506679,-0.606110213553841,0.403540230909132,-0.305186290866674,-1.45267821981027,0.305730740667591,-0.753153458644553,0.74154405256826,1.7254692146534,-0.0669572163408585,0.797622922814065,-0.84599809426634,2.60936223229068,2.76855277904482,-0.288196305183347,-0.383020160973845,0.452428888653026,0.0361743132014508,1.0308724173404,-0.236567980887591,1.5225347918601,0.425341855962613,2.61796842157848,1.60024300833766,0.433535455222955,3.25260614754457,2.36193610175545
"AHR",5.40480777607652,4.49007882784246,3.25774648809627,3.42528401821543,4.63745472144742,5.38238074120027,3.58898205626326,2.82413482002247,4.06312358276915,4.58807139680596,3.88476291725385,4.6121442880624,2.56614742856918,5.55072998665112,3.41487490594227,4.29505325883663,5.05993439566652,3.18719500763676,3.96921804113946,5.76913614023334,3.63668138319447,5.46073578554906,3.00718657217586,4.25604425856098,4.22330055193601,2.33976672118771,3.92255713148268,2.2276254498794,5.6345126738678,2.60087081916221,3.06808284747344,3.89835667142685,3.77030075529908,4.02491501298704,3.42518011564525,5.00124664119867,3.58154986222545,5.19566656582357
"AR",3.26889799539127,4.49869765255324,4.16264217769069,3.76768232930551,3.65007100164673,3.59431248709514,4.59878699987868,3.92366486359277,4.6611365335641,4.344741890416,4.16117963697884,3.72022967092234,4.06758508786931,3.53911388332065,4.16143710209989,3.80331601795525,4.16522681018139,4.13245751094194,4.5232034306393,3.65303428223995,3.64847778244495,3.64006482758244,4.68151450859556,4.62547681894615,3.89514155649507,4.55490360712929,4.70680065162093,4.31982176267963,3.44335280703833,4.9566022777314,3.40109248957962,4.08754322450752,3.81989669972047,5.13666712923691,4.99402428084876,3.63122113407943,4.69407832462052,3.83918931793984
"ARID2",6.49379794880365,6.1794953504121,6.08582095724672,7.41917803852534,6.6518249751371,6.04141559262624,6.73878400989468,6.9885708884157,6.83933416923245,5.89149996145296,6.25949916215809,6.5820243612883,6.71306542292219,6.27024694027409,6.08867821720139,5.94625123417889,6.69167297963715,6.37095989166058,6.41449360568323,6.46222394104494,6.89790288892831,7.10958776381305,8.55637329689343,5.60149253256724,5.43584486617511,6.84388380361036,7.9276412959861,7.1120940850366,7.05741059706065,7.09486654679773,7.04302347354303,6.668298892898,6.94764531606932,4.71030277393035,6.22407686939788,6.34976599294543,5.6189534095174,4.94342308386244
"ARID3A",3.40713437058521,3.29317098904741,3.77655438092461,1.97684612864098,2.79697037510185,3.17265988219895,2.07726590321911,3.15016890616324,3.26232125860611,2.91952527878697,3.15224216322175,3.05273230755853,2.80933850598676,2.98019646618689,2.76954512019576,1.90493357654659,2.71852208418357,2.20229243472815,3.31462666858019,4.20606818424721,2.58815943246445,3.20696669835266,2.49288707218731,4.30117801592729,4.40136078522221,3.46453066704845,1.96448464173981,3.74408301561431,3.10543211191571,2.76460401876408,3.52149077159065,3.41246805408587,2.71452010235387,4.75819313217745,2.69068939679226,2.41788248331962,4.26812808044372,3.86400604945646
"ARNT",6.89616435616923,6.70102050117627,5.56669750512146,6.75004947673823,6.50889239935898,7.01450209768832,6.36624492173352,5.14622791509997,6.6006709043573,7.03020483322544,6.02803160686643,6.60615733432287,6.08775202505669,6.49835603550036,5.36008541175317,6.47306181683523,7.17447985859707,5.1910582296966,5.90994194381702,6.84133779755465,6.7886370507568,6.74917863133684,5.93409300919657,6.4802940591809,6.72768028788552,5.61777487415592,6.43808855101138,5.97572908911109,7.74356601624852,5.76060877661241,5.79247817971863,6.5402016388338,6.06571153810929,5.31808374448502,5.8999521438291,6.66719189595416,5.50593962836304,5.97618277677715
"ARNTL",0.873449030134675,0.253951470341811,0.268890617517401,0.548451977170486,-0.17069856726408,0.439301692435945,0.461439732026419,0.0963352579524617,0.188274505676563,0.37859830315492,0.0815399176198302,0.469173166442694,0.700975732581686,0.188979679044739,0.46395905322353,0.394129293947406,0.180952914727233,0.0356460821565149,0.388530227454402,0.832483631516007,0.0616279286954009,1.40011478991804,0.997857553766399,1.4453232954861,1.06007870832834,1.52308968432632,0.606967286322657,0.473466451269029,1.38458880056325,1.00604191790349,0.331706630331421,0.705956383255745,-0.319144954568084,1.90252618918316,0.263035663672939,0.700704404370699,2.12299186071332,0.756882508048774
"ASCL1",2.21544983987301,2.75337805655919,1.76327050007422,1.41895084768084,1.45713897756365,2.05064339037638,1.64330817470249,0.9163198325513,2.02038789942186,2.40135342422322,1.75013297197939,0.976783057989668,0.656255824121032,1.43867857232987,1.22590433538346,1.23834969232326,1.88850332492601,1.49911719691745,2.02230441007777,2.78293074962233,1.18557376988754,2.32615225034578,1.46792923793558,4.04428625604362,3.62615522251763,1.13315256817047,2.40267387270554,2.98476867001167,1.98399905713277,1.54952072260452,1.71128466681013,2.35981937412492,2.87114957879884,3.02523100916745,1.56667899915027,2.28888860408115,4.11156535071637,3.90612631798793
"ATF1",0.0139196056517552,0.660876126162555,1.34494916762801,-0.0539040164054115,-0.0421438019247488,0.407588023708949,0.240531919750198,0.852139563570846,0.380654649722178,0.170447897250977,0.634087850681718,1.52616823226296,1.13884725490881,0.168050456457756,0.94258044048683,0.582285958321215,0.419010007629679,0.688012712603477,0.23655928908109,0.899559302919658,0.485179551490081,0.0791456728336001,-0.373212467720132,0.124579824564428,-0.125160820837396,-0.146408135696129,0.575555757096069,0.642216194761573,0.378999882334941,-0.166032621760662,0.260866123419669,0.400141804769406,-0.642071760492416,0.561012740880466,-0.268205565482673,-0.227122745057357,0.703474841190178,0.0262071432361279
"ATF2",-0.190534167574421,-0.16019838363941,0.862908525849982,-0.832489389756828,0.0686413388181951,0.792992889455488,-0.613184712130364,-0.116833369869683,0.303256715807672,0.691210379573114,0.651402698093851,0.0371590897479563,0.174807448174564,0.608225375409038,0.13571858153526,0.871982298730277,-0.193982853365851,0.433728864861924,0.126176436635008,0.752925155973415,-0.73805825655424,1.192309660293,-0.228012776596601,0.920357728363903,-0.493905734523511,0.0231777527250953,-0.47213695732838,0.870685470713117,0.69620429454294,1.02201184466846,-0.607744573125789,-0.0480522787672877,1.01611863790546,1.25176100649084,-0.623653235499997,0.0923793662660275,-0.231841877381865,0.732979461943243
