"","Pt66_Pre_AD667850.6","Pt94_Pre_AD732850.6","Pt84_Pre_AD486532.5","Pt62_Pre_AD608303.5","Pt72_Pre_AD793922.5","Pt3_Pre_E9024733.3","Pt5_Pre_E9021022.6","Pt9_Pre_E9021024.6","Pt18_Pre_E9024732.6","Pt24_Pre_AD436687.5","Pt27_Pre_AD453873.5","Pt29_Pre_AD497504.5","Pt30_Pre_AD497503.5","Pt31_Pre_AD453872.5","Pt8_Pre_AD153354.6","Pt11_Pre_AD153352.6","Pt28_Pre_AD297619.6","Pt44_Pre_AD467790.6"
"ADNP",-7.81268481903519,-1.27439916441413,-2.49315925951534,-9.3367774083216,-2.68340290294264,-2.9029944930986,-1.44359344241632,-1.87877138865149,1.68561646911495,2.95282650870791,-1.38515694220758,0.0814526207128661,-6.41964608877232,-0.678666699481769,0.841994098139268,0.24265771699522,-2.981227654758,-0.828703319270094
"AHR",-3.66545110053679,-0.791285417248472,-1.07289874969214,-4.7023569965139,1.91748017520929,0.00391662435619245,-2.51039853175426,2.06315870087602,0.33978313859246,1.46438497016353,-0.566250120327259,0.0435984485306245,-3.81419640620641,-0.97434536406052,1.74217208226033,0.605256614522325,-0.355803378258383,3.46402090826173
"AR",-1.58745889020247,0.160282032217684,-0.0808454624002866,-2.09773145822611,0.759131028486496,-0.769063685531916,-1.88821943457828,-0.289466851885434,-0.219127103152594,0.603793576704721,-1.40606335390609,1.80080898638467,-2.2932377293692,0.566545039780306,-0.0233792303668307,-0.495483603221653,-1.60078830218459,-0.863809011466831
"ARID2",-3.08433760916851,-4.94967419572599,1.11001107180085,-3.65237467616999,-0.64752254923047,0.537320591282824,-1.79257247528202,1.34118357367666,2.06386621063917,-2.17641023644904,0.971552747434093,2.01743084839839,0.613365130773881,1.33817133409253,0.657666547287134,2.73765689020673,1.29852379382318,3.09331541128503
"ARID3A",-3.93784297396611,-1.21526844367315,0.257824129957252,-3.2939328843643,-1.32835540223628,-0.766871293959515,2.25534320565957,-0.768520384936526,1.18827651102374,0.0802269987830302,-1.82965852210327,-0.438077792252269,-2.69880715995747,-2.53247153250687,-0.734049866611331,-1.74065701972154,-1.69285537022028,-2.19500011690519
"ARNT",-2.45727565622412,-0.143878167662437,-0.63728770801397,-5.26997356413508,0.706960276769086,-0.331604514806975,-4.2590495085393,2.26522695227834,-0.490469526389953,1.0193436608959,-0.536385877914307,1.78115549239066,-1.12706377496242,-0.404885558661856,0.151989543596534,2.1868265863987,2.36296216305468,4.0922788616992
"ARNTL",-0.612533947270004,-0.645870213466097,-0.748314406490947,-1.87692403207377,-0.508632290513776,-1.79902048305654,-2.42352199903187,0.300376018057877,-1.31205756718331,0.709352989902389,1.25718724920669,-1.57857604181237,0.534888880590721,4.279139278559,-0.354502463401627,-2.75811031285218,1.22135404842739,0.29272132891447
"ASCL1",-1.7416982508216,1.34464741477234,0.00828599884359867,-2.9093313369468,-0.333658184389735,-0.285054909801285,-0.740520293014312,1.5762886571356,-1.08804673199908,0.126209516471012,-0.0240139850013833,-1.53866508368132,-1.57158147355485,-0.53268245442227,1.14740225850391,0.951861952229557,1.32674673516376,-0.323157687666371
"ATF1",0.13458004811142,0.663931990642784,-0.476424166670458,-0.646651008838029,1.36824730376254,0.271206042863181,-0.289935171562087,0.428941401083983,0.323126250731547,1.80803446787614,1.9320948591683,1.3281552669745,-0.244747373113186,-0.480345035365216,-1.10999234198629,0.634052447375932,-0.320161753724292,0.868439806248584
"ATF2",-2.26891510688615,0.551607617592447,-0.176706450193064,-0.786828002853769,1.01082999029552,1.62882246214124,1.46422807807479,-0.474621402587909,-0.322982508185245,3.22887568244211,0.700006174685933,-0.926884119502604,-1.90010117617498,0.560188728724503,0.236723724995845,-0.0524580585413003,-0.267285090447402,-0.363753289268364
