"","11840006c0017r","11840007c0017r","11840008c0017r","11840009c0017r","11840010c0017r","11840011c0017r","11840012c0017r","11840013c0017r","11840014c0017r","11840016c0017r","11840018c0012r","11840019c0017r","11840020c0017r","11840021c0017r","11840022c0018r","11840023c0013r","11840024c0017r","11840025c0017r","11840026c0017r"
"ADNP",2.08151569583428,0.568922476664636,-0.0949100150251,0.660591370612954,0.580891018844673,1.53988491101527,0.654540989497927,0.613845895193905,-0.722111511813102,0.339604352705382,0.134220817199326,0.831746069456204,1.85426717979209,0.831188812155168,1.14291531657531,0.629090123348499,1.24214845392714,1.79274314699654,2.11834955685498
"AHR",0.826435114593931,1.57483260974519,1.48985648978944,0.179715340452714,1.60800326458237,0.377656980249543,0.549510805244684,1.81251548474916,0.292660153793215,2.05943506819233,1.69407887320264,1.18782100822516,0.613708882755555,1.85545393192525,0.70743076694053,0.396240802596481,1.37577369991183,1.38485686892263,1.35401706014267
"AR",1.12201097187673,2.31074282851952,0.406079865741496,1.25740336645824,1.20823807497388,2.18134916513557,1.73544727555224,-0.292171901953666,1.11409652651946,1.44015165101337,1.23102397206804,1.31350466800973,1.75363585579724,1.0736762716881,1.43818247252738,1.61327085987389,1.99168603144707,1.73852526655105,1.78053980952451
"ARID2",1.93660054160046,0.742919630909781,1.82593067987382,1.24694476983153,0.0729005096764111,1.58637574363198,2.79264047049478,1.97246284068627,2.35216853812676,1.64189116573979,0.669064361999327,2.05178251242539,2.43738907717725,2.88004466894672,0.730381846665209,0.203773274361775,-0.0712708110518538,0.660983983515287,2.98551540372712
"ARID3A",0.990317000630958,0.980228467645288,1.76676255949803,-0.44478111405832,2.65717828827014,0.312402843996894,1.3712712918019,2.58764775246673,1.2302256383603,0.921546117365913,1.716078410802,1.45599705491346,1.73797115373611,1.52227105897997,2.85877804384117,1.0754162565702,1.23159710163054,0.865489791981735,0.981112776794409
"ARNT",0.332828273443764,2.31208544708137,1.48449465011271,1.26563574604568,2.26897143382386,1.12025348369009,1.5121171800303,3.79957343038567,1.08758449984545,1.03751491761438,1.84916479075845,1.80148160795199,0.282665408364289,1.3937182628218,0.417629258503071,1.46002760155347,2.18462698499559,2.328417806234,-0.308920974985087
"ARNTL",1.11125692118362,0.383338931423261,-0.5497504227697,-0.246271573842589,-0.207746619446338,-0.0846735639024648,-0.0441442467325767,0.349818092103829,0.0288494324804015,-0.597397494759612,-0.156912759111433,0.0396894872944188,0.24945942880811,-0.327671504711901,0.728988632226593,-0.125107277534201,-0.353024748709492,0.291917161090855,0.572278992505606
"ASCL1",0.0861652861689669,-0.705274224345936,-0.439966914844378,-1.28165673979443,-1.92529265122022,-1.08131645421144,-1.66711516265518,-0.895550143038257,-0.518365800287534,-0.96495519257016,-0.641617374859209,-1.02826030189042,-2.28496688214475,-0.351565043445141,-0.662538685943389,-0.871169435949326,0.000724354411687061,1.14197321612786,0.891961101306811
"ATF1",-2.49703639273605,-1.87438160438284,-0.176830966502708,-1.94061541302564,-0.190383202089171,-2.13142155703278,-0.431689118063141,-0.209342557728446,-1.68672420095886,-2.51640305209625,-0.859228058463194,-1.25179068514849,-2.94138221525924,-0.977223966421528,-1.44193446304846,0.0142906024271333,-0.207201416292842,-1.39637822572775,-1.20066131444103
"ATF2",-0.911850499250873,0.543960345067869,-0.520323773798971,-2.02352706025971,-0.663954803977661,-0.363518574483714,-1.45426472051373,-1.8885894995157,-1.48542850487035,-0.201574308721013,-0.354609124497984,-1.51951250987926,-0.788462836622766,-1.46091071643528,-1.82050161851157,-0.304118078443904,-0.95644850388241,-1.01691584421906,0.915541081331948
