,Cluster_3,Cluster_6,Cluster_13,Cluster_12,Cluster_1
11840006c0017r,0.092879283626681,0.131732503302004,0.218840835960355,0.0181334526422047,0.139499374722303
11840007c0017r,0.0898035591988692,0.0450614776354969,0.303196509920857,0.0968985345895216,0.268946300866187
11840008c0017r,0.0489209706377138,0.0333228094515309,0.356340805006834,0.127171414889208,0.20500105175912
11840009c0017r,0.0117124524608255,0.0895205293079438,0.358184485257081,0.0487417731727373,0.294104817095852
11840010c0017r,0.0386596568900586,0.150476791050877,0.301420261999129,0.020564600163487,0.201705829435826
11840011c0017r,0.0627554722252841,0.106388052949179,0.318586787680638,0.0206925006918979,0.28931950829487
11840012c0017r,0.0487833695232306,0.0769977153419341,0.235429614090835,0.0436963541232869,0.258235997444305
11840013c0017r,0.044958665574541,0.135875436440178,0.211630732891475,0.0431363122598385,0.273929420036465
11840014c0017r,0.0766216880732933,0.0362996030402236,0.287129045331652,0.0206865357641728,0.269468904469276
11840016c0017r,0.0836268662261986,0.10246316478491,0.456273179245486,0.10096081444398,0.135624989256949
11840018c0012r,0.0483020096896026,0.104900398588622,0.390890887944543,0.0593497953876502,0.201145649421175
11840019c0017r,0.062685575174987,0.0736043605037809,0.203125072637677,0.0,0.224883611421439
11840020c0017r,0.0550533914233772,0.118040618765039,0.308287021554843,0.0224019129322371,0.267930362334953
11840021c0017r,0.0551164548423257,0.0950156736574137,0.359672114517455,0.110281576769881,0.213329809096313
11840022c0018r,0.0492582730745539,0.139926979453937,0.34634432441718,0.0153610109272601,0.220937408970529
11840023c0013r,0.0638733734526906,0.0998248211527508,0.357889902634906,0.0362987166941999,0.251858616109095
11840024c0017r,0.0365862470801896,0.135690399225761,0.329611827636651,0.0029131812299494,0.254182538851019
11840025c0017r,0.078401511328107,0.0873256279500807,0.267120676657108,0.0848493933993459,0.337175071195823
pvalue,0.009485497224693482,0.02829969827269167,0.010615278767558434,0.02485746944429644,0.034075277971332855
