"","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","B_Subgroup.Similarity_1","B_Subgroup.Similarity_2","B_Subgroup_2_Iteration_1","B_Subgroup_3_Iteration_1","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_BPRNACan_M0","M0_Subgroup_1_Iteration_1","Quantiseq_Macrophage_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_CBSX_LM22_Macrophages.M1","M1_Subgroup_1_Iteration_1","M1_Subgroup_2_Iteration_1","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","Epidish_CBSX_LM22_Macrophages.M2","DeconRNASeq_LM22_Macrophages.M2","M2_Subgroup_1_Iteration_1","DeconRNASeq_BPRNACanProMet_Mono","MONOCYTES_Subgroup.Similarity_1","MONOCYTES_Subgroup.Similarity_2","MONOCYTES_Subgroup_1_Iteration_1","NEUTROPHILS_Subgroup.Similarity_1","NEUTROPHILS_Subgroup_1_Iteration_1","NEUTROPHILS_Subgroup_2_Iteration_1","NEUTROPHILS_Subgroup_3_Iteration_1","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","CBSX__CCLE.TIL10__NK.cells","NK_Subgroup.Similarity_1","NK_Subgroup.Similarity_2","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","CBSX__LM22__NK_cells_resting","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","CBSX__NSCLC.scRNAseq__NKT_cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","CD4_Subgroup_1_Iteration_2","CD4_Subgroup_2_Iteration_2","DeconRNASeq_LM22_T.cells.CD4.memory.activated","CD4.ACTIVATED_Subgroup.Similarity_1","DeconRNASeq_LM22_T.cells.CD4.memory.resting","CD4.RESTING_Subgroup_1_Iteration_1","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","CBSX__TIL10__T.cells.CD8","CD8_Subgroup.Similarity_1","CD8_Subgroup_1_Iteration_1","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells","Epidish_CBSX_LM22_Dendritic.cells.activated","DeconRNASeq_LM22_Dendritic.cells.activated","DeconRNASeq_LM22_Dendritic.cells.resting","CBSX__LM22__Dendritic_cells_resting","Epidish_BPRNACan3DProMet_cancer","DeconRNASeq_BPRNACan3DProMet_cancer","CANCER_Subgroup_1_Iteration_1","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","ENDOTHELIAL_Subgroup_1_Iteration_1","CAF_Subgroup_2_Iteration_1"
"11840006c0017r",0.285111759804645,0.229498884725733,0.0579241179389565,0.160762265162793,0.063482300232853,0.0318836826165841,0.270000371166907,0.0310728695242718,0.127796930234196,0,0.047067237594572,0,0.0846608336732611,0.0544003579266141,0.064739354736275,0.0556034760529721,0.129022293262833,0.159149102756309,0.215306475452585,0.0661009386889524,0.0759109066795155,0.0214515267799417,0.225818501489995,0.0755706360614777,0.0191554733798699,0.014311402037674,0.134412052173245,0.0237531598221167,0.0254650960018208,0.141427566652709,0.0123078737763969,0.207409049245164,0.0177985356419327,0.0790423197763647,0.120170690628853,0.0781399546766359,0.046164369231147,0.0969949743430203,0.765857447550224,0.0887919276821481,0,0.115484588656204,0.0778987857412268,0.0325152193314856,0.504189855339763,0,0.0506712080429053,0,0.234291534026594,0.101113453568543,0.027209335000392,0.0267232780696512,0.0022690548348689,0.116713396963143,0.135257105939413,0,0.0414232593155398,0.0690127079927116,0.0845710027308067,0,0.98160276011981,0.507212150413984,0.539503415248726,0,0.19664705018312,0.0891062580462629,0.162195666811633
"11840007c0017r",0.304216386015916,0.00392334901134687,0.0243521175931714,0.133070188847341,0.0579107130377172,0.00349099819742382,0.156727809191846,0.673666026997225,0.157116347145562,0,0.162030456277106,0.0814221547213858,0.0594681663339634,0.0470394130226912,0.103631941542427,0.487866395281594,0.131693434709067,0.115639614416421,0.0307112724863141,0.0718016420440884,0.0560902176771636,0.0826361057790299,0.609538361171727,0.0435682960496244,0.0130184943079412,0.00792437927828386,0.133193203852268,0.00322795694275418,0.0192297790980032,0.0593145726231389,0,0.0878295117253488,0.0316650552396292,0.0389847696927144,0.0788806273134498,0.0908150195618466,0.0397764505430043,0.12156532480647,0.324528711438904,0.198822762701208,0.203937597540079,0.130557743194339,0.0796076735783899,0.00146059272797761,0.0114920497631441,0.0397185932057947,0.0635428909475449,0,0,0.0827390512014964,0.0955865920512342,0.0140434694432347,0.0587784438846717,0.0835021758546345,0.17970808429051,0.0509166407072054,0.146729579407567,0.076152226307318,0.106238761264817,0.0268139467306465,0.995718613618404,0.699718826955328,0.513241614983492,0,0.178537070033923,0.148233454939823,0.232166411911313
"11840008c0017r",0.302019465175505,0,0.0194848186877374,0.135768767076408,0.0468609314338098,0.00111662423941977,0.146257853623939,0.606175588264592,0.134997842175191,0,0.0993184099749037,0.0176441315688416,0.0406169055697229,0.0424162745368575,0.199961143810172,0.408007546441607,0.0533756211131017,0.11845024043706,0,0.0489666680733928,0.444812792713221,0.137052014924546,0.418666331886071,0.0447999489715412,0.0149819593728144,0.0377671652157067,0.177793426257319,0.0470025140966053,0.0347033798283041,0.0957809649437011,0.0302168220165898,0.190754928462064,0.0299035737048737,0.0323657970000997,0.087640041931384,0.00911729441677426,0.0416192512107693,0.00277407357897644,0.217160237726045,0.0946306008692385,0.323627032654211,0.0957228796450465,0.0631341329930536,0.004604041751558,0.0371563987375281,0.0154709374765551,0.00355120860712549,0,0.0454761830020713,0.077702110639095,0.00523810226268239,0.0248622651147508,0,0.0964356209755265,0,0.0217731477119696,0.0994251254709624,0.0371954508714258,0.186739452606128,0.0178373969533802,0.99400319076366,0.682321818604201,0.576101776024761,0.00563713943462935,0.222922586288945,0.0699443372795732,0.287828815222678
"11840009c0017r",0.487333568974653,0,0,0.126332143015589,0.0698065684758916,0.0146271342392995,0.101738496855758,0.600286388725063,0.372258622715054,0,0.0278634160187476,0.0656243997567318,0.0371982530220757,0.0102722905805004,0.202344508974931,0.484431956765877,0.191942222837377,0.0944719841003751,0.025604671106124,0.264716423792405,0.143601341750409,0.236369940995584,0.661222283390007,0.0788491494045251,0.028478320394583,0.015964770449708,0.210474232583358,0,0.0221578740482381,0.0713986759438751,0.00291986558550763,0.159352194110012,0,0.028546263285571,0.0649220550193807,0.0294790875267823,0.017184763937232,0,0.167057443527032,0,0.098240937898701,0,0.0319253325075601,0.0933694346925258,0.0622257587704554,0.0377120910390104,0.0580671820067964,0,0.0619922308471549,0.0468498098433021,0,0.0330870439937223,0.0344198382279294,0.00656450914088135,0,0,0.204678295879231,0.193628007012941,0.159158781349852,0.0009890834090983,0.940644135137917,0.713050165446461,0.419688949632481,0,0.113867541098457,0.0391078924160494,0.271948747613884
"11840010c0017r",0.33757957596389,0.0588525197075218,0,0.14474998754697,0.099795062015909,0.0536279604032043,0.0973908411013518,0.521487787476826,0.248960508339898,0,0.0173093522636602,0.00167541906779296,0.0512550678542721,0,0.142530548671365,0.435947221347681,0.189321046088063,0.112385373446518,0.0203083710563422,0.226589231553933,0.124195832577682,0.174254904845952,0.451934389515755,0.0873706819321229,0.0186778531507365,0.0185470821753217,0.226503140969556,0.0225431550400131,0.065992743994431,0.134056085290598,0.0625213619671275,0.201337227872651,0,0.0380859602239967,0.062398382589423,0.0696243436326544,0,0,0.0898891220546024,0,0.0616938004904609,0.0986062930892313,0.0905295812417859,0.226986455896288,0.155829093822741,0,0.0672680514422876,0.147131865992013,0.208481366661363,0.0560323344710031,0,0.0505793037225699,0.0478862786649286,0.0959108988448245,0,0,0.108788488898047,0.206347789132964,0.111915074044766,0.0624450542121139,0.936412024800755,0.649815163281256,0.304613940055772,0.00620631987456071,0.166248534372059,0.0725182641814423,0.289104442973321
"11840011c0017r",0.301738236372255,0,0.0324407401749566,0.140949605707243,0.0620448935414034,0.0055039526336081,0.0580282002495589,0.755348200713809,0.11043678805918,0.0469657654894843,0.0061422239346732,0.0234988315215257,0.0145935910939801,0.0334031275811609,0.110819714273887,0.452104670034429,0.111556166396693,0.109669549511658,0.00148909876520374,0.051840727047151,0.166043046369661,0.278859943334311,0.802431807383068,0.0600902551490719,0.0286047503029161,0.113527407894589,0.20762513504565,0,0.00936226585773568,0.0921387095558498,0.00236955253755495,0.24953329387579,0.0268805282166029,0.0382769601705838,0.0731124632610238,0.0429871519237534,0.0236325259289175,0.0466374867413944,0.144986516557509,0,0,0.0818502112118443,0.0432890851444402,0.0230207981206697,0.0144635787314026,0.0286743744945329,0.0619308872002452,0,0.202104039817237,0.0900934507729412,0,0.0427852073313148,0.0143530324224028,0.0538056693986825,0,0,0.0714738128701154,0.0724346755152964,0.143893828345601,0.0833214113211828,0.978501816863952,0.701046820422425,0.523088000412893,0.00165603945610814,0.0939212991516502,0.0794310042298337,0.413792818065099
"11840012c0017r",0.360809674156598,0,0.00411996756643184,0.127260223910248,0.0559035109671114,0.00779459244896383,0.0536381849106959,0.346592669799576,0.168638665482768,0,0,0.0127710349148007,0.074323773536333,0.0273119201392643,0.119712087076643,0.467196335439441,0.134544179010553,0.15845852742254,0,0.227722551926045,0.222157420207397,0.288746849084724,0.672134315620622,0.069619748765056,0.0321105947059699,0.0370362578587271,0.293056381981443,0.0137126178651623,0.0798029048447155,0.110066748914313,0.0285284587026671,0.179117408768156,0,0.0692235675188525,0.0747125688321275,0.054490170843997,0,0.0714616357581985,0.0590997406780567,0,0.0875094056753443,0.0291604273603144,0.068865472036922,0.154552322513087,0.150644601131554,0.0162677365552522,0.0444098461688283,0.0271314660106649,0.0886543745662853,0.0903914474079776,0.0021001899101692,0.0616251265098018,0.0919976845485303,0,0,0.0298623451100028,0.0896798575901941,0.0638110896334744,0.0606475062097734,0.0751153688034293,0.979048485108591,0.525929248986089,0.364532234738628,0.00751842817411549,0.117850732962011,0.0749743243646203,0.347012784037135
"11840013c0017r",0.341937576853556,0.00543995797067946,0,0.143534142410938,0.0998209672613762,0.0121138069944781,0.0333554233942695,0.712215813635066,0.267952839504734,0,0.0315397307613034,0,0.0748953831105133,0.0620626614071213,0.0123204777871076,0.452331977277538,0.101906814560295,0.138042052900201,0,0.373083857643925,0.221774641121248,0.270435749025597,0.722240372531001,0.07473310172896,0.0524645721267831,0.0285715965750441,0.191034136474266,0.00510881020266895,0.123178036552062,0.124428962151216,0.0374923750911471,0.226175929155659,0.0378453135550062,0.0617746597588776,0.0797422448440875,0.0912961067016458,0.0394921067826581,0.0538601391026829,0.118578899173834,0,0.0509209500681149,0.060001797548091,0.0506273909080337,0.0324815263560496,0.122814454662044,0.0164253253042792,0.00414026514648872,0.00469523327211678,0.293605687765761,0.0659727256473903,0,0.057128449829365,0.0150543729982171,0.0600324347658046,0,0,0.0571569792331969,0.0398315243946025,0.0391004123224525,0.0549921493200908,0.951655968109888,0.583471308564866,0.105577089435083,0.0452933496636938,0.182219290697734,0.146710813771953,0.313855581885055
"11840014c0017r",0.320941433909946,0.0271689696111364,0.0436371607236925,0.186236079685086,0.0488858525812794,0.0022769854604862,0.220575204936395,0.680286747437271,0.169783554005988,0,0.026248207939212,0.000323475778593741,0.0363216037728571,0.0429973943455076,0.0684269181061542,0.295813818535546,0.0245562141659314,0.101633871698555,0.0217585777146236,0.0177850041839584,0.1025382637392,0.054485511316961,0.730685976027946,0.0284619266869101,0.0229908608230838,0.0300477704684479,0.138319861336557,0.0190260307419734,0.0123084119658657,0.0793920316495659,0,0.173175213591008,0,0.0335563676966114,0.0996158118410233,0.051406670336643,0.0663607321553905,0.103291129172295,0.297092862284071,0.115618220307299,0,0.087577344049183,0.064005661064914,0,0.00212316647648796,0.0190622129470108,0.0300526801883524,0,0.0820656094942533,0.0719811183480025,0.0680474521395763,0.0203815386479515,0.00822771168434771,0.252667041202654,0.14088330270984,0.0193766221269747,0.171503157550634,0.172180690465335,0.0660844898172138,0.172752444116713,0.988521321765925,0.726875728071588,0.774965598445954,0,0.196754471300015,0.0456017059946561,0.156180854382193
"11840016c0017r",0.341791554663325,0.0103562612981971,0.0422353273639643,0.13288776775203,0.0758266424594921,0.00661752777764365,0.0457066087662862,0.497196734357294,0.11898954235249,0.00859330718266615,0.0720207825107494,0.0788410607691644,0.0377407605679514,0.138923245174526,0.551415942620686,0.482781045077133,0.0799298463547863,0.105656873379285,0,0.0556875885360444,0.0987409169960887,0.192754789068293,0.120094312671055,0.0639129914912333,0.0283079035715969,0.0265243050476971,0.176169624556746,0,0.0346757614588435,0.0951098054476114,0.0006814624433083,0.15116127481943,0,0.0443290452851012,0.0654657738695136,0.121358739747495,0.00498079692263269,0.125467148113307,0.290089480279202,0.0972760357142808,0.138054996045251,0.0818913604298271,0.0366990900348474,0.0109136678268052,0.0993584757662193,0.0259042021121641,0.0518237537660376,0.0252193394585876,0.2208421202223,0.0849136289976958,0,0.0413064108481205,0.0350292996441407,0,0,0.00488052241706247,0.105222716612299,0.047067010159981,0.0963373847605503,0.0285457556849362,0.989934932723891,0.721066210355223,0.348546330861345,0,0.0914537121287263,0.0370637907022052,0.451508969741501
