"","11840006c0017r","11840007c0017r","11840008c0017r","11840009c0017r","11840010c0017r","11840011c0017r","11840012c0017r","11840013c0017r","11840014c0017r","11840016c0017r","11840018c0012r","11840019c0017r","11840020c0017r","11840021c0017r","11840022c0018r","11840023c0013r","11840024c0017r","11840025c0017r","11840026c0017r"
"Cluster 1",12.39800639438,12.3805821101291,11.8981113300619,12.2938340332728,12.614536444904,13.0194515845274,12.0732182573493,12.0158753833401,11.434987566393,12.3502404203741,12.2424949385586,11.7946452922163,13.098813699631,12.0393632261369,12.8287411491041,12.9667590898096,12.5843399912149,12.3394383011512,13.3096754691069
"Cluster 10",11.3193650232566,10.674817335003,12.3924624248906,11.3249186941792,12.0085805193962,11.2565868453567,11.0639336051903,12.1379995243048,10.7239278517413,10.9860464569661,11.3493550416702,11.1588208972505,10.5673090485649,11.3039279054484,10.8544593965696,12.1410821502416,11.902555148124,10.7559388925974,12.195996079354
"Cluster 11",13.2586453712559,13.5704649707919,13.3157607690751,13.8673663140956,13.7487877294653,13.7585707949331,13.1305784816258,13.5010792567927,12.4710469809123,13.1421689870394,12.6174222922243,13.5722828512344,13.0326620051144,13.3923539407094,13.3589190840017,13.9775457792288,13.1731879784946,13.9844295481483,12.3783183702266
"Cluster 2",14.05399504524,13.063924872101,12.3884306804241,12.9912308398855,13.1224909242965,13.0116565697981,13.1458411909633,13.1253303223966,12.6620616289175,12.3570073149679,13.1909056862642,13.5681469126465,13.4342739841497,12.8260833217671,13.5565287695409,12.6111521235856,13.5176725996636,13.4139965328731,12.7144856485172
"Cluster 3",14.5331714558414,13.6859481247045,13.6891301104955,13.6147351133215,13.0005939985733,13.4869740027253,13.1228929685877,13.2936915224148,14.2054296514048,13.3446327933324,13.2571467542881,13.9508683268782,13.8007396694224,13.7072699932762,13.3813591174597,13.2697530181144,12.6589261434156,13.5205765774046,14.171360986844
"Cluster 4",11.0649653383522,11.6634462812679,12.1496124976218,11.6208173491426,12.0852486428975,11.9848685549229,12.4819626399847,11.8712609464224,10.9872118304258,12.0981757723335,11.8793518461104,11.6050680752259,12.0086852858724,12.0197202974547,11.9525301922253,11.9351092497016,12.1815136353755,11.3753907285136,10.957586999607
"Cluster 5",12.3198724375753,13.3008754446601,12.9697452952797,13.9127623770186,12.8501946157538,12.8270602253589,13.5793520744899,13.0899173188313,12.541051039678,12.69869465923,12.5990915537472,13.2207488122062,12.7448790519722,12.5689765378506,13.3125311700409,13.658948170866,12.6391822799122,12.7550015375749,13.1406341090013
"Cluster 6",10.7937772804203,11.4739090605173,11.1872916831985,11.8774353054405,12.1792518154508,11.7027282785307,11.703658524539,12.5434868884377,11.2434713845229,11.4224848125534,11.6460268974216,10.8317890233701,11.4787405171794,11.2691313612684,11.7953027690094,11.7486122393827,12.6123618343199,12.1273953404755,11.7890372924762
"Cluster 7",14.2060665818206,14.3666537599016,13.9362892466907,13.6039821628767,13.8303135212799,13.911796077271,13.9885943560116,13.2222307117852,13.497823097093,13.5361091876534,13.3494539440541,14.5539711493214,13.9164840362053,14.1287448454465,13.3920172662892,13.5644829084346,13.2437817541925,13.7086509320956,13.6413103893199
"Cluster 8",12.0218735986859,12.3658378474409,12.9561169471911,12.5649596197662,11.9424812191993,12.062855844757,12.3452981884334,12.7845994838236,12.5240854225883,12.9810609335747,12.9482137355097,12.3865213472204,11.8686662477504,13.2601034069963,12.4903341759311,12.1128898353033,13.326104616408,12.4954273750849,11.888817333588
"Cluster 9",12.410506055724,12.0470937203392,11.8467651895636,11.9483437087317,11.9133955771318,11.283581953079,11.6240606351157,12.0474820599753,12.831016607827,12.1835730628852,11.7188485067027,11.5637750327102,11.0714107898478,11.9091440857688,12.2948365728824,11.7874930470618,12.1709056512288,12.7700436021579,12.4198529092477
