"","Epidish_CBSX_LM22_Dendritic.cells.activated","DeconRNASeq_CBSX_LM22_Dendritic.cells.resting","DeconRNASeq_CBSX_LM22_Dendritic.cells.activated","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","DeconRNASeq_CCLE_TIL10_Dendritic.cells","Epidish_LM22_Dendritic.cells.activated","DeconRNASeq_LM22_Dendritic.cells.resting","DeconRNASeq_LM22_Dendritic.cells.activated","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_activated","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"LP.01.01",0.0371430541033809,0.00697660355250696,0.0726683918193613,0.0627691437871202,0.010810979165066,0.0138334748936598,-0.000939827229127243,0.0371430541033809,0.00697660355250696,0.0726683918193613,-0.00122324504194562,0.0137145581837933,0.0446636229833531,0.0630359462353636,0.165070565968196,-0.00341335763201229
"LP.01.02",0.0206559596120227,0.0338313775579455,0.0902965261379959,0.0571625658495263,0.0331785655281826,-0.00583764910114311,0.0409440521907943,0.0206559596120227,0.0338313775579455,0.0902965261379959,-0.0200216550349893,0.0727373701862367,0.01543210817496,0.0406559144475058,0.000885398813355153,0.000388313986063289
"LP.01.03",0.0680428281081953,-0.00200601219985767,0.235439266240026,0.117984008659128,0.0784674341291352,-0.00583764910114311,0.0153259400573283,0.0680428281081953,-0.00200601219985767,0.235439266240026,-0.0200216550349893,0.0371364558339624,0.0848822787611754,0.105021573883476,0.173767989416884,0.000388313986063289
"LP.01.04",0.047035707277774,0.0112570673018644,0.0710990564603243,0.19637717059123,0.0771972819069857,0.0327225292601062,0.0153607038338964,0.047035707277774,0.0112570673018644,0.0710990564603243,0.0686872782137329,0.0512777370240174,0.0533116885391779,0.178867188300072,0.100997281179013,0.0923056948127925
"LP.01.08",0.0371778447838731,0.0280939086300799,0.0633344118884342,0.0227879194533917,0.0237439793946612,0.0483335246035436,0.00930714343890886,0.0371778447838731,0.0280939086300799,0.0633344118884342,0.0544501847891138,0.0404559463740142,0.0342384187190829,0.020536559741924,0.137882394437024,0.170199175346365
"LP.01.10",0.0543494473636782,0.0044856473825896,0.113164639031198,0.122231403636013,0.0438512985807089,0.0133054346793129,-0.000939827229127243,0.0543494473636782,0.0044856473825896,0.113164639031198,-0.00122324504194562,-0.00697909542597231,0.0520808748357102,0.130905559292188,-0.0343027455114042,-0.00341335763201229
"LP.01.12",0.0275784591663239,0.00175261292833412,0.160964849584804,-0.0208689571676295,0.0178125255302563,0.0674793015587964,-0.00243104288329817,0.0275784591663239,0.00175261292833412,0.160964849584804,-0.0200216550349893,0.0177010331985903,0.0158056844547029,-0.00412434382369608,0.0875951392321747,0.0801254272433939
"LP.01.14",0.0324063262363999,0.0183700561632403,0.0530210627555169,0.0712317353991485,0.0419686172137467,0.0118694048334651,-0.000939827229127243,0.0324063262363999,0.0183700561632403,0.0530210627555169,0.0145273141233617,-0.00697909542597231,0.0299248481327384,0.0614372799897884,0.0719249869779398,-0.00341335763201229
"LP.01.15",0.0375378991659279,0.0044856473825896,0.130661498649247,0.0971073880547294,0.0619906775098728,-0.0176475816560189,0.0150340996053718,0.0375378991659279,0.0044856473825896,0.130661498649247,-0.00122324504194562,0.031514347694169,0.0362167074038061,0.114319228218609,0.0495779154657266,0.044737141876971
"LP.01.16",0.0130052696288581,0.00349467988558374,0.0574877152019808,0.143745924843596,0.0482090024199586,0.0350952278466818,-0.00243104288329817,0.0130052696288581,0.00349467988558374,0.0574877152019808,0.148323209014331,-0.0058676997184103,0.00402411684132483,0.137123806016395,0.134681946561767,0.109300230362581
"LP.01.17",-0.00217612602895064,-0.00200601219985767,0.0457185109136722,-0.019457565229854,0.0331053519770991,0.0684767820353774,-0.00243104288329817,-0.00217612602895064,-0.00200601219985767,0.0457185109136722,-0.0200216550349893,-0.00699071999634743,0.00132369229151272,-0.00905284938387811,0.000885398813355153,0.172719726215409
"LP.01.18",0.0753970035381929,0.0210737945065062,0.152867894999599,0.101242494601174,0.0565188783188015,-0.00583764910114311,-0.00243104288329817,0.0753970035381929,0.0210737945065062,0.152867894999599,-0.0200216550349893,-0.00699071999634743,0.103311614831616,0.11345844211458,0.171956655907265,0.0227022774954513
"LP.01.19",0.0562156990947651,0.0122358024623259,0.150244499308812,0.0364258498882739,0.0203902554439247,-0.00583764910114311,-0.00243104288329817,0.0562156990947651,0.0122358024623259,0.150244499308812,-0.0200216550349893,-0.00111380388273664,0.0415370695153905,0.0218068872963841,0.137692329704331,0.00512127325571963
"LP.01.20",0.0295731731578973,0.011494059929282,0.0360122587355213,0.0741293754490954,0.0421977255264572,0.301446965212503,0.0528513690272714,0.0295731731578973,0.011494059929282,0.0360122587355213,0.489202535100016,0.0806061373191253,0.0701445409063883,0.0621783139511556,0.232240355608156,0.18784105718712
"LP.01.22",0.084523375540249,0.032966384162583,0.110652667299715,0.234668974824432,0.05674859601658,-0.00583764910114311,0.0383852638162527,0.084523375540249,0.032966384162583,0.110652667299715,-0.0200216550349893,0.0721630537387569,0.120581513319414,0.16232281190643,0.000885398813355153,0.306170440619601
"LP.01.23",0.0495695526974621,0.0121890379723777,0.0944249813190539,-0.00974899701218089,0.030586976271668,-0.00583764910114311,-0.00243104288329817,0.0495695526974621,0.0121890379723777,0.0944249813190539,-0.0200216550349893,0.00162478202682868,0.0426123539010479,-0.00733877805765275,0.000885398813355153,0.0308900061876422
"LP.01.24",0.0220352900504828,-0.00200601219985767,0.113165636474544,0.0672486593327695,0.0310520983075153,-0.00583764910114311,0.0234674599904572,0.0220352900504828,-0.00200601219985767,0.113165636474544,-0.0200216550349893,0.0466425207714451,0.00132369229151272,0.065361366756478,0.000885398813355153,0.000388313986063289
"LP.01.25",0.0428307314366056,0.00814873117681983,0.0536752271713571,-0.00510524318006039,0.0198339230323591,-0.00583764910114311,-0.00243104288329817,0.0428307314366056,0.00814873117681983,0.0536752271713571,-0.00864115089796844,0.0219146342855533,0.0357659381411319,0.0569543626312579,0.000885398813355153,0.0839590603134711
