"","Epidish_BPRNACan_CD4","Epidish_BPRNACanProMet_CD4","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_CBSX_LM22_T.cells.CD4.memory.resting","Epidish_CBSX_LM22_T.cells.CD4.memory.activated","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting","DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD4","Epidish_CCLE_TIL10_T.cells.CD4","Epidish_CD226_CD4","DeconRNASeq_CD226_CD4","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD4","Epidish_LM22_T.cells.CD4.memory.resting","Epidish_LM22_T.cells.CD4.memory.activated","DeconRNASeq_LM22_T.cells.CD4.memory.resting","DeconRNASeq_LM22_T.cells.CD4.memory.activated","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD4","Epidish_TIL10_T.cells.CD4","CBSX__LM22__T_cells_CD4_memory_resting","CBSX__LM22__T_cells_CD4_memory_activated","CBSX__NSCLC.scRNAseq__T_cells_CD4","CBSX__scRNA.melanoma__T_cells_CD4","CBSX__HNSCC__T_cells_CD4","CBSX__TIL10__T.cells.CD4","CBSX__CCLE.TIL10__T.cells.CD4","CBSX__CD226__CD4"
"LP.01.01",0.00192260954920119,0.0108081735783683,0.00161739202708408,0.00876183414522956,0.436749543850379,0.00749669594519257,0.0199891503710376,0.0065390237994632,0.0743783647704776,0.0114447490983296,0.155605857522931,0.0314366747062371,0.227547433319002,0.0120110248480164,0.00380758403368279,0.00161739202708408,0.00876183414522956,0.436749543850379,0.00749669594519257,0.0199891503710376,0.0065390237994632,0.0743783647704776,0.0114447490983296,0.174112057170125,0.384881871195672,0.00805658000586458,0.00423244455963425,0.0993104707442525,0.132391801929002,0.0252528733142602,0.230339111894764,0.218141148552197
"LP.01.02",0.00535669458859586,0.0122085972905062,-0.00370115226176207,-0.00399056548873709,0.331277780906144,-0.000725676478769576,0.154587297636472,0.0140946362901064,0.0684316028228471,0.0426109531886937,0.105532274710284,0.0256914568332271,0.16418640956228,-0.0109179263294928,-0.00625180338686824,-0.00370115226176207,-0.00399056548873709,0.331277780906144,-0.000725676478769576,0.154587297636472,0.0140946362901064,0.0684316028228471,0.0426109531886937,0.0427910927772799,0.355026601670011,1.98687770635667e-05,-0.0012238159811521,0.0800244563183404,0.0516153684334179,0.314850438380139,0.116403868707555,0.283639385392709
"LP.01.03",0.0205761690888818,0.0326118926753429,-0.00370115226176207,-0.00399056548873709,0.26350994188265,-0.000725676478769576,-0.0219187609208476,-0.0016423337876458,0.10806446758928,0.0642569433886145,0.115241445376571,0.023850614074544,0.11286172070539,-0.0109179263294928,-0.00625180338686824,-0.00370115226176207,-0.00399056548873709,0.26350994188265,-0.000725676478769576,-0.0219187609208476,-0.0016423337876458,0.10806446758928,0.0642569433886145,0.0427910927772799,0.251042529781182,1.98687770635667e-05,-0.0012238159811521,0.142312805736727,0.107140132911902,0.225801523944252,0.238753851685823,0.226078168431193
"LP.01.04",-0.00131186903039179,0.0014634515754214,0.00161739202708408,0.0647693008675071,0.272697182390934,0.00749669594519257,0.0199891503710376,0.000409124945930841,0.035711486098341,0.0587274029296752,0.0239414422481542,0.00305720044905651,-0.020326742138582,0.0604315089986028,0.0614092178501674,0.00161739202708408,0.0647693008675071,0.272697182390934,0.00749669594519257,0.0199891503710376,0.000409124945930841,0.035711486098341,0.0587274029296752,0.0313206987578103,0.203240142492457,0.00805658000586458,0.00423244455963425,0.0578974293097763,0.0469947392507402,0.0488034540285487,0.0165700953649661,0.267962305081124
"LP.01.08",-0.00131186903039179,-6.22107179584713e-05,0.00161739202708408,0.00876183414522956,0.205641211269775,0.00749669594519257,0.0199891503710376,0.0354449334938989,-0.00365597201251221,0.0323436361914361,0.115771851287904,0.0213750150377993,0.143095526877337,0.0120110248480164,0.00380758403368279,0.00161739202708408,0.00876183414522956,0.205641211269775,0.00749669594519257,0.0199891503710376,0.0354449334938989,-0.00365597201251221,0.0323436361914361,0.228650685489118,0.161279753157619,0.00805658000586458,0.00423244455963425,0.00844316731777205,0.106597659927031,0.296631401975808,0.065015624076541,0.259976299957414
"LP.01.10",0.00759232156151721,0.0175150492832349,0.00161739202708408,0.00876183414522956,0.378017018468691,0.0109911825574083,0.0199891503710376,0.00546061639167125,0.0441177895000995,0.0417123368333875,0.103945564389863,0.0212440014625855,0.160380178466774,0.0120110248480164,0.00380758403368279,0.00161739202708408,0.00876183414522956,0.378017018468691,0.0109911825574083,0.0199891503710376,0.00546061639167125,0.0441177895000995,0.0417123368333875,0.14459761221455,0.34133918189999,0.00805658000586458,0.00423244455963425,0.0669111609841821,0.0991048075613588,0.363633247985648,0.117372818185029,0.235540272825637
"LP.01.12",0.00633054263125454,0.0133313747798723,-0.00370115226176207,-0.00399056548873709,0.20631600391296,-0.000725676478769576,0.129930318621187,-0.0016423337876458,0.0801435374693161,0.0414000420667747,0.116550192939009,0.0209522558968029,0.108757610445486,-0.0109179263294928,-0.00625180338686824,-0.00370115226176207,-0.00399056548873709,0.20631600391296,-0.000725676478769576,0.129930318621187,-0.0016423337876458,0.0801435374693161,0.0414000420667747,0.0427910927772799,0.180644863878426,1.98687770635667e-05,-0.0012238159811521,0.0690544608849219,0.082099722752354,0.171325992660788,0.107510806304092,0.168049295078179
"LP.01.14",0.00543903205894768,0.0114368008194449,0.00161739202708408,0.00876183414522956,0.259702700130215,0.0201849863413089,0.0199891503710376,0.000409124945930841,0.0989634760688448,0.0483990854193276,0.229979630374947,0.0410150750874214,0.0305893731181019,0.0120110248480164,0.00380758403368279,0.00161739202708408,0.00876183414522956,0.259702700130215,0.0201849863413089,0.0199891503710376,0.000409124945930841,0.0989634760688448,0.0483990854193276,-0.0427889499054133,0.226813209326702,0.0131808441876485,0.0474856483876252,0.0591908184042108,0.211478083583529,0.154076951866442,0.0120366042333834,0.231890524994724
"LP.01.15",0.0442192873742678,0.0521061639558046,0.00161739202708408,0.0181344264031504,0.269162676984442,0.00749669594519257,0.0199891503710376,0.000409124945930841,0.0938037721415987,0.0631302360532826,0.0587688573482466,0.0129825135037533,0.0743091431155375,0.0453913799365357,0.00380758403368279,0.00161739202708408,0.0181344264031504,0.269162676984442,0.00749669594519257,0.0199891503710376,0.000409124945930841,0.0938037721415987,0.0631302360532826,0.0325529993621751,0.235326288428615,0.00805658000586458,0.00423244455963425,0.0518836508369877,0.0397372792352936,0.29262225895247,0.173655896270678,0.286648851681405
"LP.01.16",0.000385138980616881,0.0047089662240375,-0.00370115226176207,-0.00399056548873709,0.245715564452057,0.0314504629133143,-0.0219187609208476,0.00495807583505388,0.067254531010423,0.040537114574771,0.176247135049422,0.0296597751090062,0.0139161109187402,-0.00623028213405683,-0.00625180338686824,-0.00370115226176207,-0.00399056548873709,0.245715564452057,0.0314504629133143,-0.0219187609208476,0.00495807583505388,0.067254531010423,0.040537114574771,0.0427910927772799,0.213130623267196,0.0238418435066241,-0.0012238159811521,0.0415027292651326,0.154062424038327,0.0244586023396693,0.101188407797153,0.228115208462496
