"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"LP.01.01",0.358711256660212,0.43733763975186,0.169123630709275,0.232509250700723,0.358711256660212,0.43733763975186,0.366165244051364,0.176995993540329
"LP.01.02",0.332568569748567,0.287245671671262,0.157373556951119,0.153610341499099,0.332568569748567,0.287245671671262,0.361241210250724,0.172981575541428
"LP.01.03",0.467393461349514,0.287090226201639,0.196831817177467,0.197732563010458,0.467393461349514,0.287090226201639,0.462686446115733,0.193232391734452
"LP.01.04",0.130022178612094,0.100941377535506,0.0825416971697801,0.0497579967513472,0.130022178612094,0.100941377535506,0.143077510797243,0.0851123012722785
"LP.01.08",0.26755797551766,0.214197422321387,0.170048664489177,0.103976706450436,0.26755797551766,0.214197422321387,0.252173683867244,0.158978312497667
"LP.01.10",0.313401279647141,0.220722689740462,0.1880825773153,0.127288379773641,0.313401279647141,0.220722689740462,0.304355778211665,0.151595692317084
"LP.01.12",0.361313379914378,0.281782277809812,0.241735330053706,0.151207516735249,0.361313379914378,0.281782277809812,0.391115033601355,0.23636710513379
"LP.01.14",0.260558759453786,0.241292785733327,0.203754848469991,0.137446226767117,0.260558759453786,0.241292785733327,0.245978752205189,0.201270236962513
"LP.01.15",0.198324382756976,0.185841922115874,0.152532399529522,0.0827430450741445,0.198324382756976,0.185841922115874,0.19948314185353,0.145333426642559
"LP.01.16",0.2688999547245,0.263146020797863,0.179499618051872,0.149117164379356,0.2688999547245,0.263146020797863,0.272038954191101,0.193381744400553
"LP.01.17",0.109302520867023,0.144147532109222,0.0766873202831774,0.0607741654943245,0.109302520867023,0.144147532109222,0.0960248859381458,0.0492918114257784
"LP.01.18",0.404230718706124,0.397738212152374,0.314726999344062,0.202785829612836,0.404230718706124,0.397738212152374,0.411559580135863,0.322954136111783
"LP.01.19",0.358381610606773,0.362775311098794,0.122746686374351,0.194787299759094,0.358381610606773,0.362775311098794,0.369528507400427,0.123515796178865
"LP.01.20",0.114645999478451,0.149541252662105,0.0646798745437344,0.0587874219367242,0.114645999478451,0.149541252662105,0.10715691357471,0.0592875424921452
"LP.01.22",0.18302736546772,0.178464179060011,0.0670259340809969,0.0678524985628707,0.18302736546772,0.178464179060011,0.156332163016735,0.0707961761950508
"LP.01.23",0.390721767106182,0.296266779879717,0.176748490806537,0.158520621574705,0.390721767106182,0.296266779879717,0.394597704404402,0.193287760157023
"LP.01.24",0.35426417434682,0.333567625767537,0.170898852742816,0.184075137394887,0.35426417434682,0.333567625767537,0.344319722804098,0.160329127400626
"LP.01.25",0.289258865265086,0.309572965819248,0.248152949070563,0.184053523839517,0.289258865265086,0.309572965819248,0.286431578502461,0.214199465144443
"LP.01.28",0.244792627498548,0.266359736588414,0.149778991543888,0.154406374094311,0.244792627498548,0.266359736588414,0.258713112605126,0.150104389752707
"LP.01.29",0.292422417291953,0.276558790840524,0.164400284412121,0.126339046416535,0.292422417291953,0.276558790840524,0.299953435962698,0.142753535927544
"LP.01.31",0.245106753270806,0.210339966142909,0.139705458109785,0.0958702213469615,0.245106753270806,0.210339966142909,0.219952738306625,0.114352348881307
"LP.01.32",0.190581140175805,0.185527574146234,0.080085435096474,0.0811474232599148,0.190581140175805,0.185527574146234,0.188930357028329,0.0744377204328038
"LP.01.34",0.180485021583417,0.194057593253741,0.171814506682952,0.105444217002959,0.180485021583417,0.194057593253741,0.175449204259977,0.174754915027632
"LP.01.35",0.282582369943371,0.250346624463729,0.212219393395941,0.144449598754428,0.282582369943371,0.250346624463729,0.289605150240342,0.201412402484599
"LP.01.37",0.217715304630171,0.169921585050992,0.289340327444757,0.0901648453667585,0.217715304630171,0.169921585050992,0.172282039106249,0.25919764801357
"LP.01.38",0.295519129045104,0.181010317062243,0.138564218607081,0.0751522268496784,0.295519129045104,0.181010317062243,0.276742725849922,0.109365470360055
"LP.01.40",0.171776088980261,0.146580223695217,0.144714780644669,0.0756439008333576,0.171776088980261,0.146580223695217,0.16275502608682,0.14973187346827
"LP.01.42",0.106858127312861,0.14775600375764,0.095587149244621,0.0764016705052445,0.106858127312861,0.14775600375764,0.114343457388028,0.0871446015063301
"LP.01.43",0.330490197964634,0.236796045326159,0.20880572110413,0.151875366613491,0.330490197964634,0.236796045326159,0.328866020835974,0.194149315180529
"LP.01.44",0.110437917313811,0.12979093711706,0.183486020426811,0.0711195972220801,0.110437917313811,0.12979093711706,0.104594823353637,0.162314887092995
"LP.01.45",0.0662904867742501,0.148340869185627,0.0297395241523988,0.0458547842576884,0.0662904867742501,0.148340869185627,0.0515880048164976,0.021014440090837
"LP.01.46",0.420133316655328,0.40402952246651,0.205398905999121,0.219864604049738,0.420133316655328,0.40402952246651,0.427232715934478,0.206976722622036
"LP.01.47",0.437108497428118,0.316562607128141,0.187608793065409,0.169345069565963,0.437108497428118,0.316562607128141,0.461383792859708,0.188891467955285
"LP.01.48",0.128940653752206,0.149765843641004,0.233492831025021,0.0842950708913398,0.128940653752206,0.149765843641004,0.138230173765023,0.175123221343767
"LP.01.52",0.480587640106558,0.328634552140083,0.460490580461485,0.172067818834337,0.480587640106558,0.328634552140083,0.471539427410595,0.430001854987632
