"","DeconRNASeq_BPRNACan_NK","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.resting","DeconRNASeq_CBSX_LM22_NK.cells.activated","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NKT.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_NK.cells","Epidish_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.resting","DeconRNASeq_LM22_NK.cells.activated","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__LM22__NK_cells_activated","CBSX__NSCLC.scRNAseq__NKT_cells","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"LP.01.01",0.0431159939112487,0.0396689606464244,0.0231929821256548,0.097275325864478,0.00445437966269327,0.00674555678154343,-0.00300166950728131,0.00841367154837964,0.0498970884184766,0.202760837965852,0.0396689606464244,0.0231929821256548,0.097275325864478,0.00445437966269327,0.00674555678154343,-0.00300166950728131,0.00841367154837964,0.227561712242037,0.0221789987372657,0.00483735023743117,0.0135829628938297,0.0153276995894259,0.0597079499304536
"LP.01.02",0.0469385883232628,0.0235221333032515,0.0572296873021614,0.143609339623496,0.0115878740512279,0.00422562274092881,0.0221579930954376,0.0376014751098209,0.0180989478323807,0.251073050959708,0.0235221333032515,0.0572296873021614,0.143609339623496,0.0115878740512279,0.00422562274092881,0.0221579930954376,0.0376014751098209,0.260016503447177,0.0174164557664567,0.00808222904616046,-0.000831755137223407,-0.00521586022194911,0.00659227427560767
"LP.01.03",0.0402270908448956,-0.00536995921553234,0.0349825583442033,0.12137203632369,0.0115878740512279,0.00422562274092881,0.000269673641457772,0.0611186210238972,0.0347863420619333,0.196741769315351,-0.00536995921553234,0.0349825583442033,0.12137203632369,0.0115878740512279,0.00422562274092881,0.000269673641457772,0.0611186210238972,0.207664791353793,0.0137464712884274,0.0177285069342476,-0.000831755137223407,-0.00521586022194911,0.00659227427560767
"LP.01.04",0.0619091949029122,0.0143117785937656,0.0922624316208161,0.234501935372704,0.0321745165095983,0.0384675193388385,-0.00300166950728131,0.0698843746567061,-0.00634649316473213,0.158393869873815,0.0143117785937656,0.0922624316208161,0.234501935372704,0.0321745165095983,0.0384675193388385,-0.00300166950728131,0.0698843746567061,0.20741936153619,0.0534076466652343,0.0105849210980857,0.00859496641408574,0.00634806141640228,-0.017143315376429
"LP.01.08",0.0564576769538378,0.0131335200370841,0.0231929821256548,0.172873301648012,0.0126452373700067,0.00321946683457131,0.0429575183989269,0.0256373493298971,0.00425133017801791,0.124116407773678,0.0131335200370841,0.0231929821256548,0.172873301648012,0.0126452373700067,0.00321946683457131,0.0429575183989269,0.0256373493298971,0.162383291220159,0.0136319581287521,0.00473012854483453,0.00859496641408574,0.00634806141640228,-0.019005862839904
"LP.01.10",0.0314127095685236,0.0313379651737906,0.0231929821256548,0.164340611095384,0.0503704576394261,0.00321946683457131,-0.00300166950728131,0.0260719193068504,0.0404448528851344,0.100365214528263,0.0313379651737906,0.0231929821256548,0.164340611095384,0.0503704576394261,0.00321946683457131,-0.00300166950728131,0.0260719193068504,0.121916769991233,0.0300626745415838,0.00473012854483453,0.00859496641408574,0.00634806141640228,0.0762197962187115
"LP.01.12",0.0577233870763979,-0.00536995921553234,-0.0144620511660749,0.146298182351928,0.0173378345356807,0.00422562274092881,0.000269673641457772,0.0271203618099286,0.0318098062328044,0.107207424040944,-0.00536995921553234,-0.0144620511660749,0.146298182351928,0.0173378345356807,0.00422562274092881,0.000269673641457772,0.0271203618099286,0.108881863345963,0.0380796022732789,-0.00434459394561714,-0.000831755137223407,0.0151105107849965,0.0533789136891557
"LP.01.14",0.041449506798965,0.010592679250912,0.0504895372468621,0.131197396550843,0.0188694927015687,0.0311262611331737,-0.00300166950728131,0.00841367154837964,0.0257311933626948,0.191655669897109,0.010592679250912,0.0504895372468621,0.131197396550843,0.0188694927015687,0.0311262611331737,-0.00300166950728131,0.00841367154837964,0.21439102130148,0.0107294843151519,0.0176423137606713,0.00859496641408574,0.00634806141640228,0.0277123443106368
"LP.01.15",0.0529400983770362,0.0830714969665953,0.0609873091609395,0.168500003409224,0.053934046300428,0.0175836743676457,-0.00300166950728131,0.0456456024453193,-0.00676891378488817,0.0391882740746917,0.0830714969665953,0.0609873091609395,0.168500003409224,0.053934046300428,0.0175836743676457,-0.00300166950728131,0.0456456024453193,0.0658660198027815,0.0550885044827273,0.00473012854483453,0.0487319954729521,0.00634806141640228,-0.0208307439463204
"LP.01.16",0.0481184496840941,-0.00536995921553234,0.0059311674856555,0.150454293556305,0.0115878740512279,0.0310275483980503,0.000269673641457772,0.00751031621252795,0.0271359953418213,0.0876343426660828,-0.00536995921553234,0.0059311674856555,0.150454293556305,0.0115878740512279,0.0310275483980503,0.000269673641457772,0.00751031621252795,0.121163827569875,0.0137464712884274,0.011612493661621,-0.000831755137223407,0.0147430899616926,0.0631066201567296
