"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_CBSX_LM22_Monocytes","DeconRNASeq_CBSX_LM22_Monocytes","Epidish_CCLE_TIL10_Monocytes","DeconRNASeq_CCLE_TIL10_Monocytes","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_Monocytes","Epidish_LM22_Monocytes","DeconRNASeq_LM22_Monocytes","Epidish_TIL10_Monocytes","DeconRNASeq_TIL10_Monocytes","CBSX__LM22__Monocytes","CBSX__NSCLC.scRNAseq__Monocytes","CBSX__TIL10__Monocytes","CBSX__CCLE.TIL10__Monocytes","CBSX__CD226__Mono"
"LP.01.01",0.0308436191428834,0.0998808195871022,0.0325710552909536,0.100063507385889,0.0305514446243563,0.0886296079686039,0.017671082363379,0.11076828462597,0.0447467401588528,0.0187977785602037,-0.00310791916854686,0.00498518741462772,0.271109125196094,0.0751874895813628,0.017671082363379,0.11076828462597,0.0447467401588528,0.0187977785602037,0.00381764539270394,0.00631758427678119,0.0433635407879424,0.0219586396097772,0.0162064966293327,0.00981623615456026,0.111516088227227
"LP.01.02",0.0256630485435687,0.106312259613509,0.0306603018740685,0.105329380996092,0.0249780343932414,0.0939827813854385,0.0380883740176757,0.244520048716543,0.0536294023908778,0.0701177778301499,0.0842472095556049,-0.00974905772715909,0.469224244182339,0.0132029324103599,0.0380883740176757,0.244520048716543,0.0536294023908778,0.0701177778301499,-0.00182423421235118,-0.0086502137686093,0.0686738111148919,0.0519610533578441,0.108143369220746,0.133137007650298,0.0878371971860367
"LP.01.03",0.0608072814192072,0.124705852280693,0.0605375816151915,0.123402081061928,0.0488933028949194,0.113196221239592,0.0198766874960697,0.197938032994873,0.0547174639205646,0.067681575070181,0.0670545976369391,-0.00974905772715909,0.37959691346421,0.0471379932988877,0.0198766874960697,0.197938032994873,0.0547174639205646,0.067681575070181,0.0640646064270906,-0.0086502137686093,0.0662759772693168,0.0376521566043847,-0.00737984410793629,0.22864931094883,0.0713724480131999
"LP.01.04",0.024412152622474,0.146215186082228,0.0238447609922088,0.140945780853514,0.0218801555694447,0.129472222225461,0.0485867707482934,0.298940276543163,0.0351943512046134,0.0329185203495088,-0.00310791916854686,0.00498518741462772,0.27804079431618,0.0673538627236151,0.0485867707482934,0.298940276543163,0.0351943512046134,0.0329185203495088,0.00381764539270394,0.00631758427678119,0.0528877133171628,0.0345621438250461,0.0162064966293327,0.00981623615456026,0.0874367065219522
"LP.01.08",0.0331588491411262,0.11484536292694,0.033256962096301,0.112992449950543,0.0332970891129936,0.101031049318357,0.0188642215336927,0.219430433001911,0.0126230873743632,0.0257336980021503,-0.00310791916854686,0.00498518741462772,0.143575955379422,0.0500877194546058,0.0188642215336927,0.219430433001911,0.0126230873743632,0.0257336980021503,0.00381764539270394,0.00631758427678119,0.0226824110404958,0.0219586396097772,0.0162064966293327,0.00981623615456026,0.0850568975490937
"LP.01.10",0.0437303726259598,0.128061926314733,0.0469476322707348,0.127161961346192,0.0375036743824978,0.109710183362303,0.017671082363379,0.202236489383134,0.0499358745333358,0.0211832556137108,-0.00310791916854686,0.00498518741462772,0.433506012135003,0.088917664007734,0.017671082363379,0.202236489383134,0.0499358745333358,0.0211832556137108,0.00381764539270394,0.00631758427678119,0.0433027010107803,0.037904120016729,0.0162064966293327,0.00981623615456026,0.0927152190238556
"LP.01.12",0.0720551201318915,0.113875346623909,0.0809549413276352,0.1138740449715,0.0816580560101279,0.103504661872477,0.0349665841423447,0.191600522904078,0.0256092961896037,0.0544674425211325,-0.00263155001852905,0.0570130041502224,0.516457536831763,0.0788257243219774,0.0349665841423447,0.191600522904078,0.0256092961896037,0.0544674425211325,-0.00182423421235118,0.0502586859309851,0.0214277578880661,0.0501267180000649,-0.00737984410793629,-0.0128393736034556,0.0861511865703988
"LP.01.14",0.0387369759783699,0.131898623931508,0.0434578859892943,0.131284975430756,0.0378834909425176,0.115925298433517,0.017671082363379,0.219565753227517,0.0322756219202997,0.0134142177383757,-0.00310791916854686,0.00498518741462772,0.249006179305133,0.0283901099824004,0.017671082363379,0.219565753227517,0.0322756219202997,0.0134142177383757,0.00381764539270394,0.00631758427678119,0.0354552798624017,0.0219586396097772,0.0162064966293327,0.00981623615456026,0.0810270504971616
"LP.01.15",0.0425753126420749,0.106931789897181,0.0404848917369625,0.103994960795648,0.0336223313323088,0.0959926638668043,0.21280123106067,0.341893279172376,0.0105675167618293,0.0143886511538289,0.0476038634162352,0.00498518741462772,0.218350813529846,0.0524715993137747,0.21280123106067,0.341893279172376,0.0105675167618293,0.0143886511538289,0.00731804612969772,0.00631758427678119,0.00616255322726572,0.203939829509244,0.0162064966293327,0.00981623615456026,0.0857276972731546
"LP.01.16",0.0579761468250392,0.147092010035123,0.0633935364497212,0.146218906235012,0.0599298744884096,0.130263207709283,0.0350401416659146,0.216403230947958,0.000737339141000982,4.4161871482663e-05,-0.00263155001852905,-0.00974905772715909,-0.00149599166737555,0.0196763194673943,0.0350401416659146,0.216403230947958,0.000737339141000982,4.4161871482663e-05,-0.00182423421235118,-0.0086502137686093,0.00958344256244272,0.0504932333869835,-0.00737984410793629,-0.0128393736034556,0.0779985663424223
