"","Quantiseq_T_cell_CD8.","DeconRNASeq_BPRNACan_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","DeconRNASeq_CBSX_LM22_T.cells.CD8","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","DeconRNASeq_LM22_T.cells.CD8","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","Epidish_TIL10_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__TIL10__T.cells.CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusNoAct","CBSX__CD226__CD8CD226plusPostAct"
"LP.01.01",0.00154666198349738,0.0497625459114209,0.00566860494824652,0.0181899136018642,-0.00551699876501665,0.019928132128127,0.00462612313771272,0.00952430148304171,0.0373054894652196,0.00272905873507919,0.0337084983068378,0.0126994187870142,0.00717095926225625,0.030896656334276,0.00566860494824652,0.0181899136018642,-0.00551699876501665,0.019928132128127,0.00462612313771272,0.00952430148304171,0.00636994466085671,0.0606194557514765,-0.00751342918282091,0.0221592118580184,0.00298652479134739,-0.0048943569962142,-0.0200676480366975,0.028489317764907,0.0352005633395572
"LP.01.02",0.00234988984848962,0.0284651934479214,0.00193898911714257,0.0124782834355454,0.00954855420129349,0.00042175143034157,0.0062221501939739,0.00294367280532649,0.0414599914666145,0.00443158423355274,0.0281340112910008,-0.0184554793267064,0.125101923160613,0.0978896417509205,0.00193898911714257,0.0124782834355454,0.00954855420129349,0.00042175143034157,0.0062221501939739,0.00294367280532649,0.00366269373738711,0.049244286515778,0.010429470936002,0.0584783317294965,0.0032193643292113,0.0077524146358344,0.00872288111400666,0.0608390636499404,0.067033428950237
"LP.01.03",0.00234988984848962,0.0430118905965729,0.00193898911714257,0.0219081768025838,0.00954855420129349,0.00042175143034157,0.0062221501939739,0.00294367280532649,0.0266801646497075,0.00443158423355274,0.0266714989045851,0.0817493583302736,-0.0106792860487015,0.0330239648345923,0.00193898911714257,0.0219081768025838,0.00954855420129349,0.00042175143034157,0.0062221501939739,0.00294367280532649,0.00366269373738711,0.0475934781832791,0.010429470936002,0.0808761962264349,0.0032193643292113,0.0077524146358344,0.00872288111400666,0.0399906317100415,0.0391681033003479
"LP.01.04",0.00413853779204805,0.00952261131155221,0.00566860494824652,-0.00385259914788944,0.0461792395872129,-0.00646086652894947,-0.00329740586696906,-0.000409487363621445,0.0739652832355966,0.00272905873507919,0.0260694964675039,0.0126994187870142,0.0548858068034116,0.301979824951663,0.00566860494824652,-0.00385259914788944,0.0461792395872129,-0.00646086652894947,-0.00329740586696906,-0.000409487363621445,0.00636994466085671,0.0595289533752498,0.0484753344078508,0.0964132898641369,0.00298652479134739,0.000834046187747536,-0.0152832354411407,0.0544644838159761,0.110598352821987
"LP.01.08",0.00154666198349738,0.0115745230841328,0.00566860494824652,0.0275812959002295,-0.00551699876501665,0.00526521626767503,0.019354893982119,0.0259919092562478,0.0634362863214752,0.00272905873507919,0.0303313573940562,0.0927950239310246,0.00717095926225625,0.030896656334276,0.00566860494824652,0.0275812959002295,-0.00551699876501665,0.00526521626767503,0.019354893982119,0.0259919092562478,0.00636994466085671,0.0622985466283827,0.0179732668876328,0.0834741396720037,0.0206627127273501,-0.0048943569962142,-0.0200676480366975,0.0313371424204374,0.0402560971243583
"LP.01.10",0.0121230338955874,0.0347312609756533,0.00566860494824652,0.0316757084785095,-0.00303662292640851,0.0346446368077078,0.0243904381575963,0.0312109439255312,0.0601653937289177,0.00272905873507919,0.0313672078248908,0.0518300010568391,0.00717095926225625,0.0968823923216114,0.00566860494824652,0.0316757084785095,-0.00303662292640851,0.0346446368077078,0.0243904381575963,0.0312109439255312,0.00636994466085671,0.0545611360276013,-0.00751342918282091,0.118148009791941,0.0183128617840249,-0.0048943569962142,0.0245338295291268,0.0449451274219498,0.0523079806206487
"LP.01.12",0.00700996105237881,0.0288618530083945,0.026785816394783,0.0356219813858562,0.0321345049218,0.00042175143034157,0.0062221501939739,0.00928318418550072,0.0557793628667185,0.01689916591127,0.0382116835347602,0.123042743141186,-0.0106792860487015,0.0101825390242905,0.026785816394783,0.0356219813858562,0.0321345049218,0.00042175143034157,0.0062221501939739,0.00928318418550072,0.00366269373738711,0.055268934369053,0.0419039857605759,0.0752591640263195,0.0032193643292113,0.0077524146358344,0.00872288111400666,0.0456400561096937,0.0235990048686028
"LP.01.14",0.0348552403072442,0.01349680305297,0.0498983350360095,0.0313544553234202,0.0663693064127118,-0.00164273908570206,0.0427932090372093,0.0288486507531928,0.0630799295423523,0.0502196934408007,0.0117768283125337,0.0403146872679609,0.00717095926225625,0.191899602576385,0.0498983350360095,0.0313544553234202,0.0663693064127118,-0.00164273908570206,0.0427932090372093,0.0288486507531928,0.03715842344986,0.0315019163949389,0.0690482552108806,0.139345127573123,0.0545139236044754,0.0660501901726108,0.137875363675709,0.0412463182271312,0.0606440704701626
"LP.01.15",0.00640369104947678,0.0156754973506941,0.00566860494824652,0.0141143920175758,0.00353573689273637,0.0127113215137899,-0.00329740586696906,0.00110372706529729,0.05457614035135,0.00272905873507919,0.0343123196189405,0.0126994187870142,0.0998085917639955,0.228671409309632,0.00566860494824652,0.0141143920175758,0.00353573689273637,0.0127113215137899,-0.00329740586696906,0.00110372706529729,0.00636994466085671,0.0567382197810455,0.0287900479648782,0.0221592118580184,0.00298652479134739,0.0282786721528699,-0.0005916941356095,0.0416656515156843,0.0794118422681906
"LP.01.16",0.0239360646308694,0.00633054532543923,0.0711544543843884,0.0389173696032772,0.0628870375432316,0.00935824744402931,0.0367375851207363,0.0263034461823973,0.0541990771106891,0.0320837018671932,0.0255388628899103,0.0600756527228436,-0.0106792860487015,0.117039641341974,0.0711544543843884,0.0389173696032772,0.0628870375432316,0.00935824744402931,0.0367375851207363,0.0263034461823973,0.00366269373738711,0.0624257660700469,0.0734865139918369,0.144900411585368,0.0373050535221018,0.0077524146358344,0.00872288111400666,0.0383022687784681,0.0519988438923055
