"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Endothelial.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Endothelial.cells","CBSX__scRNA.melanoma__Endothelial_cells","CBSX__HNSCC__Endothelial_cells"
"LP.01.01",0.00423804682226701,0.0507333333083095,0.123337481264721,0.106343065366173,0.00423804682226701,0.0507333333083095,-3.71045699635265e-05,0.135991969702978
"LP.01.02",0.0950979125548713,0.130832978231114,0.231196573363163,0.145299425368628,0.0950979125548713,0.130832978231114,0.101318123299934,0.256326515446539
"LP.01.03",0.080391843910768,0.14562836399162,0.223555990450174,0.142172556490514,0.080391843910768,0.14562836399162,0.070429341657113,0.194803345102019
"LP.01.04",0.00572070172144004,0.156060970893412,0.105795140397535,0.0991387277156918,0.00572070172144004,0.156060970893412,-0.00276066243954604,0.0976330258965285
"LP.01.08",0.0261892224186091,0.11040431071808,0.0809524039548534,0.0865048537283418,0.0261892224186091,0.11040431071808,0.0450282070423773,0.0655214874509985
"LP.01.10",0.0127687878371856,0.10825498732035,0.0876081051587557,0.0916318703216868,0.0127687878371856,0.10825498732035,-0.0023940855772236,0.127901269827357
"LP.01.12",0.144286603295634,0.113080382846211,0.246866430155641,0.124453166999999,0.144286603295634,0.113080382846211,0.154500353299969,0.249612885932366
"LP.01.14",0.0120150481854276,0.0855710165735782,0.0724211516697085,0.0849204223918303,0.0120150481854276,0.0855710165735782,0.00444686987743991,0.0648729198633873
"LP.01.15",0.0837556980689617,0.126821117730755,0.188998294822664,0.127983939128707,0.0837556980689617,0.126821117730755,0.0987414369024278,0.202818772745948
"LP.01.16",-0.000128429796043003,0.0737513116409028,-0.00534595200854181,0.067013519088898,-0.000128429796043003,0.0737513116409028,-0.0076008997264459,-0.00933850446078621
"LP.01.17",0.10181797871699,0.0902348149417588,0.174350173177528,0.0913389559656744,0.10181797871699,0.0902348149417588,0.0590802327446667,0.175323367527113
"LP.01.18",-0.00485014230452427,0.0632710835806864,0.0494875807965626,0.0929058948313555,-0.00485014230452427,0.0632710835806864,-0.00679376308472588,0.0346763207205216
"LP.01.19",0.0054435294682178,0.103092648521796,0.197807832218535,0.138891270712111,0.0054435294682178,0.103092648521796,-0.010863051555874,0.23058139569944
"LP.01.20",0.00902672929926739,0.101547220708461,0.0632883073724643,0.0869799129747825,0.00902672929926739,0.101547220708461,-0.00174695047032682,0.0867283725370765
"LP.01.22",0.0641136908893434,0.199400136193719,0.198218411780768,0.131659284880535,0.0641136908893434,0.199400136193719,0.0772043062680754,0.228478518247888
"LP.01.23",-0.00955085307458091,0.072777959773803,0.179536900536027,0.103444687605933,-0.00955085307458091,0.072777959773803,-0.0157826146573749,0.139314070114883
"LP.01.24",0.0388597124408292,0.11109845837374,0.115421570000773,0.116241161130707,0.0388597124408292,0.11109845837374,0.0377845766654653,0.123913303719327
"LP.01.25",-0.0036737887798806,0.0714614967703353,0.0977839836015515,0.107611140308235,-0.0036737887798806,0.0714614967703353,-0.0135521828955192,0.0989553163764765
"LP.01.28",0.0524008483832998,0.118734933543751,0.149632666790273,0.125453103368261,0.0524008483832998,0.118734933543751,0.0894064946478561,0.151911116473993
"LP.01.29",-0.00861249533616555,0.105226864598255,0.120111660504842,0.0963652590144734,-0.00861249533616555,0.105226864598255,-0.0157826146573749,0.184212841355186
"LP.01.31",0.0679315937173602,0.145438606386031,0.211872156944272,0.131114085040298,0.0679315937173602,0.145438606386031,0.100412228763249,0.230063648533734
"LP.01.32",0.0698373443272813,0.119196173272027,0.114303246763948,0.117110762855531,0.0698373443272813,0.119196173272027,0.065678649982585,0.0949694085626235
"LP.01.34",-0.0143433250855767,0.0807070213125145,0.0182733584614807,0.0650666110516453,-0.0143433250855767,0.0807070213125145,-0.0156670475118313,0.0173810291851605
"LP.01.35",-0.00852226665895353,0.0641510468118437,0.0278996956287502,0.0630586438316461,-0.00852226665895353,0.0641510468118437,-0.015697401111787,-0.0042776530212928
"LP.01.37",-0.0102921489114458,0.102737380417543,0.00887439038719489,0.0621552554859334,-0.0102921489114458,0.102737380417543,0.014305414031694,0.0105229805307657
"LP.01.38",-0.0143433250855767,0.146394218976013,0.130311131603435,0.0876988614481245,-0.0143433250855767,0.146394218976013,-0.0157826146573749,0.167008536706065
"LP.01.40",-0.00635027116635347,0.124530638747276,0.0447294184043956,0.0721304216745205,-0.00635027116635347,0.124530638747276,0.00205305944611638,0.0525708633014712
"LP.01.42",-0.00842086526599705,0.0948882968558747,-0.010122177891778,0.0753202562659214,-0.00842086526599705,0.0948882968558747,-0.0131950353443534,-0.0265306787392833
"LP.01.43",-0.0122890643196867,0.0547489417644326,0.0378695280569529,0.0858562392198402,-0.0122890643196867,0.0547489417644326,-0.0124680525907475,0.0449773260165438
"LP.01.44",-0.0106228817422892,0.0795765841768915,-0.0213989548255102,0.0521543181346532,-0.0106228817422892,0.0795765841768915,-0.0157826146573749,-0.0185901744491785
"LP.01.45",-0.0143433250855767,0.145183006498755,0.141778483011418,0.104017200636901,-0.0143433250855767,0.145183006498755,-0.0155218494043144,0.181153538111342
"LP.01.46",0.0120420396239627,0.10034986102488,0.100336954506704,0.126768030705625,0.0120420396239627,0.10034986102488,0.00709319857556586,0.15929446064151
"LP.01.47",0.0174368160963844,0.143282747773827,0.0659384157235045,0.0891346066507526,0.0174368160963844,0.143282747773827,0.0103338778721639,0.0556123867301257
"LP.01.48",0.0140140072782753,0.127473353435465,0.161367262419018,0.0885603924403361,0.0140140072782753,0.127473353435465,0.0100766779621732,0.222089621536569
"LP.01.52",0.00367919037171777,0.078270397285933,0.120915139312757,0.0891295992324799,0.00367919037171777,0.078270397285933,0.00709319857556586,0.0933738552404848
"LP.01.53",0.092546048508635,0.112712704120206,0.257437256560722,0.109352247382964,0.092546048508635,0.112712704120206,0.0966727570189856,0.266474338347828
"LP.01.56A",0.0114921759491698,0.0719856272859356,0.0539149224836295,0.0829845258710644,0.0114921759491698,0.0719856272859356,0.0134389319036009,0.0561585390476646
"LP.01.57",0.0155021900557087,0.0638416074652128,0.100501575406504,0.104281840791056,0.0155021900557087,0.0638416074652128,0.0122940267833134,0.063440071185841
"LP.01.58",0.0257502995462584,0.108361102782023,0.13546447134063,0.0884666554764458,0.0257502995462584,0.108361102782023,0.0253696497991699,0.111874570439912
"LP.01.59",0.0246006749899838,0.0955879249861804,0.0400924870456033,0.0860984719268606,0.0246006749899838,0.0955879249861804,0.0312017772450784,0.0259346549892145
"LP.01.60",0.00367919037171777,0.15394841492276,0.0533972749076716,0.0908422158910449,0.00367919037171777,0.15394841492276,0.00709319857556586,0.0744184045185487
"LP.01.61",0.0283278416674511,0.143551071001174,0.122084272427518,0.111016403482052,0.0283278416674511,0.143551071001174,0.00709319857556586,0.138737996130128
"LP.01.62",0.0177782774628765,0.0729780628490331,0.112306293541647,0.0848589157724018,0.0177782774628765,0.0729780628490331,0.0202986944178736,0.129368687725743
"LP.01.63",0.00367919037171777,0.134198397101582,0.0726140408729948,0.0835484970743335,0.00367919037171777,0.134198397101582,0.00709319857556586,0.0399340365565872
"LP.01.64",0.00561745406200349,0.107300690739674,0.111961931511687,0.0953318354807781,0.00561745406200349,0.107300690739674,0.00997597000979583,0.129891678508113
"LP.01.66",0.0154115478478643,0.0584807455411976,0.107705511790542,0.0888801231159091,0.0154115478478643,0.0584807455411976,0.00790110991581001,0.0802760439936365
"LP.01.67",0.0564884379293937,0.11522063806406,0.152299500121054,0.165462322624803,0.0564884379293937,0.11522063806406,0.0542722015797065,0.171082698960327
"LP.01.68",0.0762512808000777,0.108071936038725,0.199366857843452,0.154970255998051,0.0762512808000777,0.108071936038725,0.0809378498849426,0.227045597209704
"LP.01.70",0.0506366398363367,0.101918430157139,0.144285491300126,0.0959602527748231,0.0506366398363367,0.101918430157139,0.0543229563634643,0.1728322361724
"LP.01.71",0.00367919037171777,0.0730064041798483,0.0466728958855151,0.0761055036755444,0.00367919037171777,0.0730064041798483,0.00709319857556586,0.0451844295797479
"LP.01.72",0.00367919037171777,0.155612338393419,0.0383793692261786,0.0766568991407761,0.00367919037171777,0.155612338393419,0.00709319857556586,0.0527738441099077
"Test.FFPE.01",0.0340108124714306,0.140425910275361,0.139445379785231,0.125374143526291,0.0340108124714306,0.140425910275361,0.0260577492715534,0.15976947881069
"Test.FFPE.02",0.0225941709727215,0.0714692327508291,0.0891239599585018,0.088251899088733,0.0225941709727215,0.0714692327508291,0.0201341661394476,0.0590106548706875
"Test.FFPE.03",0.0301223516405314,0.101387429799668,0.0784313170092587,0.105676617534517,0.0301223516405314,0.101387429799668,0.0274245471380648,0.0951116638326467
"Test.FFPE.04",0.0299645487561931,0.120449442073119,0.195989358669845,0.134874307372005,0.0299645487561931,0.120449442073119,0.0225865662767611,0.170460285320149
"Test.FFPE.05",0.0299931778458923,0.0913345994413097,0.0583559581161927,0.0603783515075016,0.0299931778458923,0.0913345994413097,0.0346267629366545,0.0479392798570138
"Test.FFPE.06",0.0144036195800944,0.137955436334136,0.145816582571824,0.107275816637878,0.0144036195800944,0.137955436334136,0.0169549807721783,0.102008219964398
"Test.FFPE.07",0.0144513264671256,0.0819717738953476,0.105776483943822,0.0976613940065401,0.0144513264671256,0.0819717738953476,0.0127837095988783,0.135939845149927
"Test.FFPE.08",0.0128839198452447,0.109552754555864,0.0216954623692614,0.0865115532720097,0.0128839198452447,0.109552754555864,0.0127837095988783,0.102650463269635
"Test.FFPE.09",0.0128839198452447,0.114468305848746,0.072691565234942,0.0764597771658883,0.0128839198452447,0.114468305848746,0.0127837095988783,0.0813119720746317
"Test.FFPE.10",0.039837994332007,0.0940613425997589,0.19119489445485,0.111740937642687,0.039837994332007,0.0940613425997589,0.0522385340612254,0.203697212662221
