"","Quantiseq_Neutrophil","Epidish_CBSX_LM22_Neutrophils","DeconRNASeq_CBSX_LM22_Neutrophils","Epidish_CCLE_TIL10_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","Epidish_LM22_Neutrophils","DeconRNASeq_LM22_Neutrophils","Epidish_TIL10_Neutrophils","DeconRNASeq_TIL10_Neutrophils","CBSX__LM22__Neutrophils","CBSX__TIL10__Neutrophils","CBSX__CCLE.TIL10__Neutrophils"
"LP.01.01",0.0806987445711405,0.00619127622748215,0.00764049953693844,0.0169377221704676,0.133850046611584,0.00619127622748215,0.00764049953693844,0.0198806840416442,0.14288330328927,0.00663256306084733,0.00847197383595088,0.00921890399182834
"LP.01.02",0.0967753567179254,0.010311334364339,0.0335151343628034,0.0510281081043981,0.246691767617022,0.010311334364339,0.0335151343628034,0.00260610236757663,0.239808693137989,0.00988489194363932,0.0167712459448772,0.0423933759731123
"LP.01.03",0.178654869656041,0.010311334364339,0.00626288591138337,0.0106230357235397,0.272906088478564,0.010311334364339,0.00626288591138337,0.00260610236757663,0.27031664289221,0.00988489194363932,0.0500503586660818,0.00555092038132276
"LP.01.04",0.0462011708445957,0.0142095660982639,0.0247344346183076,0.00567053938922278,0.116946159750894,0.0142095660982639,0.0247344346183076,0.0198806840416442,0.151052849783502,0.0181671823073224,0.0471994788712169,0.016858934046092
"LP.01.08",0.0626584129193607,0.00619127622748215,0.023307738389954,0.00567053938922278,0.149642551585151,0.00619127622748215,0.023307738389954,0.0198806840416442,0.167223576321221,0.00663256306084733,0.00847197383595088,-0.000591348554269205
"LP.01.10",0.114886118511907,0.00619127622748215,0.0060424230070845,0.0423601887623116,0.121870704001777,0.00619127622748215,0.0060424230070845,0.0198806840416442,0.141198881090079,0.00663256306084733,0.00847197383595088,0.00229408942354623
"LP.01.12",0.134142844748105,0.0253195353922647,0.00626288591138337,0.0131709379450314,0.213928842392085,0.0253195353922647,0.00626288591138337,0.00260610236757663,0.202439641093367,0.0223219445973089,0.0167712459448772,0.0254228222723591
"LP.01.14",0.0927129409843297,0.00619127622748215,0.0157073062667415,0.00567053938922278,0.087522978429018,0.00619127622748215,0.0157073062667415,0.0198806840416442,0.111172146367372,0.00663256306084733,0.00847197383595088,-0.000591348554269205
"LP.01.15",0.116835736307821,0.050438262350903,0.0182248629680262,0.00829520893521031,0.25160806456006,0.050438262350903,0.0182248629680262,0.0198806840416442,0.285247683743342,0.0484888252758092,0.0632725647718812,0.0318465663488193
"LP.01.16",0.0764588625511269,0.0265093932123774,0.0154462135370211,0.0232358944957084,0.103804109437861,0.0265093932123774,0.0154462135370211,0.0150246389537506,0.135781488594927,0.0223910530340661,0.01875729546192,0.00979774472378053
"LP.01.17",0.06379236034695,0.010311334364339,0.00626288591138337,-0.00629268095208272,0.015166385103867,0.010311334364339,0.00626288591138337,0.00260610236757663,0.0257032522175833,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.18",0.106928329771027,0.0158518121734023,0.0148999934276188,0.00631952018166458,0.189359833550443,0.0158518121734023,0.0148999934276188,0.00743045872973212,0.215361935196193,0.0154634264689917,0.029573047037576,0.0120770518505495
"LP.01.19",0.125930615630769,0.010311334364339,0.00626288591138337,-0.00189270620817131,0.175934898906277,0.010311334364339,0.00626288591138337,0.00260610236757663,0.177632831473845,0.00988489194363932,0.0328094492726901,0.00162098542910173
"LP.01.20",0.0850735120586211,0.010311334364339,0.0182758684376645,0.0345288472808332,0.17048429512488,0.010311334364339,0.0182758684376645,0.00260610236757663,0.184790429701449,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.22",0.0318275855973494,0.010311334364339,0.0243516996944169,0.023417799265444,0.128476955523498,0.010311334364339,0.0243516996944169,0.00260610236757663,0.145351678575285,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.23",0.0897675964731865,0.010311334364339,0.0113925168554957,0.0235196144640071,0.153593759626594,0.010311334364339,0.0113925168554957,0.00260610236757663,0.169854441631447,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.24",0.127258392648014,0.0245675863992091,0.00626288591138337,0.0784643248649511,0.251774004629006,0.0245675863992091,0.00626288591138337,0.0479466320835426,0.249755156643258,0.0325096874083019,0.0167712459448772,0.0113496995026755
"LP.01.25",0.112364322112931,0.0134117200470433,0.0131104816197398,-0.00203591936789243,0.230593710207962,0.0134117200470433,0.0131104816197398,0.00260610236757663,0.236259105573606,0.0154522841876515,0.0182700965147694,0.0470670217845019
"LP.01.28",0.0766343627959784,0.010311334364339,0.00626288591138337,0.0548461427034798,0.181903192052925,0.010311334364339,0.00626288591138337,0.00260610236757663,0.179858265340193,0.0147792922774392,0.0167712459448772,0.0322546197099937
"LP.01.29",0.11381175309795,0.053171820087422,0.0367762631352,0.0427687691227127,0.161732333222424,0.053171820087422,0.0367762631352,0.204488112887691,0.245884151060541,0.041462994096161,0.07022660390192,0.0150741971028239
"LP.01.31",0.0574592827513329,0.010311334364339,0.0233423051720365,0.0225704198781928,0.111741946717887,0.010311334364339,0.0233423051720365,0.00260610236757663,0.121943002393472,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.32",0.0695818732778058,0.010311334364339,0.0344525466428059,-0.00629268095208272,0.167372816270825,0.010311334364339,0.0344525466428059,0.00260610236757663,0.200005762782225,0.0195695183456916,0.0167712459448772,0.00162098542910173
"LP.01.34",0.084929939158038,0.0189487236862868,0.00986293234705487,-0.00589433555991672,0.0631576365243394,0.0189487236862868,0.00986293234705487,0.00516965342398258,0.0873487142777452,0.0212016287100223,0.0239470917371554,0.00162098542910173
"LP.01.35",0.0732741552940837,0.010311334364339,0.00689132639073944,-0.0037789759585281,0.143937414895379,0.010311334364339,0.00689132639073944,0.00260610236757663,0.145853448612642,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.37",0.0873109700450566,0.0134660494357992,0.0362286984895551,-0.00629268095208272,0.110639401140791,0.0134660494357992,0.0362286984895551,0.0143565194865367,0.169115746327922,0.0206279361216189,0.0201855706738847,0.00162098542910173
"LP.01.38",0.0296252232378181,0.010311334364339,0.033967615172805,-0.00629268095208272,0.0767597570001035,0.010311334364339,0.033967615172805,0.00260610236757663,0.141850419739755,0.00988489194363932,0.0214920767568843,0.00162098542910173
"LP.01.40",0.103918466270914,0.0105205792535783,0.00799396588801719,0.0198775416185794,0.134472165176712,0.0105205792535783,0.00799396588801719,0.155691242859492,0.200773149238085,0.0139959956097611,0.0599977191419581,0.0202794096523537
"LP.01.42",0.06653273850468,0.0161166538437618,0.018171429334492,-0.00629268095208272,0.084411041545271,0.0161166538437618,0.018171429334492,0.00260610236757663,0.121148354253433,0.0199967264861781,0.0213929933856365,0.00202182729638322
"LP.01.43",0.0407228980081102,0.010311334364339,0.00626288591138337,-0.00629268095208272,0.049133821670827,0.010311334364339,0.00626288591138337,0.00260610236757663,0.0719402655213134,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.44",0.0604028714911051,0.010311334364339,0.00731485897652621,0.00579948992578698,0.0642312242871547,0.010311334364339,0.00731485897652621,0.00260610236757663,0.0883947213091949,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.45",0.0484588350015622,0.010311334364339,0.00873788574904186,-0.00629268095208272,0.0871280361409813,0.010311334364339,0.00873788574904186,0.00260610236757663,0.134405538223925,0.00988489194363932,0.0167712459448772,0.00162098542910173
"LP.01.46",0.0391975772138167,-0.0247257748588943,-0.0166081284652915,0.00854381581997365,0.111149570459832,-0.0247257748588943,-0.0166081284652915,-0.0334544998412237,0.0999002264580217,-0.022902082624637,-0.0358808493239784,0.00639225096374707
"LP.01.47",0.0847335663060682,-0.0190076438899022,0.025995095069692,0.00814659768496585,0.111704416748794,-0.0190076438899022,0.025995095069692,-0.0334544998412237,0.0940791172035607,-0.0176955557066398,-0.0358808493239784,-0.00426087954648503
"LP.01.48",0.230433855761572,0.145307919030496,0.0871502489332115,0.0821944479388207,0.24100265506393,0.145307919030496,0.0871502489332115,0.415002900106975,0.420244584361856,0.105689520406991,0.460906329957072,0.098962024320373
"LP.01.52",0.0869172599269696,-0.0218654868129853,0.0173954633509773,0.00405445295315643,0.246172416436179,-0.0218654868129853,0.0173954633509773,-0.0334544998412237,0.228036849343351,-0.022902082624637,-0.0358808493239784,0.0193240959042797
"LP.01.53",0.0553080473250919,0.0491609260168345,0.0431332566977656,-0.00322650311907065,0.0736973216403088,0.0491609260168345,0.0431332566977656,-0.0334544998412237,0.0965769338792637,0.0497199846126375,-0.0358808493239784,-0.00426087954648503
"LP.01.56A",0.0729456851289627,-0.0247257748588943,-0.0166081284652915,-0.00322650311907065,0.0427157948791171,-0.0247257748588943,-0.0166081284652915,-0.0334544998412237,0.0497947458229516,-0.0216936654060242,-0.0358808493239784,-0.00426087954648503
"LP.01.57",0.0588669759318546,-0.0247257748588943,-0.00799388706129842,-0.00272611326577422,0.192722950846538,-0.0247257748588943,-0.00799388706129842,-0.0334544998412237,0.176241472964456,-0.0208021253125252,-0.0349228411457685,-0.00426087954648503
"LP.01.58",0.0820403194204813,-0.0221402496061342,-0.0131235557276569,-0.00322650311907065,0.145726144410029,-0.0221402496061342,-0.0131235557276569,-0.0334544998412237,0.155411809486058,-0.0179580849247684,-0.0358808493239784,0.00474825447841566
