"","LP.01.01","LP.01.02","LP.01.03","LP.01.04","LP.01.08","LP.01.10","LP.01.12","LP.01.14","LP.01.15","LP.01.16","LP.01.17","LP.01.18","LP.01.19","LP.01.20","LP.01.22","LP.01.23","LP.01.24","LP.01.25","LP.01.28","LP.01.29","LP.01.31","LP.01.32","LP.01.34","LP.01.35","LP.01.37","LP.01.38","LP.01.40","LP.01.42","LP.01.43","LP.01.44","LP.01.45","LP.01.46","LP.01.47","LP.01.48","LP.01.52","LP.01.53","LP.01.56A","LP.01.57","LP.01.58","LP.01.59","LP.01.60","LP.01.61","LP.01.62","LP.01.63","LP.01.64","LP.01.66","LP.01.67","LP.01.68","LP.01.69","LP.01.70","LP.01.71","LP.01.72","Test.FFPE.01","Test.FFPE.02","Test.FFPE.03","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.07","Test.FFPE.08","Test.FFPE.09","Test.FFPE.10"
"BHLHE40",-5.15944127007247,-4.63089881238259,-4.68681182499641,-5.29466773665096,-4.62917373145989,-4.93353528183648,-4.57894614155357,-4.83993054443393,-4.79832478654271,-4.44312059389355,-4.98515447537763,-5.13300157225017,-4.85607737020791,-4.80576177031478,-3.67471009035125,-4.73176139413423,-5.55173058576964,-4.86983477920006,-5.21826078372287,-6.17165603822505,-4.42290290156021,-4.36593179582413,-5.1936105183828,-4.55208529979621,-6.01918373448289,-4.16682905069088,-4.66353955353554,-4.67700034161849,-4.892967138935,-5.86528062905233,-4.98994974757701,-4.32186356522044,-4.07565808074391,-5.05156244936133,-4.84843663684118,-6.0397042538476,-5.51729921168738,-4.89462675167925,-4.810502575582,-4.49333196053699,-4.45397452256321,-4.47681492626314,-4.66197167371946,-5.32088493961496,-4.33147021311027,-4.6360925788183,-5.67667652432943,-3.92814589381862,-6.29096933482326,-4.15655259509885,-4.7373564925303,-5.13865286632337,-5.64742271805604,-4.97045855405806,-5.48977228561209,-3.94414669081261,-5.10062876236654,-4.83505128783874,-4.41481675036464,-4.36064948965378,-5.50084573460054,-4.8224877218093
"E2F6",-4.9051096150181,-4.40593323877025,-4.45709617329362,-5.87496656868597,-5.07145768407194,-4.75162565574084,-4.24003641871332,-4.85120760171218,-4.21389295723686,-4.76319385711855,-5.37853140154334,-5.00328736270269,-4.46166163889889,-4.73229668722357,-5.03400708746395,-4.54772257096512,-4.67150125404011,-4.86106807171877,-4.32832179122535,-6.32855547298366,-4.98236304808385,-5.08584357141043,-4.62520834950635,-4.09294827147014,-5.60492317558111,-5.31699683835233,-4.86552935969188,-3.97917251105177,-5.13381779271618,-5.45011701100903,-5.34828073954001,-4.91872805763012,-4.06828009270049,-5.45806135959758,-5.2951871307583,-5.74131071211532,-5.30617607883375,-4.51337631082177,-4.68291022032504,-4.67766597325241,-4.2517813420803,-4.80834333968657,-4.51304569757875,-4.92634692752763,-5.06521075215812,-4.78635980000866,-4.5045220419719,-4.19788952103887,-5.06610089336289,-4.62921369801885,-5.03446697479585,-5.39499603006633,-5.41036425324262,-4.83756170793439,-5.04704392563138,-5.50709919205911,-4.39577438259052,-5.10158815515534,-4.54148853007496,-4.55517988953676,-4.86342967506504,-4.92370273601575
"FOXJ2",4.41073588558715,4.53471297743099,4.13719378404768,3.13818970772045,3.85431179231499,3.66471166993726,4.3609720450524,3.49761846253133,3.4870551005563,3.41834106549939,3.44705647561206,3.3352658462866,4.25379090998391,3.40211166758486,4.09245341445137,3.91508930791355,3.73990678324581,3.96836972843685,4.19124388870755,2.78440056541267,3.97331982861447,3.36004241171766,3.54625598521389,3.82552157811914,2.24559060509255,3.31012901990044,3.33950768973081,3.31931705183453,3.0919988796852,2.52589484489849,3.82085972323006,3.89596514259493,3.7052151912323,3.04026880397534,3.22903680171892,2.89564331818108,2.96470738625279,3.92881090551009,3.92218149853294,3.40372412310805,3.88806676630054,4.78786312665807,3.61554413166173,2.786894153778,3.61124377761187,3.73186330850726,4.53181723635041,4.47960222135649,3.61025966593831,3.18562570942268,3.3327293663134,2.47733352174179,3.60001583898998,3.52657060585528,3.6053420270441,4.39153184362193,3.48129821178287,3.37180543684253,3.39630534547629,3.49365286533587,3.55044254338276,3.93831064835405
"HOXB13",3.18660044564352,3.9156584814964,3.3521837184971,2.29129339123772,3.30272888919413,3.49971628716545,3.95343508977378,2.29694272820483,2.63894454822045,2.51377216166641,2.94776181587671,2.15249121435874,3.13558285199657,3.71581107386869,2.81979245307331,3.1283886194151,2.62565171026759,3.54108742928196,3.30961265659666,2.07724271098767,2.61581730025463,2.32573937634834,3.25792947174459,2.86445504582858,1.71667501918004,2.11425787934016,2.44723106342231,2.46702607896209,2.33896357570444,1.73335402694291,2.8247335755517,2.6520759043343,3.77996216906244,1.70015969680041,3.07005656596385,3.42484244751789,2.37896772745828,3.31837152963543,3.15101938140525,3.30256584541573,2.40540844970009,2.67708629454435,3.4935970261243,2.661961078348,3.14117241575681,3.03014294117587,4.16769400121227,3.78140272186479,0.89076764619397,2.79350304532119,3.0957995306579,2.06740208648891,2.43536754215384,2.63347689449203,2.72700634600141,2.7631716529794,2.24875214823454,2.36074228954998,2.61917993028159,3.95573240315382,3.02580347442053,2.84059684760431
"HOXB7",-0.124763222286272,-0.428670638185035,-0.686462774391207,-1.51201945424078,-1.11886597562996,-0.731735207919174,-1.11363054660505,-1.29737167465835,-1.06189433450948,-1.32171620479432,-1.51754366353163,-1.27329076115341,-0.475902305173672,-1.33678871455628,-0.971575666453045,-0.700979325693638,-1.47142202900463,-1.36755282363361,-1.20259124622024,-1.08636070903689,-0.470031758806899,-1.45153362530961,-1.52921099360706,-1.26634509550355,-1.28491919707189,-1.47868998775124,-1.19930004762559,-1.10784128456979,-1.59659217816024,-1.33036420418902,-1.57230634528308,-0.894063728733113,-0.578731040086602,-1.49214132312308,-1.10422132999566,-0.775981057169215,-1.65654946181108,-1.35150544792396,-0.99257183549408,-2.04696408955288,-0.373137982107699,-1.45965925289082,-1.87498603728577,-1.57703504948937,-0.799960455174941,-1.08644377688043,-0.87708228340619,-0.996136379388345,-1.80432652951039,-1.30970172354503,-1.2680275614857,-1.41302435465491,-0.814261140654432,-1.40332141456775,-0.956630870076001,-0.589782544343397,-1.24664159468638,-1.24605453479057,-1.28914368425859,-1.25265733900911,-0.629772008357214,-1.18519904041987
"IRF3",0.189892060890885,-0.671649964993257,-0.989020971085746,-0.228619762237519,-0.332721804597344,-0.0899312725391969,-1.18059062304982,-0.106222229059751,-0.58910874146184,-0.790203210498557,0.493105431070323,-0.00621831161706822,-0.85561364585151,-0.694910536088378,0.22059354275177,-0.804694423618658,-0.816470587965859,-0.511612496341698,-0.817051095165997,1.91943640331377,-0.614569452262104,-0.30122945310038,-0.526897160229981,-0.534528281669969,1.10106264390336,0.249478771999272,0.533086789177237,-1.34546685516178,0.863510039938637,1.0817096812111,-0.0527199339272747,-0.517315771575597,-1.31569790947319,0.599458430568198,0.0559797350738389,0.680917251288691,0.977805590026082,-0.883545856615449,-0.679547194770691,-0.597143991052621,0.0130597868124989,-0.669205965732166,0.128718218342621,0.565142025459453,-0.766932993761649,0.124920573876823,-1.25386721786823,-1.16489852594284,0.900997937282124,-0.789327026150112,-0.134453288219727,0.18124983932906,-0.388981759818557,-0.128384531390433,0.417307688047802,0.212457297385468,0.0920822252524054,-0.902921404433692,-0.17495505022503,-0.412620262936134,-0.637827589355086,-0.0220382719711834
"MAZ",4.38819714187334,3.64548265698419,3.46332221991729,4.97706797996931,4.11687197908499,4.31009833355772,3.80925053101949,4.11446515748931,3.75765150599246,3.21342717144249,5.73309742134524,4.06518089258922,3.17317801122304,4.63080672338085,3.4967875596878,3.65331555581435,3.99515069508471,3.90064363687455,4.15250688927361,6.09497192093397,3.66891659449838,4.24006603467354,4.2250442040333,3.79831846939183,5.89432826950867,3.98489586886946,4.01383262726961,2.57807412692697,5.29547170052466,6.06861862198736,5.26234084390656,3.90251826252488,2.84430289476268,4.93373427965745,4.74079318880242,6.18773854812492,5.73710938188406,3.74138649251248,4.24623160672787,4.1977933444578,3.42328292868496,3.08156429649938,5.38689414574569,4.88664398872874,3.15076893969781,4.32213788573722,3.3745075494265,2.970430541193,3.57563297525936,4.46977072393703,5.12930532153327,4.51116434112393,3.87552321852066,4.33724117956956,4.9107928649634,4.56895517907329,4.26698298983875,4.23545011974331,3.88098748469346,3.85540314366963,4.33805199467867,4.43365889463719
"MYNN",12.3895812508741,11.2840661963826,10.7578810582724,12.3922761160423,11.364599187809,11.3461450089072,10.9183258682548,11.4350309242857,11.2347753096959,9.58129035582894,14.3651718718072,11.5008881392798,10.0649453455265,11.4640168549075,11.2616924859829,10.5502621150029,11.6494311591176,11.4174338130726,11.4792257958742,15.7328534926522,10.8783814000636,11.2947714002291,10.5315401156769,10.0389001243375,14.9436491012701,10.8085971957292,11.2807373335193,7.7154814119059,12.9994744351851,14.0328831796978,13.4912557812017,10.8351940178372,8.64975965799592,13.0011093926912,12.7508911957432,14.5268460493458,14.4465017743481,10.1817769140113,10.937891934468,11.4736469235479,10.4901747633877,9.77407318649893,12.1098153587732,12.4019326673243,9.22013639894037,11.7268489173157,10.8945547006615,9.91367681475223,13.2672832401378,10.8179308594473,12.0777473596817,12.5706176916285,11.5901640913242,11.5338282634904,13.6322807334207,12.0703111552958,11.701420127659,11.513611581839,10.785914634895,9.97262218334982,11.4402358039787,11.8796640341726
"NFE2L1",4.05715661060622,3.68473931095628,3.82246204051518,4.06372369951529,4.01840733174051,3.64046495742462,4.3962073943873,3.47846857027248,3.40989604503589,3.90235619677985,4.12938995310891,3.56692105228036,3.733088668215,3.70371325052942,4.58590723365531,3.45024242055158,3.53025833148098,3.60171181823409,3.97683517768593,3.47864529839949,4.2976423019079,3.58972253590742,3.10288637333525,3.66031642984209,2.76052907261664,4.10133619063008,3.30812370823289,3.13345096520044,3.93798008537598,4.40297420407979,2.82474534625971,2.90255918887061,3.37005703964138,3.85421714009256,4.00788588576331,3.99650396525234,3.43112518040639,3.38820277325755,3.46684611354217,4.05484764680489,3.46190313084687,3.46663039755144,3.85161783414536,3.75638349215664,3.93594163327611,3.85272987998898,3.92767399466561,4.10116317685465,2.26036073788213,3.71047982107779,3.77295761430536,3.401864878109,4.15005618131655,3.23430144761002,3.71810614097056,4.43029288869267,3.16731696680479,3.82396537994217,3.37709910013733,3.80196799505956,3.77919491424339,3.91519016570128
"PPARA",-2.19390956862072,-0.926469073138967,-1.24373893254663,-0.27948937905245,-1.7034078637713,-2.04570739913694,-0.688992523536678,-1.57311196436076,-1.3179367606259,-1.82533299004605,-1.86198288989942,-1.12474026585876,-1.06932637243469,-1.82070313497118,-1.30399029441752,-1.62827708482408,-0.898698655716082,-1.44331867042068,-1.12276842985207,-2.48877422198538,-2.00052419039046,-1.27872673035882,-1.39720414166587,-1.99774505029557,-1.7020658237092,-1.35081977919812,-1.26529282566926,-0.640156506877174,-3.12018063673314,-2.08705810520162,-2.40003805031876,-1.112318913828,-1.39962446072773,-1.74393986156575,-0.506128441191472,-1.38382131085391,-1.86579550621005,-1.89157998725371,-1.44278250276667,-1.87068552886972,-1.06422102648082,-2.12496411198376,-1.98904027806717,-2.80032780964373,-1.5201280114415,-1.98519109147403,-0.211766485117103,-1.1028974982127,-1.70981085678263,-1.02033794640104,-1.69201226158763,-1.55323106826834,-0.571686894843744,-1.29500054945483,-1.72269186835351,-1.27303810651785,-1.40489919534587,-0.922054226733155,-1.07800451259663,-1.66307384173437,-1.66941394614401,-1.20204007074505
