"","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_11","R3388_YZ_12","R3388_YZ_13","R3388_YZ_14","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_18","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_23","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_30","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_53","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_59","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_17","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_22","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28","IP.108b","IP.115b","IP.124b","IP.127","IP.138b","IP.140b","IP.148","IP.197","IP.214","IP.28","IP.31b","IP.36","IP.38b","IP.57","IP.58b","IP.60","IP.67b","IP.73","IP.82b","IP.89b"
"AHR",5.50265451134318,4.31008712587595,4.82811573508586,2.60245422797349,3.6678254347235,3.40184278851175,5.11916293669183,4.29311164905993,4.86233220894204,3.5647197976445,3.51102571928674,3.63561397664621,2.8605243688577,3.86090460033706,4.33097313500652,5.27297282283655,3.81486565848029,3.99346639445403,3.23245133880697,4.22752669567579,3.18087307707372,4.13806286686259,5.15766084017057,4.84428487223841,3.96796912991215,3.42122893232401,3.64158425616874,4.52106453796759,4.82893363819147,4.92267308105177,4.39428392886866,3.68374970237412,5.30592606598767,4.60454400692873,4.77103119121665,4.01845384913794,3.97132644686379,2.25960622819674,4.2210979412908,3.54172349509936,4.23441319291658,3.61263841398254,4.17769390723175,4.81725563987858,4.05497093349439,3.96446116669984,2.8518668391906,4.38478909383203,2.99119134828523,4.5542725248103,3.31933228271922,3.95733786380919,3.56491776917401,3.14982864692477,5.04647408810679,4.44665876414256,3.52072856109889,3.55041576189599,3.07233503182168,2.79740014179973,3.86400718380803,3.86628946717966,3.66552045136359,3.86062751097296,4.54837734420045,4.36096602270116,4.37799912878724,4.35223780486343,5.96893250346407,5.35287020065706,3.68082255848481,4.7581049320987,4.334873036901,3.76579167210551,5.79155286523455,3.69362982656289,5.45160899771476,3.08395422280685,4.12460702128611,4.18833054712809,4.09881591908899,2.28082314379642,4.04234334532594,2.28619891051964,5.72422161047431,2.66149571348784,2.88689358493715,3.94385529425616,3.73247677201025,4.16825401793814,3.37904267865979,5.12330250879864,3.5588425603317,5.18408297047197
"ARNT",7.65348574221815,6.22293230578243,6.62899471644873,4.80875463060655,5.8019934385191,6.09095961706361,6.75690560437775,5.64996184400352,7.32424088136287,5.64326277438961,4.13643823155732,5.62227487092696,5.08006607205379,6.87828411065809,6.67444713330823,7.14049092053266,4.59431713716694,5.21864241749524,5.00262464143632,6.43140799631423,4.978339264692,6.48618939861415,7.01650192480084,7.13404215197825,6.07665957350558,5.01988110306498,5.5006770951329,6.47195724017288,6.80524946163525,7.05810290249654,6.39837156591324,6.33809704435932,6.21347902998389,6.21536493331749,6.72455718086875,5.8326679618365,5.91829216814881,4.26933320219545,6.30521026155342,5.6082204695765,5.97359192259957,5.79291749225026,6.49587771171521,6.38820090493994,5.36519194799039,5.57906636569805,4.36693636872557,5.74532874592933,4.82485454804816,6.13820410915689,4.97703135103291,5.50066849011991,6.11547482708878,5.58161385261277,6.7841898421839,6.42839452351616,5.56326083684232,5.94782446752461,4.62136120382028,5.31884672017351,6.21151558145353,4.58007476300098,6.13463953669825,5.66654106966661,6.19862268332797,6.43877363020029,6.86024050501746,6.16961749111085,7.09289708026862,7.31700334542366,6.33775544305819,6.68070488914003,7.38537207906901,5.10206574441475,6.08090811654845,6.21174036386771,5.99190077039953,5.56688911429663,5.62427360357433,5.89283924730907,5.98148299726141,5.06380814439573,5.92294745315461,5.42390290584055,7.03535265110826,5.1137923733466,5.1853695299511,5.59821851289219,4.38584796099758,6.19616082171404,5.40783927870942,6.06557676058868,4.73184434577013,5.19367587287314
"CEBPB",-0.542804041636009,-1.33640797708098,-0.599492693771697,-1.44228155523494,-1.01773902945828,-1.66158014040732,0.394923168861082,-1.18041710457403,-1.34831253772938,-1.56994337183823,-0.53747663013495,-0.963145861048231,-2.27593577090145,-2.28437575835523,-1.23427930312647,-1.1012215209942,-0.492263191015014,0.568979202154475,-2.02654982427841,-1.49436693282538,-1.02168592032185,-0.961720302883226,0.37263152533108,-1.08727702663315,-1.11976174543254,-1.44653500023206,-2.10438878510799,-0.996002253324459,-1.77335579888104,-1.42705964453009,-1.38694839497156,-2.18119500719726,-0.753950064551644,-1.24772546000003,-0.72634208751775,-1.1957560198106,-1.07454363154572,-1.1113974737684,-1.44444605708573,-1.42761557563642,-1.30191486491624,-2.25715170620999,-2.04346915055895,-0.297125145204782,-1.48651907893413,-1.38851475666706,-1.20616833593672,-0.82701237741098,-0.629313430069226,-0.81103862243896,-1.13882006296609,0.119290547860755,-1.70474023193872,-1.43582407327645,-1.90861348357169,-1.51363264551743,-1.91381619380957,-1.41093473137827,-0.993910499493647,-1.57093137990972,-0.177290846464047,-1.47965268412339,-2.3513993561901,-1.46870986217999,-0.631284690814177,-0.846549033713742,-1.17934387452665,-0.922036871946604,-0.44204922158338,-1.27567284996712,-1.43056916187106,-0.89922338646726,-1.97864884597075,-1.06852239192505,-0.702675849472812,-2.00360254818605,-0.800742824882861,-1.36887306444169,-1.1998223042429,-1.14019995632935,-0.946890020782293,-1.51150850379726,-2.02142036296586,-0.484054155062084,-0.86022317606806,-1.596212065208,-1.1148006667196,-1.95634676447158,-0.286073159025556,-1.01322747239568,0.562247188317202,-2.32981995555931,-0.85579733242397,-1.39617387552411
"CEBPG",5.53364660856799,5.17701591884783,5.60411767766505,4.3731240599182,4.5459424741682,3.97488512903402,5.71492624625072,4.57145022457382,5.39290363800672,4.55969427972998,3.70258782632392,4.42980002220196,4.02948356367819,4.97954792990724,5.13139602844062,4.86990199412355,3.91065726054108,4.63653655204857,3.9955658316839,5.24743492749143,4.56920207047053,4.81656726019132,5.74080496330458,5.09610517310157,5.05017542942001,4.30592574931149,4.20573895019331,4.63170742764676,4.50457440472303,5.20147317236677,4.52620789417657,5.01571484084956,4.79541801562676,4.0033938611608,4.76448978940015,4.77837748280517,5.64963696622049,3.98382864297514,5.25980030812275,4.37915208053415,4.92429200189605,4.49232000041753,4.94927946736395,4.73268904643971,4.644165635712,4.84158111847788,4.00194932880289,4.7358725506243,4.23426897830072,4.85185729446856,4.14004095348016,4.75446238095777,3.93684081889767,4.21690236259634,4.6952239814018,5.66412070085432,4.47020662428411,4.79750187567698,4.15090524732491,4.47075436065575,4.63541146237776,4.06046813423087,4.9032729478861,4.46310765414156,5.12714386323438,5.30707406121446,4.4788522965892,4.15261735656491,4.94146150806212,4.85285025206288,5.00691779717573,4.79695853608328,5.15822030398444,4.72106135399968,4.8538512775701,4.98736456334295,4.76382734774725,4.10474612432964,4.34026464240461,3.98317655471451,5.00955805107184,4.10074477442635,4.27545488060259,5.13934606806419,5.0475913499212,4.22874395890067,5.26674465768101,4.00431850633649,3.51376889532656,5.62091779788261,4.57670505054276,4.28142654029141,3.50811320783733,3.45742860326549
"DUX4",2.51784835940382,1.41834076256085,1.6635229445213,0.494777638347467,1.37119602988307,1.77341758783172,1.76625826672406,1.07595362898543,2.11875711327614,1.52423459513633,0.0828636527708592,1.38343953430194,0.980740567741991,2.350308573516,1.51076200215976,1.46454041973481,-0.162758541074193,1.41881686772788,0.265753875758566,1.81965904305384,1.11699553782028,1.04483800576304,2.23754565240334,1.95564734139392,1.87750357786138,0.441568761354208,0.834300072477816,1.1586574191838,1.67644492349343,1.93388560607464,1.63439970002183,1.29537026882297,1.79589217151357,1.37920893289527,1.56952961494872,1.21040008142333,1.88425808476544,0.343101961633852,2.39713384555478,1.69822026635377,1.67462595294608,0.867248162059758,1.52767705401895,1.60740964658201,1.4525622746662,1.10282721814714,0.496913011575716,0.901434210151851,0.923836893080436,1.42369513855892,0.310754066739034,1.17217576364639,0.857118980972602,0.896848322555207,1.26543267104484,1.44684093328077,1.17621938247235,1.40617298757724,0.676766128293618,0.944957727831086,0.974852684233056,0.933015740075796,1.62637167998178,1.06258787659745,1.5608624696854,1.40197673443812,1.48441842647918,1.39928968649223,1.87197161217635,1.78631745266841,1.68657431319012,1.52613918998058,1.94775713132689,1.22264162945019,1.29807251281085,1.40259372776712,1.68275200509954,1.94788487940673,0.835838176303245,0.855790079012983,1.80878087504145,0.765978859512751,3.17855563038622,1.31201813981881,2.33927574199808,0.246084734322138,1.16627000156186,0.765594020006704,0.0935271083421035,1.70038520383093,0.729887149149484,1.28667345238001,0.306582599386076,0.58598763009133
"GATA3",2.87249087328069,1.80922398166764,2.60011262547863,0.668419770263563,1.71543372661642,0.73410451616481,2.21584987577438,1.80051694357622,2.355148412674,1.30601301693143,0.319895559174658,2.21846548727563,0.810202647580056,1.79484972773594,2.96352852468151,2.12516212041225,1.02844340156413,1.38974969231076,1.10814758857062,1.81481388322383,1.34581310607335,2.30466021626216,2.64461702413577,2.13741745824016,2.14442071095945,1.02016557619282,1.74267716480198,1.6368254484582,1.98279367593435,2.21579356549811,1.66705296104625,1.72828429314743,1.98998060381514,1.76925849444289,1.22096256478692,1.87684683037353,1.93529688071526,0.239898094369778,2.66044121081476,1.94555708406382,2.62980519573657,0.751951154195204,1.62343333377269,1.84340919658587,1.42864374790927,1.81893005856569,0.554223365203452,1.53428040619857,1.35790529928964,2.08403251625642,0.615699956856731,1.66990427724232,1.37659906571641,1.19755209551504,1.60757927806626,2.30731289311054,1.5771035944794,2.43064025566256,0.761181407498825,1.47312239958844,1.00246349132908,1.16949529927114,1.16883149048664,1.1458356301148,2.91070836523639,2.08666303238126,1.81814254816999,1.31488131627414,2.20748486076438,1.84846253509128,1.69471533679215,1.67808956760131,2.07360140339561,1.81976067594502,2.05702856551049,1.3588643827614,2.47634730657852,1.23962141148448,2.13584254895104,1.17817949304325,1.44479488326351,1.1442801220119,1.29431928310277,1.29390006967745,2.25106004133491,1.7312776829514,1.63711014462639,0.665208011881133,1.30172758260939,2.58558860667534,1.71291742441318,1.9365546613623,1.02868214101367,1.59563312791614
"HMGN3",11.3569952754888,12.8603194190573,10.6207361351306,14.8847048735999,13.1105176039271,14.0767091285541,10.70558181431,11.7372472246703,12.0101623307502,13.3434432189749,14.8473099122548,11.4477640965334,14.0287740650233,12.1619814329381,10.9807600707672,12.9152113070746,15.106565131742,13.7104782186989,13.5535150795539,12.7595624328376,14.4607437591958,12.9155174129409,10.0617903899808,10.0052224695132,11.2026679235679,13.9607201572131,12.6126259375468,10.4558734569861,13.3170128614914,11.9616970088317,14.0876821792268,12.5469090691486,12.2599980561047,12.6309392095864,11.6415990503442,11.3955577498743,12.3696787686196,13.6121066825663,11.1690596083884,12.3398464490523,11.8543850133265,13.5953725640933,13.003799481891,11.5224943224104,12.4208260558333,13.2750213632142,14.1790113117419,13.3122049829954,16.092085346614,12.1423736119796,14.4921550615686,12.4394675753052,12.7066977035022,13.2988488778189,12.8597264181551,12.2866923707206,13.9493627157252,12.1711670566769,13.1372819077529,12.8933252658292,12.3935752879183,15.3921869244211,12.1901704586922,13.1561110221658,12.8268843644247,12.5341251553842,12.5868559094135,12.576227228669,11.8097945827015,12.2738782092571,12.3665271074169,12.3221754602207,11.7311630344705,12.6882860468239,13.0090853469974,10.7834979282698,11.5092370595567,9.23389105205093,13.4749683986687,13.415438762479,10.6745857283479,11.3769194873735,9.39124544408346,11.7286739294673,9.78510535821771,13.6758308276809,10.7189148870855,12.7510803240638,14.3074938763044,9.72868958989473,12.7460505461588,12.2976151395419,14.562290452135,14.6261280543056
"HOXB13",4.47029784327804,2.78520548417186,3.51364686072998,1.70065056878754,2.02496039154774,2.91341643074445,3.5511516355596,1.91822137240042,4.2665275645324,2.18457208585526,1.41310168537333,2.26409211745322,1.32925915817023,3.59854861976443,2.79998863299969,2.90730402346923,1.15355838235932,1.5666937547648,1.61387189770307,2.83935228552224,1.46342156947404,2.61386061210517,3.33351744899978,2.98920468108337,2.60614124748286,0.99549878996683,1.91763453484579,2.28571703013805,2.97487335818223,3.66447127693973,3.45401870324613,2.75310240236259,2.80653047449525,2.99200232993203,2.64980733236449,2.0873265644668,2.45036569808087,0.824813994500681,3.13288525897584,2.09865677066367,3.01347864593783,1.14382466123476,3.19327775683749,2.8154216380829,2.12678963765934,2.41024153192878,0.869386276819391,2.26654214553879,2.11638013403533,2.74810347080087,0.758495532433213,1.93042330303528,1.97974139407334,1.50685071273885,2.56926542293143,3.77278695049332,2.42047840885375,2.03939672023597,0.3721216421785,1.66817542545098,2.65194447949291,1.60714573601348,2.70408034059753,2.39357734246479,2.35404155712247,2.60532226869867,2.65463309164763,2.46598619751149,3.91102561640847,3.78507127693297,2.91442511472971,2.78462179187165,4.59996032808252,1.53589765808435,3.10875022059508,2.11071643957601,2.90659236159158,2.08834564076963,2.32879300979437,2.26766767103694,2.48840406950368,2.02439969658596,3.3374892111877,1.47509436808276,3.55864567030417,1.66157370145214,1.85981080771231,1.47230358721456,1.643982630778,3.16648570703861,0.898959808218132,3.02349252651576,1.94648043478259,1.86733218127798
"MEIS1",5.55060034110882,4.69921936861462,5.45057553432391,2.8380145537947,3.22711786786954,3.71155214932289,4.87954315635952,3.29448166268713,5.36577257870454,3.47990779858933,3.20032665390838,3.40834047340548,3.2005544131009,4.29269862406952,4.71657660128405,5.15021468782593,3.34279345044891,3.31574167114463,3.38078235717406,4.37138651620861,3.1591415312373,4.65487603406428,5.27699250567566,4.66988496809145,4.44829481997904,3.08862210737,4.13352396098094,4.23812643808663,4.98951177095468,5.11765477756233,4.91728075774108,4.28862873125377,4.85509006712917,4.28333239189963,4.40123212502708,4.25774973099996,3.96378617421685,2.1048156011395,4.95672823873968,3.5336673024916,4.35089000746981,3.47660755006053,4.62189605870689,5.04732955501971,4.02088092066319,4.20648324315519,2.77093958484768,3.83837773569915,3.37429846564257,4.42041064910515,2.90094987505084,3.86833982440081,3.16431560739652,2.91263572583214,4.92145045087806,5.4043152925019,3.64640346182319,3.764677570139,2.57085254384798,3.16025856444748,3.98990949323866,2.81500922789257,3.98970694297103,3.84900954183885,4.10644658119073,4.15726413967527,4.5293551434744,4.53448695243398,5.6130463021833,5.57257925034561,4.02721196638037,4.60991223085147,5.8840688148039,3.09677903145063,5.00589432621367,4.37108236043392,5.67849823048254,3.38503740300413,3.8061438861128,3.87905350995601,4.19596550970959,2.35641928575655,4.1721673392381,2.42794698166393,5.62485293284089,2.45759447205203,3.69779540959004,2.92970525848404,2.71097638472443,5.00087228547119,3.02003904187972,5.05941540370152,3.25865908970651,4.57114940060654
"MEIS2",5.72438010128319,5.03018757400256,5.67965210125602,2.90034236797796,3.51280109840675,4.0419165749628,5.18514472065684,3.38146602131104,5.83343760622533,3.85522476257007,2.92359111795768,3.62461265292091,3.71513556483327,5.36486465528994,5.48383130610048,5.15496139146431,2.8906533454456,3.3774495495756,2.97812074434235,4.87546797551609,3.6540156234887,4.92056830443328,5.33691008969575,4.85252535933992,4.74847057234337,3.15418843599069,4.69721298812603,3.95757289402165,4.99263978869819,5.28535284915551,5.30370013665776,5.15943768821073,4.97419996882055,4.6034553387127,4.23364721479025,4.50734526947707,4.62894483973186,2.37855026397495,5.20021722200911,3.92556936697451,4.909108979107,3.32588760472497,4.82782314520345,4.46637296797864,4.03420843724919,4.73490161400801,2.98407701116751,4.28916509833799,3.84768006618088,4.46153603165283,2.56881042182184,4.03375081933491,3.92873804463312,3.82996018373679,5.04069752822755,6.05256675339979,4.16971720658902,4.36871942597641,2.53769444792818,3.76924514421796,4.21164163182838,3.89297306022205,4.31690377861788,3.73315019323691,4.66607932253806,4.62049856882205,4.89755788607005,3.99324550515002,5.44019205719535,5.29377107024534,4.22673985971087,4.70508659870372,5.98707937069837,3.73978856165228,4.49188910656281,3.47512960143079,4.9148674690002,4.76196452901411,4.72606931648675,4.59515313075504,4.36360438382053,2.464297547305,4.37910006865496,2.97589750130063,5.76357190487683,3.34657061933063,4.42315539166218,3.0970264537825,3.23212947719347,5.72697393463723,3.78128799078654,4.36485941015196,3.7460719856392,4.34635699149228
