"Pt1_Pre_AD101148.6" "Pt1_On_AD174047.6" "Pt2_Pre_AD101150.6" "Pt2_On_AD174046.6" "Pt39_Pre_AD485899.5" "Pt58_On_AE045812.10" "Pt59_Pre_AD823915.5" "Pt82_Pre_AD823914.8" "Pt82_On_AD125218.6" "Pt49_Pre_AD667851.6" "Pt49_On_AD681976.5" "Pt66_Pre_AD667850.6" "Pt81_On_AD681973.5" "Pt85_Pre_AD486329.5" "Pt85_On_AE070989.10" "Pt89_Pre_AE070951.5" "Pt89_On_AE070987.5" "Pt93_On_AE070988.5" "Pt101_Pre_AD486328.5" "Pt101_On_AD681975.5" "Pt47_Pre_AD506073.6" "Pt47_On_AD530367.6" "Pt52_On_AD530365.6" "Pt52_Pre_AD506075.6" "Pt67_Pre_AD506074.6" "Pt67_On_AD530366.6" "Pt94_On_AE373242.6" "Pt94_Pre_AD732850.6" "Pt105_On_AE373241.6" "Pt108_On_AE373243.6" "Pt77_Pre_AD733591.7" "Pt77_On_AD733629.8" "Pt79_On_AD733628.6" "Pt79_Pre_AD733587.5" "Pt84_Pre_AD486532.5" "Pt84_On_AD495199.6" "Pt87_On_AD495198.6" "Pt98_Pre_AD733586.8" "Pt98_On_AE086717.6" "Pt62_On_AD635728.5" "Pt62_Pre_AD608303.5" "Pt65_Pre_AD793919.6" "Pt65_On_AD796996.5" "Pt68_On_AD635729.6" "Pt69_On_AD635730.6" "Pt72_Pre_AD793922.5" "Pt78_On_AE148748.6" "Pt78_Pre_AD467018.5" "Pt80_On_AD467874.5" "Pt90_Pre_AD467873.6" "Pt92_Pre_AE134060.5" "Pt92_On_AE148750.5" "Pt103_On_AE134059.6" "Pt103_Pre_AE134058.2" "Pt109_On_AE527955.6" "Pt109_On_AE527955.5" "Pt3_On_E9047638.6" "Pt3_Pre_E9024733.3" "Pt4_On_E9047643.7" "Pt4_Pre_E9021023.6" "Pt5_On_E9047635.6" "Pt5_Pre_E9021022.6" "Pt9_Pre_E9021024.6" "Pt9_On_E9047644.7" "Pt10_Pre_E9047565.6" "Pt10_On_E9047632.6" "Pt17_On_E9261162.5" "Pt17_Pre_E9047563.6" "Pt18_Pre_E9024732.6" "Pt18_On_E9261163.5" "Pt32_On_E9414883.5" "Pt38_On_E9414881.5" "Pt38_Pre_E9200719.6" "Pt48_On_E9047631.6" "Pt48_Pre_E9047561.7" "Pt36_Pre_AD467095.6" "Pt36_On_AD495182.6" "Pt37_Pre_AD502452.5" "Pt37_On_AD495183.5" "Pt46_Pre_AD467096.6" "Pt46_On_AD781834.6" "Pt24_Pre_AD436687.5" "Pt27_On_AD467934.5" "Pt27_Pre_AD453873.5" "Pt29_Pre_AD497504.5" "Pt30_On_AD505620.6" "Pt30_Pre_AD497503.5" "Pt31_On_AD467932.6" "Pt31_Pre_AD453872.5" "Pt8_Pre_AD153354.6" "Pt8_On_AD167380.7" "Pt11_Pre_AD153352.6" "Pt11_On_AD314068.6" "Pt13_On_AD314067.6" "Pt26_Pre_AD467789.6" "Pt26_On_AD467915.5" "Pt28_Pre_AD297619.6" "Pt28_On_AD167375.7" "Pt44_Pre_AD467790.6" "Pt44_On_AD167376.6" "Pt106_Pre_AD502250.5" "Pt106_On_AD513626.6" "Pt34_On_AD485757.6" "Pt34_Pre_AD466985.6" "Pt35_On_AD485758.6"
"ADNP" -2.6514254977172 -2.96167542306983 3.65684245239606 0.946382832809365 -3.28119098471505 -0.0514050870675135 0.351388850667511 -2.12867834035055 0.423101917641981 4.4622075554892 4.64768636576526 -7.81268481903519 -2.32743314199417 -4.77867654521147 -3.51910055327496 3.0286587940951 2.53087146024892 0.314158379467242 0.552615812575391 2.84070745035193 0.90210815250304 -0.45345338405811 0.603084284717458 -0.12582998805336 0.240872952571392 0.494305741830089 0.0815758267650847 -1.27439916441413 -0.502153529784272 0.429286724789794 4.41191490645729 2.69923885498915 -2.01897957883169 -4.3253725063401 -2.49315925951534 -1.73012891233203 4.93881038531932 -4.33638613974953 -4.40551971069358 -5.82533710970069 -9.3367774083216 0.752950772518698 -0.706625132424308 0.267444454168576 6.57653351104767 -2.68340290294264 1.86222856933571 -6.27601351138416 -4.35188505428938 0.0136421268936483 -0.575372625020354 -0.41136497602875 -4.62234820841806 -3.05497464933591 0.762620329277911 2.465023921284 -2.53364902068869 -2.9029944930986 5.2291618682335 1.62277738516738 -1.16946827612185 -1.44359344241632 -1.87877138865149 -1.71902247753682 -2.43071333470326 -0.941498068118647 0.112420796221539 0.392896339597158 1.68561646911495 1.30201431814629 3.01371548332883 -0.450945962771981 -1.56951133009951 1.1408992602912 0.165003862688327 4.39692731505384 4.17203841150031 -1.34549636561881 -6.15661778098643 4.54820293587013 1.8840012619466 2.95282650870791 0.931717472565503 -1.38515694220758 0.0814526207128661 6.9150488619514 -6.41964608877232 1.65273633719608 -0.678666699481769 0.841994098139268 -3.31507195805968 0.24265771699522 -0.816732644173755 -0.474947534123796 -3.02268492254103 -2.88162159370746 -2.981227654758 1.18621073171504 -0.828703319270094 4.64832778571163 -0.863577531480517 -3.4947115866622 4.77604940057076 6.3626488589084 2.87014951837158
"AHR" -1.70919020564019 -1.01230443475621 2.32608222812074 1.08515498000297 -1.35665759378151 2.40812813161061 0.74111745776481 -1.07826670308527 -1.14186468200428 2.59112053817885 0.277131532272653 -3.66545110053679 -0.181451742230796 -3.97716416484821 -3.30738915488359 1.63558510723813 2.27985873552515 -0.208090856440633 -2.91740556353124 -1.10560773434381 3.33340459804256 2.29225646635904 4.62916092712662 4.55697594100315 -2.01654751944528 -1.513304605291 0.0640438886260007 -0.791285417248472 -0.484133258139006 -0.908163927274819 2.51261517887863 -0.364766369052929 -1.03476397926685 -0.778249700248282 -1.07289874969214 -0.96262876487445 1.8156901245506 -2.29737657351114 -2.50491474321888 -1.33753855138451 -4.7023569965139 0.316416071256096 0.669552358336205 -1.98633424514453 1.63824408091785 1.91748017520929 2.08708723225001 -2.0940450124832 -4.5623518792537 -1.29971069369372 -2.39299971522227 -3.01992788163654 -2.15257995791276 -3.27540985443991 -0.771830568804111 -0.502513730284826 -2.58305079000767 0.00391662435619245 2.21224168556166 1.2146153690014 -1.21372109233131 -2.51039853175426 2.06315870087602 1.14900703031616 -0.00564861358615017 2.67250074013198 -1.92849132295729 -1.07807917499144 0.33978313859246 -1.39953826989393 1.40791655675669 -0.741491856101435 -1.02030309334868 -0.842680374841728 0.327629448843628 4.73659425910034 1.01891308794883 -2.71508891843428 -3.58805185838697 2.08335671589673 1.38969953584572 1.46438497016353 0.021670591929245 -0.566250120327259 0.0435984485306245 2.39042231979918 -3.81419640620641 -0.38489333555364 -0.97434536406052 1.74217208226033 -2.56496608696686 0.605256614522325 0.292621903725942 3.66290379809827 -2.34538463498893 -2.29782542302935 -0.355803378258383 1.16838213249911 3.46402090826173 4.72456809007614 -0.574145896743564 -2.72796123615244 1.605920366062 2.19318270124105 -3.79547859261592
"AR" -1.21547350984419 -1.29466517602239 0.213031645117561 0.631151390610666 0.336196747078077 0.665965585770475 -2.20031640983359 -0.164146541246394 1.58087295885633 -0.795667277901383 0.815656770111101 -1.58745889020247 0.420210805389257 1.41686230166025 0.41775885908588 -0.0392462515508136 -0.807039133125537 1.93008916509054 -3.03710487992882 -2.4065009051467 -0.209700444298559 0.92773260849387 -0.767529635778298 0.189628733875906 0.289357765591374 0.504789960263895 1.34122863357197 0.160282032217684 0.284288137514046 0.551123791541089 -1.9955357592292 -3.24347571340459 -1.65842446114389 -1.85111018347313 -0.0808454624002866 0.568415091596219 1.25062169511824 0.236224847843618 1.45396493327076 -0.0262507094146376 -2.09773145822611 0.268526536256664 0.158085605387256 0.87398187607416 -0.449062083442109 0.759131028486496 2.66614987163382 1.50460435931411 -1.05657980969882 2.94955261268957 -0.685103856390595 -0.219437048254093 -1.92174618886672 -1.53765553684775 -1.50378523155846 -1.38405961621592 1.35931749388551 -0.769063685531916 -2.63364584592871 0.542007175956001 -0.236136607284308 -1.88821943457828 -0.289466851885434 -0.947038323193869 0.564189931636701 -0.703526671087722 1.01394485460669 0.916519344187103 -0.219127103152594 -3.85342171882757 -1.30211259408632 1.16769331919983 0.923920664226385 0.276957980087761 0.548377914174505 -0.405732217106591 1.56127896696193 0.0847182403835066 -0.873722025776831 0.232311956306333 0.408811404619896 0.603793576704721 0.101840911233725 -1.40606335390609 1.80080898638467 -1.14021819288687 -2.2932377293692 1.97875475909667 0.566545039780306 -0.0233792303668307 1.79123639699718 -0.495483603221653 -0.895976341311251 0.113654707914785 -1.02588690173852 -0.632681418612707 -1.60078830218459 -2.70336696524908 -0.863809011466831 -0.559255768123815 0.876060152422362 0.668990386407364 -1.17840734621183 0.88109987871466 0.0962862583656612
"ARID2" 1.43301584687222 3.2496338306361 1.74482743891132 2.84204909909317 1.66130818297726 2.27028843591795 -2.71166792526175 0.55411807873085 -0.245478588107078 -1.57833948698312 -1.87871099886732 -3.08433760916851 -4.44357400385617 -1.00278137096449 -1.55596412922382 -0.400751165313747 -3.50899459547046 3.52995194398253 1.48697171678021 3.10253685811718 2.03637189359441 1.3968865340181 0.322444063417484 -1.55774596530281 -5.19032697907499 -4.6225736697459 -6.19911224076135 -4.94967419572599 0.630347151395132 -5.61563020078841 -1.04503254044542 2.58743738350059 1.79462047008828 0.623238823858321 1.11001107180085 0.687187747407819 1.89428537601299 -0.504203311295209 1.29774226807757 1.35605686453971 -3.65237467616999 0.300929010867773 0.584658565349623 3.12016514176591 -4.52192176529213 -0.64752254923047 -2.73815073752453 -3.19944257077107 0.740603734038197 -3.70170586595733 -2.39315002523616 -3.89238507888993 0.530128951377376 -8.00964158517457 1.61025556723345 -1.48177037538554 -5.2279399862847 0.537320591282824 2.90812263539821 1.3196603409371 3.19443205450399 -1.79257247528202 1.34118357367666 1.03103336752996 4.38994612586325 4.51044769177551 2.53545397559518 3.69895430637636 2.06386621063917 3.01090734539997 0.518483947766587 1.28045262352383 0.299737787829221 -3.49078255424686 -3.0594413965754 -0.610517321187657 -4.02679074065426 -2.45853635123769 -5.1768363918264 -4.62692111626848 -3.8245598337353 -2.17641023644904 0.948050939849763 0.971552747434093 2.01743084839839 0.749223257293256 0.613365130773881 2.05887417633206 1.33817133409253 0.657666547287134 -2.9082505026935 2.73765689020673 1.8513733829528 3.18899641094471 5.86177173680888 6.15170697027277 1.29852379382318 1.40745309449385 3.09331541128503 -1.18529834880361 0.183825774154014 -4.74563992109698 -2.93721783736181 -3.44432308814895 -2.99158873423739
"ARID3A" -0.671715723570553 -0.932247891969077 1.43317913887216 0.855044543542844 -2.12103688204041 -0.651194896086577 1.29432909913363 -0.498440581592174 1.90953686385477 0.31756729801809 3.38941776669349 -3.93784297396611 -1.16669075112304 -0.789206899917352 -0.234274976184885 -0.411305954194135 -1.31237492071388 1.73666651518581 3.20865639920268 3.13699428069873 -0.111533050792725 -0.0518890126393454 -0.703362133046251 -1.75615050506778 -0.759518954136325 -1.12973609817903 -0.330112117126868 -1.21526844367315 2.36920203542871 -1.80276640357136 -0.203610141202873 1.4994523785554 0.771878306068546 0.949318907004255 0.257824129957252 0.120647142562661 1.41723748475832 -0.229220779911226 -0.14755254852422 -2.42178556005917 -3.2939328843643 0.562308657827132 -0.196953903982617 1.11281321145056 4.04809196881485 -1.32835540223628 -0.818934292455003 -2.95716657802423 -2.06507003898505 2.22095473511198 -0.69751012098421 0.189562647793735 -2.16436559444226 -1.60727716772402 -0.0767935299745854 0.588892719239058 -3.32484471683279 -0.766871293959515 2.99471962410964 3.21994026710636 1.59248243257556 2.25534320565957 -0.768520384936526 -0.359651211424426 0.0633835897920067 0.240325683835925 0.834277575827059 0.364522753741495 1.18827651102374 1.31421567220132 4.37192369468709 1.40029020628967 0.459744119079882 0.204891495546178 -1.09024471451573 -0.529516132740462 3.15539727374405 -1.0067821882984 -4.34550551103397 1.42014828164044 -0.212924724786136 0.0802269987830302 -0.215246794599242 -1.82965852210327 -0.438077792252269 3.39625739774203 -2.69880715995747 -1.75189295265443 -2.53247153250687 -0.734049866611331 -1.85980117696788 -1.74065701972154 -3.01016888379256 -2.31770395945751 -1.6513787463336 -1.58818118340657 -1.69285537022028 1.46494028584584 -2.19500011690519 -0.797785257023383 -0.216363421395891 -0.880848151620725 1.87476881041864 2.5068866226042 2.83533879866497
"ARNT" -1.53191468623119 -0.213644156213181 -0.0803976512596389 -0.276615119446062 0.426526717142829 2.97482369245672 -2.44491946239108 -0.679375926593993 -0.719765131434222 2.61251160933707 -0.273681583049387 -2.45727565622412 -3.49063594586627 -1.6778524285044 -1.59427574458186 1.4769737068218 0.149075615614557 0.667297146936548 -3.72455750485017 -1.32416286729492 1.46963735020607 1.47280338290317 1.93969291630889 2.2434688752225 -2.19475217190787 -1.6368534601302 0.139999905061 -0.143878167662437 0.244530507135 -2.74389704748566 -0.596515429457953 -0.78959049444166 1.17528572019804 0.351442981933677 -0.63728770801397 -0.373714597362534 1.00271658651624 -1.69346057083022 -1.16506863315822 -0.0802464055305283 -5.26997356413508 0.745816976558629 0.338785872198099 -0.911836797010523 -0.188326615764623 0.706960276769086 3.13517663831509 -1.59920985695287 -4.98254731313362 -1.94927121128235 -3.10897403822024 -4.90484534176134 -0.623786941705435 -5.15526045130676 -3.20845467213646 -3.38488612646767 -5.11004874397794 -0.331604514806975 1.93384902045164 0.756678109583163 -0.522429019547601 -4.2590495085393 2.26522695227834 1.14908204832715 1.92007282374352 3.32756924393892 -0.0782363520381374 0.872149967273415 -0.490469526389953 -1.37923899524742 1.93461615952505 2.94763396411773 2.83083784818075 0.122114024840326 1.31712925202437 2.97236484264132 -1.08692234613139 -1.52322224730666 -5.24246484713161 -0.350781123136345 0.252128828257454 1.0193436608959 -0.124213064613557 -0.536385877914307 1.78115549239066 0.985852739836938 -1.12706377496242 0.577850644224524 -0.404885558661856 0.151989543596534 -3.73154224682844 2.1868265863987 2.1872994204254 1.23118562918637 1.56221000496328 1.74678412332848 2.36296216305468 1.57776979274133 4.0922788616992 4.05756491647736 -1.08409295250087 -3.62395840499754 -0.595536983076793 1.46053959143344 -2.20337015697968
"ARNTL" -0.497852883007375 0.753962933739195 -1.60205903387249 -2.12246082883869 -0.386622997631313 -0.459978391974316 -3.50744289218945 -3.06755903626339 -2.07391164721253 2.90618829450484 -0.917704090694866 -0.612533947270004 -3.0832495970857 -2.03800694642804 -0.631738417599924 -0.0216344920312627 -0.166062142848422 1.63712223513583 0.441481200909031 0.282380646724174 -1.20151696337784 -0.554145582302833 -2.09694244950656 -0.161302266294156 3.2778639533933 3.37413964948631 -0.740026898371697 -0.645870213466097 -1.17878323312876 0.868799307446095 -1.08127175608661 1.06082462215032 0.00256662521871771 -0.399494033595089 -0.748314406490947 -0.0981224340575848 -0.0239250340217987 0.00978371696929387 0.428793026690134 -0.264787994889665 -1.87692403207377 0.550965172049693 0.462938314013125 2.23409696381304 0.261187015530307 -0.508632290513776 -1.27444203491821 -2.89497756696001 -2.97479128579452 1.15665212301321 -2.04829108348164 -2.77794031239654 -0.0382517686517966 0.118498893474746 -2.17631095169334 -2.10578183152946 -1.2842505572395 -1.79902048305654 -0.291672009436862 -1.15473055471159 0.692195813548141 -2.42352199903187 0.300376018057877 0.541425020212347 1.55328963692672 -0.17712592714986 -0.201200988042228 0.877417253153171 -1.31205756718331 0.020020852539835 -0.232006520716976 1.8024643947353 1.84953922611858 0.785156109866213 1.15926695161825 -0.471470401715351 -0.233553496366986 3.01717003030635 -2.27455908567374 0.801639444276038 1.47461757955211 0.709352989902389 2.84989477261734 1.25718724920669 -1.57857604181237 -1.14824822590116 0.534888880590721 2.4622272511535 4.279139278559 -0.354502463401627 -0.399210153999841 -2.75811031285218 0.0418049334946312 -4.28502408981525 -1.58689280689452 -0.121796270318261 1.22135404842739 0.96232556106482 0.29272132891447 0.00296562992603834 1.47874270297504 -0.6275004676343 0.435554318702317 -0.106128918054357 0.918432612923533
"ASCL1" -0.916026137311027 0.167526331082693 -0.0366451471970578 -1.00090022874937 -1.62128629182079 -0.669023971651653 0.930124243839641 -0.791987918049789 0.105091803729167 0.923177397016494 0.479417957666968 -1.7416982508216 0.399413589538918 -4.06229829404206 -3.28589602681311 1.18344446970737 0.569769353261833 0.699222040512056 0.0611042184014051 0.468730857185662 1.37733469768164 1.50548802984524 0.253723305147735 0.524936842172582 2.49911875462855 2.17969473048226 2.07467900607053 1.34464741477234 -1.79583008431486 1.96879870817736 1.71867909530662 1.77926531439905 -0.404589443675234 -0.52061333273409 0.00828599884359867 -0.324206142251682 -0.360147133583962 -0.636388553365515 -1.63103217175243 -1.87963277250643 -2.9093313369468 0.337884957048029 0.0225181969610927 -1.27813973929167 2.06771672532267 -0.333658184389735 -0.0277122792590023 -2.73791164953547 -2.01643750281855 -1.3350601358946 1.21730012425727 -1.55659153056107 0.646791947227903 -0.89281622638979 -1.77860039365144 -1.09832692545899 0.46360801487556 -0.285054909801285 0.808443524784238 0.727712198470152 -2.67701578021054 -0.740520293014312 1.5762886571356 1.6318664153689 -0.780121277282576 -0.398153246668452 -1.37241087768852 -1.89290043072161 -1.08804673199908 0.688945883068297 0.511808324560659 -1.07188539179643 -1.4538439950236 1.44327690215317 0.527734730490603 2.38889881221293 3.22047865949445 -0.549681317852705 -3.66646471965021 1.12409574143949 0.826859915844741 0.126209516471012 1.31101130781009 -0.0240139850013833 -1.53866508368132 1.87789491070251 -1.57158147355485 -1.40154109638394 -0.53268245442227 1.14740225850391 -1.23401428777438 0.951861952229557 -0.444155650672293 -2.57393575757925 -0.453554821363556 -0.504816397174851 1.32674673516376 1.95441331291727 -0.323157687666371 3.24776340524953 -1.86942673422287 -2.54287025650947 1.53932699418311 0.433702897494727 1.45846143658609
"ATF1" 0.868522329064093 0.38611438482029 -0.0395204473641619 0.0514645713790332 1.77326485371337 1.32325751593582 0.365986396636563 0.160346082337498 0.354703552773343 0.197621049361264 1.04738419942324 0.13458004811142 -0.892026668970772 1.54557769041897 1.08948417489154 -0.983552423924838 0.601694589671506 0.104791307537771 -0.746712162493642 -0.627151230540532 0.0543233717299539 0.112872393822395 0.654595154967583 0.896209370643316 1.14078181562021 1.19430029794264 0.723123843712738 0.663931990642784 0.0331871785501735 2.04200159697589 1.78008359392389 -1.11373790845488 -0.285835700284555 -0.170170304998928 -0.476424166670458 -0.238150057554064 0.618000964462833 -0.902943381871789 -0.926367430303683 -0.0765878826498635 -0.646651008838029 -0.378284871687954 0.429125540591069 -0.0726442913491631 0.992163107854584 1.36824730376254 1.0659334306823 1.28669964104509 -1.25550782335425 0.650899636160177 -0.210287337443309 0.758915807214592 -0.890943864573765 0.0709536184228277 0.102684218878895 0.369446607782938 1.38181993595657 0.271206042863181 0.456731919325429 1.03760619233133 0.0762490498736965 -0.289935171562087 0.428941401083983 -0.324786489273032 -0.450876683606156 0.323638908233736 -1.28956868578949 -0.746283192073444 0.323126250731547 -0.399272924960763 2.56766276780543 0.184063255112492 0.483534607886676 0.285743677621693 0.805667642399801 0.58910986890865 1.67532320251718 -1.49509936158512 0.0513361736535098 -0.0785781314298234 0.59253417789737 1.80803446787614 1.84775614321521 1.9320948591683 1.3281552669745 -0.233832831696304 -0.244747373113186 0.213760356958274 -0.480345035365216 -1.10999234198629 -0.566816871431543 0.634052447375932 0.431904240696152 -0.310681190376885 -1.06393400579981 -0.696995716639376 -0.320161753724292 -0.118722279449833 0.868439806248584 0.427130999974198 -1.24897743842987 -0.61532616475484 0.79222581365389 1.10031941451882 -0.600606731535211
"ATF2" -0.779969369788738 -0.905304277931172 0.651621675389484 0.86551177287046 -1.10597062954913 1.18144548247711 -0.0525653754493025 -0.636027995664709 0.295709023063591 0.0650609263999807 1.95608231663172 -2.26891510688615 0.559375658105518 1.57436332060585 1.5535053544713 -0.849375998163254 0.501386323690429 0.859036892095995 -1.17696317210605 -1.90871082051976 0.37000705544311 0.558445763993232 0.303245449498979 0.516307511409857 0.761014571688976 0.778575871933807 2.2624146291197 0.551607617592447 0.342323421709233 0.989801230785424 -1.32998366351549 -1.6112710239313 -2.13166544800802 -1.7168219146264 -0.176706450193064 -0.31424696914602 1.73037963942849 -1.18934352596748 -0.863328514649823 -0.339182718584484 -0.786828002853769 -0.236395678948116 1.38235948127686 -1.45889855243508 1.89511142369419 1.01082999029552 0.575123746370288 0.536304060321964 -1.34181055903592 3.17607606872501 0.0591895559456163 1.9107203073196 0.425184432511401 0.432675106544437 -1.78638436480681 -0.893700896021497 1.0559478526452 1.62882246214124 0.891287415071359 2.23983801254037 0.535066420253296 1.46422807807479 -0.474621402587909 -0.896010901501168 -2.58356193179963 0.156192751815668 -1.33956868855158 -1.05898539315989 -0.322982508185245 -1.48972613810919 3.21509789299875 -0.327068851740734 -0.47116773070358 0.770796857010148 1.49115149840729 0.690161759483962 0.707501799310101 -0.565500138062879 2.38752192205684 1.33357334695788 1.98620438246856 3.22887568244211 0.509519346817294 0.700006174685933 -0.926884119502604 1.75514774657584 -1.90010117617498 1.331622031283 0.560188728724503 0.236723724995845 1.31283359006608 -0.0524580585413003 1.49910283679465 1.2497125235848 1.18619519439049 1.13989240943258 -0.267285090447402 -0.231895779737138 -0.363753289268364 0.918540568999767 -0.883339006892361 0.503793252263147 2.06734635510288 3.04602252262175 1.55127323798287
