"Pt1" "Pt2" "Pt4" "Pt5" "Pt6" "Pt7" "Pt8" "Pt9" "Pt10" "Pt12" "Pt13" "Pt14" "Pt15" "Pt19" "Pt20" "Pt22" "Pt23" "Pt25" "Pt27A" "Pt27B" "Pt28" "Pt29" "Pt31" "Pt32" "Pt35" "Pt37" "Pt38"
"ADNP" 0.602305063930886 -2.22956548887536 -3.28113796019229 -2.98964768572028 -1.23069153134308 -2.73955498713412 -0.466210486787895 -6.11473971663329 1.18014245648474 -0.145071920603978 1.83875848014499 -0.934275347471986 -6.49057427391298 2.54495979466502 -0.262494636046015 3.77829171517655 0.359404427064802 -1.03098523553159 2.47518738773888 -0.68230827616846 0.405945511829258 -0.330650458408292 2.25835630618302 -1.0006108962388 -1.25958964988351 1.04878906016026 4.35262725249712
"AHR" 4.25153501410828 0.537463101381178 0.752756094571225 -0.0040216029852131 -0.584854978840176 0.154918379141167 0.348366665693873 -0.525296838398751 2.56325711284221 1.58874934755056 3.2386080652399 -0.431074037218992 -3.23764305248904 -2.21826811267051 -4.33490107443486 4.15807065610179 -0.565884464785438 -3.16737548387454 2.3588935400352 2.14594171417966 -0.96399955934112 -2.1309117028257 -0.77412232065856 0.314082503977365 -2.04928368667608 -2.71473640516584 0.131014704460218
"AR" 0.38762239488068 3.73618741563832 0.169275172587595 2.03931180227371 1.59404788711308 -1.02411028228844 -1.06653031380289 0.588893737397334 0.390927307318584 -1.58807182879805 -0.458271787686846 0.565757772260482 -1.25207776708638 0.53423242747158 -2.0156137614576 -0.489352747946515 -1.5506453227796 0.85566265106511 0.479130166286076 -0.573149041427896 -0.432752645322851 -0.89060289573646 0.0985469415178999 -1.74470032305499 -0.370376546782487 1.00354226221812 -2.02558789345728
"ARID2" 5.31091613294977 2.11118278723267 2.88126650866172 3.76114692086671 3.48990913934353 -0.414614543999144 -4.11648997539216 -4.59963093652375 2.33593680767595 3.02606250141745 -0.0568540881198946 1.54684401904668 -6.30654767985138 -5.857165182707 -0.427033040940996 1.97681539023567 -4.30071293463264 -6.8278221402933 5.88906415032835 6.9360073720346 -2.54594104862878 3.28309573205044 -4.9016728180821 -1.42468450063563 -0.489771322428783 -2.87356857318592 0.457476653006754
"ARID3A" -1.12990066176862 -0.169674918885836 -2.07949968047564 -1.42362782658545 0.0870254699002948 -0.295169901720292 -0.650787131405996 -2.5480278612271 -0.748070325647025 -0.404697940519384 0.198134404720506 0.0786925409594919 -3.59628466482969 2.16549278476676 -0.21851928898893 -0.260675205883399 0.650207497149914 0.821930622380726 2.27803391106305 1.15820471189517 -0.357772564939027 -2.0882632542436 2.34268760035508 -0.731219453070439 -2.69722299492352 3.33937044886825 2.39393999096875
"ARNT" 3.31494070819347 -0.218041254071166 2.32683149409693 -0.327598523200287 3.28984546172118 -0.509509595929838 -2.79787493595645 -2.58231208551304 2.85846192419443 0.128024998151384 4.49605286409888 0.396660135600155 -6.27165396484703 -4.13149641738848 -3.95078147810709 2.58554891497771 -3.30397667346779 -3.28966510671195 3.99900532654642 3.92291308656924 -1.38698481340289 -0.692307564009584 -0.784218736430427 1.01266338694588 -0.683791800891441 -0.263308282940886 -0.887377087441298
"ARNTL" 2.21108042172672 -0.295178663501529 -1.19346921945829 0.957132277599954 0.541912968071196 3.36662830690107 -2.4469285290849 -1.63055025154075 -1.46695376968191 -2.52943700581059 -0.651557269025612 -2.03160415515247 -2.34324215115621 0.616533100181285 -0.125763999504506 -0.0539366395908693 -1.38405833178963 -0.418537061799839 5.00036927606019 4.36108543031734 1.02476694576093 -1.4933718704641 -0.728140547668487 -0.494367692593534 -0.777204742528475 1.23963462203014 -0.395316251001601
"ASCL1" -1.22845033093586 -1.92217242246184 1.02164255529207 -1.71533263826675 0.511004582201154 1.42172706338135 -1.62676184012128 -3.6453180488591 1.15907519911793 -0.995177102943557 -1.27124751786398 0.719990812000237 -1.94366121283178 3.06328427424796 1.01082258668704 0.166148174881599 2.30552611185391 1.08422484901359 -0.534632141958797 -0.749114428217506 -0.326654537787255 -0.466104231612011 1.98856895563749 0.835815811543059 -1.21295579771289 -1.28471706347753 1.21847166198282
"ATF1" 0.556737297828078 -0.48353732801611 2.53071916605164 0.169335968811361 1.40687768429897 -0.165438245754564 -0.111093266685617 -1.2508256733728 1.17965042803272 0.361899759426673 2.36689391704503 0.628484372972867 -1.97139961995019 -1.32388258813013 -1.25158877315215 0.681374033310416 -0.364782469708632 -0.71545319586047 0.218952177816172 -0.465316125932196 -0.621546721041605 0.105549780975325 0.442985724094278 0.632854315315781 0.305835341881743 -0.434822194713935 -0.257256028982128
"ATF2" -0.504640004281213 3.18966150297005 0.77707683237793 -0.38305887987699 -0.26628837709693 0.655236373483193 -0.648482592992769 -1.53913756084448 0.600097084900251 -0.0603809143908405 0.814138056517281 0.16348572067497 -0.16589415421541 0.215296718065812 -1.71626874292258 0.739803076667372 -0.802494431404134 -0.593925252037183 1.76364907288558 0.881114562533873 0.928554721567831 -0.419814773570382 0.197980062950638 -0.49248701226179 -1.57241312399576 -0.416719191742843 -0.182560239782638
"ATF3" -0.992882443377926 0.0939319320125042 -0.0310807169810315 0.508515771000539 -0.19916672840856 -0.779043637664915 0.485280283099009 2.90030249828863 -0.120539162429637 0.772190198265705 -1.87210899670804 -0.87169879698117 3.96381880725551 0.133409793668633 1.43953854597225 -0.775349636833428 2.24644663920202 1.30430212361662 -0.93615666843926 -0.15571494306714 -1.50480940277116 2.24405391633819 -0.111607689065969 0.544935455246377 1.06044241823642 -0.368414498224419 0.118376564925062
"ATF4" -0.382535619318078 2.08277719697966 -1.9460143866557 0.995786193636211 -2.23760331172335 1.18562369298552 0.906082950233601 -2.60009057274845 1.50296471581198 -0.550951873744752 1.25006904598899 -0.101327390409029 -2.22256073557975 -0.913657003799421 -0.93579880908822 -1.13231038574486 0.939961905230526 0.150000330889165 1.49161205181862 0.458284396112483 0.0540094191502977 -0.984822419045619 1.07640881078987 -0.261546102345263 -0.693507466356126 0.963282216880303 0.117083345122522
"ATF6" 0.592530264534906 -0.396000075233201 -0.320428088586944 1.63158037803038 1.79894745615648 -3.71316866382691 0.0782890067617369 -2.33594016060805 1.63918686575585 0.518557148672893 1.83188148108252 0.96331491478919 -1.32451880307221 -1.00319181843138 -0.477558021944259 -0.0847331448189067 -2.74300831236286 -0.265593878483949 -0.313773112752691 -0.645378427392619 -0.116354866360595 0.643712462164357 1.55560392577335 -0.429747971560429 0.796186414399841 -0.41677510065243 -1.48410318078801
"ATF7" 1.53098701572747 -1.35138775641225 2.67323978481213 0.720843457272691 3.03922923642484 -1.60211951804087 -2.21454451027802 -2.77967798514911 -1.09431506139922 2.27658172958497 1.54393686801802 -0.936152623581164 -4.62357159545919 -1.33698439499852 -2.72060842903681 1.2147085601234 -4.96735289937209 -2.87174688768722 3.10385238857374 3.21443297932481 -2.49924251499373 -2.11971151306641 -0.146588704753222 2.14417199500537 2.3749994353665 0.360093261428024 0.9538082397119
"BACH1" 0.4476540270482 -0.770159284264596 -0.0569232305865734 0.678778884072968 -0.184294793947682 0.150238508105901 1.84412330137095 -1.20535202741723 -2.0399459648875 -1.90035739514626 -0.860368843438163 0.712490698951655 -3.08310609720626 0.582000943216623 -0.238063097539238 -0.924215236627202 -0.232321374049594 -3.49470548832247 1.82768590815365 1.05269785761802 -1.55786067445537 -0.296051138912113 1.38586236204975 -1.36511204620952 2.71222393084969 3.20246763847172 -0.0141571282769715
"BACH2" 0.547409189832122 -0.300119025967099 -1.00856857473636 -1.17397553341992 0.698074049013056 0.343398019967762 -0.266337098325696 -2.88414002961983 -1.50999345047159 -0.858458762549372 0.883165076659843 0.794589579948514 -3.35386750123411 0.0993223582825333 1.176915516043 1.15022710810187 -1.28407589424258 -3.13814860997427 2.66991070820729 2.00001869440264 -0.520027268140279 -0.0513213128530257 -0.072873993194706 -1.19510734939821 0.254246520488471 -0.140166763176411 4.14739815585812
"BATF" 0.281117489221782 0.626056499304675 -2.44884009233271 -3.15929837684328 0.9191408723156 -3.7925157362414 -0.242992542138657 -1.23286859820855 -0.532748025645049 -2.85617227426101 4.00621751671525 0.701608079296448 -2.52104633450632 -1.50230764530404 5.7377682254438 4.9256514739648 1.83149031922885 -1.17643202896509 2.43940722518199 0.473347041725433 -1.08519660284041 1.06490194793852 -0.527481186656485 -2.69604313055706 -1.7324199555365 -1.17000629056566 6.48131478121199
"BCL11A" 0.577724372203668 -0.490965434608042 1.21292696646988 -0.853109134475394 -0.14423927680524 -1.02181539964281 -1.634969240134 -3.4252150930595 -0.560823363599891 -0.12943077778321 0.0476911124385449 -1.04345787944198 -1.1937335415184 -0.50006618369049 1.6851368467605 1.72182120936872 -0.197370437966997 -0.927382902449474 2.06163637652269 1.31106314979938 1.41353672713332 0.122509277771766 -0.00763541737324269 -1.150874083532 -1.19234553698778 -1.06462731078522 6.36866945885438
"BCL6" 0.41113850254484 2.17171894333545 2.30303465740987 2.31840770518736 1.64546525096035 1.33590302417299 1.80516849952656 2.98925770819473 2.16765660117903 1.47546053373036 -1.05369315229861 0.170701573260673 3.72501785128638 -0.213277786791643 -1.47189080305874 -1.23966504989063 0.698761371125656 0.913838760979858 -3.0440215165363 -1.93164227913692 -1.33425112771163 0.820697786089985 -1.56907520217212 -0.77142892602866 0.931620655152439 -2.03736349412337 -5.30268823313611
"BHLHE22" -1.19532593547687 2.34361601279742 1.2046805374323 -1.96321878255615 0.65321198850486 1.41660822213228 0.4896513024623 1.08163795365788 0.334313774175449 0.519634596884277 -1.66491090986432 1.57044866093532 2.91343848303275 -1.30066793691895 0.622818920770914 -2.3829089312099 1.24105638586786 0.337573311162548 -1.90243287878155 -0.568949185404936 2.34499676276394 2.44225233457723 -1.34220667804677 0.173069243961096 -0.70964329116975 -0.183840067610523 -1.38389360560663
"BHLHE40" 1.87764176708143 1.8926406013919 1.24298630639595 3.33990604213651 1.72874444024874 -0.919336139454994 0.347934595602207 5.35233962340968 -0.226939176128835 0.843875417595537 -1.83037481842434 1.58209290383451 5.04400250699791 -4.24225609418201 0.422236674134355 0.505482104107724 -0.193058272151163 0.500659590607381 -1.70808564136136 -0.120751198977642 -1.73764171743746 2.41774414876676 -2.3712806076124 0.333734354792615 0.812157535418376 -1.9729733987585 -2.28883725014823
"BPTF" 0.98413409670732 -0.891311862717639 -0.967547614718626 -1.07213061701571 0.398755689907627 -0.694043642751689 -0.400529145399669 0.564591888313056 1.53480288675568 1.46501448647351 0.656669905844149 -2.20023300876737 -1.0002271715634 0.11046168620879 -0.966951636993176 1.67251983222706 0.303009266007478 0.317224599007706 0.735133940020063 0.194678910046247 -0.13701056741885 -1.41616810651627 -0.402920038019701 1.04643361792516 -0.727393287394367 -1.45531195832098 -1.11894020434464
"BRF2" 0.887053898439058 0.749890451435533 2.180752631822 3.43606553843283 2.00290354810188 -0.0507484931156809 -2.88902390743985 -1.53504336001453 -0.265857960027355 1.3852112980269 0.471983157784733 2.30274857401494 -3.36238780046377 -3.21481182139524 -3.18810590204769 -0.782887987558851 -5.91234037280158 -2.75133961612558 1.23118497336405 1.20804726952603 -1.8476385127958 -0.65444552703781 -1.17922595670019 -2.21394842427655 -0.12002582362459 0.076275910262815 -1.37555644765638
"CBX2" 2.76892032851573 -0.647090572929817 -0.596253700188072 0.943918821430984 -0.0217360771308058 3.11525098096264 -0.174273718550626 -2.99477360826168 1.18635645035115 -3.17184752857216 -0.164224367411662 -2.97370096440579 -3.59485114553976 1.59294716428137 -2.29249457862662 1.36815092488943 1.32653175703488 1.52908610211404 -0.714316967226707 -1.18918500114916 -0.593722770665472 -2.09795376969793 4.24530703583145 -1.04433216654806 0.487466650146473 -0.110968374543121 -0.913709984535911
"CDX1" -0.861853595470308 0.306359368313673 0.538760972697235 0.330565515531532 -0.894070861950902 0.107807663269285 -0.262690709403544 -0.894676343816078 0.611717876556491 -1.63333940510151 0.404324775131002 0.330245628529687 0.764724099061205 -0.07670261152784 -0.254246930755857 2.07787759126464 0.209377721682223 0.896963678031592 0.530222861268531 -0.511985705877381 1.74655918177859 -0.579173890616609 -0.51239127188124 -0.558228346451406 0.763462332538669 0.0162269326685393 -0.0576000990750476
"CDX2" 0.0246225597183687 1.17120635757281 0.247302802559465 -0.308332788254354 0.0749965828667302 2.55351076519527 0.230750721232757 0.695002025902643 0.480678728707565 0.993094624451824 -0.23800806971534 0.258558285444417 0.485452167351076 -0.105889096558458 -0.0120521025837473 -0.59910478386071 0.407464790800508 0.623741281287839 -0.0621482090344324 -0.497989185677028 3.26809484370232 1.28450331920654 0.373005139361908 0.930550099038532 -0.0962429419268254 -0.376410699441342 0.686530480693812
"CEBPA" -0.13603791370426 6.22832049729751 0.371683747625424 -1.77785671500146 0.0821885858601215 0.69867438549195 0.459725576577379 -2.54920488031566 1.89435965276427 -1.6075997312626 1.28330273473483 1.49004874291478 -2.0596978912425 1.14026959808778 -0.758179109088598 3.14562093123101 2.13133205950208 0.04632805726837 1.93419110017862 -0.950672861280169 0.747363122025044 0.172079913808092 1.51327435631092 -1.29071810926128 -0.458351901394989 -1.92745565795508 0.668044867954071
"CEBPB" 0.0390735112942541 4.03990788907409 -0.958461412321585 -1.31616463866068 -0.206428032802645 -1.9431110254267 0.866643642736588 -0.330219973196425 0.649201249283376 -0.316496142230078 1.82415678012616 1.03866057000242 0.330514450857785 0.707257624582917 1.49698014195224 2.13276090058493 0.691208135232132 -0.546188887289514 -0.605125238730869 -1.84501387452658 2.29483921425283 1.00338055434707 0.604272846557836 -0.68547383338598 -1.58605648502435 -1.3838700709862 0.622614491082089
"CEBPD" -1.11554966222107 2.58871450808042 -1.74063773478589 -2.71244404963669 -0.848761744589778 -0.0938832640043525 -0.0765601463724987 -0.925957722783394 0.071364970036536 -0.956063014914716 1.13638126638144 1.03672387135027 -0.88324145083268 0.182447015781175 0.320080606239344 -0.503850449566202 1.5603689342835 1.01655004473598 -0.57801598451541 -0.571117961628791 1.23420203409594 -0.673947800492266 1.00921600053224 -0.775458452215802 -1.23223884147298 -0.932847111274993 0.290202166063464
"CEBPE" 0.208150483373215 1.87203265797819 -0.176958470383156 -0.568811984295955 -0.213228257553571 1.04280657946797 -0.889581028303452 0.511566968553752 1.51975558589452 0.211120529968932 0.903317424193523 0.568254638408455 -0.258545269004507 -0.225475898058602 0.327897944520169 0.600403375535939 0.266446939754822 -0.0142266232970214 -1.04926878794182 -1.36705079020304 1.20871992701929 -0.346332387450343 0.391394230504108 1.0433476948521 1.05261279809805 0.565286863559645 -0.311261957750878
"CEBPG" 2.28119937112876 0.474469897798933 -1.54044955293387 1.17787493134558 1.52014154591689 -0.614961747426091 0.567397101421948 -1.39905006897771 -0.291941070646892 -0.35529808228704 2.82623307414292 1.97118746763791 -4.67818449888032 -2.69560592455998 -1.04415902965602 1.25008919362068 -2.28256235285338 -3.123761971516 4.07898294873937 3.21722989913531 -1.09244013885194 1.03264144360057 -0.178552496113785 -2.04026759081621 0.667353993075785 0.161812259004505 0.583798619566345
"CEBPZ" -5.51271782442183 -6.06360072465918 -2.60140069609237 0.0539776280531158 -5.70981097104788 3.06949833512663 -2.37569214371628 -4.33869715158948 -5.17308938449854 -1.45407085789035 -5.17988812527679 1.8492537463938 -1.48741666601307 5.50947225603585 -1.45331482255986 -6.68630271872839 -5.43451610957649 6.39786724967145 2.00062352722839 0.925464063048664 0.684443101004857 -3.56145289386441 4.29248198481551 2.18300188560159 -0.830583756593781 4.48880108574151 0.681079829558254
